time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494035526.0161480904,       -0.8330078125,        0.3920898438,       -0.2192382812,      -30.6091308594,      -18.6767578125,      117.3400878906
1494035526.0273520947,       -0.7841796875,        0.3920898438,       -0.2192382812,      -30.6091308594,      -18.6767578125,      111.2060546875
1494035526.0301098824,       -0.7841796875,        0.3920898438,       -0.2192382812,      -30.1818847656,      -18.0358886719,      111.2060546875
1494035526.0333039761,       -0.7841796875,        0.1420898438,       -0.2490234375,      -29.8309326172,      -16.1895751953,      106.5979003906
1494035526.0360031128,       -0.6953125000,        0.2187500000,       -0.2490234375,      -29.8309326172,      -16.1895751953,      106.5979003906
1494035526.0386939049,       -0.6953125000,        0.2187500000,       -0.2490234375,      -29.8309326172,      -13.7481689453,      102.8900146484
1494035526.0413880348,       -0.6953125000,        0.2187500000,       -0.2490234375,      -31.0058593750,      -13.7481689453,      102.8900146484
1494035526.0440928936,       -0.6254882812,        0.0380859375,       -0.2495117188,      -34.9121093750,      -11.0931396484,       95.7641601562
1494035526.0467889309,       -0.6254882812,        0.0380859375,       -0.2495117188,      -32.1044921875,      -11.0931396484,       95.7641601562
1494035526.0494790077,       -0.6254882812,        0.0380859375,       -0.2495117188,      -36.0107421875,       -8.4838867188,       89.1876220703
1494035526.0521669388,       -0.6254882812,        0.0380859375,       -0.2495117188,      -35.5072021484,       -8.4838867188,       89.1876220703
1494035526.0548748970,       -0.5566406250,       -0.0668945312,       -0.2348632812,      -39.4134521484,       -5.0964355469,       84.1827392578
1494035526.0575668812,       -0.5566406250,       -0.0668945312,       -0.2348632812,      -41.4276123047,       -5.0964355469,       84.1827392578
1494035526.0602529049,       -0.5566406250,       -0.0668945312,       -0.2348632812,      -41.4276123047,       -0.6713867188,       77.3773193359
1494035526.0629520416,       -0.5566406250,       -0.0668945312,       -0.2348632812,      -46.7376708984,       -0.6713867188,       77.3773193359
1494035526.0655519962,       -0.5024414062,       -0.1108398438,       -0.2177734375,      -46.7376708984,        3.2348632812,       70.2819824219
1494035526.0681030750,       -0.5024414062,       -0.1108398438,       -0.2177734375,      -51.2084960938,        2.5177001953,       70.2819824219
1494035526.0706570148,       -0.5024414062,       -0.1108398438,       -0.2177734375,      -51.2084960938,        2.5177001953,       62.4847412109
1494035526.0732190609,       -0.5024414062,       -0.1108398438,       -0.2177734375,      -55.2368164062,        4.4860839844,       62.4847412109
1494035526.0757811069,       -0.4116210938,       -0.0678710938,       -0.1723632812,      -55.2368164062,        4.4860839844,       62.4847412109
1494035526.0783390999,       -0.4116210938,       -0.0678710938,       -0.1723632812,      -58.1817626953,        5.6762695312,       54.6722412109
1494035526.0808920860,       -0.4116210938,       -0.0678710938,       -0.1723632812,      -58.1817626953,        5.6762695312,       54.6722412109
