time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494035436.3743519783,       -0.3979492188,       -0.0234375000,       -0.0146484375,      -56.0150146484,        2.0294189453,       20.5535888672
1494035436.3873810768,       -0.3979492188,       -0.0161132812,       -0.0112304688,      -56.0150146484,        2.0294189453,       13.1683349609
1494035436.3911540508,       -0.3378906250,       -0.0161132812,       -0.0112304688,      -51.4678955078,        2.0751953125,       13.1683349609
1494035436.3943669796,       -0.3378906250,       -0.0161132812,       -0.0112304688,      -45.5780029297,        1.5258789062,        5.8746337891
1494035436.3970489502,       -0.3378906250,       -0.0161132812,       -0.0131835938,      -45.5780029297,        1.5258789062,        5.8746337891
1494035436.3997368813,       -0.2666015625,       -0.0209960938,       -0.0131835938,      -39.3066406250,        1.1138916016,       -1.1901855469
1494035436.4024178982,       -0.2666015625,       -0.0209960938,       -0.0131835938,      -39.3066406250,        1.1138916016,       -1.1901855469
1494035436.4051148891,       -0.2666015625,       -0.0209960938,       -0.0131835938,      -34.5916748047,        1.3885498047,       -8.4686279297
1494035436.4077970982,       -0.1416015625,       -0.0864257812,       -0.0361328125,      -34.5916748047,        1.3885498047,       -8.4686279297
1494035436.4104759693,       -0.2426757812,       -0.0864257812,       -0.0361328125,      -30.9295654297,        1.6326904297,      -15.8996582031
1494035436.4131948948,       -0.2426757812,       -0.0864257812,       -0.0361328125,      -30.9295654297,        1.6326904297,      -15.8996582031
1494035436.4157590866,       -0.2426757812,       -0.0864257812,       -0.0361328125,      -29.2205810547,        1.3122558594,      -23.0407714844
1494035436.4183089733,       -0.2036132812,       -0.1342773438,       -0.0605468750,      -29.2205810547,        1.3122558594,      -23.0407714844
1494035436.4208550453,       -0.2036132812,       -0.1342773438,       -0.0605468750,      -29.2205810547,        1.3122558594,      -30.2276611328
1494035436.4234519005,       -0.2036132812,       -0.1342773438,       -0.0605468750,      -27.7252197266,        1.3122558594,      -30.2276611328
1494035436.4260010719,       -0.2036132812,       -0.1342773438,       -0.0605468750,      -27.7252197266,        1.3122558594,      -38.0401611328
1494035436.4285500050,       -0.1748046875,       -0.1743164062,       -0.0966796875,      -28.4729003906,        1.6021728516,      -38.0401611328
1494035436.4311089516,       -0.1748046875,       -0.1743164062,       -0.0966796875,      -28.4729003906,        1.6021728516,      -45.8526611328
1494035436.4337201118,       -0.1748046875,       -0.1743164062,       -0.0966796875,      -29.8614501953,        1.8310546875,      -45.9289550781
1494035436.4362740517,       -0.1748046875,       -0.1743164062,       -0.0966796875,      -29.8614501953,        1.8310546875,      -45.9289550781
1494035436.4388279915,       -0.1708984375,       -0.2016601562,       -0.0991210938,      -32.6690673828,        2.3345947266,      -53.5125732422
1494035436.4413819313,       -0.1708984375,       -0.2016601562,       -0.0991210938,      -32.6690673828,        2.3345947266,      -53.5125732422
1494035436.4440290928,       -0.1708984375,       -0.2016601562,       -0.0991210938,      -35.5072021484,        2.1820068359,      -61.2335205078
1494035436.4465899467,       -0.1708984375,       -0.2016601562,       -0.0991210938,      -35.5072021484,        2.1820068359,      -61.2335205078
1494035436.4491500854,       -0.1694335938,       -0.1699218750,       -0.0844726562,      -35.5834960938,        2.5329589844,      -68.7713623047
1494035436.4517118931,       -0.1694335938,       -0.1699218750,       -0.0844726562,      -35.5834960938,        2.5329589844,      -68.7713623047
1494035436.4544138908,       -0.1694335938,       -0.1699218750,       -0.0844726562,      -34.5916748047,        2.5329589844,      -75.3326416016
1494035436.4571099281,       -0.1694335938,       -0.1699218750,       -0.0844726562,      -34.5916748047,        2.5329589844,      -75.3326416016
1494035436.4599530697,       -0.1967773438,       -0.1127929688,       -0.0571289062,      -32.4859619141,        2.5329589844,      -81.0241699219
1494035436.4626479149,       -0.1967773438,       -0.1127929688,       -0.0571289062,      -32.4859619141,        2.5329589844,      -81.0241699219
1494035436.4653658867,       -0.1967773438,       -0.1127929688,       -0.0571289062,      -29.6173095703,        2.8991699219,      -86.4410400391
