time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494293822.3997099400,       -0.7329101562,        0.0922851562,        0.1132812500,       33.6914062500,       -4.9438476562,       28.8238525391
1494293822.4038939476,       -0.7329101562,        0.0922851562,        0.1132812500,       33.6914062500,       -4.9438476562,       28.8238525391
1494293822.4065930843,       -0.7329101562,        0.0922851562,        0.1132812500,       31.0821533203,       -4.3029785156,       31.9366455078
1494293822.4092800617,       -0.7329101562,        0.0922851562,        0.1132812500,       31.0821533203,       -4.3029785156,       31.9366455078
1494293822.4119839668,       -0.7373046875,        0.1533203125,        0.0888671875,       30.4107666016,       -3.7078857422,       34.6374511719
1494293822.4146730900,       -0.7373046875,        0.1533203125,        0.0888671875,       30.4107666016,       -3.7078857422,       34.6374511719
1494293822.4173710346,       -0.7373046875,        0.1533203125,        0.0888671875,       31.0058593750,       -4.2572021484,       36.4074707031
1494293822.4200599194,       -0.7373046875,        0.2109375000,        0.1215820312,       31.0058593750,       -4.2572021484,       36.4074707031
1494293822.4227650166,       -0.7280273438,        0.2109375000,        0.1215820312,       33.2031250000,       -6.1187744141,       37.9180908203
1494293822.4254539013,       -0.7280273438,        0.2109375000,        0.1215820312,       33.2031250000,       -6.1187744141,       37.9180908203
1494293822.4281480312,       -0.7280273438,        0.2109375000,        0.1215820312,       36.7736816406,       -8.3618164062,       38.8946533203
1494293822.4309310913,       -0.7133789062,        0.2348632812,        0.1328125000,       36.7736816406,       -8.3618164062,       38.8946533203
1494293822.4334781170,       -0.7133789062,        0.2348632812,        0.1328125000,       41.1834716797,      -11.1846923828,       39.3676757812
1494293822.4360320568,       -0.7133789062,        0.2348632812,        0.1328125000,       41.1834716797,      -11.1846923828,       39.3676757812
1494293822.4385809898,       -0.7133789062,        0.2348632812,        0.1328125000,       46.5240478516,      -13.9617919922,       40.2069091797
1494293822.4412860870,       -0.7094726562,        0.2324218750,        0.1313476562,       46.5240478516,      -13.9617919922,       40.2069091797
1494293822.4438428879,       -0.7094726562,        0.2324218750,        0.1313476562,       51.4984130859,      -17.1661376953,       41.7175292969
1494293822.4463870525,       -0.7094726562,        0.2324218750,        0.1313476562,       51.4984130859,      -17.1661376953,       41.7175292969
1494293822.4489409924,       -0.7094726562,        0.2324218750,        0.1313476562,       56.4727783203,      -20.5383300781,       43.0755615234
1494293822.4516921043,       -0.6933593750,        0.2285156250,        0.0859375000,       56.4727783203,      -20.5383300781,       43.0755615234
1494293822.4543960094,       -0.6933593750,        0.2285156250,        0.0859375000,       60.0585937500,      -22.4304199219,       43.6248779297
1494293822.4570960999,       -0.6933593750,        0.2285156250,        0.0859375000,       60.0585937500,      -22.4304199219,       43.6248779297
1494293822.4597959518,       -0.6933593750,        0.2285156250,        0.0263671875,       62.3931884766,      -23.2086181641,       45.5169677734
1494293822.4624929428,       -0.7138671875,        0.2148437500,        0.0263671875,       62.3931884766,      -23.2086181641,       45.5169677734
1494293822.4652009010,       -0.7138671875,        0.2148437500,        0.0263671875,       61.9506835938,      -23.8494873047,       48.7823486328
1494293822.4679040909,       -0.7138671875,        0.2148437500,        0.0263671875,       61.9506835938,      -23.8494873047,       48.7823486328
1494293822.4706110954,       -0.7138671875,        0.1645507812,        0.0825195312,       60.0738525391,      -24.6124267578,       52.0477294922
1494293822.4733419418,       -0.6850585938,        0.1645507812,        0.0825195312,       60.0738525391,      -24.6124267578,       52.0477294922
1494293822.4761788845,       -0.6850585938,        0.1645507812,        0.0825195312,       58.4259033203,      -22.9644775391,       55.7861328125
1494293822.4788808823,       -0.6850585938,        0.1645507812,        0.0825195312,       58.4259033203,      -22.9644775391,       55.7861328125
1494293822.4815928936,       -0.6718750000,        0.1791992188,        0.0927734375,       55.1605224609,      -21.0418701172,       60.2874755859
1494293822.4842889309,       -0.6718750000,        0.1791992188,        0.0927734375,       55.1605224609,      -21.0418701172,       60.2874755859
1494293822.4869899750,       -0.6718750000,        0.1791992188,        0.0927734375,       52.2003173828,      -20.2636718750,       66.5283203125
1494293822.4896860123,       -0.6718750000,        0.1791992188,        0.0927734375,       52.2003173828,      -20.2636718750,       66.5283203125
1494293822.4923141003,       -0.6391601562,        0.2031250000,        0.1049804688,       52.2003173828,      -18.7072753906,       71.7163085938
1494293822.4948699474,       -0.6391601562,        0.2031250000,        0.1049804688,       50.8422851562,      -18.7072753906,       71.7163085938
1494293822.4974269867,       -0.6391601562,        0.2031250000,        0.1049804688,       50.8422851562,      -18.7072753906,       75.0427246094
1494293822.4999868870,       -0.6391601562,        0.2031250000,        0.1049804688,       50.2777099609,      -17.7612304688,       75.0427246094
1494293822.5025529861,       -0.6445312500,        0.1748046875,        0.1201171875,       50.2777099609,      -17.7612304688,       78.2165527344
1494293822.5051069260,       -0.6445312500,        0.1748046875,        0.1201171875,       50.1403808594,      -17.2729492188,       78.2165527344
1494293822.5077579021,       -0.6445312500,        0.1748046875,        0.1201171875,       50.1403808594,      -17.2729492188,       78.2165527344
1494293822.5103209019,       -0.6445312500,        0.1748046875,        0.1816406250,       50.0793457031,      -15.9759521484,       80.7342529297
1494293822.5130100250,       -0.7133789062,        0.1694335938,        0.1816406250,       50.0793457031,      -15.9759521484,       84.6405029297
1494293822.5157070160,       -0.7133789062,        0.1694335938,        0.1816406250,       49.4842529297,      -14.3585205078,       82.9772949219
1494293822.5184009075,       -0.7133789062,        0.1694335938,        0.1816406250,       49.4842529297,      -14.3585205078,       82.9772949219
1494293822.5210940838,       -0.8383789062,        0.2089843750,        0.1782226562,       48.1719970703,      -12.1765136719,       86.1968994141
1494293822.5237851143,       -0.7768554688,        0.2089843750,        0.1782226562,       48.1719970703,      -12.1765136719,       86.1968994141
