time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494036589.0149610043,       -0.3457031250,        0.3354492188,       -0.0556640625,       34.5764160156,       28.0761718750,     -180.5267333984
1494036589.0273849964,       -0.3457031250,        0.3354492188,       -0.0556640625,       28.9916992188,       27.5726318359,     -176.8035888672
1494036589.0301558971,       -0.3974609375,        0.4223632812,       -0.0830078125,       28.9916992188,       27.5726318359,     -176.8035888672
1494036589.0328559875,       -0.3974609375,        0.4223632812,       -0.0830078125,       20.2484130859,       26.9012451172,     -171.5545654297
1494036589.0355639458,       -0.3974609375,        0.4223632812,       -0.0830078125,       20.2484130859,       26.9012451172,     -171.5545654297
1494036589.0382609367,       -0.3974609375,        0.4223632812,       -0.0830078125,       12.1917724609,       27.0996093750,     -165.4510498047
1494036589.0414490700,       -0.4277343750,        0.6186523438,       -0.0830078125,       12.1917724609,       27.0996093750,     -165.4510498047
1494036589.0441560745,       -0.4277343750,        0.6186523438,       -0.0830078125,        5.7830810547,       27.6947021484,     -159.0728759766
1494036589.0468471050,       -0.4277343750,        0.6186523438,       -0.0830078125,        5.7830810547,       27.6947021484,     -159.0728759766
1494036589.0495328903,       -0.4277343750,        0.7958984375,       -0.0576171875,        0.7629394531,       28.3660888672,     -152.3132324219
1494036589.0522220135,       -0.4189453125,        0.7958984375,       -0.0576171875,        0.7629394531,       28.3660888672,     -152.3132324219
1494036589.0549290180,       -0.4189453125,        0.7958984375,       -0.0576171875,       -2.3956298828,       28.3508300781,     -144.7906494141
1494036589.0576210022,       -0.4189453125,        0.7958984375,       -0.0576171875,       -2.3956298828,       28.3508300781,     -144.7906494141
1494036589.0603170395,       -0.3906250000,        0.9160156250,       -0.0195312500,       -6.6070556641,       27.5268554688,     -136.2304687500
1494036589.0630071163,       -0.3906250000,        0.9160156250,       -0.0195312500,       -6.6070556641,       27.5268554688,     -136.2304687500
1494036589.0655820370,       -0.3906250000,        0.9160156250,       -0.0195312500,      -11.2304687500,       27.1911621094,     -127.5177001953
1494036589.0681440830,       -0.3906250000,        0.9160156250,       -0.0195312500,      -11.2304687500,       27.1911621094,     -127.5177001953
1494036589.0706961155,       -0.3618164062,        0.9809570312,        0.0683593750,      -15.4113769531,       26.7791748047,     -118.6065673828
1494036589.0732469559,       -0.3618164062,        0.9809570312,        0.0683593750,      -15.4113769531,       26.7791748047,     -118.6065673828
1494036589.0758059025,       -0.3618164062,        0.9809570312,        0.0683593750,      -19.3176269531,       26.0162353516,     -108.4594726562
1494036589.0783638954,       -0.3618164062,        0.9809570312,        0.0683593750,      -18.2037353516,       26.0162353516,     -108.4594726562
1494036589.0809330940,       -0.3725585938,        1.0317382812,        0.1586914062,      -18.2037353516,       26.0162353516,      -96.3439941406
1494036589.0836389065,       -0.3725585938,        1.0317382812,        0.1586914062,      -20.6756591797,       24.2156982422,      -96.3439941406
1494036589.0861980915,       -0.3725585938,        1.0317382812,        0.1586914062,      -20.6756591797,       20.3094482422,      -83.4503173828
1494036589.0887579918,       -0.3725585938,        1.0317382812,        0.1586914062,      -23.8647460938,       22.2473144531,      -83.4503173828
1494036589.0913128853,       -0.4111328125,        1.1674804688,        0.2016601562,      -23.8647460938,       22.2473144531,      -70.5413818359
1494036589.0940299034,       -0.4111328125,        1.1674804688,        0.2016601562,      -24.2919921875,       19.8516845703,      -70.5413818359
1494036589.0967350006,       -0.4111328125,        1.1674804688,        0.2016601562,      -24.2919921875,       19.8516845703,      -57.5866699219
1494036589.0995819569,       -0.4111328125,        1.2412109375,        0.2460937500,      -19.8516845703,       16.9067382812,      -57.5866699219
1494036589.1022889614,       -0.4223632812,        1.2412109375,        0.2460937500,      -19.8516845703,       16.9067382812,      -44.7998046875
1494036589.1049089432,       -0.4223632812,        1.2412109375,        0.2460937500,      -13.6566162109,       13.2598876953,      -44.7998046875
1494036589.1074628830,       -0.4223632812,        1.2412109375,        0.2460937500,      -13.6566162109,       13.2598876953,      -44.7998046875
1494036589.1100280285,       -0.4223632812,        1.1811523438,        0.2617187500,       -8.8653564453,        9.3688964844,      -33.1420898438
1494036589.1125800610,       -0.4692382812,        1.1811523438,        0.2617187500,       -8.8653564453,        9.3688964844,      -33.1420898438
1494036589.1153049469,       -0.4692382812,        1.1811523438,        0.2617187500,       -7.8277587891,        6.6680908203,      -22.1405029297
1494036589.1180000305,       -0.4692382812,        1.1811523438,        0.2617187500,       -7.8277587891,        6.6680908203,      -22.1405029297
1494036589.1206920147,       -0.4824218750,        1.1040039062,        0.2211914062,       -8.9721679688,        4.1503906250,      -11.7340087891
1494036589.1234409809,       -0.4824218750,        1.1040039062,        0.2211914062,       -8.9721679688,        4.1503906250,      -11.7340087891
1494036589.1261329651,       -0.4824218750,        1.1040039062,        0.2211914062,      -12.1765136719,        2.5482177734,       -1.9378662109
1494036589.1288249493,       -0.4824218750,        1.1040039062,        0.2211914062,      -12.1765136719,        2.5482177734,       -1.9378662109
1494036589.1315169334,       -0.5590820312,        1.2465820312,        0.3916015625,      -22.7966308594,       -1.5869140625,        7.7819824219
1494036589.1342079639,       -0.5590820312,        1.2465820312,        0.3916015625,      -22.7966308594,       -1.5869140625,        7.7819824219
1494036589.1368958950,       -0.5590820312,        1.2465820312,        0.3916015625,      -28.7628173828,       -9.6282958984,       33.6456298828
1494036589.1395919323,       -0.5590820312,        1.2465820312,        0.4340820312,      -28.7628173828,       -9.6282958984,       33.6456298828
1494036589.1422810555,       -1.1069335938,        2.1694335938,        0.4340820312,      -42.1600341797,      -14.5263671875,       67.1997070312
1494036589.1449959278,       -1.1069335938,        2.1694335938,        0.4340820312,      -42.1600341797,      -14.5263671875,       67.1997070312
1494036589.1476891041,       -1.1069335938,        2.1694335938,        0.4340820312,      -54.3975830078,       -9.4299316406,       74.6612548828
1494036589.1504929066,       -1.6958007812,        1.3105468750,        0.0600585938,      -54.3975830078,       -9.4299316406,       74.6612548828
1494036589.1532080173,       -1.6958007812,        1.3105468750,        0.0600585938,      -50.9033203125,      -10.7574462891,       74.6612548828
1494036589.1557729244,       -1.6958007812,        1.3105468750,        0.0600585938,      -50.9033203125,      -10.7574462891,       74.6612548828
