time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494036559.0136430264,       -0.7319335938,        0.1303710938,        0.0014648438,        1.0223388672,       -0.0915527344,        0.4272460938
1494036559.0270218849,       -0.7319335938,        0.1303710938,        0.0014648438,        1.0223388672,       -0.0915527344,        0.4272460938
1494036559.0298190117,       -0.7363281250,        0.1220703125,        0.0058593750,        1.6937255859,       -0.1678466797,        0.5798339844
1494036559.0325291157,       -0.7363281250,        0.1220703125,        0.0058593750,        1.6937255859,       -0.1678466797,        0.5798339844
1494036559.0352699757,       -0.7363281250,        0.1220703125,        0.0058593750,        1.5716552734,       -0.3967285156,        0.1220703125
1494036559.0379629135,       -0.7363281250,        0.1220703125,        0.0058593750,        1.5716552734,       -0.3967285156,        0.1220703125
1494036559.0406510830,       -0.7402343750,        0.1201171875,       -0.0009765625,        0.9918212891,       -0.0152587891,        0.1678466797
1494036559.0433359146,       -0.7402343750,        0.1201171875,       -0.0009765625,        0.9918212891,       -0.0152587891,        0.1678466797
1494036559.0460240841,       -0.7402343750,        0.1201171875,       -0.0009765625,        0.7019042969,        0.2593994141,        0.6408691406
1494036559.0487079620,       -0.7402343750,        0.2451171875,       -0.0029296875,        0.7019042969,        0.2593994141,        0.6408691406
1494036559.0513949394,       -0.7343750000,        0.1284179688,       -0.0029296875,        1.1749267578,        0.1220703125,        0.7171630859
1494036559.0540928841,       -0.7343750000,        0.1284179688,       -0.0029296875,        1.1749267578,        0.1220703125,        0.7171630859
1494036559.0567760468,       -0.7343750000,        0.1284179688,       -0.0029296875,        0.2899169922,        0.5340576172,        0.4119873047
1494036559.0594749451,       -0.7294921875,        0.1274414062,        0.0004882812,        0.2899169922,        0.5340576172,        0.4119873047
1494036559.0621590614,       -0.7294921875,        0.1274414062,        0.0004882812,       -0.0152587891,        0.5493164062,        0.6256103516
1494036559.0647749901,       -0.7294921875,        0.1274414062,        0.0004882812,       -0.0152587891,        0.5493164062,        0.6256103516
1494036559.0673210621,       -0.7294921875,        0.1274414062,        0.0004882812,        0.4272460938,        0.3204345703,        0.5645751953
1494036559.0698580742,       -0.7304687500,        0.1381835938,       -0.0043945312,        0.4272460938,        0.3204345703,        0.5645751953
1494036559.0723989010,       -0.7304687500,        0.1381835938,       -0.0043945312,        1.1596679688,        0.2593994141,        0.9918212891
1494036559.0751159191,       -0.7304687500,        0.1381835938,       -0.0043945312,        1.1596679688,        0.2593994141,        0.9918212891
1494036559.0776619911,       -0.7304687500,        0.1381835938,       -0.0043945312,        1.4801025391,       -0.1220703125,        0.8850097656
1494036559.0802149773,       -0.7158203125,        0.1489257812,       -0.0161132812,        1.4801025391,       -0.1220703125,        0.8850097656
1494036559.0827579498,       -0.7158203125,        0.1489257812,       -0.0161132812,        2.2277832031,       -0.1373291016,        0.9460449219
1494036559.0855839252,       -0.7158203125,        0.1489257812,       -0.0161132812,        2.2277832031,       -0.1373291016,        0.9460449219
1494036559.0882740021,       -0.7158203125,        0.1489257812,       -0.0161132812,        3.7536621094,        0.0915527344,        0.7629394531
1494036559.0909619331,       -0.7231445312,        0.1538085938,       -0.0170898438,        3.7536621094,        0.0915527344,        0.7629394531
1494036559.0936620235,       -0.7231445312,        0.1538085938,       -0.0170898438,        4.9438476562,        0.0305175781,        0.1220703125
1494036559.0963470936,       -0.7231445312,        0.1538085938,       -0.0170898438,        4.9438476562,        0.0305175781,        0.1220703125
1494036559.0991899967,       -0.7231445312,        0.1538085938,       -0.0068359375,        5.4931640625,       -0.2593994141,       -0.3662109375
1494036559.1018869877,       -0.7358398438,        0.1469726562,       -0.0068359375,        5.4931640625,       -0.2593994141,       -0.3662109375
1494036559.1045761108,       -0.7358398438,        0.1469726562,       -0.0068359375,        5.7983398438,       -0.4272460938,       -0.4272460938
1494036559.1072599888,       -0.7358398438,        0.1469726562,       -0.0068359375,        5.7983398438,       -0.4272460938,       -0.4272460938
1494036559.1099491119,       -0.7382812500,        0.1279296875,       -0.0014648438,        5.5694580078,       -0.6103515625,       -0.1220703125
1494036559.1126320362,       -0.7382812500,        0.1279296875,       -0.0014648438,        5.5694580078,       -0.6103515625,       -0.1220703125
1494036559.1152288914,       -0.7382812500,        0.1279296875,       -0.0014648438,        5.5694580078,       -0.1525878906,       -0.2136230469
1494036559.1177799702,       -0.7382812500,        0.1279296875,       -0.0014648438,        4.5928955078,       -0.1525878906,       -0.2136230469
1494036559.1203320026,       -0.7353515625,        0.1250000000,        0.0126953125,        4.5928955078,       -0.1525878906,       -0.0305175781
1494036559.1228818893,       -0.7353515625,        0.1250000000,        0.0126953125,        3.5247802734,        0.0915527344,       -0.0305175781
1494036559.1255791187,       -0.7353515625,        0.1250000000,        0.0126953125,        3.5247802734,        0.0915527344,       -0.1525878906
1494036559.1282689571,       -0.7353515625,        0.1250000000,        0.0126953125,        2.7160644531,        0.3051757812,       -0.1525878906
1494036559.1309590340,       -0.7324218750,        0.1318359375,       -0.0004882812,        2.7160644531,        0.3051757812,        0.0152587891
1494036559.1336600780,       -0.7324218750,        0.1318359375,       -0.0004882812,        2.3040771484,        0.6713867188,        0.0152587891
1494036559.1363549232,       -0.7324218750,        0.1318359375,       -0.0004882812,        2.3040771484,        0.6713867188,        0.2441406250
1494036559.1391749382,       -0.7324218750,        0.1318359375,       -0.0078125000,        2.5482177734,        0.7781982422,        0.2441406250
1494036559.1419370174,       -0.7260742188,        0.1416015625,       -0.0078125000,        2.4719238281,        0.3967285156,        0.4272460938
1494036559.1454770565,       -0.7260742188,        0.1416015625,       -0.0078125000,        2.4719238281,        0.3967285156,        0.4272460938
1494036559.1481609344,       -0.7260742188,        0.1416015625,       -0.0078125000,        2.1514892578,        0.5645751953,        0.7324218750
1494036559.1508550644,       -0.7133789062,        0.1435546875,       -0.0092773438,        2.1514892578,        0.5645751953,        0.7324218750
1494036559.1535561085,       -0.7133789062,        0.1435546875,       -0.0092773438,        1.1901855469,        0.9613037109,        1.4190673828
1494036559.1562440395,       -0.7133789062,        0.1435546875,       -0.0092773438,        1.1901855469,        0.9613037109,        1.4190673828
1494036559.1589360237,       -0.7133789062,        0.1435546875,       -0.0092773438,       -0.6561279297,        1.7242431641,        1.7089843750
1494036559.1616189480,       -0.7226562500,        0.1240234375,       -0.0288085938,       -0.6561279297,        1.7242431641,        1.7089843750
1494036559.1642689705,       -0.7226562500,        0.1240234375,       -0.0288085938,       -0.6561279297,        2.7313232422,        2.0599365234
1494036559.1668128967,       -0.7226562500,        0.1240234375,       -0.0288085938,       -2.0446777344,        2.7313232422,        2.0599365234
1494036559.1693611145,       -0.7226562500,        0.1240234375,       -0.0288085938,       -2.0446777344,        2.7313232422,        3.2196044922
1494036559.1720159054,       -0.7285156250,        0.1069335938,       -0.0312500000,       -3.5400390625,        2.9907226562,        3.2196044922
1494036559.1746110916,       -0.7285156250,        0.1069335938,       -0.0312500000,       -3.5400390625,        2.9907226562,        4.4097900391
1494036559.1771581173,       -0.7285156250,        0.1069335938,       -0.0312500000,       -5.2795410156,        2.5787353516,        4.4097900391
1494036559.1797049046,       -0.7285156250,        0.1069335938,       -0.0034179688,       -5.2795410156,        2.5787353516,        4.4097900391
1494036559.1822481155,       -0.7529296875,        0.0654296875,       -0.0034179688,       -6.8969726562,        2.3956298828,        5.2642822266
