time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494036499.0129261017,       -0.5317382812,       -0.0351562500,       -0.0234375000,       28.2897949219,      -38.7725830078,      -81.0699462891
1494036499.0275650024,       -0.5317382812,       -0.0351562500,       -0.0234375000,       25.8331298828,      -39.8712158203,      -81.6345214844
1494036499.0313150883,       -0.5820312500,       -0.0073242188,       -0.0498046875,       22.7355957031,      -40.4357910156,      -86.5936279297
1494036499.0340778828,       -0.5820312500,       -0.0073242188,       -0.0498046875,       22.7355957031,      -40.4357910156,      -86.5936279297
1494036499.0367710590,       -0.5820312500,       -0.0073242188,       -0.0498046875,       19.0887451172,      -40.8325195312,      -91.5832519531
1494036499.0394620895,       -0.5820312500,       -0.0073242188,       -0.0791015625,       19.0887451172,      -40.8325195312,      -91.5832519531
1494036499.0421640873,       -0.6137695312,        0.0410156250,       -0.0791015625,       16.4337158203,      -41.1376953125,      -96.0540771484
1494036499.0447840691,       -0.6137695312,        0.0410156250,       -0.0791015625,       16.4337158203,      -41.1376953125,      -96.0540771484
1494036499.0473399162,       -0.6137695312,        0.0410156250,       -0.0791015625,       16.4337158203,      -41.5344238281,      -99.4262695312
1494036499.0498819351,       -0.6137695312,        0.0410156250,       -0.1049804688,       14.2822265625,      -41.5344238281,      -99.4262695312
1494036499.0524339676,       -0.6435546875,        0.1186523438,       -0.1049804688,       14.2822265625,      -41.5344238281,     -102.0507812500
1494036499.0550289154,       -0.6435546875,        0.1186523438,       -0.1049804688,       13.5803222656,      -41.5802001953,     -102.0507812500
1494036499.0575830936,       -0.6435546875,        0.1186523438,       -0.1049804688,       13.5803222656,      -41.5802001953,     -102.0507812500
1494036499.0601348877,       -0.6435546875,        0.1601562500,       -0.1137695312,       13.5498046875,      -41.2902832031,     -103.7445068359
1494036499.0626940727,       -0.6865234375,        0.1601562500,       -0.1137695312,       13.5498046875,      -41.2902832031,     -103.7445068359
1494036499.0653579235,       -0.6865234375,        0.1601562500,       -0.1137695312,       13.6566162109,      -41.3818359375,     -105.5297851562
1494036499.0679109097,       -0.6865234375,        0.1601562500,       -0.1137695312,       13.6566162109,      -41.3818359375,     -105.5297851562
1494036499.0704538822,       -0.6865234375,        0.1733398438,       -0.0942382812,       14.2669677734,      -41.8548583984,     -107.0861816406
1494036499.0730059147,       -0.7167968750,        0.1733398438,       -0.0942382812,       14.2669677734,      -41.8548583984,     -107.0861816406
1494036499.0758609772,       -0.7167968750,        0.1733398438,       -0.0942382812,       14.4500732422,      -41.3665771484,     -108.9019775391
1494036499.0785610676,       -0.7167968750,        0.1733398438,       -0.0942382812,       14.4500732422,      -41.3665771484,     -108.9019775391
1494036499.0812590122,       -0.7304687500,        0.1748046875,       -0.0996093750,       15.1214599609,      -41.0156250000,     -110.3668212891
1494036499.0839838982,       -0.7304687500,        0.1748046875,       -0.0996093750,       15.1214599609,      -41.0156250000,     -110.3668212891
1494036499.0866880417,       -0.7304687500,        0.1748046875,       -0.0996093750,       15.7775878906,      -39.9627685547,     -111.3586425781
1494036499.0893990993,       -0.7304687500,        0.1748046875,       -0.0996093750,       15.7775878906,      -39.9627685547,     -111.3586425781
1494036499.0921010971,       -0.7426757812,        0.1948242188,       -0.1181640625,       14.6179199219,      -38.8031005859,     -112.0758056641
1494036499.0948140621,       -0.7426757812,        0.1948242188,       -0.1181640625,       14.6179199219,      -38.8031005859,     -112.0758056641
1494036499.0975179672,       -0.7426757812,        0.1948242188,       -0.1181640625,       13.1225585938,      -37.5671386719,     -112.8082275391
1494036499.1003770828,       -0.7426757812,        0.2167968750,       -0.1293945312,       13.1225585938,      -37.5671386719,     -112.8082275391
1494036499.1030819416,       -0.7617187500,        0.2167968750,       -0.1293945312,       10.9405517578,      -36.5905761719,     -112.8692626953
1494036499.1056740284,       -0.7617187500,        0.2167968750,       -0.1293945312,       10.9405517578,      -36.5905761719,     -112.8692626953
1494036499.1082360744,       -0.7617187500,        0.2167968750,       -0.1293945312,        8.2244873047,      -35.0952148438,     -112.7929687500
1494036499.1108000278,       -0.7617187500,        0.2539062500,       -0.1206054688,        8.2244873047,      -35.0952148438,     -112.7929687500
1494036499.1134378910,       -0.7543945312,        0.2539062500,       -0.1206054688,        6.1187744141,      -33.8134765625,     -111.9537353516
1494036499.1159889698,       -0.7543945312,        0.2539062500,       -0.1206054688,        6.1187744141,      -33.8134765625,     -111.9537353516
1494036499.1185479164,       -0.7543945312,        0.2539062500,       -0.1206054688,        3.8299560547,      -32.6080322266,     -110.6414794922
1494036499.1211071014,       -0.7490234375,        0.2773437500,       -0.1250000000,        3.8299560547,      -32.6080322266,     -110.6414794922
