time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494036469.0148069859,       -0.6923828125,        0.2065429688,       -0.0903320312,      -11.5051269531,       -6.7901611328,       42.8314208984
1494036469.0269920826,       -0.6923828125,        0.2065429688,       -0.0903320312,      -11.5051269531,       -6.6223144531,       42.3736572266
1494036469.0297219753,       -0.6923828125,        0.2065429688,       -0.0903320312,      -15.4418945312,       -6.6223144531,       42.3736572266
1494036469.0324139595,       -0.6811523438,        0.1342773438,       -0.0390625000,      -19.7601318359,       -6.1340332031,       41.6107177734
1494036469.0355670452,       -0.6811523438,        0.1342773438,       -0.0390625000,      -19.7601318359,       -6.1340332031,       41.6107177734
1494036469.0382559299,       -0.6811523438,        0.1342773438,       -0.0390625000,      -24.6429443359,       -5.4168701172,       40.6188964844
1494036469.0409460068,       -0.6811523438,        0.0942382812,        0.0156250000,      -24.6429443359,       -5.4168701172,       40.6188964844
1494036469.0436840057,       -0.6718750000,        0.0942382812,        0.0156250000,      -29.6936035156,       -5.1727294922,       40.4510498047
1494036469.0463800430,       -0.6718750000,        0.0942382812,        0.0156250000,      -29.6936035156,       -5.1727294922,       40.4510498047
1494036469.0490679741,       -0.6718750000,        0.0942382812,        0.0156250000,      -34.0270996094,       -4.6997070312,       40.9698486328
1494036469.0517559052,       -0.6752929688,        0.1826171875,        0.0517578125,      -34.0270996094,       -4.6997070312,       40.9698486328
1494036469.0544910431,       -0.6752929688,        0.1826171875,        0.0517578125,      -35.3851318359,       -5.4779052734,       41.9464111328
1494036469.0571799278,       -0.6752929688,        0.1826171875,        0.0517578125,      -35.3851318359,       -5.4779052734,       41.9464111328
1494036469.0598680973,       -0.6752929688,        0.1826171875,        0.0517578125,      -35.3851318359,       -6.0882568359,       43.2891845703
1494036469.0628459454,       -0.7133789062,        0.3134765625,        0.0332031250,      -35.2325439453,       -6.0882568359,       43.2891845703
1494036469.0654289722,       -0.7133789062,        0.3134765625,        0.0332031250,      -34.2559814453,       -6.1492919922,       44.0673828125
1494036469.0679819584,       -0.7133789062,        0.3134765625,        0.0332031250,      -34.2559814453,       -6.1492919922,       44.0673828125
1494036469.0705299377,       -0.7133789062,        0.3134765625,       -0.0117187500,      -34.2559814453,       -6.1492919922,       44.4793701172
1494036469.0730779171,       -0.7050781250,        0.3583984375,       -0.0117187500,      -32.6232910156,       -6.3323974609,       44.4793701172
1494036469.0757820606,       -0.7050781250,        0.3583984375,       -0.0117187500,      -32.6232910156,       -6.3323974609,       44.5404052734
1494036469.0784790516,       -0.7050781250,        0.3583984375,       -0.0117187500,      -30.8685302734,       -6.1798095703,       44.5404052734
1494036469.0811829567,       -0.7050781250,        0.3369140625,       -0.0498046875,      -30.8685302734,       -6.1798095703,       43.6859130859
1494036469.0838999748,       -0.6577148438,        0.3369140625,       -0.0498046875,      -28.7628173828,       -6.3476562500,       43.6859130859
1494036469.0865950584,       -0.6577148438,        0.3369140625,       -0.0498046875,      -28.7628173828,       -6.3476562500,       42.8314208984
1494036469.0892970562,       -0.6577148438,        0.3369140625,       -0.0498046875,      -27.0843505859,       -6.7596435547,       42.8314208984
1494036469.0919868946,       -0.6401367188,        0.2885742188,       -0.0498046875,      -27.0843505859,       -6.7596435547,       41.4886474609
