time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494036409.7952198982,       -0.4125976562,        0.1665039062,       -0.0468750000,       -2.6092529297,        7.6599121094,      -30.2124023438
1494036409.8072769642,       -0.4125976562,        0.1665039062,       -0.0468750000,       -2.6092529297,        7.6599121094,      -30.2124023438
1494036409.8099689484,       -0.4125976562,        0.1665039062,       -0.0468750000,       -2.5939941406,        7.3089599609,      -34.6069335938
1494036409.8125169277,       -0.4008789062,        0.1494140625,       -0.0463867188,       -2.5939941406,        7.3089599609,      -34.6069335938
1494036409.8156270981,       -0.4008789062,        0.1494140625,       -0.0463867188,       -3.1738281250,        6.8664550781,      -39.3829345703
1494036409.8181691170,       -0.4008789062,        0.1494140625,       -0.0463867188,       -3.1738281250,        6.8664550781,      -39.3829345703
1494036409.8207190037,       -0.4008789062,        0.1494140625,       -0.0581054688,       -3.7078857422,        6.3781738281,      -44.6777343750
1494036409.8232529163,       -0.4038085938,        0.1455078125,       -0.0581054688,       -3.7078857422,        6.3781738281,      -44.6777343750
1494036409.8257958889,       -0.4038085938,        0.1455078125,       -0.0581054688,       -4.5623779297,        5.0659179688,      -49.2248535156
1494036409.8283350468,       -0.4038085938,        0.1455078125,       -0.0581054688,       -4.5623779297,        5.0659179688,      -49.2248535156
1494036409.8308689594,       -0.4038085938,        0.1455078125,       -0.0581054688,       -5.7373046875,        4.5471191406,      -53.8482666016
1494036409.8334619999,       -0.3930664062,        0.1289062500,       -0.0581054688,       -5.7373046875,        4.5471191406,      -53.8482666016
1494036409.8359990120,       -0.3930664062,        0.1289062500,       -0.0581054688,       -7.7362060547,        4.3945312500,      -58.3953857422
1494036409.8385410309,       -0.3930664062,        0.1289062500,       -0.0581054688,       -7.7362060547,        4.3945312500,      -58.3953857422
1494036409.8410840034,       -0.3930664062,        0.1303710938,       -0.0625000000,       -7.7362060547,        4.6234130859,      -63.3392333984
1494036409.8436799049,       -0.4023437500,        0.1303710938,       -0.0625000000,      -10.6048583984,        4.6234130859,      -63.3392333984
1494036409.8462269306,       -0.4023437500,        0.1303710938,       -0.0625000000,      -10.6048583984,        4.6234130859,      -68.1915283203
1494036409.8487789631,       -0.4023437500,        0.1303710938,       -0.0625000000,      -12.1917724609,        4.2114257812,      -68.1915283203
1494036409.8513329029,       -0.4023437500,        0.1669921875,       -0.0527343750,      -12.1917724609,        4.2114257812,      -72.0977783203
1494036409.8538990021,       -0.4125976562,        0.1669921875,       -0.0527343750,      -12.7258300781,        3.4790039062,      -73.1506347656
1494036409.8564550877,       -0.4125976562,        0.1669921875,       -0.0527343750,      -12.7258300781,        3.4790039062,      -73.1506347656
1494036409.8590149879,       -0.4125976562,        0.1669921875,       -0.0527343750,      -12.9699707031,        3.0212402344,      -77.8045654297
1494036409.8615789413,       -0.4125976562,        0.1767578125,       -0.0454101562,      -12.9699707031,        3.0212402344,      -77.8045654297
1494036409.8642609119,       -0.4262695312,        0.1767578125,       -0.0454101562,      -12.6800537109,        2.1209716797,      -82.0312500000
1494036409.8668200970,       -0.4262695312,        0.1767578125,       -0.0454101562,      -12.6800537109,        2.1209716797,      -82.0312500000
1494036409.8693809509,       -0.4262695312,        0.1767578125,       -0.0454101562,      -12.1002197266,        1.3580322266,      -85.9985351562
1494036409.8719398975,       -0.4291992188,        0.1889648438,       -0.0463867188,      -12.1002197266,        1.3580322266,      -85.9985351562
1494036409.8747220039,       -0.4291992188,        0.1889648438,       -0.0463867188,      -10.7574462891,        0.7019042969,      -89.5080566406
1494036409.8775660992,       -0.4291992188,        0.1889648438,       -0.0463867188,      -10.7574462891,        0.7019042969,      -89.5080566406
1494036409.8802680969,       -0.4291992188,        0.1889648438,       -0.0463867188,       -8.7432861328,       -0.0152587891,      -93.3532714844
1494036409.8829679489,       -0.4331054688,        0.2084960938,       -0.0307617188,       -8.7432861328,       -0.0152587891,      -93.3532714844
1494036409.8856699467,       -0.4331054688,        0.2084960938,       -0.0307617188,       -6.0729980469,       -0.9155273438,      -97.1374511719
1494036409.8883709908,       -0.4331054688,        0.2084960938,       -0.0307617188,       -6.0729980469,       -0.9155273438,      -97.1374511719
1494036409.8910570145,       -0.4331054688,        0.2084960938,       -0.0507812500,       -3.8604736328,       -1.8310546875,     -100.7537841797
1494036409.8937458992,       -0.4316406250,        0.2148437500,       -0.0507812500,       -3.8604736328,       -1.8310546875,     -100.7537841797
1494036409.8962988853,       -0.4316406250,        0.2148437500,       -0.0507812500,       -1.9226074219,       -1.9683837891,     -103.5766601562
1494036409.8988490105,       -0.4316406250,        0.2148437500,       -0.0507812500,       -1.9226074219,       -1.9683837891,     -103.5766601562
1494036409.9013979435,       -0.4316406250,        0.2148437500,       -0.0585937500,       -0.3204345703,       -2.8228759766,     -106.6131591797
1494036409.9039640427,       -0.4331054688,        0.2143554688,       -0.0585937500,       -0.3204345703,       -2.8228759766,     -106.6131591797
1494036409.9065139294,       -0.4331054688,        0.2143554688,       -0.0585937500,        3.5858154297,       -3.4637451172,     -109.4818115234
1494036409.9090669155,       -0.4331054688,        0.2143554688,       -0.0585937500,        0.9765625000,       -3.4637451172,     -109.4818115234
1494036409.9116249084,       -0.4331054688,        0.2143554688,       -0.0673828125,        0.9765625000,       -7.3699951172,     -112.5488281250
1494036409.9142949581,       -0.4462890625,        0.2285156250,       -0.0673828125,        3.6773681641,       -4.0588378906,     -112.5488281250
1494036409.9169909954,       -0.4462890625,        0.2285156250,       -0.0673828125,        3.6773681641,       -4.0588378906,     -114.9444580078
1494036409.9196870327,       -0.4462890625,        0.2285156250,       -0.0673828125,        5.6915283203,       -4.4097900391,     -114.9444580078
1494036409.9223759174,       -0.4545898438,        0.2177734375,       -0.0927734375,        5.6915283203,       -4.4097900391,     -117.4316406250
1494036409.9251809120,       -0.4545898438,        0.2177734375,       -0.0927734375,        6.5612792969,       -4.5623779297,     -117.4316406250
1494036409.9278290272,       -0.4545898438,        0.2177734375,       -0.0927734375,        6.5612792969,       -4.5623779297,     -120.1171875000
1494036409.9306309223,       -0.4545898438,        0.2177734375,       -0.0927734375,        6.7901611328,       -4.6691894531,     -120.1171875000
1494036409.9333229065,       -0.4667968750,        0.2543945312,       -0.0849609375,        6.7901611328,       -4.6691894531,     -122.3144531250
1494036409.9360189438,       -0.4667968750,        0.2543945312,       -0.0849609375,        7.9803466797,       -4.8217773438,     -122.3144531250
1494036409.9387118816,       -0.4667968750,        0.2543945312,       -0.0849609375,        7.9803466797,       -4.8217773438,     -123.9318847656
1494036409.9414050579,       -0.4667968750,        0.2543945312,       -0.0849609375,        9.6740722656,       -5.3405761719,     -123.9318847656
1494036409.9440629482,       -0.4858398438,        0.2836914062,       -0.0820312500,        9.6740722656,       -5.3405761719,     -125.2899169922
1494036409.9466159344,       -0.4858398438,        0.2836914062,       -0.0820312500,       12.1459960938,       -6.1645507812,     -125.2899169922
1494036409.9492809772,       -0.4858398438,        0.2836914062,       -0.0820312500,       12.1459960938,       -6.1645507812,     -125.2899169922
1494036409.9518411160,       -0.4858398438,        0.2836914062,       -0.0820312500,       15.1367187500,       -5.7220458984,     -126.5411376953
1494036409.9545099735,       -0.5102539062,        0.2988281250,       -0.0820312500,       15.1367187500,       -5.7220458984,     -126.5411376953
1494036409.9572029114,       -0.5102539062,        0.2988281250,       -0.0820312500,       16.7083740234,       -6.1340332031,     -127.1057128906
1494036409.9598970413,       -0.5102539062,        0.2988281250,       -0.0820312500,       16.7083740234,       -6.1340332031,     -127.1057128906
1494036409.9625909328,       -0.5102539062,        0.3437500000,       -0.0893554688,       18.3715820312,       -6.1492919922,     -127.9449462891
1494036409.9651989937,       -0.5332031250,        0.3437500000,       -0.0893554688,       18.3715820312,       -6.1492919922,     -127.9449462891
1494036409.9677579403,       -0.5332031250,        0.3437500000,       -0.0893554688,       20.4620361328,       -6.5917968750,     -128.3874511719
1494036409.9703099728,       -0.5332031250,        0.3437500000,       -0.0893554688,       20.4620361328,       -6.5917968750,     -128.3874511719
1494036409.9728701115,       -0.5620117188,        0.3740234375,       -0.0859375000,       21.8505859375,       -6.5307617188,     -128.8146972656
1494036409.9755320549,       -0.5620117188,        0.3740234375,       -0.0859375000,       21.8505859375,       -6.5307617188,     -128.8146972656
1494036409.9780900478,       -0.5620117188,        0.3740234375,       -0.0859375000,       23.0102539062,       -6.4239501953,     -128.5095214844
1494036409.9806449413,       -0.5620117188,        0.3740234375,       -0.0859375000,       23.0102539062,       -6.4239501953,     -128.5095214844
1494036409.9833099842,       -0.5976562500,        0.4116210938,       -0.0834960938,       24.3072509766,       -5.9814453125,     -127.9907226562
1494036409.9860041142,       -0.5976562500,        0.4116210938,       -0.0834960938,       24.3072509766,       -5.9814453125,     -127.9907226562
1494036409.9886989594,       -0.5976562500,        0.4116210938,       -0.0834960938,       25.0854492188,       -5.7678222656,     -127.1057128906
1494036409.9913890362,       -0.5976562500,        0.4116210938,       -0.0834960938,       25.0854492188,       -5.7678222656,     -127.1057128906
1494036409.9940590858,       -0.6264648438,        0.4252929688,       -0.0893554688,       26.0314941406,       -5.5694580078,     -125.5187988281
1494036409.9966158867,       -0.6264648438,        0.4252929688,       -0.0893554688,       26.0314941406,       -5.5694580078,     -125.5187988281
1494036409.9991691113,       -0.6264648438,        0.4252929688,       -0.0893554688,       25.4364013672,       -5.1879882812,     -123.2452392578
1494036410.0017220974,       -0.6264648438,        0.4252929688,       -0.0893554688,       25.4364013672,       -5.1879882812,     -123.2452392578
1494036410.0043559074,       -0.6430664062,        0.4345703125,       -0.0888671875,       25.4364013672,       -4.9896240234,     -121.0021972656
1494036410.0070540905,       -0.6430664062,        0.4345703125,       -0.0888671875,       24.8565673828,       -4.9896240234,     -121.0021972656
1494036410.0097510815,       -0.6430664062,        0.4345703125,       -0.0888671875,       24.8565673828,       -4.5928955078,     -118.1335449219
1494036410.0124440193,       -0.6430664062,        0.4345703125,       -0.1030273438,       23.3306884766,       -4.5928955078,     -118.1335449219
1494036410.0151569843,       -0.6601562500,        0.4584960938,       -0.1030273438,       23.3306884766,       -4.3029785156,     -114.8376464844
1494036410.0178499222,       -0.6601562500,        0.4584960938,       -0.1030273438,       21.5606689453,       -4.3029785156,     -114.8376464844
1494036410.0205481052,       -0.6601562500,        0.4584960938,       -0.1030273438,       21.5606689453,       -4.1046142578,     -111.2670898438
1494036410.0234270096,       -0.6752929688,        0.4541015625,       -0.1010742188,       19.0582275391,       -4.1046142578,     -111.2670898438
1494036410.0261230469,       -0.6752929688,        0.4541015625,       -0.1010742188,       19.0582275391,       -3.7689208984,     -107.7423095703
1494036410.0288169384,       -0.6752929688,        0.4541015625,       -0.1010742188,       16.3574218750,       -3.7689208984,     -107.7423095703
1494036410.0315120220,       -0.6752929688,        0.4541015625,       -0.1010742188,       16.3574218750,       -3.8299560547,     -103.7139892578
1494036410.0342099667,       -0.6884765625,        0.4755859375,       -0.0986328125,       14.6942138672,       -3.8299560547,     -103.7139892578
1494036410.0369050503,       -0.6884765625,        0.4755859375,       -0.0986328125,       14.6942138672,       -3.9367675781,     -100.3417968750
