time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494037843.0075480938,       -0.6137695312,        0.8144531250,        0.4414062500,      -64.1174316406,      -54.3365478516,       55.5725097656
1494037843.0172379017,       -0.6137695312,        0.8144531250,        0.4414062500,      -57.0068359375,      -63.0035400391,       55.5725097656
1494037843.0200259686,       -0.7636718750,        0.5810546875,        0.4423828125,      -57.0068359375,      -63.0035400391,       49.8352050781
1494037843.0227088928,       -0.7636718750,        0.5810546875,        0.4423828125,      -36.9110107422,      -66.6809082031,       49.8352050781
1494037843.0253961086,       -0.7636718750,        0.5810546875,        0.4423828125,      -36.9110107422,      -66.6809082031,       40.8935546875
1494037843.0280730724,       -0.7636718750,        0.2387695312,        0.1635742188,      -12.0391845703,      -61.6455078125,       40.8935546875
1494037843.0307540894,       -0.8325195312,        0.2387695312,        0.1635742188,      -12.0391845703,      -61.6455078125,       32.1655273438
1494037843.0334730148,       -0.8325195312,        0.2387695312,        0.1635742188,        9.3536376953,      -52.8106689453,       32.1655273438
1494037843.0361270905,       -0.8325195312,        0.2387695312,        0.1635742188,        9.3536376953,      -52.8106689453,       28.1829833984
1494037843.0387709141,       -0.8325195312,        0.3012695312,       -0.0366210938,       23.8800048828,      -45.2423095703,       28.1829833984
1494037843.0421180725,       -0.8325195312,        0.3012695312,       -0.0366210938,       23.8800048828,      -40.4205322266,       28.6560058594
1494037843.0448250771,       -0.8325195312,        0.3012695312,       -0.0366210938,       30.1208496094,      -40.4205322266,       28.6560058594
1494037843.0475270748,       -0.8325195312,        0.3012695312,       -0.0366210938,       30.1208496094,      -36.1175537109,       30.5938720703
1494037843.0502259731,       -0.9165039062,        0.3330078125,       -0.0756835938,       31.2042236328,      -36.1175537109,       30.5938720703
1494037843.0529229641,       -0.9165039062,        0.3330078125,       -0.0756835938,       31.2042236328,      -28.3050537109,       31.4331054688
1494037843.0555059910,       -0.9165039062,        0.3330078125,       -0.0756835938,       27.5115966797,      -30.6396484375,       31.4331054688
1494037843.0580670834,       -0.9165039062,        0.3330078125,       -0.0449218750,       27.5115966797,      -30.6396484375,       30.1361083984
1494037843.0606260300,       -0.9599609375,        0.1577148438,       -0.0449218750,       18.1121826172,      -24.4293212891,       30.1361083984
1494037843.0632209778,       -0.9599609375,        0.1577148438,       -0.0449218750,       18.1121826172,      -24.4293212891,       30.1361083984
1494037843.0659220219,       -0.9599609375,        0.1577148438,       -0.0449218750,        7.0190429688,      -19.1650390625,       29.0527343750
1494037843.0686180592,       -0.9599609375,        0.0844726562,        0.0493164062,        7.0190429688,      -19.1650390625,       29.0527343750
1494037843.0713191032,       -0.8286132812,        0.0844726562,        0.0493164062,       -2.8991699219,      -18.0053710938,       28.6407470703
1494037843.0740211010,       -0.8286132812,        0.0844726562,        0.0493164062,       -2.8991699219,      -18.0053710938,       28.6407470703
1494037843.0765879154,       -0.8286132812,        0.0844726562,        0.0493164062,      -10.2233886719,      -19.0734863281,       27.9693603516
1494037843.0791540146,       -0.7172851562,        0.1308593750,        0.0966796875,      -10.2233886719,      -19.0734863281,       27.9693603516
1494037843.0817139149,       -0.7172851562,        0.1308593750,        0.0966796875,      -16.6168212891,      -20.1110839844,       26.7181396484
1494037843.0843849182,       -0.7172851562,        0.1308593750,        0.0966796875,      -16.6168212891,      -20.1110839844,       26.7181396484
1494037843.0869469643,       -0.7172851562,        0.1308593750,        0.0966796875,      -19.9737548828,      -19.6380615234,       25.5889892578
1494037843.0896620750,       -0.6933593750,        0.1704101562,        0.0483398438,      -19.9737548828,      -19.6380615234,       25.5889892578
1494037843.0922288895,       -0.6933593750,        0.1704101562,        0.0483398438,      -20.6604003906,      -18.9971923828,       24.6887207031
1494037843.0949370861,       -0.6933593750,        0.1704101562,        0.0483398438,      -20.6604003906,      -18.9971923828,       24.6887207031
1494037843.0975050926,       -0.6933593750,        0.1704101562,        0.0483398438,      -19.3939208984,      -17.7764892578,       23.1781005859
1494037843.1000699997,       -0.6904296875,        0.1904296875,        0.0019531250,      -19.3939208984,      -17.7764892578,       23.1781005859
1494037843.1026360989,       -0.6904296875,        0.1904296875,        0.0019531250,      -16.9525146484,      -18.0664062500,       21.1029052734
1494037843.1053340435,       -0.6904296875,        0.1904296875,        0.0019531250,      -16.9525146484,      -18.0664062500,       21.1029052734
1494037843.1080369949,       -0.6904296875,        0.1904296875,        0.0019531250,      -14.8315429688,      -18.9819335938,       19.4091796875
1494037843.1107349396,       -0.7133789062,        0.2075195312,       -0.0029296875,      -14.8315429688,      -18.9819335938,       19.4091796875
1494037843.1134810448,       -0.7133789062,        0.2075195312,       -0.0029296875,      -13.3666992188,      -19.8364257812,       18.3105468750
1494037843.1161808968,       -0.7133789062,        0.2075195312,       -0.0029296875,      -13.3666992188,      -19.8364257812,       18.3105468750
1494037843.1188840866,       -0.7133789062,        0.2075195312,       -0.0126953125,      -13.1225585938,      -21.4691162109,       17.1051025391
1494037843.1215870380,       -0.7373046875,        0.1918945312,       -0.0126953125,      -13.1225585938,      -21.4691162109,       17.1051025391
1494037843.1242530346,       -0.7373046875,        0.1918945312,       -0.0126953125,      -13.1225585938,      -22.6898193359,       16.6625976562
1494037843.1268179417,       -0.7373046875,        0.1918945312,       -0.0126953125,      -13.1225585938,      -22.6898193359,       16.6625976562
1494037843.1293818951,       -0.8623046875,        0.1645507812,       -0.0141601562,      -13.1225585938,      -22.9949951172,       15.8691406250
1494037843.1319398880,       -0.7534179688,        0.1645507812,       -0.0141601562,      -12.8173828125,      -22.9949951172,       15.8691406250
1494037843.1346049309,       -0.7534179688,        0.1645507812,       -0.0141601562,      -12.8173828125,      -22.9949951172,       15.2893066406
1494037843.1371641159,       -0.7534179688,        0.1645507812,       -0.0141601562,      -12.3138427734,      -22.7966308594,       15.2893066406
1494037843.1397330761,       -0.7519531250,        0.1728515625,        0.0185546875,      -12.3138427734,      -22.7966308594,       15.1672363281
1494037843.1422989368,       -0.7519531250,        0.1728515625,        0.0185546875,      -11.5356445312,      -22.7355957031,       15.1672363281
1494037843.1449890137,       -0.7519531250,        0.1728515625,        0.0185546875,      -11.5356445312,      -22.7355957031,       15.1672363281
1494037843.1475551128,       -0.7519531250,        0.1728515625,        0.0185546875,       -8.5296630859,      -23.0712890625,       15.0909423828
1494037843.1502540112,       -0.7431640625,        0.2026367188,        0.0634765625,       -8.5296630859,      -23.0712890625,       15.0909423828
1494037843.1528089046,       -0.7431640625,        0.2026367188,        0.0634765625,       -3.8604736328,      -23.0102539062,       14.6942138672
1494037843.1554100513,       -0.7431640625,        0.2026367188,        0.0634765625,       -3.8604736328,      -23.0102539062,       14.6942138672
1494037843.1579709053,       -0.7431640625,        0.2026367188,        0.0634765625,        1.1749267578,      -23.0407714844,       14.6636962891
1494037843.1606440544,       -0.7431640625,        0.2109375000,        0.0844726562,        1.1749267578,      -23.0407714844,       14.6636962891
1494037843.1632320881,       -0.7431640625,        0.2109375000,        0.0844726562,        7.5073242188,      -23.1170654297,       14.3432617188
1494037843.1659369469,       -0.7431640625,        0.2109375000,        0.0844726562,        7.5073242188,      -23.1170654297,       14.3432617188
1494037843.1686339378,       -0.7431640625,        0.2109375000,        0.0844726562,       14.2517089844,      -22.6593017578,       13.5955810547
1494037843.1713330746,       -0.7343750000,        0.2109375000,        0.0673828125,       14.2517089844,      -22.6593017578,       13.5955810547
1494037843.1740798950,       -0.7343750000,        0.2109375000,        0.0673828125,       19.6685791016,      -21.8811035156,       13.2293701172
1494037843.1767818928,       -0.7343750000,        0.2109375000,        0.0673828125,       19.6685791016,      -21.8811035156,       13.2293701172
1494037843.1794829369,       -0.7343750000,        0.2109375000,        0.0698242188,       23.2543945312,      -21.6674804688,       12.9394531250
