time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494293602.6479039192,       -0.7827148438,        0.3715820312,       -0.0253906250,      -19.8974609375,      -10.2081298828,     -174.2248535156
1494293602.6548988819,       -0.7827148438,        0.3349609375,       -0.0107421875,      -19.8974609375,      -10.2081298828,     -174.2248535156
1494293602.6580231190,       -0.7866210938,        0.3349609375,       -0.0107421875,      -25.6500244141,      -10.1928710938,     -174.2553710938
1494293602.6605799198,       -0.7866210938,        0.3349609375,       -0.0107421875,      -25.6500244141,      -10.1928710938,     -174.2553710938
1494293602.6633639336,       -0.7866210938,        0.3349609375,       -0.0107421875,      -32.4859619141,      -10.3607177734,     -174.1027832031
1494293602.6662540436,       -0.8046875000,        0.3564453125,       -0.0141601562,      -32.4859619141,      -10.3607177734,     -174.1027832031
1494293602.6689538956,       -0.8046875000,        0.3564453125,       -0.0141601562,      -39.4744873047,      -11.1236572266,     -174.7894287109
1494293602.6716589928,       -0.8046875000,        0.3564453125,       -0.0141601562,      -39.4744873047,      -11.1236572266,     -174.7894287109
1494293602.6743528843,       -0.8046875000,        0.3564453125,       -0.0141601562,      -45.0592041016,      -11.2915039062,     -175.2319335938
1494293602.6770479679,       -0.8247070312,        0.4067382812,       -0.0131835938,      -45.0592041016,      -11.2915039062,     -175.2319335938
1494293602.6797389984,       -0.8247070312,        0.4067382812,       -0.0131835938,      -48.6297607422,      -10.9100341797,     -175.8880615234
1494293602.6824440956,       -0.8247070312,        0.4067382812,       -0.0131835938,      -48.6297607422,      -10.9100341797,     -175.8880615234
1494293602.6851348877,       -0.8247070312,        0.4301757812,       -0.0068359375,      -51.8493652344,      -11.0015869141,     -175.9490966797
1494293602.6878271103,       -0.8320312500,        0.4301757812,       -0.0068359375,      -51.8493652344,      -11.0015869141,     -175.9490966797
1494293602.6905210018,       -0.8320312500,        0.4301757812,       -0.0068359375,      -55.1452636719,      -11.1541748047,     -175.7965087891
