time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494295655.7793970108,       -5.2998046875,       -1.9931640625,       -2.5551757812,     -201.9042968750,      -67.9016113281,      196.6857910156
1494295655.7850139141,       -2.9062500000,       -7.0961914062,       -2.6220703125,     -201.9042968750,      -67.9016113281,      196.6857910156
1494295655.7886230946,       -2.9062500000,       -7.0961914062,       -2.6220703125,     -275.8483886719,      -45.7458496094,      191.4672851562
1494295655.7916519642,       -2.9062500000,       -7.0961914062,       -2.6220703125,     -275.8483886719,      -45.7458496094,      191.4672851562
1494295655.7943449020,       -0.5068359375,       -1.2695312500,        3.6035156250,     -104.1412353516,      -60.4248046875,      151.9622802734
1494295655.7970340252,       -0.5068359375,       -1.2695312500,        3.6035156250,     -104.1412353516,      -60.4248046875,      151.9622802734
1494295655.7997250557,       -0.5068359375,       -1.2695312500,        3.6035156250,     -153.6254882812,      -67.2302246094,      109.1308593750
1494295655.8024370670,       -0.5068359375,        2.5336914062,        1.7119140625,     -153.6254882812,      -67.2302246094,      109.1308593750
1494295655.8051280975,       -2.6909179688,        2.5336914062,        1.7119140625,     -322.9217529297,     -121.2615966797,      146.9726562500
1494295655.8078119755,       -2.6909179688,        2.5336914062,        1.7119140625,     -322.9217529297,     -121.2615966797,      146.9726562500
1494295655.8104989529,       -2.6909179688,        2.5336914062,        1.7119140625,     -159.7137451172,     -133.1787109375,      147.8271484375
1494295655.8130741119,       -4.3598632812,        1.6142578125,        4.1909179688,     -159.7137451172,     -133.1787109375,      147.8271484375
1494295655.8156170845,       -4.3598632812,        1.6142578125,        4.1909179688,       91.3543701172,     -118.2403564453,      151.8554687500
1494295655.8181641102,       -4.3598632812,        1.6142578125,        4.1909179688,       91.3543701172,     -118.2403564453,      151.8554687500
1494295655.8208448887,       -4.3598632812,        1.6142578125,        4.1909179688,       81.4666748047,     -114.6850585938,      210.0524902344
1494295655.8233919144,       -9.8305664062,       -2.1010742188,       -6.2236328125,       81.4666748047,     -114.6850585938,      210.0524902344
1494295655.8259420395,       -9.8305664062,       -2.1010742188,       -6.2236328125,      151.9165039062,       13.6108398438,      202.2399902344
1494295655.8284950256,       -9.8305664062,       -2.1010742188,       -6.2236328125,      151.9165039062,       13.6108398438,      202.2399902344
1494295655.8311920166,       -9.8305664062,       -2.1010742188,       -6.2236328125,       66.9555664062,       20.7214355469,      169.6472167969
1494295655.8338899612,        0.0351562500,        0.8520507812,       -0.7441406250,       66.9555664062,       20.7214355469,      169.6472167969
1494295655.8365759850,        0.0351562500,        0.8520507812,       -0.7441406250,     -213.7145996094,       46.8139648438,      153.1524658203
1494295655.8392610550,        0.0351562500,        0.8520507812,       -0.7441406250,     -213.7145996094,       46.8139648438,      153.1524658203
1494295655.8419508934,        0.0351562500,        0.8520507812,       -0.7441406250,     -281.8603515625,       53.2073974609,      142.3034667969
1494295655.8446390629,        1.3193359375,        1.2509765625,        0.9165039062,     -281.8603515625,       53.2073974609,      142.3034667969
1494295655.8473200798,        1.3193359375,        1.2509765625,        0.9165039062,     -243.5607910156,       23.1933593750,      118.7286376953
1494295655.8500039577,        1.3193359375,        1.2509765625,        0.9165039062,     -243.5607910156,       23.1933593750,      118.7286376953
1494295655.8526890278,        1.3193359375,        1.1259765625,        1.5151367188,     -138.1683349609,       18.4783935547,       97.1679687500
1494295655.8553678989,        1.0688476562,        1.1933593750,        1.5151367188,     -138.1683349609,       18.4783935547,       97.1679687500
1494295655.8582029343,        1.0688476562,        1.1933593750,        1.5151367188,      -32.3181152344,       11.9628906250,       82.5805664062
1494295655.8609340191,        1.0688476562,        1.1933593750,        1.5151367188,      -32.3181152344,       11.9628906250,       82.5805664062
1494295655.8636078835,        0.8720703125,        0.9775390625,        1.1884765625,       31.0821533203,      -11.7645263672,       53.7109375000
1494295655.8662879467,        0.8720703125,        0.9775390625,        1.1884765625,       31.0821533203,      -11.7645263672,       53.7109375000
1494295655.8689649105,        0.8720703125,        0.9775390625,        1.1884765625,       61.0046386719,      -29.6020507812,       21.3470458984
1494295655.8716559410,        0.8720703125,        0.9775390625,        1.1884765625,       61.0046386719,      -29.6020507812,       21.3470458984
1494295655.8743350506,       -0.5151367188,        1.3955078125,       -0.2309570312,       80.5358886719,      -29.3121337891,       -0.0305175781
1494295655.8770179749,       -0.5151367188,        1.3955078125,       -0.2309570312,       78.5369873047,      -29.3121337891,       -0.0305175781
1494295655.8796920776,       -0.5151367188,        1.3955078125,       -0.2309570312,       90.2557373047,      -17.1356201172,      -11.4593505859
1494295655.8824000359,       -0.5151367188,        1.3955078125,       -0.2309570312,       92.0410156250,      -17.1356201172,      -11.4593505859
1494295655.8850970268,       -1.3183593750,        0.5576171875,       -1.3808593750,       88.1347656250,       -2.6550292969,      -22.4304199219
1494295655.8878688812,       -1.3183593750,        0.5576171875,       -1.3808593750,       88.7756347656,       -2.6550292969,      -22.4304199219
1494295655.8905661106,       -1.3183593750,        0.5576171875,       -1.3808593750,       53.6193847656,        6.2561035156,      -27.9388427734
1494295655.8932778835,       -1.3183593750,        0.2255859375,       -0.5278320312,       52.4597167969,        6.2561035156,      -27.9388427734
1494295655.8959710598,       -1.5458984375,        0.2255859375,       -0.5278320312,        5.5847167969,        6.7596435547,      -30.1208496094
1494295655.8986630440,       -1.5458984375,        0.2255859375,       -0.5278320312,        5.7067871094,        6.7596435547,      -30.1208496094
1494295655.9013690948,       -1.5458984375,        0.2255859375,       -0.5278320312,        5.7067871094,        4.0130615234,      -32.9589843750
1494295655.9040589333,       -0.9492187500,        0.4555664062,        0.4770507812,      -20.2026367188,        4.0130615234,      -32.9589843750
1494295655.9067549706,       -0.9492187500,        0.4555664062,        0.4770507812,      -20.2026367188,        1.7395019531,      -38.2690429688
1494295655.9094541073,       -0.9492187500,        0.4555664062,        0.4770507812,      -21.5911865234,        1.7395019531,      -38.2690429688
1494295655.9121649265,       -0.9492187500,        0.4555664062,        0.4770507812,      -21.5911865234,       -1.9989013672,      -47.1801757812
1494295655.9148681164,       -0.4101562500,        0.7153320312,        0.4614257812,      -10.9863281250,       -1.9989013672,      -47.1801757812
1494295655.9175610542,       -0.4101562500,        0.7153320312,        0.4614257812,      -10.9863281250,       -4.3029785156,      -60.2569580078
1494295655.9202609062,       -0.4101562500,        0.7153320312,        0.4614257812,        4.1809082031,       -4.3029785156,      -60.2569580078
1494295655.9228479862,       -0.4101562500,        0.7153320312,        0.0864257812,        4.1809082031,       -4.3029785156,      -72.8607177734
1494295655.9254019260,       -0.4790039062,        0.7441406250,        0.0634765625,       20.4467773438,       -3.9672851562,      -72.8607177734
1494295655.9279539585,       -0.4790039062,        0.7441406250,        0.0634765625,       20.4467773438,       -3.9672851562,      -84.5794677734
1494295655.9306230545,       -0.4790039062,        0.7441406250,        0.0634765625,       34.8968505859,       -1.6174316406,      -83.0383300781
1494295655.9334259033,       -0.4790039062,        0.6191406250,       -0.0600585938,       34.8968505859,       -1.6174316406,      -90.8508300781
1494295655.9359838963,       -0.6069335938,        0.5986328125,       -0.0600585938,       45.6085205078,        1.1901855469,      -91.7053222656
1494295655.9385399818,       -0.6069335938,        0.5986328125,       -0.0600585938,       45.6085205078,        1.1901855469,      -99.5178222656
1494295655.9413490295,       -0.6069335938,        0.5986328125,       -0.0600585938,       52.7801513672,        4.5928955078,      -97.9614257812
1494295655.9439051151,       -0.7319335938,        0.4843750000,        0.1054687500,       52.7801513672,        4.5928955078,      -97.9614257812
1494295655.9464609623,       -0.6894531250,        0.4843750000,        0.1054687500,       56.2744140625,        8.4381103516,     -101.4556884766
1494295655.9490160942,       -0.6894531250,        0.4843750000,        0.1054687500,       56.2744140625,        8.4381103516,     -101.4556884766
1494295655.9517140388,       -0.6894531250,        0.4843750000,        0.1054687500,       58.0444335938,       12.4816894531,     -102.1728515625
1494295655.9543790817,       -0.8041992188,        0.3618164062,        0.2241210938,       58.0444335938,       12.4816894531,     -102.1728515625
1494295655.9571399689,       -0.8041992188,        0.3618164062,        0.2241210938,       57.7392578125,       16.3726806641,     -101.3031005859
1494295655.9606120586,       -0.8041992188,        0.3618164062,        0.2241210938,       57.7392578125,       16.3726806641,     -101.3031005859
1494295655.9632229805,       -0.8041992188,        0.3618164062,        0.2241210938,       56.6406250000,       20.2026367188,     -100.0213623047
1494295655.9657809734,       -0.8613281250,        0.2900390625,        0.2407226562,       56.6406250000,       20.2026367188,     -100.0213623047
1494295655.9683361053,       -0.8613281250,        0.2900390625,        0.2407226562,       56.3507080078,       24.4445800781,      -98.8006591797
