time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494295417.3476550579,       -1.7690429688,       -0.1596679688,        0.0874023438,     -251.5869140625,      -13.0462646484,      342.9412841797
1494295417.3547639847,       -1.6469726562,       -0.3720703125,       -0.0839843750,     -216.5222167969,      -31.1431884766,      332.6721191406
1494295417.3574619293,       -1.6469726562,       -0.3720703125,       -0.0839843750,     -216.5222167969,      -31.1431884766,      332.6721191406
1494295417.3601520061,       -1.6469726562,       -0.3720703125,       -0.0839843750,     -148.6968994141,      -27.7404785156,      309.1430664062
1494295417.3628621101,       -1.6469726562,       -0.3720703125,       -0.4746093750,     -148.6968994141,      -27.7404785156,      309.1430664062
1494295417.3655478954,       -1.6923828125,       -0.3276367188,       -0.4746093750,      -77.9418945312,      -15.1062011719,      279.6478271484
1494295417.3682420254,       -1.6923828125,       -0.3276367188,       -0.4746093750,      -77.9418945312,      -15.1062011719,      279.6478271484
1494295417.3709359169,       -1.6923828125,       -0.3276367188,       -0.4746093750,      -16.3726806641,      -11.6271972656,      251.8615722656
1494295417.3734838963,       -1.6923828125,       -0.5244140625,       -0.3291015625,      -16.3726806641,      -11.6271972656,      251.8615722656
1494295417.3760380745,       -1.3754882812,       -0.5244140625,       -0.3291015625,       32.7911376953,      -14.6331787109,      229.1107177734
1494295417.3785879612,       -1.3754882812,       -0.5244140625,       -0.3291015625,       32.7911376953,      -14.6331787109,      229.1107177734
1494295417.3811988831,       -1.3754882812,       -0.5244140625,       -0.3291015625,       68.8476562500,      -16.7999267578,      210.8001708984
1494295417.3837590218,       -1.1254882812,       -0.9770507812,       -0.0629882812,       68.8476562500,      -16.7999267578,      210.8001708984
1494295417.3863070011,       -1.2226562500,       -0.9770507812,       -0.0629882812,       92.2851562500,      -16.0064697266,      194.5953369141
1494295417.3888580799,       -1.2226562500,       -0.9770507812,       -0.0629882812,       90.1489257812,      -16.0064697266,      194.5953369141
1494295417.3915109634,       -1.2226562500,       -0.9770507812,       -0.0629882812,       90.1489257812,      -10.4675292969,      179.9774169922
1494295417.3940639496,       -1.2216796875,       -1.1860351562,        0.1103515625,       97.6867675781,      -10.4675292969,      179.9774169922
1494295417.3966150284,       -1.2216796875,       -1.1860351562,        0.1103515625,       97.6867675781,      -10.4675292969,      164.4592285156
1494295417.3991680145,       -1.2216796875,       -1.1860351562,        0.1103515625,       93.7805175781,       -2.6550292969,      164.4592285156
1494295417.4019188881,       -1.2216796875,       -1.1860351562,        0.1103515625,       93.7805175781,       -2.6550292969,      147.4304199219
1494295417.4046180248,       -1.0932617188,       -0.9282226562,        0.1928710938,       85.1593017578,       -0.4577636719,      147.4304199219
1494295417.4073081017,       -1.0932617188,       -0.9282226562,        0.1928710938,       85.1593017578,       -0.4577636719,      130.2337646484
1494295417.4100160599,       -1.0932617188,       -0.9282226562,        0.1928710938,       78.9489746094,       -4.0740966797,      130.2337646484
1494295417.4127700329,       -1.0932617188,       -0.9282226562,        0.1928710938,       78.9489746094,       -4.0740966797,      114.0136718750
1494295417.4154629707,       -1.0454101562,       -0.3769531250,        0.1528320312,       77.4993896484,       -9.9639892578,      114.0136718750
1494295417.4181630611,       -1.0454101562,       -0.3769531250,        0.1528320312,       77.4993896484,       -9.9639892578,       98.9379882812
1494295417.4209120274,       -1.0454101562,       -0.3769531250,        0.1528320312,       78.7353515625,      -15.0909423828,       98.9379882812
1494295417.4236159325,       -1.0454101562,        0.1230468750,        0.1528320312,       78.7353515625,      -15.0909423828,       82.1075439453
1494295417.4264760017,       -1.0273437500,        0.0063476562,        0.1528320312,       78.8269042969,      -17.0135498047,       82.1075439453
1494295417.4291799068,       -1.0273437500,        0.0063476562,        0.1528320312,       78.8269042969,      -17.0135498047,       60.9893798828
1494295417.4318261147,       -1.0273437500,        0.0063476562,        0.1528320312,       79.0252685547,      -15.9301757812,       60.9893798828
1494295417.4343850613,       -0.9360351562,        0.0161132812,        0.1694335938,       79.0252685547,      -15.9301757812,       33.6456298828
1494295417.4369421005,       -0.9360351562,        0.0161132812,        0.1694335938,       79.1320800781,      -11.6119384766,       34.2407226562
1494295417.4395029545,       -0.9360351562,        0.0161132812,        0.1694335938,       79.1320800781,      -11.6119384766,       34.2407226562
1494295417.4421229362,       -0.9360351562,        0.0161132812,        0.1694335938,       77.7130126953,       -6.1798095703,        4.5166015625
1494295417.4446749687,       -0.6489257812,       -0.0854492188,        0.2460937500,       77.7130126953,       -6.1798095703,        4.5166015625
1494295417.4472329617,       -0.6489257812,       -0.0854492188,        0.2460937500,       75.9124755859,       -1.0528564453,      -25.7873535156
1494295417.4497840405,       -0.6489257812,       -0.0854492188,        0.2460937500,       75.9124755859,       -1.0528564453,      -25.7873535156
1494295417.4524679184,       -0.6489257812,       -0.0854492188,        0.2460937500,       73.6846923828,        0.5645751953,      -59.3719482422
1494295417.4551639557,       -0.2817382812,       -0.1040039062,        0.2343750000,       73.6846923828,        0.5645751953,      -59.3719482422
1494295417.4579479694,       -0.2817382812,       -0.1040039062,        0.2343750000,       67.2912597656,        2.3193359375,      -98.7854003906
1494295417.4606840611,       -0.2817382812,       -0.1040039062,        0.2343750000,       67.2912597656,        2.3193359375,      -98.7854003906
1494295417.4633879662,       -0.2817382812,       -0.1040039062,        0.2343750000,       61.6607666016,        5.2795410156,     -139.2822265625
1494295417.4660880566,        0.0000000000,       -0.0332031250,        0.2246093750,       61.6607666016,        5.2795410156,     -139.2822265625
1494295417.4687919617,        0.0000000000,       -0.0332031250,        0.2246093750,       57.2509765625,        6.0882568359,     -177.6580810547
1494295417.4714949131,        0.0000000000,       -0.0332031250,        0.2246093750,       57.2509765625,        6.0882568359,     -177.6580810547
1494295417.4741959572,        0.0000000000,       -0.0332031250,        0.1728515625,       52.0477294922,        6.8817138672,     -212.2955322266
1494295417.4768919945,       -0.0698242188,       -0.0087890625,        0.1728515625,       52.0477294922,        6.8817138672,     -212.2955322266
1494295417.4795858860,       -0.0698242188,       -0.0087890625,        0.1728515625,       47.4243164062,       11.7950439453,     -242.5842285156
1494295417.4822909832,       -0.0698242188,       -0.0087890625,        0.1728515625,       47.4243164062,       11.7950439453,     -242.5842285156
1494295417.4849929810,       -0.0986328125,        0.0000000000,        0.0585937500,       47.6074218750,       17.3339843750,     -270.0958251953
1494295417.4876930714,       -0.0986328125,        0.0000000000,        0.0585937500,       47.6074218750,       17.3339843750,     -270.0958251953
1494295417.4903929234,       -0.0986328125,        0.0000000000,        0.0585937500,       48.9807128906,       20.0347900391,     -297.0733642578
1494295417.4929740429,       -0.0986328125,        0.0000000000,        0.0585937500,       48.9807128906,       20.0347900391,     -297.0733642578
1494295417.4955329895,       -0.0283203125,        0.1884765625,        0.0625000000,       47.8515625000,       18.2800292969,     -323.1201171875
1494295417.4982049465,       -0.0283203125,        0.1884765625,        0.0625000000,       47.8515625000,       18.2800292969,     -323.1201171875
1494295417.5008420944,       -0.0283203125,        0.1884765625,        0.0625000000,       45.4101562500,       13.3361816406,     -347.0001220703
1494295417.5034189224,       -0.0283203125,        0.1884765625,        0.0625000000,       45.4101562500,       13.3361816406,     -347.0001220703
1494295417.5059781075,       -0.0351562500,        0.2705078125,        0.0766601562,       41.5039062500,        6.0577392578,     -368.5455322266
1494295417.5085339546,       -0.0351562500,        0.2705078125,        0.0766601562,       42.2821044922,        6.0577392578,     -368.5455322266
1494295417.5112690926,       -0.0351562500,        0.2705078125,        0.0766601562,       38.3758544922,       -0.6561279297,     -386.2609863281
1494295417.5139648914,       -0.0351562500,        0.2705078125,        0.0766601562,       36.3922119141,       -0.6561279297,     -386.2609863281
1494295417.5166609287,       -0.1274414062,        0.1381835938,        0.0961914062,       36.3922119141,       -6.4697265625,     -400.1312255859
1494295417.5193529129,       -0.1274414062,        0.1381835938,        0.0961914062,       26.2298583984,       -6.4697265625,     -400.1312255859
1494295417.5220599174,       -0.1274414062,        0.1381835938,        0.0961914062,       26.2298583984,      -10.8795166016,     -411.8347167969
1494295417.5247600079,       -0.1274414062,       -0.0004882812,        0.0825195312,       13.0462646484,      -10.8795166016,     -411.8347167969
1494295417.5274600983,       -0.1298828125,       -0.0004882812,        0.0825195312,       13.0462646484,      -13.7023925781,     -421.5087890625
1494295417.5301499367,       -0.1298828125,       -0.0004882812,        0.0825195312,       -2.7770996094,      -13.7023925781,     -421.5087890625
1494295417.5327510834,       -0.1298828125,       -0.0004882812,        0.0825195312,       -2.7770996094,      -13.7023925781,     -429.4281005859
1494295417.5353059769,       -0.0756835938,       -0.0644531250,        0.0571289062,      -20.6298828125,      -16.3116455078,     -429.4281005859
