time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494295375.8090889454,       -0.4741210938,        0.1166992188,       -0.0478515625,      -33.1268310547,        5.3710937500,     -333.5571289062
1494295375.8147981167,       -0.4609375000,        0.1318359375,       -0.0649414062,      -33.9813232422,        6.3476562500,     -343.1854248047
1494295375.8181550503,       -0.4609375000,        0.1318359375,       -0.0649414062,      -33.9813232422,       10.2539062500,     -351.5625000000
1494295375.8209209442,       -0.4609375000,        0.1318359375,       -0.0649414062,      -35.0341796875,        7.9345703125,     -351.5625000000
1494295375.8236100674,       -0.4487304688,        0.1660156250,       -0.0737304688,      -35.0341796875,        7.9345703125,     -358.4594726562
1494295375.8262939453,       -0.4487304688,        0.1660156250,       -0.0737304688,      -38.3148193359,        8.5906982422,     -358.4594726562
1494295375.8289809227,       -0.4487304688,        0.1660156250,       -0.0737304688,      -38.3148193359,        8.5906982422,     -365.0054931641
1494295375.8316779137,       -0.4487304688,        0.1660156250,       -0.0737304688,      -42.1752929688,        9.2315673828,     -365.0054931641
1494295375.8343670368,       -0.4653320312,        0.2221679688,       -0.0424804688,      -42.1752929688,        9.2315673828,     -370.0256347656
1494295375.8370580673,       -0.4653320312,        0.2221679688,       -0.0424804688,      -45.8831787109,        9.8266601562,     -370.0256347656
1494295375.8397500515,       -0.4653320312,        0.2221679688,       -0.0424804688,      -45.8831787109,        9.8266601562,     -373.3978271484
1494295375.8423740864,       -0.4653320312,        0.2221679688,        0.0253906250,      -51.5594482422,        9.6893310547,     -373.3978271484
1494295375.8449211121,       -0.5371093750,        0.3671875000,        0.0253906250,      -51.5594482422,        9.6893310547,     -377.3040771484
1494295375.8474750519,       -0.5371093750,        0.3671875000,        0.0253906250,      -57.5103759766,        9.3688964844,     -375.5340576172
1494295375.8500230312,       -0.5371093750,        0.3671875000,        0.0253906250,      -57.5103759766,        9.3688964844,     -375.5340576172
1494295375.8526260853,       -0.5371093750,        0.6171875000,        0.1547851562,      -65.4907226562,       10.2844238281,     -376.0375976562
1494295375.8551800251,       -0.6171875000,        0.5405273438,        0.1547851562,      -65.4907226562,       10.2844238281,     -376.0375976562
1494295375.8577299118,       -0.6171875000,        0.5405273438,        0.1547851562,      -74.5086669922,       12.1154785156,     -374.0997314453
1494295375.8602819443,       -0.6171875000,        0.5405273438,        0.1547851562,      -74.5086669922,       12.1154785156,     -374.0997314453
1494295375.8631119728,       -0.6171875000,        0.7529296875,        0.2617187500,      -83.3282470703,       14.8315429688,     -368.6676025391
1494295375.8658089638,       -0.7099609375,        0.7529296875,        0.2617187500,      -83.3282470703,       14.8315429688,     -368.6676025391
1494295375.8685081005,       -0.7099609375,        0.7529296875,        0.2617187500,      -91.2475585938,       17.3797607422,     -360.2142333984
1494295375.8712201118,       -0.7099609375,        0.7529296875,        0.2617187500,      -91.2475585938,       17.3797607422,     -360.2142333984
1494295375.8739171028,       -0.8603515625,        1.0620117188,        0.3437500000,      -96.7407226562,       19.6838378906,     -349.0295410156
1494295375.8766140938,       -0.8603515625,        1.0620117188,        0.3437500000,      -96.7407226562,       19.6838378906,     -349.0295410156
1494295375.8793120384,       -0.8603515625,        1.0620117188,        0.3437500000,      -96.8170166016,       20.4467773438,     -335.2508544922
1494295375.8820240498,       -0.8603515625,        1.0620117188,        0.3437500000,      -96.8170166016,       20.4467773438,     -335.2508544922
1494295375.8847289085,       -1.0346679688,        1.5131835938,        0.4135742188,      -91.4764404297,       21.8658447266,     -319.5648193359
1494295375.8875639439,       -1.0346679688,        1.5131835938,        0.4135742188,      -91.4764404297,       21.8658447266,     -319.5648193359
1494295375.8902580738,       -1.0346679688,        1.5131835938,        0.4135742188,      -80.5969238281,       23.2391357422,     -301.6357421875
1494295375.8929638863,       -1.0346679688,        1.8881835938,        0.4565429688,      -80.5969238281,       23.2391357422,     -301.6357421875
1494295375.8956599236,       -1.1542968750,        1.9150390625,        0.4565429688,      -63.9953613281,       24.6734619141,     -281.5704345703
1494295375.8983550072,       -1.1542968750,        1.9150390625,        0.4565429688,      -63.9953613281,       24.6734619141,     -281.5704345703
1494295375.9010579586,       -1.1542968750,        1.9150390625,        0.4565429688,      -42.0684814453,       24.0936279297,     -259.4299316406
1494295375.9036169052,       -1.0292968750,        2.1005859375,        0.5844726562,      -42.0684814453,       24.0936279297,     -259.4299316406
1494295375.9061689377,       -1.1142578125,        2.1005859375,        0.5844726562,      -19.5770263672,       21.5911865234,     -234.3597412109
1494295375.9087278843,       -1.1142578125,        2.1005859375,        0.5844726562,      -19.5770263672,       21.5911865234,     -234.3597412109
1494295375.9113259315,       -1.1142578125,        2.1005859375,        0.5844726562,       -2.3956298828,       18.5852050781,     -205.9020996094
1494295375.9138789177,       -0.9340820312,        2.1621093750,        0.5874023438,       -2.3956298828,       18.5852050781,     -205.9020996094
1494295375.9164319038,       -0.9340820312,        2.1621093750,        0.5874023438,        9.3231201172,       14.4042968750,     -172.5311279297
1494295375.9190258980,       -0.9340820312,        2.1621093750,        0.5874023438,        7.9956054688,       14.4042968750,     -172.5311279297
1494295375.9216420650,       -0.9340820312,        2.1621093750,        0.5874023438,        7.9956054688,       10.4980468750,     -135.5895996094
1494295375.9243381023,       -0.8100585938,        2.2387695312,        0.5122070312,       10.7727050781,        8.6212158203,     -135.5895996094
1494295375.9270360470,       -0.8100585938,        2.2387695312,        0.5122070312,       10.7727050781,        0.8087158203,      -97.9766845703
1494295375.9297339916,       -0.8100585938,        2.2387695312,        0.5122070312,       11.9323730469,        0.1678466797,      -97.9766845703
1494295375.9324460030,       -0.8100585938,        2.2387695312,        0.5122070312,       11.9323730469,      -11.5509033203,      -61.5234375000
1494295375.9351530075,       -0.6572265625,        2.2846679688,        0.4663085938,       14.4195556641,       -9.1400146484,      -61.5234375000
1494295375.9378449917,       -0.6572265625,        2.2846679688,        0.4663085938,       14.4195556641,      -16.9525146484,      -26.8096923828
1494295375.9405438900,       -0.6572265625,        2.2846679688,        0.4663085938,       17.0898437500,      -16.9982910156,      -26.8096923828
1494295375.9432570934,       -0.6572265625,        2.2846679688,        0.2846679688,       17.0898437500,      -20.9045410156,        4.9591064453
1494295375.9459459782,       -0.4287109375,        2.2299804688,        0.2846679688,       19.3328857422,      -23.2543945312,        4.9591064453
1494295375.9486429691,       -0.4287109375,        2.2299804688,        0.2846679688,       19.3328857422,      -23.2543945312,       33.1878662109
1494295375.9513258934,       -0.4287109375,        2.2299804688,        0.2846679688,       21.1639404297,      -27.1148681641,       33.1878662109
1494295375.9538860321,       -0.3037109375,        2.0522460938,        0.1738281250,       21.1639404297,      -27.1148681641,       56.6253662109
1494295375.9564440250,       -0.2690429688,        2.0522460938,        0.1738281250,       22.8424072266,      -30.7006835938,       58.5784912109
1494295375.9591128826,       -0.2690429688,        2.0522460938,        0.1738281250,       22.8424072266,      -30.7006835938,       82.0159912109
1494295375.9618279934,       -0.2690429688,        2.0522460938,        0.1738281250,       26.0162353516,      -37.4908447266,       80.6121826172
1494295375.9643869400,       -0.3051757812,        1.9687500000,        0.0659179688,       26.0162353516,      -37.4908447266,       80.6121826172
1494295375.9669439793,       -0.3051757812,        1.9687500000,        0.0659179688,       37.7502441406,      -38.5284423828,      102.7374267578
1494295375.9695088863,       -0.3051757812,        1.9687500000,        0.0659179688,       37.7502441406,      -38.5284423828,      102.7374267578
1494295375.9723958969,       -0.3051757812,        1.9687500000,        0.0659179688,       41.7327880859,      -32.6995849609,      139.3280029297
1494295375.9749569893,       -0.7104492188,        2.5249023438,       -0.1269531250,       41.7327880859,      -32.6995849609,      139.3280029297
1494295375.9775218964,       -0.7104492188,        2.5249023438,       -0.1269531250,       26.6113281250,      -33.2641601562,      188.4002685547
1494295375.9800810814,       -0.7104492188,        2.5249023438,       -0.1269531250,       26.6113281250,      -33.2641601562,      188.4002685547
1494295375.9828829765,       -0.7104492188,        2.5249023438,       -0.1269531250,       -2.1209716797,      -42.9992675781,      254.6234130859
1494295375.9855399132,       -2.6645507812,        2.4199218750,        0.0161132812,       -2.1209716797,      -42.9992675781,      254.6234130859
1494295375.9882938862,       -2.6645507812,        2.4199218750,        0.0161132812,      -49.6520996094,      -61.7218017578,      326.8890380859
1494295375.9911110401,       -2.6645507812,        2.4199218750,        0.0161132812,      -49.6520996094,      -61.7218017578,      326.8890380859
1494295375.9938509464,       -2.6645507812,       -1.7050781250,       -1.5649414062,      -89.0350341797,      -48.1262207031,      332.8247070312
1494295375.9965488911,       -2.7529296875,       -1.6723632812,       -1.5649414062,      -89.0350341797,      -48.1262207031,      332.8247070312
1494295375.9992480278,       -2.7529296875,       -1.6723632812,       -1.5649414062,      -45.4406738281,      -29.4189453125,      261.4898681641
1494295376.0019540787,       -2.7529296875,       -1.6723632812,       -1.5649414062,      -45.4406738281,      -29.4189453125,      261.4898681641
1494295376.0046439171,       -0.1425781250,       -2.3613281250,       -0.1054687500,       36.1938476562,      -34.3475341797,      197.0062255859
1494295376.0073390007,       -0.1425781250,       -2.3613281250,       -0.1054687500,       36.1938476562,      -34.3475341797,      197.0062255859
1494295376.0100400448,       -0.1425781250,       -2.3613281250,       -0.1054687500,       33.2336425781,       -1.1901855469,      180.3894042969
1494295376.0126769543,       -0.1425781250,       -2.3613281250,       -0.1054687500,       33.2336425781,       -1.1901855469,      180.3894042969
1494295376.0152359009,        0.5815429688,        1.4174804688,        1.5942382812,      -88.5925292969,      -10.9252929688,      204.4219970703
1494295376.0177960396,        0.5815429688,        1.4174804688,        1.5942382812,      -88.5925292969,      -10.9252929688,      204.4219970703
1494295376.0203549862,        0.5815429688,        1.4174804688,        1.5942382812,     -173.6450195312,      -72.1893310547,      228.5766601562
1494295376.0229320526,        0.5815429688,        1.4174804688,        1.5942382812,     -173.6450195312,      -72.1893310547,      228.5766601562
1494295376.0254969597,        0.2597656250,        2.4492187500,        1.0942382812,     -138.4887695312,      -90.5303955078,      236.3128662109
1494295376.0280549526,        0.2597656250,        2.4492187500,        1.0942382812,     -138.4887695312,      -90.5303955078,      236.3128662109
1494295376.0306100845,        0.2597656250,        2.4492187500,        1.0942382812,     -138.4887695312,      -69.2291259766,      234.8937988281
1494295376.0332849026,        0.2597656250,        2.4492187500,        1.0942382812,      -76.3854980469,      -69.2291259766,      234.8937988281
1494295376.0358469486,       -0.6796875000,        2.2812500000,       -0.3544921875,      -76.3854980469,      -69.2291259766,      217.7886962891
1494295376.0384070873,       -0.6796875000,        2.2812500000,       -0.3544921875,       -1.0986328125,      -55.4656982422,      217.7886962891
1494295376.0410919189,       -0.6796875000,        2.2812500000,       -0.3544921875,       -1.0986328125,      -55.4656982422,      187.8662109375
1494295376.0436439514,       -0.6796875000,        2.2812500000,       -0.3544921875,       74.1424560547,      -44.7082519531,      187.8662109375
1494295376.0462028980,       -1.1499023438,        0.7202148438,       -0.3510742188,       74.1424560547,      -44.7082519531,      187.8662109375
1494295376.0487649441,       -1.1499023438,        0.7202148438,       -0.3510742188,      117.5994873047,      -21.0113525391,      178.0853271484
1494295376.0514938831,       -1.1499023438,        0.7202148438,       -0.3510742188,      117.5994873047,      -21.0113525391,      178.0853271484
1494295376.0541958809,       -1.1499023438,        0.3452148438,       -0.0048828125,       95.4895019531,       -9.8876953125,      178.7109375000
1494295376.0568909645,       -1.2407226562,        0.2617187500,       -0.0048828125,       95.4895019531,       -9.8876953125,      178.7109375000
1494295376.0595839024,       -1.2407226562,        0.2617187500,       -0.0048828125,       50.6134033203,      -13.4124755859,      165.1153564453
1494295376.0622000694,       -1.2407226562,        0.2617187500,       -0.0048828125,       50.6134033203,      -13.4124755859,      165.1153564453
1494295376.0647559166,       -0.7407226562,        0.4257812500,        0.0830078125,       19.9737548828,      -15.4418945312,      153.7475585938
1494295376.0673170090,       -0.7392578125,        0.4257812500,        0.0830078125,       19.9737548828,      -15.4418945312,      153.7475585938
1494295376.0698809624,       -0.7392578125,        0.4257812500,        0.0830078125,       -0.6713867188,       -9.6282958984,      150.8026123047
1494295376.0725619793,       -0.7392578125,        0.4257812500,        0.0830078125,       -0.6713867188,       -9.6282958984,      150.8026123047
1494295376.0752379894,       -0.4941406250,        0.5981445312,       -0.0195312500,      -18.2342529297,       -4.4250488281,      145.8282470703
1494295376.0779190063,       -0.4941406250,        0.5981445312,       -0.0195312500,      -18.2342529297,       -4.4250488281,      145.8282470703
1494295376.0805959702,       -0.4941406250,        0.5981445312,       -0.0195312500,      -26.1840820312,       -4.4555664062,      132.5225830078
1494295376.0832779408,       -0.4941406250,        0.5981445312,       -0.0195312500,      -26.1840820312,       -4.4555664062,      132.5225830078
1494295376.0859570503,       -0.5307617188,        0.9648437500,        0.3881835938,      -15.0146484375,       -7.4768066406,      117.1722412109
1494295376.0886290073,       -0.5307617188,        0.9648437500,        0.3881835938,      -15.0146484375,       -7.4768066406,      117.1722412109
1494295376.0913529396,       -0.5307617188,        0.9648437500,        0.3881835938,        9.3383789062,      -11.1999511719,      102.5848388672
1494295376.0940339565,       -0.5307617188,        0.9648437500,        0.3881835938,        9.3383789062,      -11.1999511719,      102.5848388672
1494295376.0967080593,       -0.6879882812,        1.0356445312,        0.2280273438,       33.3862304688,      -15.5487060547,       89.7979736328
1494295376.0993800163,       -0.6879882812,        1.0356445312,        0.2280273438,       33.3862304688,      -15.5487060547,       89.7979736328
1494295376.1020610332,       -0.6879882812,        1.0356445312,        0.2280273438,       51.1322021484,      -14.7857666016,       76.5533447266
1494295376.1047151089,       -0.6879882812,        0.9106445312,        0.0654296875,       51.1322021484,      -14.7857666016,       76.5533447266
1494295376.1075921059,       -0.9042968750,        0.8847656250,        0.0654296875,       54.8553466797,      -10.8032226562,       63.3239746094
1494295376.1102609634,       -0.9042968750,        0.8847656250,        0.0654296875,       54.8553466797,      -10.8032226562,       63.3239746094
1494295376.1128690243,       -0.9042968750,        0.8847656250,        0.0654296875,       59.3719482422,       -5.4931640625,       51.6357421875
1494295376.1154270172,       -0.9765625000,        0.8330078125,        0.2622070312,       59.3719482422,       -5.4931640625,       51.6357421875
1494295376.1179850101,       -0.9765625000,        0.8330078125,        0.2622070312,       63.2781982422,       -1.9989013672,       41.4886474609
1494295376.1205420494,       -0.9765625000,        0.8330078125,        0.2622070312,       63.1561279297,       -1.9989013672,       41.4886474609
1494295376.1234390736,       -0.9765625000,        0.8330078125,        0.2622070312,       58.2122802734,        1.0833740234,       32.8826904297
1494295376.1261351109,       -1.2451171875,        0.7016601562,        0.1679687500,       58.2122802734,        1.0833740234,       32.8826904297
