time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494295234.7004361153,       -0.9140625000,       -0.0512695312,       -0.1748046875,       31.0668945312,       20.7061767578,     -396.9726562500
1494295234.7148671150,       -1.0351562500,       -0.0346679688,       -0.1293945312,       21.3623046875,       18.4783935547,     -403.1524658203
1494295234.7187860012,       -1.0351562500,       -0.0346679688,       -0.1293945312,        9.6435546875,       16.2658691406,     -409.0270996094
1494295234.7217640877,       -1.0351562500,       -0.0346679688,       -0.1293945312,        9.9334716797,       16.2658691406,     -409.0270996094
1494295234.7244560719,       -1.2324218750,       -0.0141601562,       -0.1064453125,       -5.6915283203,       14.4805908203,     -414.2608642578
1494295234.7271440029,       -1.2324218750,       -0.0141601562,       -0.1064453125,       -4.5471191406,       14.4805908203,     -414.2608642578
1494295234.7298328876,       -1.2324218750,       -0.0141601562,       -0.1064453125,      -20.1721191406,       12.1917724609,     -419.2962646484
1494295234.7325670719,       -1.2324218750,       -0.0141601562,       -0.1064453125,      -22.1862792969,       12.1917724609,     -419.2962646484
1494295234.7352581024,       -1.4223632812,        0.0195312500,       -0.0644531250,      -41.7175292969,       10.0860595703,     -423.7976074219
1494295234.7379479408,       -1.4223632812,        0.0195312500,       -0.0644531250,      -40.1153564453,       10.0860595703,     -423.7976074219
1494295234.7406780720,       -1.4223632812,        0.0195312500,       -0.0644531250,      -55.7403564453,        7.7056884766,     -429.0771484375
1494295234.7432279587,       -1.4223632812,        0.0195312500,       -0.0644531250,      -57.7545166016,        7.7056884766,     -429.0771484375
1494295234.7457780838,       -1.6147460938,        0.1552734375,       -0.0444335938,      -57.7545166016,        7.7056884766,     -434.6466064453
1494295234.7483220100,       -1.6147460938,        0.1552734375,       -0.0444335938,      -75.3631591797,        4.3487548828,     -434.6466064453
1494295234.7510700226,       -1.6147460938,        0.1552734375,       -0.0444335938,      -75.3631591797,        4.3487548828,     -438.6749267578
1494295234.7536230087,       -1.6147460938,        0.1552734375,        0.0805664062,      -89.1113281250,        2.5482177734,     -438.6749267578
1494295234.7561829090,       -1.8164062500,        0.3842773438,        0.0180664062,      -89.1113281250,        2.5482177734,     -438.6749267578
1494295234.7587330341,       -1.8164062500,        0.3842773438,        0.0180664062,      -98.3886718750,        3.7994384766,     -438.8885498047
1494295234.7614738941,       -1.8164062500,        0.3842773438,        0.0180664062,      -98.3886718750,        3.7994384766,     -438.8885498047
1494295234.7641689777,       -1.8164062500,        0.5092773438,        0.0546875000,     -103.4545898438,        8.4533691406,     -434.0972900391
1494295234.7668659687,       -1.9345703125,        0.6157226562,        0.0546875000,     -103.4545898438,        8.4533691406,     -434.0972900391
1494295234.7695629597,       -1.9345703125,        0.6157226562,        0.0546875000,     -104.1717529297,       15.1672363281,     -426.0559082031
1494295234.7722709179,       -1.9345703125,        0.6157226562,        0.0546875000,     -104.1717529297,       15.1672363281,     -426.0559082031
1494295234.7749750614,       -2.0170898438,        0.9257812500,        0.1284179688,     -101.5777587891,       22.2625732422,     -416.0461425781
1494295234.7776699066,       -2.0170898438,        0.9257812500,        0.1284179688,     -101.5777587891,       22.2625732422,     -416.0461425781
1494295234.7803668976,       -2.0170898438,        0.9257812500,        0.1284179688,      -95.1232910156,       29.2816162109,     -404.0985107422
1494295234.7830750942,       -2.0170898438,        0.9257812500,        0.1284179688,      -95.1232910156,       29.2816162109,     -404.0985107422
1494295234.7857739925,       -2.0805664062,        1.2832031250,        0.2578125000,      -82.5958251953,       37.2924804688,     -387.6342773438
1494295234.7886300087,       -2.0805664062,        1.2832031250,        0.2578125000,      -82.5958251953,       37.2924804688,     -387.6342773438
1494295234.7913670540,       -2.0805664062,        1.2832031250,        0.2578125000,      -61.5386962891,       44.4183349609,     -369.5373535156
1494295234.7940649986,       -2.0805664062,        1.2832031250,        0.2578125000,      -61.5386962891,       44.4183349609,     -369.5373535156
1494295234.7967610359,       -2.0791015625,        1.4096679688,        0.2792968750,      -36.7431640625,       52.2613525391,     -348.9379882812
1494295234.7994511127,       -2.0791015625,        1.4096679688,        0.2792968750,      -36.7431640625,       52.2613525391,     -348.9379882812
1494295234.8020880222,       -2.0791015625,        1.4096679688,        0.2792968750,      -18.2342529297,       57.8613281250,     -326.8127441406
1494295234.8046441078,       -2.0791015625,        1.2846679688,        0.3652343750,      -18.2342529297,       57.8613281250,     -326.8127441406
1494295234.8072009087,       -1.9067382812,        1.3056640625,        0.3652343750,       -9.6282958984,       59.3414306641,     -304.3670654297
1494295234.8097579479,       -1.9067382812,        1.3056640625,        0.3652343750,       -9.6282958984,       59.3414306641,     -304.3670654297
1494295234.8123159409,       -1.9067382812,        1.3056640625,        0.3652343750,      -14.8010253906,       55.4656982422,     -282.7758789062
1494295234.8148720264,       -1.9067382812,        1.1396484375,        0.4443359375,      -14.8010253906,       55.4656982422,     -282.7758789062
1494295234.8175110817,       -1.6088867188,        1.1396484375,        0.4443359375,      -37.0330810547,       48.1872558594,     -261.9323730469
1494295234.8200740814,       -1.6088867188,        1.1396484375,        0.4443359375,      -37.0330810547,       48.1872558594,     -261.9323730469
1494295234.8227880001,       -1.6088867188,        1.1396484375,        0.4443359375,      -73.1964111328,       39.1235351562,     -241.5161132812
1494295234.8254880905,       -1.3354492188,        1.3540039062,        0.6171875000,      -73.1964111328,       39.1235351562,     -241.5161132812
1494295234.8281900883,       -1.3354492188,        1.3540039062,        0.6171875000,     -114.2120361328,       25.0244140625,     -222.8698730469
1494295234.8309440613,       -1.3354492188,        1.3540039062,        0.6171875000,     -114.2120361328,       25.0244140625,     -222.8698730469
1494295234.8336389065,       -1.3354492188,        1.3540039062,        0.6171875000,     -143.0206298828,        8.6975097656,     -204.9560546875
1494295234.8363420963,       -1.1772460938,        2.0991210938,        0.7802734375,     -143.0206298828,        8.6975097656,     -204.9560546875
1494295234.8390359879,       -1.1772460938,        2.0991210938,        0.7802734375,     -142.9748535156,       -3.8604736328,     -183.2580566406
1494295234.8417789936,       -1.1772460938,        2.0991210938,        0.7802734375,     -142.9748535156,       -3.8604736328,     -183.2580566406
1494295234.8444719315,       -1.1772460938,        2.0991210938,        0.6552734375,     -113.4796142578,      -10.1776123047,     -151.8402099609
1494295234.8471710682,       -1.0805664062,        2.6533203125,        0.6318359375,     -113.4796142578,      -10.1776123047,     -151.8402099609
1494295234.8498671055,       -1.0805664062,        2.6533203125,        0.6318359375,      -68.7866210938,      -11.3372802734,     -111.1755371094
1494295234.8524858952,       -1.0805664062,        2.6533203125,        0.6318359375,      -68.7866210938,      -11.3372802734,     -111.1755371094
1494295234.8550438881,       -1.0805664062,        2.5283203125,        0.3593750000,      -29.7241210938,      -13.3056640625,      -65.9484863281
1494295234.8576090336,       -1.0927734375,        2.5761718750,        0.3593750000,      -28.9154052734,      -13.3056640625,      -65.9484863281
1494295234.8602750301,       -1.0927734375,        2.5761718750,        0.3593750000,       -5.4779052734,      -17.2271728516,      -21.9726562500
1494295234.8629810810,       -1.0927734375,        2.5761718750,        0.3593750000,       -4.0588378906,      -17.2271728516,      -21.9726562500
1494295234.8655440807,       -1.0927734375,        2.2490234375,        0.3935546875,       -4.0588378906,      -17.2271728516,       19.3634033203
1494295234.8680930138,       -1.1098632812,        2.2490234375,        0.3935546875,       10.6811523438,      -17.2882080078,       19.3634033203
1494295234.8707818985,       -1.1098632812,        2.2490234375,        0.3935546875,       10.6811523438,      -17.2882080078,       60.0891113281
1494295234.8734910488,       -1.1098632812,        2.2490234375,        0.3935546875,       17.5018310547,      -17.2576904297,       60.0891113281
1494295234.8761899471,       -0.9497070312,        1.9121093750,        0.5253906250,       17.5018310547,      -17.2576904297,       98.1903076172
1494295234.8788900375,       -0.9497070312,        1.9121093750,        0.5253906250,       12.6342773438,      -20.1263427734,       98.1903076172
1494295234.8815989494,       -0.9497070312,        1.9121093750,        0.5253906250,       12.6342773438,      -20.1263427734,      133.1787109375
1494295234.8843009472,       -0.9497070312,        1.9121093750,        0.5253906250,       -6.0577392578,      -27.4047851562,      133.1787109375
1494295234.8870000839,       -0.9047851562,        1.6884765625,        0.4594726562,       -6.0577392578,      -27.4047851562,      164.7644042969
1494295234.8896939754,       -0.9047851562,        1.6884765625,        0.4594726562,      -35.2783203125,      -37.9638671875,      164.7644042969
1494295234.8923990726,       -0.9047851562,        1.6884765625,        0.4594726562,      -35.2783203125,      -37.9638671875,      190.8874511719
1494295234.8951020241,       -0.9047851562,        1.6884765625,        0.3159179688,      -64.5446777344,      -49.3164062500,      190.8874511719
1494295234.8978009224,       -0.9555664062,        1.6445312500,        0.3159179688,      -64.5446777344,      -49.3164062500,      213.1347656250
1494295234.9005050659,       -0.9555664062,        1.6445312500,        0.3159179688,      -85.7696533203,      -58.5784912109,      213.1347656250
1494295234.9030859470,       -0.9555664062,        1.6445312500,        0.3159179688,      -85.7696533203,      -58.5784912109,      213.1347656250
1494295234.9056420326,       -0.9555664062,        1.3730468750,        0.1220703125,      -96.8475341797,      -61.0961914062,      231.2316894531
1494295234.9082100391,       -1.0058593750,        1.3730468750,        0.1220703125,      -96.8475341797,      -61.0961914062,      231.2316894531
1494295234.9111270905,       -1.0058593750,        1.3730468750,        0.1220703125,     -103.3630371094,      -55.3894042969,      240.6311035156
