time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494294858.7000589371,        0.3496093750,        2.8198242188,        0.1337890625,      186.2792968750,      -73.2269287109,      104.8889160156
1494294858.7042970657,        0.3496093750,        2.8198242188,        0.1337890625,      186.2792968750,      -73.2269287109,      104.8889160156
1494294858.7068610191,        0.3496093750,        2.8198242188,        0.1337890625,      291.5802001953,      -96.8475341797,      121.7803955078
1494294858.7094159126,        0.3496093750,        2.8198242188,        0.1337890625,      291.5802001953,      -96.8475341797,      121.7803955078
1494294858.7121129036,       -3.3784179688,        9.0776367188,       11.0151367188,      490.3717041016,     -133.9263916016,      260.7574462891
1494294858.7147700787,       -3.3784179688,        9.0776367188,       11.0151367188,      490.3717041016,     -133.9263916016,      260.7574462891
1494294858.7175250053,       -3.3784179688,        9.0776367188,       11.0151367188,      219.4213867188,      118.6218261719,      485.3057861328
1494294858.7206048965,      -14.5034179688,        5.8330078125,       -8.3378906250,      219.4213867188,      118.6218261719,      485.3057861328
1494294858.7232959270,      -14.5986328125,        5.8330078125,       -8.3378906250,     -462.5854492188,      323.5321044922,      363.3117675781
1494294858.7259910107,      -14.5986328125,        5.8330078125,       -8.3378906250,     -462.5854492188,      323.5321044922,      363.3117675781
1494294858.7286798954,      -14.5986328125,        5.8330078125,       -8.3378906250,      -95.6878662109,     -335.6170654297,      134.4299316406
1494294858.7313830853,       -4.8247070312,       -4.9291992188,       -1.8081054688,      -95.6878662109,     -335.6170654297,      134.4299316406
1494294858.7340810299,       -4.8247070312,       -4.9291992188,       -1.8081054688,      457.1990966797,     -192.1997070312,      410.2172851562
1494294858.7367739677,       -4.8247070312,       -4.9291992188,       -1.8081054688,      457.1990966797,     -192.1997070312,      410.2172851562
1494294858.7394640446,       -4.8247070312,       -4.9291992188,       -1.8081054688,      423.8739013672,      -67.6422119141,      492.6147460938
1494294858.7420969009,        5.5957031250,       -0.3857421875,        2.0048828125,      423.8739013672,      -67.6422119141,      492.6147460938
1494294858.7446439266,        5.5957031250,       -0.3857421875,        2.0048828125,     -111.3433837891,       10.2691650391,      465.5303955078
1494294858.7472009659,        5.5957031250,       -0.3857421875,        2.0048828125,     -111.3433837891,       10.2691650391,      465.5303955078
1494294858.7497539520,        5.5957031250,       -0.3857421875,        2.0048828125,     -142.9901123047,      -64.0106201172,      417.5262451172
1494294858.7523279190,        1.1694335938,        1.1079101562,       -0.9580078125,     -142.9901123047,      -64.0106201172,      417.5262451172
1494294858.7548949718,        1.1694335938,        1.1079101562,       -0.9580078125,     -142.9901123047,       24.3225097656,      372.5433349609
1494294858.7574489117,        1.1694335938,        1.1079101562,       -0.9580078125,       28.2135009766,       24.3225097656,      372.5433349609
1494294858.7600069046,        1.1694335938,        1.1079101562,        0.4169921875,       28.2135009766,       24.3225097656,      388.0004882812
