time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494295052.8498489857,       -0.7133789062,       -0.0092773438,       -0.0307617188,       13.8549804688,        7.2326660156,      -43.1671142578
1494295052.8545029163,       -0.7163085938,       -0.0092773438,       -0.0307617188,       15.5334472656,        6.8206787109,      -43.1671142578
1494295052.8573310375,       -0.7163085938,       -0.0092773438,       -0.0307617188,       19.4396972656,        6.4239501953,      -42.3889160156
1494295052.8598899841,       -0.7163085938,       -0.0092773438,       -0.0307617188,       17.8833007812,        6.4239501953,      -42.3889160156
1494295052.8626990318,       -0.7080078125,       -0.0683593750,       -0.0371093750,       21.7895507812,        5.9814453125,      -41.3818359375
1494295052.8653450012,       -0.7080078125,       -0.0683593750,       -0.0371093750,       22.5067138672,        5.9814453125,      -41.3818359375
1494295052.8682470322,       -0.7080078125,       -0.0683593750,       -0.0371093750,       30.8227539062,        6.9580078125,      -39.5507812500
1494295052.8709490299,       -0.7080078125,       -0.1591796875,       -0.0737304688,       30.8227539062,        6.9580078125,      -39.5507812500
1494295052.8736360073,       -0.7089843750,       -0.1591796875,       -0.0737304688,       34.3627929688,        6.7901611328,      -39.4439697266
1494295052.8763239384,       -0.7089843750,       -0.1591796875,       -0.0737304688,       34.3627929688,        6.7901611328,      -39.4439697266
1494295052.8790121078,       -0.7089843750,       -0.1591796875,       -0.0737304688,       38.2690429688,        6.8511962891,      -35.7208251953
1494295052.8817439079,       -0.6933593750,       -0.1713867188,       -0.0893554688,       36.3769531250,        6.8511962891,      -35.7208251953
1494295052.8844270706,       -0.6933593750,       -0.1713867188,       -0.0893554688,       36.3769531250,        6.0272216797,      -32.1960449219
1494295052.8871109486,       -0.6933593750,       -0.1713867188,       -0.0893554688,       36.3159179688,        6.0272216797,      -32.1960449219
1494295052.8898000717,       -0.6933593750,       -0.1713867188,       -0.0893554688,       32.4096679688,        4.9133300781,      -29.1595458984
1494295052.8924019337,       -0.7075195312,       -0.0219726562,       -0.0292968750,       34.3017578125,        4.9133300781,      -29.1595458984
1494295052.8949460983,       -0.7075195312,       -0.0219726562,       -0.0292968750,       34.3017578125,        1.0070800781,      -24.5666503906
1494295052.8974969387,       -0.7075195312,       -0.0219726562,       -0.0292968750,       29.5562744141,        2.7313232422,      -24.5666503906
1494295052.9000380039,       -0.7075195312,       -0.0219726562,       -0.0292968750,       29.5562744141,        2.7313232422,      -20.6604003906
1494295052.9026050568,       -0.7539062500,        0.0068359375,       -0.0048828125,       30.2276611328,        0.4577636719,      -20.0042724609
1494295052.9051589966,       -0.7539062500,        0.0068359375,       -0.0048828125,       30.2276611328,        0.4577636719,      -20.0042724609
1494295052.9077119827,       -0.7539062500,        0.0068359375,       -0.0048828125,       30.5023193359,       -4.3182373047,      -15.1367187500
1494295052.9102718830,       -0.7539062500,        0.0068359375,       -0.0048828125,       30.5023193359,       -4.3182373047,      -15.1367187500
1494295052.9129838943,       -0.6474609375,       -0.1015625000,       -0.0185546875,       26.3671875000,       -8.7127685547,      -11.2457275391
1494295052.9155440331,       -0.6474609375,       -0.1015625000,       -0.0185546875,       26.3671875000,       -8.7127685547,      -11.2457275391
1494295052.9181048870,       -0.6474609375,       -0.1015625000,       -0.0185546875,       33.5083007812,      -10.0860595703,       -8.8806152344
1494295052.9207859039,       -0.6474609375,       -0.1015625000,       -0.0732421875,       33.5083007812,      -10.0860595703,       -8.8806152344
1494295052.9234859943,       -0.6269531250,       -0.1923828125,       -0.0732421875,       50.4760742188,       -0.9613037109,       -8.2855224609
1494295052.9263169765,       -0.6269531250,       -0.1923828125,       -0.0732421875,       50.4760742188,       -0.9613037109,       -8.2855224609
1494295052.9290130138,       -0.6269531250,       -0.1923828125,       -0.0732421875,       68.4661865234,        5.5999755859,       -3.4332275391
1494295052.9317500591,       -0.8769531250,       -0.1166992188,       -0.1518554688,       68.4661865234,        5.5999755859,       -3.4332275391
1494295052.9344370365,       -0.9077148438,       -0.1166992188,       -0.1518554688,       66.8334960938,        5.7373046875,       -1.2207031250
1494295052.9371280670,       -0.9077148438,       -0.1166992188,       -0.1518554688,       66.8334960938,        5.7373046875,       -1.2207031250
1494295052.9398269653,       -0.9077148438,       -0.1166992188,       -0.1518554688,       59.5703125000,        4.9133300781,        1.4495849609
1494295052.9424610138,       -0.8129882812,       -0.1186523438,       -0.1254882812,       59.5703125000,        4.9133300781,        1.4495849609
1494295052.9450170994,       -0.8129882812,       -0.1186523438,       -0.1254882812,       57.4951171875,        2.3498535156,        4.4860839844
1494295052.9475679398,       -0.8129882812,       -0.1186523438,       -0.1254882812,       57.4951171875,        2.3498535156,        4.4860839844
1494295052.9501171112,       -0.8129882812,       -0.1186523438,       -0.1254882812,       55.5114746094,        1.0375976562,        8.4991455078
1494295052.9528129101,       -0.6889648438,       -0.0961914062,       -0.0571289062,       55.5114746094,        1.0375976562,        8.4991455078
1494295052.9555070400,       -0.6889648438,       -0.0961914062,       -0.0571289062,       53.0853271484,       -0.1831054688,       13.3056640625
1494295052.9581990242,       -0.6889648438,       -0.0961914062,       -0.0571289062,       53.0853271484,       -0.1831054688,       13.3056640625
1494295052.9609410763,       -0.6889648438,       -0.0961914062,       -0.0571289062,       50.6439208984,       -0.7781982422,       17.5323486328
1494295052.9636380672,       -0.7070312500,       -0.1606445312,       -0.0395507812,       50.6439208984,       -0.7781982422,       17.5323486328
