time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494294819.1713020802,       -0.7973632812,        0.4550781250,        0.7338867188,      -91.0339355469,      135.2539062500,     -449.6307373047
1494294819.1847209930,       -0.7973632812,        0.4550781250,        0.7338867188,      -82.0770263672,      129.9896240234,     -462.3107910156
1494294819.1883680820,       -0.8515625000,        0.4184570312,        0.6074218750,      -82.0770263672,      129.9896240234,     -471.4202880859
1494294819.1912190914,       -0.8515625000,        0.4184570312,        0.6074218750,      -76.8890380859,      121.6430664062,     -471.4202880859
1494294819.1939001083,       -0.8515625000,        0.4184570312,        0.6074218750,      -76.8890380859,      121.6430664062,     -477.9663085938
1494294819.1965799332,       -0.8515625000,        0.4184570312,        0.6074218750,      -77.4078369141,      111.8011474609,     -477.9663085938
1494294819.1992559433,       -1.0083007812,        0.3374023438,        0.5776367188,      -77.4078369141,      111.8011474609,     -482.5744628906
1494294819.2019429207,       -1.0083007812,        0.3374023438,        0.5776367188,      -86.1511230469,      103.1341552734,     -482.5744628906
1494294819.2046210766,       -1.0083007812,        0.3374023438,        0.5776367188,      -86.1511230469,      103.1341552734,     -484.3292236328
1494294819.2072999477,       -1.0083007812,        0.3374023438,        0.5683593750,      -99.8687744141,       95.3521728516,     -484.3292236328
1494294819.2099800110,       -1.1518554688,        0.2832031250,        0.5683593750,      -99.8687744141,       95.3521728516,     -484.3292236328
1494294819.2125680447,       -1.1518554688,        0.2832031250,        0.5683593750,     -113.6779785156,       88.6077880859,     -484.0240478516
1494294819.2151188850,       -1.1518554688,        0.2832031250,        0.5683593750,     -113.6779785156,       88.6077880859,     -484.0240478516
1494294819.2176659107,       -1.1518554688,        0.4726562500,        0.5478515625,     -122.8942871094,       82.1228027344,     -484.2224121094
1494294819.2203230858,       -1.0825195312,        0.4726562500,        0.5478515625,     -122.8942871094,       82.1228027344,     -484.2224121094
1494294819.2230210304,       -1.0825195312,        0.4726562500,        0.5478515625,     -124.3743896484,       75.0122070312,     -485.4125976562
1494294819.2255759239,       -1.0825195312,        0.4726562500,        0.5478515625,     -124.3743896484,       75.0122070312,     -485.4125976562
1494294819.2281270027,       -1.0048828125,        0.7529296875,        0.5688476562,     -117.5994873047,       67.9626464844,     -488.7237548828
1494294819.2308189869,       -1.0048828125,        0.7529296875,        0.5688476562,     -117.5994873047,       67.9626464844,     -488.7237548828
1494294819.2335250378,       -1.0048828125,        0.7529296875,        0.5688476562,     -105.6518554688,       59.0057373047,     -491.0583496094
