time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494294969.0788819790,       -0.0922851562,        0.0781250000,       -0.1279296875,       73.1964111328,       10.0402832031,      -84.2132568359
1494294969.0848839283,       -0.1030273438,        0.0498046875,       -0.1279296875,       72.5097656250,       10.0402832031,      -84.2132568359
1494294969.0875689983,       -0.1030273438,        0.0498046875,       -0.1279296875,       75.6225585938,        7.5836181641,      -76.7517089844
1494294969.0902481079,       -0.1030273438,        0.0498046875,       -0.1279296875,       75.6225585938,        7.5836181641,      -76.7517089844
1494294969.0929400921,       -0.1074218750,        0.1694335938,       -0.1079101562,       78.5980224609,        5.1116943359,      -68.1762695312
1494294969.0956099033,       -0.1074218750,        0.1694335938,       -0.1079101562,       78.5980224609,        5.1116943359,      -68.1762695312
1494294969.0982780457,       -0.1074218750,        0.1694335938,       -0.1079101562,       79.9102783203,        3.5858154297,      -59.1735839844
1494294969.1009640694,       -0.1074218750,        0.1694335938,       -0.1079101562,       79.9102783203,        3.5858154297,      -59.1735839844
1494294969.1036100388,       -0.1137695312,        0.2788085938,       -0.0571289062,       80.7342529297,        2.9754638672,      -49.8962402344
1494294969.1062641144,       -0.1137695312,        0.2788085938,       -0.0571289062,       80.7342529297,        2.9754638672,      -49.8962402344
1494294969.1089129448,       -0.1137695312,        0.2788085938,       -0.0571289062,       80.7342529297,        3.3721923828,      -41.8853759766
1494294969.1115539074,       -0.1137695312,        0.2788085938,        0.0200195312,       80.0170898438,        3.3721923828,      -41.8853759766
1494294969.1141040325,       -0.1074218750,        0.3164062500,        0.0200195312,       80.0170898438,        7.2784423828,      -34.6069335938
1494294969.1166529655,       -0.1074218750,        0.3164062500,        0.0200195312,       77.8656005859,        4.3487548828,      -34.6069335938
1494294969.1191980839,       -0.1074218750,        0.3164062500,        0.0200195312,       77.8656005859,        4.3487548828,      -26.7639160156
1494294969.1218600273,       -0.1074218750,        0.2915039062,        0.0810546875,       73.6846923828,        4.7149658203,      -26.7639160156
1494294969.1244111061,       -0.1098632812,        0.2915039062,        0.0810546875,       73.6846923828,        4.7149658203,      -22.8576660156
1494294969.1269700527,       -0.1098632812,        0.2915039062,        0.0810546875,       67.1539306641,        4.5166015625,      -19.8516845703
1494294969.1295220852,       -0.1098632812,        0.2915039062,        0.0810546875,       67.1539306641,        4.5166015625,      -19.8516845703
1494294969.1322960854,       -0.1098632812,        0.1850585938,        0.1254882812,       56.7321777344,        4.3640136719,      -14.4958496094
1494294969.1349859238,       -0.1245117188,        0.1850585938,        0.1254882812,       56.7321777344,        4.3640136719,      -14.4958496094
1494294969.1376628876,       -0.1245117188,        0.1850585938,        0.1254882812,       43.1823730469,        4.0283203125,       -9.7351074219
1494294969.1403369904,       -0.1245117188,        0.1850585938,        0.1254882812,       43.1823730469,        4.0283203125,       -9.7351074219
1494294969.1430749893,       -0.1284179688,        0.1000976562,        0.1455078125,       28.8391113281,        3.1280517578,       -4.7302246094
1494294969.1457850933,       -0.1284179688,        0.1000976562,        0.1455078125,       28.8391113281,        3.1280517578,       -4.7302246094
1494294969.1484849453,       -0.1284179688,        0.1000976562,        0.1455078125,       13.5955810547,        2.7160644531,       -0.5187988281
1494294969.1511900425,       -0.1284179688,        0.1000976562,        0.1455078125,       13.5955810547,        2.7160644531,       -0.5187988281
1494294969.1538879871,       -0.1396484375,        0.0664062500,        0.1000976562,        0.7629394531,        3.3416748047,        2.1209716797
1494294969.1567420959,       -0.1396484375,        0.0664062500,        0.1000976562,        0.7629394531,        3.3416748047,        2.1209716797
1494294969.1594328880,       -0.1396484375,        0.0664062500,        0.1000976562,       -7.2631835938,        4.3487548828,        4.6997070312
1494294969.1620919704,       -0.1396484375,        0.0664062500,        0.0014648438,       -7.2631835938,        4.3487548828,        4.6997070312
1494294969.1646409035,       -0.0966796875,        0.0712890625,        0.0014648438,      -12.0391845703,        4.8065185547,        7.8277587891
1494294969.1671929359,       -0.0966796875,        0.0712890625,        0.0014648438,      -12.0391845703,        4.8065185547,        7.8277587891
1494294969.1697399616,       -0.0966796875,        0.0712890625,        0.0014648438,      -14.1143798828,        5.4321289062,       11.4746093750
1494294969.1723370552,       -0.0966796875,        0.1166992188,       -0.0507812500,      -14.1143798828,        5.4321289062,       11.4746093750
1494294969.1748909950,       -0.0288085938,        0.1166992188,       -0.0507812500,      -15.2740478516,        4.5013427734,       16.7388916016
1494294969.1774508953,       -0.0288085938,        0.1166992188,       -0.0507812500,      -15.2740478516,        4.5013427734,       16.7388916016
1494294969.1800010204,       -0.0288085938,        0.1166992188,       -0.0507812500,      -16.5557861328,        2.3956298828,       23.6358642578
1494294969.1826601028,       -0.0288085938,        0.1894531250,       -0.0122070312,      -16.5557861328,        2.3956298828,       23.6358642578
1494294969.1853480339,       -0.0239257812,        0.1894531250,       -0.0122070312,      -20.3399658203,       -0.2441406250,       31.8145751953
1494294969.1881289482,       -0.0239257812,        0.1894531250,       -0.0122070312,      -20.3399658203,       -0.2441406250,       31.8145751953
1494294969.1908109188,       -0.0239257812,        0.1894531250,       -0.0122070312,      -23.4527587891,       -3.0670166016,       39.4134521484
1494294969.1934959888,       -0.1030273438,        0.3105468750,        0.0517578125,      -23.4527587891,       -3.0670166016,       39.4134521484
1494294969.1961820126,       -0.1030273438,        0.3105468750,        0.0517578125,      -28.2287597656,       -3.7078857422,       48.5076904297
1494294969.1988639832,       -0.1030273438,        0.3105468750,        0.0517578125,      -28.2287597656,       -3.7078857422,       48.5076904297
1494294969.2015459538,       -0.1030273438,        0.3105468750,        0.0517578125,      -37.3229980469,       -3.3721923828,       58.6853027344
1494294969.2042059898,       -0.1630859375,        0.3627929688,        0.2529296875,      -37.3229980469,       -3.3721923828,       58.6853027344
1494294969.2068600655,       -0.1630859375,        0.3627929688,        0.2529296875,      -49.0417480469,       -2.9296875000,       67.5048828125
1494294969.2095220089,       -0.1630859375,        0.3627929688,        0.2529296875,      -49.9572753906,       -2.9296875000,       67.5048828125
1494294969.2123379707,       -0.1630859375,        0.3627929688,        0.4267578125,      -77.3010253906,       -8.2855224609,       74.5391845703
1494294969.2150299549,       -0.4252929688,        0.7177734375,        0.4267578125,      -74.6154785156,       -8.2855224609,       74.5391845703
1494294969.2177240849,       -0.4252929688,        0.7177734375,        0.4267578125,     -117.5842285156,      -18.3105468750,       86.1511230469
1494294969.2204220295,       -0.4252929688,        0.7177734375,        0.4267578125,     -120.1782226562,      -18.3105468750,       86.1511230469
1494294969.2230439186,       -0.4252929688,        4.3271484375,        2.5507812500,     -120.1782226562,      -14.1906738281,       71.7620849609
1494294969.2256031036,       -0.3759765625,        4.3271484375,        2.5507812500,      -74.6307373047,      -14.1906738281,       71.7620849609
1494294969.2282729149,       -0.3759765625,        4.3271484375,        2.5507812500,      -74.6307373047,      -14.1906738281,       32.5775146484
1494294969.2310070992,       -0.3759765625,        4.3271484375,        2.5507812500,      184.8144531250,      -11.7950439453,       32.5775146484
1494294969.2336471081,       -3.1308593750,        9.4833984375,        0.9785156250,      184.8144531250,      -11.7950439453,      180.7403564453
1494294969.2362039089,       -3.1308593750,        9.4833984375,        0.9785156250,     -184.4024658203,       46.0357666016,      180.7403564453
1494294969.2387659550,       -3.1308593750,        9.4833984375,        0.9785156250,     -184.4024658203,       46.0357666016,      301.4373779297
1494294969.2415690422,       -3.1308593750,        9.4833984375,        0.9785156250,     -442.3065185547,       -0.0610351562,      301.4373779297
1494294969.2441270351,       -4.4965820312,       -5.4018554688,       -1.1835937500,     -442.3065185547,       -0.0610351562,      293.6248779297
1494294969.2466828823,       -4.4965820312,       -5.4018554688,       -1.1835937500,      131.3934326172,     -122.2076416016,      296.8292236328
1494294969.2492399216,       -4.4965820312,       -5.4018554688,       -1.1835937500,      131.3934326172,     -122.2076416016,      296.8292236328
1494294969.2519390583,       -4.4965820312,       -5.4018554688,       -1.1835937500,      298.1872558594,      -97.6104736328,      191.2689208984
1494294969.2546060085,       -4.2119140625,       -6.0488281250,       -0.2875976562,      298.1872558594,      -97.6104736328,      191.2689208984
1494294969.2573599815,       -4.2119140625,       -6.0488281250,       -0.2875976562,      100.7080078125,      -79.3609619141,      128.0212402344
1494294969.2608850002,       -4.2119140625,       -6.0488281250,       -0.2875976562,      100.7080078125,      -79.3609619141,      188.2171630859
1494294969.2634480000,       -0.6347656250,       -3.0659179688,        0.7446289062,       -3.7536621094,      -54.2449951172,      188.2171630859
1494294969.2659959793,       -0.6347656250,       -3.0659179688,        0.7446289062,       -3.7536621094,      -54.2449951172,      192.1234130859
1494294969.2685589790,       -0.6347656250,       -3.0659179688,        0.7446289062,      -83.3129882812,      -41.8243408203,      192.9016113281
1494294969.2711811066,       -0.6347656250,       -3.0659179688,        0.7446289062,      -83.3129882812,      -41.8243408203,      192.9016113281
1494294969.2738759518,       -3.3110351562,        1.4013671875,       -0.4643554688,     -150.9246826172,      -12.9241943359,      168.8232421875
1494294969.2765710354,       -3.3110351562,        1.4013671875,       -0.4643554688,     -150.9246826172,      -12.9241943359,      168.8232421875
1494294969.2792649269,       -3.3110351562,        1.4013671875,       -0.4643554688,     -246.2768554688,      -20.7672119141,      239.0289306641
1494294969.2819790840,       -3.3110351562,        1.4013671875,       -0.4643554688,     -246.2768554688,      -20.7672119141,      239.0289306641
1494294969.2846748829,       -1.0200195312,        2.0957031250,       -1.5971679688,     -220.3826904297,      -73.0285644531,      211.5325927734
1494294969.2873659134,       -1.0200195312,        2.0957031250,       -1.5971679688,     -220.3826904297,      -73.0285644531,      211.5325927734
1494294969.2900600433,       -1.0200195312,        2.0957031250,       -1.5971679688,      -47.3480224609,      -67.1539306641,      144.4854736328
1494294969.2926590443,       -1.0200195312,        2.0957031250,       -0.8471679688,      -47.3480224609,      -67.1539306641,      144.4854736328
1494294969.2952120304,        0.3779296875,        1.1269531250,       -0.7509765625,        7.4615478516,      -24.5361328125,      115.3411865234
1494294969.2977690697,        0.3779296875,        1.1269531250,       -0.7509765625,        7.4615478516,      -24.5361328125,      115.3411865234
1494294969.3003220558,        0.3779296875,        1.1269531250,       -0.7509765625,      -49.2858886719,       28.8848876953,       94.2840576172
1494294969.3030068874,        0.3779296875,        1.1269531250,       -0.3994140625,      -49.2858886719,       28.8848876953,       94.2840576172
1494294969.3055670261,        0.4672851562,        0.5493164062,       -0.3994140625,      -75.7141113281,       43.3807373047,       81.8023681641
1494294969.3081300259,        0.4672851562,        0.5493164062,       -0.3994140625,      -75.7141113281,       43.3807373047,       81.8023681641
1494294969.3108060360,        0.4672851562,        0.5493164062,       -0.3994140625,      -89.3554687500,       37.2619628906,       71.3806152344
1494294969.3133659363,        0.4672851562,        0.5493164062,       -0.1215820312,      -89.3554687500,       37.2619628906,       71.3806152344
1494294969.3159289360,       -1.1303710938,        0.6103515625,       -0.1215820312,     -120.0256347656,       34.1644287109,       66.0552978516
1494294969.3184909821,       -1.1303710938,        0.6103515625,       -0.1215820312,     -120.0256347656,       34.1644287109,       66.0552978516
1494294969.3212020397,       -1.1303710938,        0.6103515625,       -0.1215820312,     -135.6506347656,       32.8826904297,       64.2700195312
1494294969.3239259720,       -1.8803710938,       -0.0078125000,        0.3906250000,     -136.7034912109,       32.8826904297,       64.2700195312
1494294969.3266229630,       -1.9970703125,       -0.0078125000,        0.3906250000,     -148.4222412109,       18.0511474609,       51.3458251953
1494294969.3293209076,       -1.9970703125,       -0.0078125000,        0.3906250000,     -146.6064453125,       18.0511474609,       51.3458251953
1494294969.3320319653,       -1.9970703125,       -0.0078125000,        0.3906250000,     -134.8876953125,       -3.1127929688,       43.1213378906
1494294969.3347239494,       -1.7241210938,       -0.7241210938,        0.8608398438,     -133.6212158203,       -3.1127929688,       43.1213378906
1494294969.3374180794,       -1.7241210938,       -0.7241210938,        0.8608398438,      -94.5587158203,      -15.5487060547,       47.5006103516
1494294969.3401210308,       -1.7241210938,       -0.7241210938,        0.8608398438,      -97.3510742188,      -15.5487060547,       47.5006103516
1494294969.3428270817,       -1.7241210938,       -0.7241210938,        0.8608398438,      -97.3510742188,      -18.7988281250,       54.9468994141
1494294969.3455259800,       -1.2851562500,       -0.0224609375,        0.2216796875,      -66.4367675781,      -18.7988281250,       54.9468994141
1494294969.3482279778,       -1.2851562500,       -0.0224609375,        0.2216796875,      -66.4367675781,      -19.3328857422,       58.8684082031
1494294969.3509728909,       -1.2851562500,       -0.0224609375,        0.2216796875,      -60.3027343750,      -19.3328857422,       58.8684082031
1494294969.3536760807,       -1.2851562500,        0.9775390625,       -0.3032226562,      -60.3027343750,      -12.8021240234,       54.5806884766
1494294969.3563759327,       -0.6733398438,        0.9829101562,       -0.3032226562,      -54.1839599609,      -12.8021240234,       54.5806884766
1494294969.3590710163,       -0.6733398438,        0.9829101562,       -0.3032226562,      -54.1839599609,       -3.8604736328,       43.9300537109
1494294969.3617770672,       -0.6733398438,        0.9829101562,       -0.3032226562,      -37.1398925781,       -3.8604736328,       43.9300537109
1494294969.3644759655,       -0.4223632812,        0.9975585938,       -0.3764648438,      -37.1398925781,        2.2125244141,       34.4696044922
1494294969.3671720028,       -0.4223632812,        0.9975585938,       -0.3764648438,      -24.5819091797,        2.2125244141,       34.4696044922
1494294969.3698709011,       -0.4223632812,        0.9975585938,       -0.3764648438,      -24.5819091797,       10.0250244141,       27.1453857422
1494294969.3725841045,       -0.4223632812,        0.9975585938,       -0.3764648438,      -27.4963378906,        8.0718994141,       27.1453857422
1494294969.3752799034,       -0.4672851562,        0.5410156250,       -0.0693359375,      -27.4963378906,       11.7187500000,       20.5841064453
1494294969.3781819344,       -0.4672851562,        0.5410156250,       -0.0693359375,      -36.8499755859,       11.7187500000,       20.5841064453
1494294969.3809380531,       -0.4672851562,        0.5410156250,       -0.0693359375,      -36.8499755859,       12.8784179688,       15.4876708984
1494294969.3836379051,       -0.4672851562,        0.5410156250,        0.2036132812,      -41.5191650391,       12.8784179688,       15.4876708984
1494294969.3863379955,       -0.7080078125,        0.3613281250,        0.2036132812,      -41.5191650391,       14.4805908203,       11.8408203125
1494294969.3890390396,       -0.7080078125,        0.3613281250,        0.2036132812,      -37.7655029297,       14.4805908203,       11.8408203125
1494294969.3917798996,       -0.7080078125,        0.3613281250,        0.2036132812,      -37.7655029297,       16.7999267578,        9.3536376953
1494294969.3944790363,       -0.8330078125,        0.2001953125,        0.1997070312,      -30.0903320312,       16.7999267578,        9.3536376953
1494294969.3971738815,       -0.7602539062,        0.2001953125,        0.1997070312,      -30.0903320312,       16.8304443359,        7.8430175781
1494294969.3998649120,       -0.7602539062,        0.2001953125,        0.1997070312,      -25.3295898438,       16.8304443359,        7.8430175781
1494294969.4025669098,       -0.7602539062,        0.2001953125,        0.1997070312,      -25.3295898438,       12.9241943359,        5.3100585938
1494294969.4052639008,       -0.7939453125,        0.2905273438,        0.0708007812,      -21.9268798828,       15.0146484375,        5.3100585938
1494294969.4079549313,       -0.7939453125,        0.2905273438,        0.0708007812,      -21.9268798828,       15.0146484375,        1.7089843750
1494294969.4106860161,       -0.7939453125,        0.2905273438,        0.0708007812,      -16.7236328125,       13.8702392578,        1.7089843750
1494294969.4132421017,       -0.7939453125,        0.2905273438,        0.0708007812,      -16.7236328125,       13.8702392578,       -2.5177001953
1494294969.4157919884,       -0.7236328125,        0.4697265625,       -0.0463867188,      -10.9100341797,       12.9394531250,       -2.5177001953
1494294969.4183490276,       -0.7236328125,        0.4697265625,       -0.0463867188,      -10.9100341797,       12.9394531250,       -6.4239501953
1494294969.4210569859,       -0.7236328125,        0.4697265625,       -0.0463867188,       -4.9285888672,       11.2152099609,       -7.4615478516
1494294969.4236099720,       -0.7236328125,        0.4697265625,       -0.0463867188,       -4.9285888672,       11.2152099609,       -7.4615478516
1494294969.4261639118,       -0.6943359375,        0.4414062500,       -0.1079101562,       -2.9907226562,        8.4991455078,      -11.7950439453
1494294969.4287159443,       -0.6943359375,        0.4414062500,       -0.1079101562,       -2.9907226562,        8.4991455078,      -11.7950439453
1494294969.4314498901,       -0.6943359375,        0.4414062500,       -0.1079101562,       -3.7994384766,        5.3710937500,      -14.4195556641
1494294969.4341430664,       -0.6943359375,        0.4414062500,       -0.0722656250,       -3.7994384766,        5.3710937500,      -14.4195556641
1494294969.4368360043,       -0.6777343750,        0.3134765625,       -0.0722656250,       -6.9274902344,        1.4190673828,      -14.6636962891
1494294969.4395179749,       -0.6777343750,        0.3134765625,       -0.0722656250,       -6.9274902344,        1.4190673828,      -14.6636962891
1494294969.4422159195,       -0.6777343750,        0.3134765625,       -0.0722656250,      -10.7421875000,       -1.4801025391,      -14.2669677734
1494294969.4449739456,       -0.7661132812,        0.2373046875,        0.0068359375,      -10.7421875000,       -1.4801025391,      -14.2669677734
1494294969.4475400448,       -0.7661132812,        0.2373046875,        0.0068359375,      -12.9394531250,       -3.3264160156,      -14.2669677734
1494294969.4502060413,       -0.7661132812,        0.2373046875,        0.0068359375,      -12.9394531250,       -3.3264160156,      -14.2669677734
1494294969.4529778957,       -0.7661132812,        0.2373046875,        0.0068359375,      -15.0909423828,       -5.3558349609,      -14.0838623047
1494294969.4556410313,       -0.7294921875,        0.2768554688,        0.0410156250,      -15.0909423828,       -5.3558349609,      -14.0838623047
1494294969.4584300518,       -0.7294921875,        0.2768554688,        0.0410156250,      -15.3808593750,       -8.0566406250,      -14.8925781250
1494294969.4612700939,       -0.7294921875,        0.2768554688,        0.0410156250,      -15.3808593750,       -8.0566406250,      -14.8925781250
1494294969.4638431072,       -0.7294921875,        0.2768554688,        0.0410156250,      -14.9688720703,      -10.3912353516,      -16.0675048828
1494294969.4664039612,       -0.6831054688,        0.3139648438,        0.0419921875,      -14.9688720703,      -10.3912353516,      -16.0675048828
1494294969.4689629078,       -0.6831054688,        0.3139648438,        0.0419921875,      -13.3056640625,      -12.0544433594,      -17.6696777344
1494294969.4716079235,       -0.6831054688,        0.3139648438,        0.0419921875,      -13.3056640625,      -12.0544433594,      -17.6696777344
1494294969.4743158817,       -0.6831054688,        0.3139648438,        0.0463867188,      -11.8408203125,      -13.7786865234,      -19.5922851562
1494294969.4770159721,       -0.6655273438,        0.3466796875,        0.0463867188,      -11.8408203125,      -13.7786865234,      -19.5922851562
