time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494294742.5684559345,       -0.7211914062,        0.0849609375,        0.0976562500,       86.5020751953,        6.7291259766,      -10.5133056641
1494294742.5741980076,       -0.6323242188,        0.0019531250,        0.1088867188,       90.8966064453,        5.2947998047,      -10.5133056641
1494294742.5768990517,       -0.6323242188,        0.0019531250,        0.1088867188,       90.8966064453,        5.2947998047,       -5.2490234375
1494294742.5795810223,       -0.6323242188,        0.0019531250,        0.1088867188,       89.7979736328,        8.5449218750,       -5.2490234375
1494294742.5822720528,       -0.6323242188,        0.0019531250,        0.1088867188,       89.7979736328,        8.5449218750,        0.7324218750
1494294742.5849568844,       -0.5776367188,        0.0722656250,        0.0620117188,       84.2285156250,       10.2081298828,        0.7324218750
1494294742.5876419544,       -0.5776367188,        0.0722656250,        0.0620117188,       84.2285156250,       10.2081298828,        6.0577392578
1494294742.5903239250,       -0.5776367188,        0.0722656250,        0.0620117188,       78.1555175781,       10.3149414062,        6.0577392578
1494294742.5930209160,       -0.5776367188,        0.0722656250,        0.0620117188,       78.1555175781,       10.3149414062,       10.5438232422
1494294742.5957090855,       -0.5625000000,        0.2509765625,        0.0576171875,       73.7457275391,       10.4827880859,       10.5438232422
1494294742.5983989239,       -0.5625000000,        0.2509765625,        0.0576171875,       73.7457275391,       10.4827880859,       15.1367187500
1494294742.6011159420,       -0.5625000000,        0.2509765625,        0.0576171875,       65.2923583984,       11.1541748047,       15.1367187500
1494294742.6036651134,       -0.5625000000,        0.2509765625,       -0.0073242188,       65.2923583984,       11.1541748047,       15.1367187500
1494294742.6062159538,       -0.5776367188,        0.3740234375,       -0.0073242188,       53.6804199219,       13.2598876953,       20.3857421875
1494294742.6087710857,       -0.5776367188,        0.3740234375,       -0.0073242188,       53.6804199219,       13.2598876953,       20.3857421875
1494294742.6114840508,       -0.5776367188,        0.3740234375,       -0.0073242188,       45.5322265625,       13.3361816406,       28.8391113281
1494294742.6140298843,       -0.4526367188,        0.2846679688,        0.0292968750,       45.5322265625,       13.3361816406,       28.8391113281
1494294742.6165781021,       -0.5000000000,        0.2846679688,        0.0292968750,       38.4368896484,       14.3127441406,       37.3840332031
1494294742.6191320419,       -0.5000000000,        0.2846679688,        0.0292968750,       38.4368896484,       14.3127441406,       37.3840332031
1494294742.6218938828,       -0.5000000000,        0.2846679688,        0.0292968750,       24.2309570312,       12.3901367188,       48.9044189453
1494294742.6245899200,       -0.4833984375,        0.1083984375,        0.1025390625,       24.2309570312,       12.3901367188,       48.9044189453
1494294742.6272869110,       -0.4833984375,        0.1083984375,        0.1025390625,        6.5307617188,       11.8713378906,       63.0645751953
1494294742.6299829483,       -0.4833984375,        0.1083984375,        0.1025390625,        6.5307617188,       11.8713378906,       63.0645751953
1494294742.6326820850,       -0.4833984375,        0.1083984375,        0.1025390625,       -2.5329589844,       15.6097412109,       78.3843994141
1494294742.6353759766,       -0.5019531250,        0.0361328125,        0.0737304688,       -2.5329589844,       15.6097412109,       78.3843994141
1494294742.6380679607,       -0.5019531250,        0.0361328125,        0.0737304688,       -6.8359375000,       19.4549560547,       91.9494628906
1494294742.6407670975,       -0.5019531250,        0.0361328125,        0.0737304688,       -6.8359375000,       19.4549560547,       91.9494628906
1494294742.6434590816,       -0.5019531250,        0.0361328125,        0.0737304688,      -17.9901123047,       21.1486816406,      102.6458740234
1494294742.6463170052,       -0.4599609375,        0.0073242188,        0.0869140625,      -17.9901123047,       21.1486816406,      102.6458740234
1494294742.6490199566,       -0.4599609375,        0.0073242188,        0.0869140625,      -30.3802490234,       21.1029052734,      115.4022216797
1494294742.6517679691,       -0.4599609375,        0.0073242188,        0.0869140625,      -30.3802490234,       21.1029052734,      115.4022216797
1494294742.6544671059,       -0.4599609375,        0.0395507812,        0.0200195312,      -37.0025634766,       20.0805664062,      128.7231445312
1494294742.6571600437,       -0.4799804688,        0.0395507812,        0.0200195312,      -37.0025634766,       20.0805664062,      128.7231445312
1494294742.6598548889,       -0.4799804688,        0.0395507812,        0.0200195312,      -37.5823974609,       17.2424316406,      138.4582519531
1494294742.6624710560,       -0.4799804688,        0.0395507812,        0.0200195312,      -37.5823974609,       17.2424316406,      138.4582519531
1494294742.6650230885,       -0.5156250000,        0.1171875000,       -0.0156250000,      -32.6995849609,       13.6260986328,      144.8059082031
1494294742.6675870419,       -0.5156250000,        0.1171875000,       -0.0156250000,      -32.6995849609,       13.6260986328,      144.8059082031
1494294742.6701450348,       -0.5156250000,        0.1171875000,       -0.0156250000,      -24.0325927734,        9.7961425781,      149.2614746094
1494294742.6727080345,       -0.5156250000,        0.1171875000,       -0.0156250000,      -24.0325927734,        9.7961425781,      149.2614746094
1494294742.6752519608,       -0.6259765625,        0.1210937500,       -0.0244140625,      -24.0325927734,        6.1798095703,      153.1219482422
1494294742.6778628826,       -0.6259765625,        0.1210937500,       -0.0244140625,      -13.2904052734,        6.1798095703,      153.1219482422
1494294742.6804139614,       -0.6259765625,        0.1210937500,       -0.0244140625,      -13.2904052734,        2.2735595703,      157.1350097656
1494294742.6831130981,       -0.6259765625,        0.1210937500,       -0.0244140625,       -3.6621093750,        2.4566650391,      157.1350097656
1494294742.6858038902,       -0.7055664062,        0.1166992188,       -0.0112304688,       -3.6621093750,       -1.4495849609,      160.0341796875
1494294742.6884970665,       -0.7055664062,        0.1166992188,       -0.0112304688,        4.7912597656,       -0.0457763672,      160.0341796875
1494294742.6912009716,       -0.7055664062,        0.1166992188,       -0.0112304688,        4.7912597656,       -0.0457763672,      163.3300781250
1494294742.6938951015,       -0.7055664062,        0.1166992188,        0.1137695312,       14.1143798828,       -4.3487548828,      163.3300781250
1494294742.6965939999,       -0.7739257812,        0.1284179688,        0.0190429688,       14.1143798828,       -4.3487548828,      166.6412353516
1494294742.6992869377,       -0.7739257812,        0.1284179688,        0.0190429688,       23.7426757812,       -8.5449218750,      166.6412353516
1494294742.7019920349,       -0.7739257812,        0.1284179688,        0.0190429688,       23.7426757812,       -8.5449218750,      169.9371337891
1494294742.7046918869,       -0.7739257812,        0.1127929688,        0.0786132812,       30.5328369141,      -11.6577148438,      169.9371337891
1494294742.7073891163,       -0.8818359375,        0.1127929688,        0.0786132812,       30.5328369141,      -11.6577148438,      172.9278564453
1494294742.7100849152,       -0.8818359375,        0.1127929688,        0.0786132812,       34.7137451172,      -12.1307373047,      172.9278564453
1494294742.7126989365,       -0.8818359375,        0.1127929688,        0.0786132812,       34.7137451172,      -12.1307373047,      172.9278564453
1494294742.7152578831,       -1.0209960938,        0.1137695312,        0.1826171875,       35.4766845703,      -10.6506347656,      175.4913330078
1494294742.7179319859,       -1.0209960938,        0.1137695312,        0.1826171875,       35.4766845703,      -10.6506347656,      175.4913330078
1494294742.7204909325,       -1.0209960938,        0.1137695312,        0.1826171875,       31.6467285156,       -7.2784423828,      178.4210205078
1494294742.7232570648,       -1.0209960938,        0.1137695312,        0.1826171875,       31.6467285156,       -7.2784423828,      178.4210205078
1494294742.7258129120,       -1.2109375000,        0.1894531250,        0.2851562500,       25.6958007812,       -2.1209716797,      180.4962158203
1494294742.7283658981,       -1.2109375000,        0.1894531250,        0.2851562500,       25.6958007812,       -2.1209716797,      180.4962158203
1494294742.7311611176,       -1.2109375000,        0.1894531250,        0.2851562500,       18.2952880859,        2.1820068359,      181.3812255859
1494294742.7337200642,       -1.2109375000,        0.1894531250,        0.2851562500,       18.2952880859,        2.1820068359,      181.3812255859
1494294742.7362730503,       -1.3037109375,        0.2451171875,        0.3735351562,       11.2762451172,        1.7700195312,      177.4749755859
1494294742.7388279438,       -1.3037109375,        0.2451171875,        0.3735351562,       11.2762451172,        1.7700195312,      177.4749755859
1494294742.7415299416,       -1.3037109375,        0.2451171875,        0.3735351562,       16.3879394531,        0.3356933594,      167.0532226562
1494294742.7441890240,       -1.3037109375,        0.2451171875,        0.3735351562,       16.3879394531,        0.3356933594,      167.0532226562
1494294742.7469940186,       -1.4008789062,        0.2695312500,        0.5166015625,       14.5416259766,       -9.4451904297,      158.5388183594
1494294742.7504661083,       -1.4008789062,        0.2695312500,        0.5166015625,       14.5416259766,       -9.4451904297,      158.5388183594
1494294742.7531790733,       -1.4008789062,        0.2695312500,        0.5166015625,        7.6904296875,      -19.4702148438,      149.2156982422
1494294742.7558779716,       -1.9125976562,       -0.0034179688,        0.4858398438,        7.6904296875,      -19.4702148438,      149.2156982422
1494294742.7585759163,       -1.9125976562,       -0.0034179688,        0.4858398438,       10.3302001953,      -11.8560791016,      132.2174072266
1494294742.7612850666,       -1.9125976562,       -0.0034179688,        0.4858398438,       10.3302001953,      -11.8560791016,      132.2174072266
1494294742.7639880180,       -1.9125976562,       -0.0034179688,        0.4858398438,       17.8985595703,       -2.5329589844,      113.6627197266
1494294742.7666819096,       -1.7583007812,       -0.3071289062,        0.3662109375,       17.8985595703,       -2.5329589844,      113.6627197266
1494294742.7693769932,       -1.7583007812,       -0.3071289062,        0.3662109375,       26.3061523438,        0.2136230469,      102.8289794922
1494294742.7720050812,       -1.7583007812,       -0.3071289062,        0.3662109375,       26.3061523438,        0.2136230469,      102.8289794922
1494294742.7745630741,       -1.7583007812,       -0.3071289062,        0.2412109375,       20.9045410156,        1.6326904297,       97.0611572266
1494294742.7771210670,       -1.1870117188,       -0.5405273438,        0.2011718750,       20.9045410156,        1.6326904297,       97.0611572266
1494294742.7796781063,       -1.1870117188,       -0.5405273438,        0.2011718750,       11.5051269531,       -0.5035400391,       90.4388427734
1494294742.7823050022,       -1.1870117188,       -0.5405273438,        0.2011718750,       11.5051269531,       -0.5035400391,       90.4388427734
1494294742.7848560810,       -1.1870117188,       -0.5405273438,        0.1420898438,       12.2375488281,       -4.4097900391,       81.1462402344
1494294742.7874090672,       -0.8051757812,       -0.4189453125,        0.1420898438,       12.2375488281,       -4.4097900391,       81.1462402344
1494294742.7899661064,       -0.8051757812,       -0.4189453125,        0.1420898438,       19.2108154297,       -6.4849853516,       71.2738037109
