time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494294691.5884099007,       -1.7026367188,       -0.3339843750,        0.6967773438,       16.4794921875,       16.2048339844,      147.6440429688
1494294691.5948688984,       -1.7026367188,       -0.3339843750,        0.6967773438,       22.6898193359,       16.2048339844,      147.6440429688
1494294691.5975461006,       -0.3256835938,       -0.5156250000,        0.5205078125,      -33.1573486328,       -9.0332031250,       92.6208496094
1494294691.6001050472,       -0.3256835938,       -0.5156250000,        0.5205078125,      -33.1573486328,       -9.0332031250,       92.6208496094
1494294691.6029551029,       -0.3256835938,       -0.5156250000,        0.5205078125,     -132.9803466797,      -29.1900634766,       73.0285644531
1494294691.6056089401,       -0.3256835938,       -0.5156250000,        0.2705078125,     -132.9803466797,      -29.1900634766,       73.0285644531
1494294691.6085278988,       -1.4541015625,       -1.0141601562,        0.3735351562,     -219.1467285156,      -13.9465332031,       36.3464355469
1494294691.6112279892,       -1.4541015625,       -1.0141601562,        0.3735351562,     -219.1467285156,      -13.9465332031,       36.3464355469
1494294691.6139190197,       -1.4541015625,       -1.0141601562,        0.3735351562,     -230.2703857422,        9.6893310547,      -20.2789306641
1494294691.6166079044,       -1.4541015625,       -1.4536132812,        0.1596679688,     -230.2703857422,        9.6893310547,      -20.2789306641
1494294691.6192979813,       -1.3413085938,       -1.4536132812,        0.1596679688,     -181.7626953125,        5.0048828125,      -35.2020263672
1494294691.6219949722,       -1.3413085938,       -1.4536132812,        0.1596679688,     -181.7626953125,        5.0048828125,      -35.2020263672
1494294691.6246800423,       -1.3413085938,       -1.4536132812,        0.1596679688,     -156.6619873047,        3.0822753906,      -24.2614746094
1494294691.6273629665,       -0.5883789062,       -0.9443359375,        0.1533203125,     -156.6619873047,        3.0822753906,      -24.2614746094
1494294691.6300520897,       -0.5883789062,       -0.9443359375,        0.1533203125,     -156.6619873047,        4.0893554688,      -25.4211425781
1494294691.6327590942,       -0.5883789062,       -0.9443359375,        0.1533203125,     -159.0728759766,        4.0893554688,      -25.4211425781
1494294691.6354529858,       -0.5883789062,       -0.9443359375,        0.1533203125,     -166.8853759766,        7.4615478516,      -46.9512939453
1494294691.6381399632,       -0.4262695312,       -0.2626953125,        0.1582031250,     -166.7022705078,        7.4615478516,      -46.9512939453
1494294691.6408181190,       -0.4262695312,       -0.2626953125,        0.1582031250,     -166.7022705078,       12.7563476562,      -81.4208984375
1494294691.6433849335,       -0.4262695312,       -0.2626953125,        0.1582031250,     -166.3360595703,       12.7563476562,      -81.4208984375
1494294691.6459419727,       -0.4262695312,       -0.2626953125,        0.1582031250,     -166.3360595703,       12.7563476562,     -121.7498779297
1494294691.6484949589,       -0.3955078125,       -0.1088867188,        0.1259765625,     -151.9775390625,       16.4794921875,     -121.7498779297
1494294691.6511259079,       -0.3955078125,       -0.1088867188,        0.1259765625,     -151.9775390625,       16.4794921875,     -160.8123779297
1494294691.6536839008,       -0.3955078125,       -0.1088867188,        0.1259765625,     -128.3721923828,       19.6533203125,     -163.0706787109
1494294691.6562399864,       -0.3955078125,       -0.1088867188,        0.0009765625,     -128.3721923828,       19.6533203125,     -163.0706787109
1494294691.6587951183,       -0.4077148438,       -0.3232421875,        0.0229492188,     -105.4077148438,       24.2614746094,     -198.1964111328
1494294691.6615219116,       -0.4077148438,       -0.3232421875,        0.0229492188,     -105.4077148438,       24.2614746094,     -198.1964111328
1494294691.6642239094,       -0.4077148438,       -0.3232421875,        0.0229492188,      -89.5233154297,       31.6467285156,     -225.1892089844
1494294691.6670739651,       -0.4077148438,       -0.5708007812,       -0.0488281250,      -89.5233154297,       31.6467285156,     -225.1892089844
1494294691.6697719097,       -0.2734375000,       -0.5708007812,       -0.0488281250,      -79.1015625000,       37.3687744141,     -245.2850341797
1494294691.6724770069,       -0.2734375000,       -0.5708007812,       -0.0488281250,      -79.1015625000,       37.3687744141,     -245.2850341797
1494294691.6751759052,       -0.2734375000,       -0.5708007812,       -0.0488281250,      -73.8525390625,       38.0096435547,     -260.7269287109
1494294691.6778719425,       -0.2451171875,       -0.6245117188,       -0.0527343750,      -73.8525390625,       38.0096435547,     -260.7269287109
1494294691.6805720329,       -0.2451171875,       -0.6245117188,       -0.0527343750,      -73.8677978516,       37.4450683594,     -274.4293212891
1494294691.6831429005,       -0.2451171875,       -0.6245117188,       -0.0527343750,      -73.8677978516,       37.4450683594,     -274.4293212891
1494294691.6856980324,       -0.2451171875,       -0.6245117188,       -0.0527343750,      -74.0051269531,       37.8875732422,     -287.2009277344
1494294691.6882560253,       -0.3881835938,       -0.4790039062,       -0.0664062500,      -74.0051269531,       37.8875732422,     -287.2009277344
1494294691.6908199787,       -0.3881835938,       -0.4790039062,       -0.0664062500,      -74.2645263672,       40.9240722656,     -298.8128662109
1494294691.6935219765,       -0.3881835938,       -0.4790039062,       -0.0664062500,      -74.2645263672,       40.9240722656,     -298.8128662109
1494294691.6962211132,       -0.3881835938,       -0.4790039062,       -0.0664062500,      -71.5942382812,       43.5028076172,     -306.4575195312
1494294691.6989209652,       -0.5170898438,       -0.2719726562,       -0.1342773438,      -71.5942382812,       43.5028076172,     -306.4575195312
1494294691.7016329765,       -0.5170898438,       -0.2719726562,       -0.1342773438,      -63.4460449219,       45.4864501953,     -312.4237060547
1494294691.7043290138,       -0.5170898438,       -0.2719726562,       -0.1342773438,      -63.4460449219,       45.4864501953,     -312.4237060547
1494294691.7070291042,       -0.5170898438,       -0.2719726562,       -0.1738281250,      -54.1687011719,       47.3480224609,     -320.0225830078
1494294691.7097249031,       -0.6367187500,       -0.0874023438,       -0.1738281250,      -54.1687011719,       47.3480224609,     -320.0225830078
1494294691.7124300003,       -0.6367187500,       -0.0874023438,       -0.1738281250,      -45.4559326172,       50.6591796875,     -329.2846679688
1494294691.7151288986,       -0.6367187500,       -0.0874023438,       -0.1738281250,      -45.4559326172,       50.6591796875,     -329.2846679688
1494294691.7179250717,       -0.7495117188,        0.0468750000,       -0.2138671875,      -36.5600585938,       55.1757812500,     -339.2333984375
1494294691.7206270695,       -0.7495117188,        0.0468750000,       -0.2138671875,      -36.5600585938,       55.1757812500,     -339.2333984375
1494294691.7232429981,       -0.7495117188,        0.0468750000,       -0.2138671875,      -28.3355712891,       59.2041015625,     -347.8240966797
1494294691.7258059978,       -0.7495117188,        0.0468750000,       -0.2138671875,      -28.3355712891,       59.2041015625,     -347.8240966797
1494294691.7283699512,       -0.8403320312,        0.1259765625,       -0.2646484375,      -23.3459472656,       61.5844726562,     -356.8115234375
1494294691.7309789658,       -0.8403320312,        0.1259765625,       -0.2646484375,      -23.3459472656,       61.5844726562,     -356.8115234375
1494294691.7336759567,       -0.8403320312,        0.1259765625,       -0.2646484375,      -21.9268798828,       63.9953613281,     -364.2120361328
1494294691.7363750935,       -0.8403320312,        0.1259765625,       -0.2646484375,      -21.9268798828,       63.9953613281,     -364.2120361328
1494294691.7391920090,       -0.9658203125,        0.1250000000,       -0.2807617188,      -23.8189697266,       66.1773681641,     -370.9564208984
1494294691.7418940067,       -0.9658203125,        0.1250000000,       -0.2807617188,      -23.8189697266,       66.1773681641,     -370.9564208984
1494294691.7446000576,       -0.9658203125,        0.1250000000,       -0.2807617188,      -26.2145996094,       67.8405761719,     -379.8675537109
1494294691.7473011017,       -0.9658203125,        0.1250000000,       -0.2460937500,      -26.2145996094,       67.8405761719,     -379.8675537109
1494294691.7500069141,       -1.1113281250,        0.1411132812,       -0.2460937500,      -29.5104980469,       68.9544677734,     -387.9089355469
1494294691.7526481152,       -1.1113281250,        0.1411132812,       -0.2460937500,      -29.5104980469,       68.9544677734,     -387.9089355469
1494294691.7552130222,       -1.1113281250,        0.1411132812,       -0.2460937500,      -33.4167480469,       71.0449218750,     -395.1416015625
1494294691.7577760220,       -1.1113281250,        0.1943359375,       -0.1928710938,      -32.0892333984,       71.0449218750,     -395.1416015625
1494294691.7603359222,       -1.3100585938,        0.1943359375,       -0.1928710938,      -32.0892333984,       71.0449218750,     -402.0996093750
1494294691.7629940510,       -1.3100585938,        0.1943359375,       -0.1928710938,      -32.5622558594,       73.9288330078,     -402.0996093750
1494294691.7655580044,       -1.3100585938,        0.1943359375,       -0.1928710938,      -32.5622558594,       73.9288330078,     -407.2723388672
1494294691.7681150436,       -1.4350585938,        0.1967773438,       -0.1342773438,      -32.6690673828,       75.3479003906,     -407.2723388672
1494294691.7707929611,       -1.4116210938,        0.1967773438,       -0.1342773438,      -32.6690673828,       75.3479003906,     -411.1785888672
1494294691.7733559608,       -1.4116210938,        0.1967773438,       -0.1342773438,      -33.7829589844,       74.1119384766,     -410.5529785156
1494294691.7759160995,       -1.4116210938,        0.1967773438,       -0.1342773438,      -33.7829589844,       74.1119384766,     -410.5529785156
1494294691.7784759998,       -1.5761718750,        0.1806640625,       -0.0292968750,      -37.0178222656,       71.9757080078,     -412.5213623047
1494294691.7811191082,       -1.5761718750,        0.1806640625,       -0.0292968750,      -37.0178222656,       71.9757080078,     -412.5213623047
1494294691.7838220596,       -1.5761718750,        0.1806640625,       -0.0292968750,      -43.4875488281,       69.1680908203,     -412.4145507812
1494294691.7865281105,       -1.5761718750,        0.1806640625,       -0.0292968750,      -43.4875488281,       69.1680908203,     -412.4145507812
1494294691.7892229557,       -1.7954101562,        0.2055664062,        0.1137695312,      -54.1534423828,       65.1550292969,     -410.2325439453
1494294691.7919659615,       -1.7954101562,        0.2055664062,        0.1137695312,      -54.1534423828,       65.1550292969,     -410.2325439453
1494294691.7946600914,       -1.7954101562,        0.2055664062,        0.1137695312,      -68.7866210938,       60.0891113281,     -407.3944091797
1494294691.7973608971,       -1.7954101562,        0.2055664062,        0.2387695312,      -68.7866210938,       60.0891113281,     -407.3944091797
1494294691.8000679016,       -1.9614257812,        0.2436523438,        0.2358398438,      -85.8764648438,       54.6417236328,     -403.7933349609
1494294691.8027789593,       -1.9614257812,        0.2436523438,        0.2358398438,      -85.8764648438,       54.6417236328,     -403.7933349609
1494294691.8054769039,       -1.9614257812,        0.2436523438,        0.2358398438,     -104.4769287109,       48.1262207031,     -396.3012695312
1494294691.8081800938,       -1.9614257812,        0.3261718750,        0.4482421875,     -104.4769287109,       48.1262207031,     -396.3012695312
1494294691.8109281063,       -2.1030273438,        0.3261718750,        0.4482421875,     -125.6866455078,       39.4287109375,     -386.4593505859
1494294691.8137450218,       -2.1030273438,        0.3261718750,        0.4482421875,     -125.6866455078,       39.4287109375,     -386.4593505859
1494294691.8164460659,       -2.1030273438,        0.3261718750,        0.4482421875,     -123.8708496094,       36.7736816406,     -373.7335205078
1494294691.8191480637,       -2.3647460938,        1.0327148438,        0.3994140625,     -123.8708496094,       36.7736816406,     -373.7335205078
1494294691.8218119144,       -2.3647460938,        1.0327148438,        0.3994140625,     -105.9112548828,       57.6629638672,     -356.5979003906
1494294691.8243710995,       -2.3647460938,        1.0327148438,        0.3994140625,     -105.9112548828,       57.6629638672,     -356.5979003906
1494294691.8269290924,       -2.3647460938,        1.0327148438,        0.3994140625,     -111.2365722656,       54.0161132812,     -342.6055908203
1494294691.8294920921,       -2.1142578125,        1.5576171875,        0.1416015625,     -111.2365722656,       54.0161132812,     -342.6055908203
1494294691.8323199749,       -2.1142578125,        1.5576171875,        0.1416015625,     -125.3204345703,       45.2270507812,     -330.2459716797
1494294691.8348829746,       -2.1142578125,        1.5576171875,        0.1416015625,     -125.3204345703,       45.2270507812,     -330.2459716797
1494294691.8374459743,       -2.1142578125,        1.5576171875,        0.1416015625,     -144.2565917969,       46.1578369141,     -308.9447021484
1494294691.8400061131,       -2.0971679688,        1.5585937500,        0.2583007812,     -144.2565917969,       46.1578369141,     -308.9447021484
1494294691.8427491188,       -2.0971679688,        1.5585937500,        0.2583007812,     -173.3703613281,       50.0030517578,     -284.0270996094
1494294691.8454070091,       -2.0971679688,        1.5585937500,        0.2583007812,     -173.3703613281,       50.0030517578,     -284.0270996094
1494294691.8481619358,       -2.0971679688,        1.5585937500,        0.7714843750,     -210.5255126953,       53.3294677734,     -257.1258544922
1494294691.8509650230,       -1.6875000000,        1.4453125000,        0.7714843750,     -210.5255126953,       53.3294677734,     -257.1258544922
1494294691.8536798954,       -1.6875000000,        1.4453125000,        0.7714843750,     -244.1864013672,       50.2929687500,     -225.6317138672
1494294691.8563749790,       -1.6875000000,        1.4453125000,        0.7714843750,     -244.1864013672,       50.2929687500,     -225.6317138672
1494294691.8590700626,       -1.2133789062,        2.2026367188,        1.3046875000,     -259.4299316406,       48.0041503906,     -194.5648193359
1494294691.8617269993,       -1.2133789062,        2.2026367188,        1.3046875000,     -259.4299316406,       48.0041503906,     -194.5648193359
1494294691.8642809391,       -1.2133789062,        2.2026367188,        1.3046875000,     -251.8463134766,       42.1142578125,     -161.4379882812
1494294691.8668310642,       -1.2133789062,        2.2026367188,        1.3046875000,     -251.8463134766,       42.1142578125,     -161.4379882812
1494294691.8693799973,       -0.4975585938,        3.4721679688,        1.0693359375,     -251.8463134766,       25.4058837891,     -123.9166259766
1494294691.8720059395,       -0.4975585938,        3.4721679688,        1.0693359375,     -223.9227294922,       25.4058837891,     -123.9166259766
1494294691.8747019768,       -0.4975585938,        3.4721679688,        1.0693359375,     -223.9227294922,        5.8746337891,      -77.7130126953
1494294691.8773939610,       -0.4975585938,        3.4721679688,        1.0693359375,     -177.9937744141,        4.2724609375,      -77.7130126953
1494294691.8800859451,       -0.2758789062,        4.0039062500,        0.9873046875,     -177.9937744141,      -15.2587890625,      -25.7110595703
1494294691.8826899529,       -0.2758789062,        4.0039062500,        0.9873046875,     -123.4436035156,      -13.5955810547,      -25.7110595703
1494294691.8852429390,       -0.2758789062,        4.0039062500,        0.9873046875,     -123.4436035156,      -13.5955810547,       20.7061767578
1494294691.8879120350,       -0.2758789062,        4.0039062500,        0.9873046875,      -76.4465332031,      -26.7944335938,       20.7061767578
1494294691.8904750347,       -0.4443359375,        3.4482421875,        1.1865234375,      -76.4465332031,      -26.7944335938,       55.8624267578
1494294691.8930981159,       -0.4443359375,        3.4482421875,        1.1865234375,      -50.8422851562,      -32.2875976562,       55.0994873047
1494294691.8956539631,       -0.4443359375,        3.4482421875,        1.1865234375,      -50.8422851562,      -32.2875976562,       55.0994873047
1494294691.8982059956,       -0.4443359375,        3.4482421875,        1.1865234375,      -49.8809814453,      -26.8249511719,       89.5080566406
1494294691.9008400440,       -0.7221679688,        3.2011718750,        1.1411132812,      -49.8809814453,      -26.8249511719,       89.5080566406
1494294691.9034080505,       -0.7221679688,        3.2011718750,        1.1411132812,      -46.3409423828,      -21.2707519531,      115.7684326172
1494294691.9059650898,       -0.7221679688,        3.2011718750,        1.1411132812,      -46.3409423828,      -21.2707519531,      115.7684326172
1494294691.9085230827,       -0.7221679688,        3.2011718750,        0.8911132812,      -40.0238037109,      -25.2380371094,      138.0767822266
