time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494035646.0132570267,       -0.9399414062,        0.3500976562,        0.2138671875,       -5.3405761719,       -9.5825195312,       -4.0740966797
1494035646.0268669128,       -1.0097656250,        0.4121093750,        0.0551757812,       -7.2631835938,       -6.0577392578,       -5.6610107422
1494035646.0296089649,       -1.0097656250,        0.4121093750,        0.0551757812,       -7.2631835938,       -6.0577392578,       -5.6610107422
1494035646.0322880745,       -1.0097656250,        0.4121093750,        0.0551757812,       -6.2561035156,       -1.8157958984,       -6.9885253906
1494035646.0353128910,       -1.0097656250,        0.4121093750,       -0.0698242188,       -6.2561035156,       -1.8157958984,       -6.3323974609
1494035646.0379879475,       -0.9267578125,        0.3041992188,       -0.0839843750,      -10.9710693359,        3.2348632812,       -6.3323974609
1494035646.0406689644,       -0.9267578125,        0.3041992188,       -0.0839843750,      -10.9710693359,        3.2348632812,       -6.2561035156
1494035646.0434079170,       -0.9267578125,        0.3041992188,       -0.0839843750,      -13.7176513672,        7.0190429688,       -6.2561035156
1494035646.0460848808,       -0.9267578125,        0.3789062500,       -0.0502929688,      -13.7176513672,        7.0190429688,       -6.2561035156
1494035646.0487658978,       -0.8295898438,        0.3789062500,       -0.0502929688,      -14.5263671875,        8.6059570312,       -7.6751708984
1494035646.0514469147,       -0.8295898438,        0.3789062500,       -0.0502929688,      -14.5263671875,        8.6059570312,      -11.5814208984
1494035646.0541470051,       -0.8295898438,        0.3789062500,       -0.0502929688,      -12.7105712891,        8.3312988281,      -10.4980468750
1494035646.0568389893,       -0.7719726562,        0.3867187500,        0.0214843750,      -12.7105712891,        8.3312988281,      -14.4042968750
1494035646.0595269203,       -0.7719726562,        0.3867187500,        0.0214843750,       -8.7280273438,        7.2174072266,      -13.5498046875
1494035646.0622129440,       -0.7719726562,        0.3867187500,        0.0214843750,       -8.7280273438,        7.2174072266,      -13.5498046875
1494035646.0648279190,       -0.7719726562,        0.3867187500,        0.0214843750,       -6.5765380859,        5.7983398438,      -17.4102783203
1494035646.0673720837,       -0.6982421875,        0.4121093750,        0.0908203125,       -6.5765380859,        5.7983398438,      -17.4102783203
1494035646.0699179173,       -0.6982421875,        0.4121093750,        0.0908203125,       -5.2490234375,        4.7149658203,      -22.5219726562
1494035646.0724599361,       -0.6982421875,        0.4121093750,        0.0908203125,       -5.2490234375,        4.7149658203,      -22.5219726562
1494035646.0750279427,       -0.6982421875,        0.4121093750,        0.0908203125,       -7.1563720703,        3.6773681641,      -27.4200439453
1494035646.0775868893,       -0.7187500000,        0.3779296875,        0.0380859375,       -7.1563720703,        3.6773681641,      -27.4200439453
1494035646.0801460743,       -0.7187500000,        0.3779296875,        0.0380859375,       -7.2937011719,        2.2125244141,      -30.2276611328
1494035646.0826990604,       -0.7187500000,        0.3779296875,        0.0380859375,       -7.2937011719,        2.2125244141,      -30.2276611328
1494035646.0853590965,       -0.7187500000,        0.3779296875,        0.0380859375,       -5.4016113281,        1.0681152344,      -31.4178466797
1494035646.0879170895,       -0.6113281250,        0.3955078125,        0.0288085938,       -5.4016113281,        1.0681152344,      -31.4178466797
1494035646.0904710293,       -0.6113281250,        0.3955078125,        0.0288085938,       -5.4016113281,        1.0833740234,      -33.0657958984
1494035646.0930199623,       -0.6113281250,        0.3955078125,        0.0288085938,       -5.2185058594,        1.0833740234,      -33.0657958984
1494035646.0958139896,       -0.6113281250,        0.3955078125,        0.0288085938,       -5.2185058594,        1.2664794922,      -35.7208251953
1494035646.0986459255,       -0.5112304688,        0.3876953125,        0.0268554688,       -7.2631835938,        1.2664794922,      -35.7208251953
1494035646.1013209820,       -0.5112304688,        0.3876953125,        0.0268554688,      -11.1694335938,        2.0141601562,      -39.3829345703
1494035646.1040019989,       -0.5112304688,        0.3876953125,        0.0268554688,       -8.6212158203,        2.0141601562,      -39.3829345703
1494035646.1066520214,       -0.5112304688,        0.4145507812,       -0.1020507812,       -8.6212158203,        3.1127929688,      -41.0461425781
1494035646.1093571186,       -0.4057617188,        0.4145507812,       -0.1020507812,      -11.0778808594,        3.1127929688,      -41.0461425781
1494035646.1120550632,       -0.4057617188,        0.4145507812,       -0.1020507812,      -11.0778808594,        4.8828125000,      -43.1365966797
1494035646.1146929264,       -0.4057617188,        0.4145507812,       -0.1020507812,       -9.0026855469,        4.8828125000,      -43.1365966797
1494035646.1172509193,       -0.4169921875,        0.4223632812,       -0.0708007812,       -9.0026855469,        4.8828125000,      -46.4172363281
1494035646.1198070049,       -0.4169921875,        0.4223632812,       -0.0708007812,       -4.0893554688,        6.4544677734,      -46.4172363281
1494035646.1223568916,       -0.4169921875,        0.4223632812,       -0.0708007812,       -4.0893554688,        6.4544677734,      -50.3234863281
1494035646.1249198914,       -0.4169921875,        0.4223632812,       -0.0708007812,       -0.9460449219,        7.7514648438,      -48.8586425781
1494035646.1274750233,       -0.5498046875,        0.3286132812,       -0.0073242188,       -0.9460449219,        7.7514648438,      -48.8586425781
1494035646.1300339699,       -0.5498046875,        0.3286132812,       -0.0073242188,        0.7934570312,        7.7514648438,      -48.7518310547
1494035646.1325941086,       -0.5498046875,        0.3286132812,       -0.0073242188,        0.7934570312,        7.7514648438,      -48.7518310547
1494035646.1353189945,       -0.5498046875,        0.3286132812,       -0.0073242188,        3.7231445312,        5.8441162109,      -48.2330322266
1494035646.1380059719,       -0.5883789062,        0.2216796875,        0.0473632812,        3.7231445312,        5.8441162109,      -48.2330322266
1494035646.1406960487,       -0.5883789062,        0.2216796875,        0.0473632812,        7.6446533203,        4.6691894531,      -47.8057861328
1494035646.1434340477,       -0.5883789062,        0.2216796875,        0.0473632812,        7.6446533203,        4.6691894531,      -47.8057861328
1494035646.1461288929,       -0.5883789062,        0.2216796875,        0.0473632812,       11.7187500000,        3.8909912109,      -48.1109619141
1494035646.1488931179,       -0.7250976562,        0.1850585938,        0.0683593750,       11.7187500000,        3.8909912109,      -48.1109619141
1494035646.1516070366,       -0.7250976562,        0.1850585938,        0.0683593750,       16.6625976562,        2.6092529297,      -47.5769042969
1494035646.1543080807,       -0.7250976562,        0.1850585938,        0.0683593750,       16.6625976562,        2.6092529297,      -47.5769042969
1494035646.1570050716,       -0.7250976562,        0.1088867188,        0.0317382812,       19.9432373047,        1.1444091797,      -44.8913574219
1494035646.1597020626,       -0.8461914062,        0.1088867188,        0.0317382812,       19.9432373047,        1.1444091797,      -44.8913574219
1494035646.1624009609,       -0.8461914062,        0.1088867188,        0.0317382812,       21.4691162109,       -0.0762939453,      -40.9545898438
1494035646.1650209427,       -0.8461914062,        0.1088867188,        0.0317382812,       21.4691162109,       -0.0762939453,      -40.9545898438
1494035646.1675729752,       -0.8579101562,        0.0922851562,       -0.0244140625,       21.2402343750,       -0.5187988281,      -36.0717773438
1494035646.1702430248,       -0.8579101562,        0.0922851562,       -0.0244140625,       21.2402343750,       -0.5187988281,      -36.0717773438
1494035646.1728079319,       -0.8579101562,        0.0922851562,       -0.0244140625,       18.7530517578,       -0.0305175781,      -30.4718017578
1494035646.1755321026,       -0.8579101562,        0.0922851562,       -0.0244140625,       18.7530517578,       -0.0305175781,      -30.4718017578
1494035646.1782300472,       -0.8750000000,        0.0346679688,       -0.0498046875,       15.7318115234,        0.5645751953,      -23.9562988281
1494035646.1809339523,       -0.8750000000,        0.0346679688,       -0.0498046875,       15.7318115234,        0.5645751953,      -23.9562988281
1494035646.1836519241,       -0.8750000000,        0.0346679688,       -0.0498046875,       13.6718750000,        1.5106201172,      -18.8446044922
1494035646.1862111092,       -0.8750000000,        0.0346679688,       -0.0498046875,       13.6718750000,        1.5106201172,      -18.8446044922
1494035646.1887660027,       -0.8642578125,        0.0800781250,       -0.0927734375,       10.8184814453,        2.0599365234,      -13.2141113281
1494035646.1913270950,       -0.8642578125,        0.0800781250,       -0.0927734375,       10.8184814453,        2.0599365234,      -13.2141113281
1494035646.1939899921,       -0.8642578125,        0.0800781250,       -0.0927734375,       10.8184814453,        2.5634765625,       -7.5836181641
1494035646.1965470314,       -0.8642578125,        0.0800781250,       -0.0927734375,        8.6212158203,        2.5634765625,       -7.5836181641
1494035646.1990959644,       -0.8173828125,        0.1875000000,       -0.0429687500,        8.6212158203,        2.5634765625,       -2.9907226562
1494035646.2016510963,       -0.8173828125,        0.1875000000,       -0.0429687500,        7.8430175781,        2.8228759766,       -2.9907226562
1494035646.2043919563,       -0.8173828125,        0.1875000000,       -0.0429687500,        7.8430175781,        2.8228759766,        1.2207031250
1494035646.2070829868,       -0.8173828125,        0.1875000000,        0.0014648438,        9.4604492188,        1.3580322266,        1.2207031250
1494035646.2097730637,       -0.7299804688,        0.2241210938,        0.0014648438,        9.4604492188,        1.3580322266,        4.7302246094
1494035646.2124609947,       -0.7299804688,        0.2241210938,        0.0014648438,       12.4053955078,        0.0000000000,        4.7302246094
1494035646.2150740623,       -0.7299804688,        0.2241210938,        0.0014648438,       12.4053955078,        0.0000000000,        6.6528320312
1494035646.2176270485,       -0.7299804688,        0.2363281250,        0.0170898438,       14.8925781250,       -0.3662109375,        6.6528320312
1494035646.2201809883,       -0.7104492188,        0.2363281250,        0.0170898438,       14.8925781250,       -0.3662109375,        6.6528320312
1494035646.2227320671,       -0.7104492188,        0.2363281250,        0.0170898438,       16.0522460938,       -0.9307861328,        7.9193115234
1494035646.2254059315,       -0.7104492188,        0.2363281250,        0.0170898438,       16.0522460938,       -0.9307861328,        7.9193115234
1494035646.2281088829,       -0.7104492188,        0.2534179688,        0.0249023438,       18.4020996094,       -2.1667480469,        9.4146728516
1494035646.2308020592,       -0.7333984375,        0.2534179688,        0.0249023438,       18.4020996094,       -2.1667480469,        9.4146728516
1494035646.2335040569,       -0.7333984375,        0.2534179688,        0.0249023438,       20.2636718750,       -4.1503906250,       11.2152099609
1494035646.2362029552,       -0.7333984375,        0.2534179688,        0.0249023438,       20.2636718750,       -4.1503906250,       11.2152099609
1494035646.2388939857,       -0.7182617188,        0.2534179688,       -0.0156250000,       22.2778320312,       -6.1340332031,       12.9394531250
1494035646.2415890694,       -0.7182617188,        0.2534179688,       -0.0156250000,       22.2778320312,       -6.1340332031,       12.9394531250
1494035646.2444100380,       -0.7182617188,        0.2534179688,       -0.0156250000,       23.8037109375,       -7.7514648438,       14.8162841797
1494035646.2471110821,       -0.7182617188,        0.2534179688,       -0.0156250000,       23.8037109375,       -7.7514648438,       14.8162841797
1494035646.2498130798,       -0.6718750000,        0.2778320312,       -0.0668945312,       23.7731933594,       -7.7819824219,       16.7846679688
1494035646.2525050640,       -0.6718750000,        0.2778320312,       -0.0668945312,       23.7731933594,       -7.7819824219,       16.7846679688
1494035646.2552070618,       -0.6718750000,        0.2778320312,       -0.0668945312,       22.2015380859,       -7.0495605469,       17.9595947266
1494035646.2579050064,       -0.6718750000,        0.2797851562,       -0.0952148438,       22.2015380859,       -7.0495605469,       17.9595947266
1494035646.2606050968,       -0.6616210938,        0.2797851562,       -0.0952148438,       19.9584960938,       -5.4473876953,       18.9971923828
1494035646.2633049488,       -0.6616210938,        0.2797851562,       -0.0952148438,       19.9584960938,       -5.4473876953,       18.9971923828
1494035646.2658619881,       -0.6616210938,        0.2797851562,       -0.0952148438,       17.1356201172,       -3.7536621094,       19.7753906250
1494035646.2684159279,       -0.6616210938,        0.2739257812,       -0.1025390625,       17.1356201172,       -3.7536621094,       19.7753906250
1494035646.2709820271,       -0.6513671875,        0.2739257812,       -0.1025390625,       14.1601562500,       -2.5482177734,       20.9503173828
1494035646.2735600471,       -0.6513671875,        0.2739257812,       -0.1025390625,       14.1601562500,       -2.5482177734,       20.9503173828
1494035646.2762598991,       -0.6513671875,        0.2739257812,       -0.1025390625,       11.4746093750,       -1.5411376953,       21.8200683594
1494035646.2789549828,       -0.6401367188,        0.2500000000,       -0.0693359375,       11.4746093750,       -1.5411376953,       21.8200683594
1494035646.2816510201,       -0.6401367188,        0.2500000000,       -0.0693359375,        9.2773437500,       -0.3356933594,       23.0712890625
1494035646.2843499184,       -0.6401367188,        0.2500000000,       -0.0693359375,        9.2773437500,       -0.3356933594,       23.0712890625
1494035646.2870459557,       -0.6401367188,        0.2500000000,       -0.0693359375,        8.3007812500,        0.2746582031,       23.5900878906
1494035646.2897338867,       -0.6162109375,        0.2812500000,       -0.0258789062,        8.3007812500,        0.2746582031,       23.5900878906
1494035646.2924299240,       -0.6162109375,        0.2812500000,       -0.0258789062,        7.6599121094,        0.5798339844,       24.0783691406
1494035646.2951309681,       -0.6162109375,        0.2812500000,       -0.0258789062,        7.6599121094,        0.5798339844,       24.0783691406
1494035646.2978250980,       -0.6162109375,        0.2812500000,        0.0190429688,        8.9569091797,        0.9307861328,       24.4140625000
1494035646.3005208969,       -0.5903320312,        0.3476562500,        0.0190429688,        8.9569091797,        0.9307861328,       24.4140625000
1494035646.3032219410,       -0.5903320312,        0.3476562500,        0.0190429688,       10.7116699219,        1.4343261719,       22.9187011719
1494035646.3059129715,       -0.5903320312,        0.3476562500,        0.0190429688,       10.7116699219,        1.4343261719,       22.9187011719
1494035646.3086020947,       -0.5903320312,        0.3085937500,        0.0419921875,       13.0767822266,        1.8615722656,       21.3775634766
1494035646.3112959862,       -0.6372070312,        0.3085937500,        0.0419921875,       13.0767822266,        1.8615722656,       21.3775634766
1494035646.3139541149,       -0.6372070312,        0.3085937500,        0.0419921875,       14.3280029297,        2.7465820312,       19.9737548828
