time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494035586.0127270222,       -0.3828125000,       -0.1406250000,        0.0146484375,      -23.7579345703,      -31.3873291016,      -68.2525634766
1494035586.0167810917,       -0.3828125000,       -0.1406250000,        0.0146484375,      -23.7579345703,      -31.3873291016,      -68.2525634766
1494035586.0193490982,       -0.3828125000,       -0.1406250000,        0.0146484375,      -20.2636718750,      -33.2641601562,      -75.8361816406
1494035586.0218980312,       -0.3862304688,       -0.1074218750,        0.0024414062,      -20.2636718750,      -33.2641601562,      -75.8361816406
1494035586.0246639252,       -0.3862304688,       -0.1074218750,        0.0024414062,      -16.3421630859,      -35.0036621094,      -83.5571289062
1494035586.0273239613,       -0.3862304688,       -0.1074218750,        0.0024414062,      -16.3421630859,      -35.0036621094,      -83.5571289062
1494035586.0301458836,       -0.3862304688,       -0.0214843750,       -0.0341796875,       -9.7351074219,      -36.5905761719,      -90.6677246094
1494035586.0328230858,       -0.4013671875,       -0.0214843750,       -0.0341796875,       -9.7351074219,      -36.5905761719,      -90.6677246094
1494035586.0355069637,       -0.4013671875,       -0.0214843750,       -0.0341796875,        0.0305175781,      -38.1317138672,      -97.1832275391
1494035586.0381810665,       -0.4013671875,       -0.0214843750,       -0.0341796875,        0.0305175781,      -38.1317138672,      -97.1832275391
1494035586.0408520699,       -0.4003906250,        0.0395507812,       -0.0957031250,       10.1013183594,      -38.9251708984,     -102.9815673828
1494035586.0435380936,       -0.4003906250,        0.0395507812,       -0.0957031250,       10.1013183594,      -38.9251708984,     -102.9815673828
1494035586.0462179184,       -0.4003906250,        0.0395507812,       -0.0957031250,       20.0500488281,      -39.2608642578,     -108.1542968750
1494035586.0488998890,       -0.4003906250,        0.0395507812,       -0.0957031250,       20.0500488281,      -39.2608642578,     -108.1542968750
1494035586.0515780449,       -0.4082031250,        0.0747070312,       -0.1567382812,       29.2358398438,      -40.3747558594,     -113.7390136719
1494035586.0542590618,       -0.4082031250,        0.0747070312,       -0.1567382812,       29.2358398438,      -40.3747558594,     -113.7390136719
1494035586.0569069386,       -0.4082031250,        0.0747070312,       -0.1567382812,       36.5600585938,      -40.9851074219,     -119.3084716797
1494035586.0596270561,       -0.4082031250,        0.0747070312,       -0.1567382812,       36.5600585938,      -40.9851074219,     -119.3084716797
1494035586.0623390675,       -0.4213867188,        0.1186523438,       -0.2006835938,       40.9851074219,      -41.3055419922,     -123.4893798828
1494035586.0650091171,       -0.4213867188,        0.1186523438,       -0.2006835938,       40.9851074219,      -41.3055419922,     -123.4893798828
1494035586.0675699711,       -0.4213867188,        0.1186523438,       -0.2006835938,       44.1436767578,      -41.1682128906,     -127.0294189453
1494035586.0701301098,       -0.4213867188,        0.1186523438,       -0.2456054688,       44.1436767578,      -41.1682128906,     -127.0294189453
1494035586.0726890564,       -0.4409179688,        0.1713867188,       -0.2456054688,       44.7082519531,      -41.2139892578,     -129.6844482422
1494035586.0753390789,       -0.4409179688,        0.1713867188,       -0.2456054688,       44.7082519531,      -41.2139892578,     -129.6844482422
1494035586.0778999329,       -0.4409179688,        0.1713867188,       -0.2456054688,       44.7082519531,      -40.3442382812,     -130.9814453125
1494035586.0804600716,       -0.4409179688,        0.1713867188,       -0.2832031250,       42.4346923828,      -40.3442382812,     -130.9814453125
1494035586.0830221176,       -0.4565429688,        0.2309570312,       -0.2832031250,       42.4346923828,      -40.3442382812,     -131.0882568359
1494035586.0858080387,       -0.4565429688,        0.2309570312,       -0.2832031250,       37.8723144531,      -39.1235351562,     -131.0882568359
1494035586.0886380672,       -0.4565429688,        0.2309570312,       -0.2832031250,       37.8723144531,      -36.8804931641,     -130.9967041016
1494035586.0913219452,       -0.4921875000,        0.2675781250,       -0.3115234375,       32.0587158203,      -36.8804931641,     -130.9967041016
1494035586.0939979553,       -0.4921875000,        0.2675781250,       -0.3115234375,       32.0587158203,      -32.9742431641,     -131.1035156250
1494035586.0966579914,       -0.4921875000,        0.2675781250,       -0.3115234375,       25.4669189453,      -33.8287353516,     -131.1035156250
1494035586.0993111134,       -0.4921875000,        0.2675781250,       -0.3115234375,       25.4669189453,      -29.9224853516,     -130.5541992188
1494035586.1019949913,       -0.5424804688,        0.2934570312,       -0.3027343750,       16.3421630859,      -30.4107666016,     -130.5541992188
1494035586.1046330929,       -0.5424804688,        0.2934570312,       -0.3027343750,       16.3421630859,      -30.4107666016,     -129.9591064453
1494035586.1071889400,       -0.5424804688,        0.2934570312,       -0.3027343750,        5.2490234375,      -26.4587402344,     -129.9591064453
1494035586.1097469330,       -0.5424804688,        0.2934570312,       -0.3027343750,        5.2490234375,      -26.4587402344,     -129.9591064453
1494035586.1122970581,       -0.5747070312,        0.3061523438,       -0.2744140625,       -7.1563720703,      -23.1933593750,     -129.9133300781
1494035586.1149530411,       -0.5747070312,        0.3061523438,       -0.2744140625,       -7.1563720703,      -23.1933593750,     -129.9133300781
1494035586.1176381111,       -0.5747070312,        0.3061523438,       -0.2744140625,      -20.6146240234,      -19.8974609375,     -129.1809082031
1494035586.1203210354,       -0.5747070312,        0.3061523438,       -0.1494140625,      -20.6146240234,      -19.8974609375,     -129.1809082031
1494035586.1230089664,       -0.6284179688,        0.3510742188,       -0.2324218750,      -33.9202880859,      -15.8996582031,     -127.8381347656
1494035586.1257228851,       -0.6284179688,        0.3510742188,       -0.2324218750,      -33.9202880859,      -15.8996582031,     -127.8381347656
1494035586.1284139156,       -0.6284179688,        0.3510742188,       -0.2324218750,      -47.5463867188,      -11.7034912109,     -126.7700195312
1494035586.1310989857,       -0.6284179688,        0.4218750000,       -0.2050781250,      -47.5463867188,      -11.7034912109,     -126.7700195312
1494035586.1337950230,       -0.6533203125,        0.4218750000,       -0.2050781250,      -60.6994628906,       -8.4991455078,     -126.0681152344
1494035586.1364779472,       -0.6533203125,        0.4218750000,       -0.2050781250,      -60.6994628906,       -8.4991455078,     -126.0681152344
1494035586.1391599178,       -0.6533203125,        0.4218750000,       -0.2050781250,      -73.0743408203,       -5.5694580078,     -125.0610351562
1494035586.1419429779,       -0.6640625000,        0.5092773438,       -0.1645507812,      -73.0743408203,       -5.5694580078,     -123.3062744141
1494035586.1454689503,       -0.6640625000,        0.5092773438,       -0.1645507812,      -84.3963623047,       -2.3345947266,     -123.3062744141
1494035586.1481590271,       -0.6640625000,        0.5092773438,       -0.1645507812,      -84.3963623047,       -2.3345947266,     -120.6054687500
1494035586.1508500576,       -0.6640625000,        0.5092773438,       -0.1337890625,      -92.7429199219,        1.6632080078,     -120.6054687500
1494035586.1535370350,       -0.6406250000,        0.6108398438,       -0.1337890625,      -92.7429199219,        1.6632080078,     -116.6687011719
1494035586.1560881138,       -0.6406250000,        0.6108398438,       -0.1337890625,      -99.8687744141,        5.3558349609,     -116.6687011719
1494035586.1586461067,       -0.6406250000,        0.6108398438,       -0.1337890625,      -99.8687744141,        5.3558349609,     -112.7624511719
1494035586.1614100933,       -0.6406250000,        0.6738281250,       -0.1196289062,     -104.8126220703,        8.4686279297,     -110.9771728516
1494035586.1640191078,       -0.6206054688,        0.6738281250,       -0.1196289062,     -104.8126220703,        8.4686279297,     -110.9771728516
1494035586.1667249203,       -0.6206054688,        0.6738281250,       -0.1196289062,     -107.0098876953,       10.1470947266,     -106.8878173828
1494035586.1694259644,       -0.6206054688,        0.6738281250,       -0.1196289062,     -107.0098876953,       10.1470947266,     -106.8878173828
1494035586.1721210480,       -0.6191406250,        0.6821289062,       -0.1147460938,     -107.0098876953,       13.0004882812,     -104.2938232422
1494035586.1747829914,       -0.6191406250,        0.6821289062,       -0.1147460938,     -107.0098876953,       13.0004882812,     -104.2938232422
1494035586.1773440838,       -0.6191406250,        0.6821289062,       -0.1147460938,     -105.6671142578,       15.0299072266,     -100.2807617188
1494035586.1799058914,       -0.6191406250,        0.6821289062,       -0.1147460938,     -105.6671142578,       15.0299072266,     -100.2807617188
1494035586.1824669838,       -0.5996093750,        0.7226562500,       -0.1240234375,     -100.8911132812,       15.3045654297,      -95.3521728516
1494035586.1850481033,       -0.5996093750,        0.7226562500,       -0.1240234375,     -100.8911132812,       15.3045654297,      -95.3521728516
1494035586.1876130104,       -0.5996093750,        0.7226562500,       -0.1240234375,      -92.3767089844,       16.6625976562,      -89.4927978516
1494035586.1901750565,       -0.5996093750,        0.7226562500,       -0.1240234375,      -92.3767089844,       16.6625976562,      -89.4927978516
1494035586.1927359104,       -0.6376953125,        0.7202148438,       -0.1665039062,      -83.1298828125,       19.6990966797,      -83.3892822266
1494035586.1953580379,       -0.6376953125,        0.7202148438,       -0.1665039062,      -83.1298828125,       19.6990966797,      -83.3892822266
1494035586.1979219913,       -0.6376953125,        0.7202148438,       -0.1665039062,      -75.4852294922,       23.3001708984,      -77.6977539062
1494035586.2004849911,       -0.6376953125,        0.7202148438,       -0.1665039062,      -75.4852294922,       23.3001708984,      -77.6977539062
1494035586.2030439377,       -0.6606445312,        0.6455078125,       -0.1635742188,      -67.6727294922,       26.4434814453,      -73.1048583984
1494035586.2057058811,       -0.6606445312,        0.6455078125,       -0.1635742188,      -67.8710937500,       26.4434814453,      -73.1048583984
1494035586.2082769871,       -0.6606445312,        0.6455078125,       -0.1635742188,      -67.8710937500,       30.3497314453,      -68.4051513672
1494035586.2108359337,       -0.6606445312,        0.6455078125,       -0.1635742188,      -60.9130859375,       29.3273925781,      -68.4051513672
1494035586.2134830952,       -0.6699218750,        0.5864257812,       -0.1298828125,      -60.9130859375,       29.3273925781,      -64.0869140625
1494035586.2161419392,       -0.6699218750,        0.5864257812,       -0.1298828125,      -53.8482666016,       31.7382812500,      -64.0869140625
1494035586.2187049389,       -0.6699218750,        0.5864257812,       -0.1298828125,      -53.8482666016,       31.7382812500,      -60.1806640625
1494035586.2212669849,       -0.6699218750,        0.5864257812,       -0.0048828125,      -47.5463867188,       33.7677001953,      -60.2874755859
1494035586.2239151001,       -0.6669921875,        0.5341796875,       -0.0849609375,      -47.5463867188,       33.7677001953,      -60.2874755859
1494035586.2266170979,       -0.6669921875,        0.5341796875,       -0.0849609375,      -41.9006347656,       34.8815917969,      -56.7474365234
1494035586.2293210030,       -0.6669921875,        0.5341796875,       -0.0849609375,      -41.9006347656,       34.8815917969,      -56.7474365234
1494035586.2320458889,       -0.6669921875,        0.4799804688,       -0.0375976562,      -36.6058349609,       34.7137451172,      -53.5278320312
1494035586.2348699570,       -0.6420898438,        0.4799804688,       -0.0375976562,      -36.6058349609,       34.7137451172,      -49.6215820312
1494035586.2375760078,       -0.6420898438,        0.4799804688,       -0.0375976562,      -32.1197509766,       33.7219238281,      -50.0488281250
1494035586.2402729988,       -0.6420898438,        0.4799804688,       -0.0375976562,      -32.1197509766,       33.7219238281,      -46.1425781250
1494035586.2429718971,       -0.6469726562,        0.4375000000,       -0.0268554688,      -30.7922363281,       32.6690673828,      -46.7224121094
1494035586.2456369400,       -0.6469726562,        0.4375000000,       -0.0268554688,      -30.7922363281,       32.6690673828,      -46.7224121094
1494035586.2481989861,       -0.6469726562,        0.4375000000,       -0.0268554688,      -30.8074951172,       30.8990478516,      -43.4112548828
1494035586.2507669926,       -0.6469726562,        0.4375000000,       -0.0268554688,      -30.8074951172,       30.8990478516,      -43.4112548828
1494035586.2533380985,       -0.6469726562,        0.4003906250,       -0.0029296875,      -31.6467285156,       29.3273925781,      -40.2221679688
1494035586.2560000420,       -0.6469726562,        0.4003906250,       -0.0029296875,      -31.6467285156,       29.3273925781,      -40.2221679688
1494035586.2586688995,       -0.6469726562,        0.4003906250,       -0.0029296875,      -34.0423583984,       28.5797119141,      -37.0635986328
1494035586.2615280151,       -0.6469726562,        0.4003906250,       -0.0029296875,      -34.0423583984,       28.5797119141,      -37.0635986328
1494035586.2642700672,       -0.6728515625,        0.3471679688,       -0.0219726562,      -39.5355224609,       27.4047851562,      -34.3475341797
1494035586.2669720650,       -0.6728515625,        0.3471679688,       -0.0219726562,      -39.5355224609,       27.4047851562,      -34.3475341797
1494035586.2696650028,       -0.6728515625,        0.3471679688,       -0.0219726562,      -45.9442138672,       26.1383056641,      -31.4331054688
1494035586.2723751068,       -0.6728515625,        0.3159179688,       -0.0512695312,      -45.9442138672,       26.1383056641,      -31.4331054688
1494035586.2750880718,       -0.7124023438,        0.3159179688,       -0.0512695312,      -52.0172119141,       25.6500244141,      -28.6102294922
1494035586.2777891159,       -0.7124023438,        0.3159179688,       -0.0512695312,      -52.0172119141,       25.6500244141,      -28.6102294922
1494035586.2804899216,       -0.7124023438,        0.3159179688,       -0.0512695312,      -56.3812255859,       25.1770019531,      -26.3061523438
1494035586.2831981182,       -0.7587890625,        0.3110351562,       -0.0957031250,      -56.3812255859,       25.1770019531,      -26.3061523438
1494035586.2857630253,       -0.7587890625,        0.3110351562,       -0.0957031250,      -59.1583251953,       24.9176025391,      -23.1933593750
