time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494035556.0137910843,       -0.6816406250,        0.1972656250,       -0.0249023438,      -81.0852050781,       38.1469726562,       -9.9945068359
1494035556.0273330212,       -0.6816406250,        0.1972656250,       -0.0249023438,      -81.4971923828,       36.5295410156,       -9.4604492188
1494035556.0301270485,       -0.6738281250,        0.2353515625,        0.0073242188,      -81.4971923828,       36.5295410156,       -9.4604492188
1494035556.0328230858,       -0.6738281250,        0.2353515625,        0.0073242188,      -79.8645019531,       34.7137451172,       -8.0261230469
1494035556.0355219841,       -0.6738281250,        0.2353515625,        0.0073242188,      -79.8645019531,       34.7137451172,       -4.1198730469
1494035556.0382199287,       -0.6738281250,        0.2353515625,        0.0073242188,      -78.0334472656,       32.8826904297,       -6.7596435547
1494035556.0409069061,       -0.6850585938,        0.2866210938,        0.0327148438,      -78.0334472656,       32.8826904297,       -6.7596435547
1494035556.0436050892,       -0.6850585938,        0.2866210938,        0.0327148438,      -76.2481689453,       31.7840576172,       -4.4250488281
1494035556.0462920666,       -0.6850585938,        0.2866210938,        0.0327148438,      -76.2481689453,       31.7840576172,       -4.4250488281
1494035556.0489768982,       -0.6850585938,        0.2866210938,        0.0722656250,      -72.5250244141,       29.1748046875,       -2.6245117188
1494035556.0516688824,       -0.6977539062,        0.3125000000,        0.0722656250,      -72.5250244141,       29.1748046875,       -2.6245117188
1494035556.0543670654,       -0.6977539062,        0.3125000000,        0.0722656250,      -68.3593750000,       25.4364013672,        0.0305175781
1494035556.0570600033,       -0.6977539062,        0.3125000000,        0.0722656250,      -68.3593750000,       25.4364013672,        0.0305175781
1494035556.0597550869,       -0.7167968750,        0.3061523438,        0.0751953125,      -62.3626708984,       21.8353271484,        2.5482177734
1494035556.0624430180,       -0.7167968750,        0.3061523438,        0.0751953125,      -62.3626708984,       21.8353271484,        2.5482177734
1494035556.0650489330,       -0.7167968750,        0.3061523438,        0.0751953125,      -56.7321777344,       19.1345214844,        4.9743652344
1494035556.0675990582,       -0.7167968750,        0.3061523438,        0.0751953125,      -56.7321777344,       19.1345214844,        4.9743652344
1494035556.0701479912,       -0.7504882812,        0.2700195312,        0.0727539062,      -51.1322021484,       16.4489746094,        7.8430175781
1494035556.0726990700,       -0.7504882812,        0.2700195312,        0.0727539062,      -51.1322021484,       16.4489746094,        7.8430175781
1494035556.0753409863,       -0.7504882812,        0.2700195312,        0.0727539062,      -45.7000732422,       14.0075683594,       11.4135742188
1494035556.0779030323,       -0.7504882812,        0.2700195312,        0.0727539062,      -45.7000732422,       14.0075683594,       11.4135742188
1494035556.0804679394,       -0.7998046875,        0.2324218750,        0.0366210938,      -41.0614013672,       12.1154785156,       14.4958496094
1494035556.0830309391,       -0.7998046875,        0.2324218750,        0.0366210938,      -41.0614013672,       12.1154785156,       14.4958496094
1494035556.0858149529,       -0.7998046875,        0.2324218750,        0.0366210938,      -35.8581542969,       10.3759765625,       16.9982910156
1494035556.0884931087,       -0.7998046875,        0.2324218750,        0.0366210938,      -35.8581542969,       10.3759765625,       16.9982910156
1494035556.0911750793,       -0.8295898438,        0.1904296875,        0.0263671875,      -31.0516357422,        9.3688964844,       19.6075439453
1494035556.0938649178,       -0.8295898438,        0.1904296875,        0.0263671875,      -31.0516357422,        9.3688964844,       19.6075439453
1494035556.0965139866,       -0.8295898438,        0.1904296875,        0.0263671875,      -26.4739990234,        8.2092285156,       22.0184326172
1494035556.0993499756,       -0.8295898438,        0.1904296875,        0.0253906250,      -26.4739990234,        8.2092285156,       22.0184326172
1494035556.1020519733,       -0.8510742188,        0.1479492188,        0.0253906250,      -22.3846435547,        6.8359375000,       23.5900878906
1494035556.1047580242,       -0.8510742188,        0.1479492188,        0.0253906250,      -22.3846435547,        6.8359375000,       23.5900878906
1494035556.1074581146,       -0.8510742188,        0.1479492188,        0.0253906250,      -17.3034667969,        5.6304931641,       25.3906250000
1494035556.1101579666,       -0.8510742188,        0.1210937500,        0.0292968750,      -17.3034667969,        5.6304931641,       25.3906250000
1494035556.1128520966,       -0.8593750000,        0.1210937500,        0.0292968750,      -12.5274658203,        3.9672851562,       26.5808105469
1494035556.1154420376,       -0.8593750000,        0.1210937500,        0.0292968750,      -12.5274658203,        3.9672851562,       26.5808105469
1494035556.1179940701,       -0.8593750000,        0.1210937500,        0.0292968750,      -12.5274658203,        2.6397705078,       27.1453857422
1494035556.1205449104,       -0.8320312500,        0.0957031250,        0.0429687500,       -8.1481933594,        2.6397705078,       27.1453857422
