time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494039061.5905399323,       -0.7265625000,        0.2260742188,       -0.0512695312,       -1.2207031250,       -4.2419433594,       42.1142578125
1494039061.5971190929,       -0.7265625000,        0.2260742188,       -0.0512695312,       -1.2207031250,       -0.3356933594,       44.0368652344
1494039061.5997760296,       -0.7265625000,        0.2241210938,       -0.0615234375,       -1.3275146484,       -3.8909912109,       44.0368652344
1494039061.6023349762,       -0.7319335938,        0.2241210938,       -0.0615234375,       -1.3275146484,       -3.8909912109,       45.5169677734
1494039061.6048800945,       -0.7319335938,        0.2241210938,       -0.0615234375,       -1.7700195312,       -4.0283203125,       45.5169677734
1494039061.6074240208,       -0.7319335938,        0.2241210938,       -0.0615234375,       -1.7700195312,       -4.0283203125,       45.5169677734
1494039061.6099629402,       -0.7319335938,        0.2021484375,       -0.0615234375,       -3.3874511719,       -4.4250488281,       47.1954345703
1494039061.6124999523,       -0.7402343750,        0.2021484375,       -0.0615234375,       -3.3874511719,       -4.4250488281,       47.1954345703
1494039061.6150450706,       -0.7402343750,        0.2021484375,       -0.0615234375,       -3.8146972656,       -4.4555664062,       48.7213134766
1494039061.6175839901,       -0.7402343750,        0.2021484375,       -0.0615234375,       -3.8146972656,       -4.4555664062,       48.7213134766
1494039061.6201241016,       -0.7475585938,        0.2148437500,       -0.0581054688,       -4.5166015625,       -4.1351318359,       50.3540039062
1494039061.6226680279,       -0.7475585938,        0.2148437500,       -0.0581054688,       -4.5166015625,       -4.1351318359,       50.3540039062
1494039061.6257429123,       -0.7475585938,        0.2148437500,       -0.0581054688,       -5.9967041016,       -4.0588378906,       51.3916015625
1494039061.6282939911,       -0.7475585938,        0.2148437500,       -0.0581054688,       -5.9967041016,       -4.0588378906,       51.3916015625
1494039061.6308360100,       -0.7446289062,        0.2646484375,       -0.0664062500,       -7.1563720703,       -3.6315917969,       52.3986816406
1494039061.6335148811,       -0.7446289062,        0.2646484375,       -0.0664062500,       -7.1563720703,       -3.6315917969,       52.3986816406
1494039061.6360719204,       -0.7446289062,        0.2646484375,       -0.0664062500,       -6.8817138672,       -3.1585693359,       52.5360107422
1494039061.6386229992,       -0.7446289062,        0.2646484375,       -0.0664062500,       -6.8817138672,       -3.1585693359,       52.5360107422
1494039061.6411759853,       -0.7490234375,        0.2832031250,       -0.0688476562,       -6.3018798828,       -3.0517578125,       52.6123046875
1494039061.6440699100,       -0.7490234375,        0.2832031250,       -0.0688476562,       -6.3018798828,       -3.0517578125,       52.6123046875
1494039061.6474149227,       -0.7490234375,        0.2832031250,       -0.0688476562,       -4.9285888672,       -2.9754638672,       52.2155761719
1494039061.6501140594,       -0.7490234375,        0.3178710938,       -0.0498046875,       -4.9285888672,       -2.9754638672,       52.2155761719
1494039061.6528038979,       -0.7275390625,        0.3178710938,       -0.0498046875,       -3.0212402344,       -2.2735595703,       51.9409179688
1494039061.6555149555,       -0.7275390625,        0.3178710938,       -0.0498046875,       -3.0212402344,       -2.2735595703,       51.9409179688
1494039061.6582140923,       -0.7275390625,        0.3178710938,       -0.0498046875,       -0.4882812500,       -2.1362304688,       51.4221191406
1494039061.6609148979,       -0.7094726562,        0.3374023438,       -0.0390625000,       -0.4882812500,       -2.1362304688,       51.4221191406
1494039061.6636409760,       -0.7094726562,        0.3374023438,       -0.0390625000,        3.0822753906,       -2.6092529297,       50.6439208984
1494039061.6661980152,       -0.7094726562,        0.3374023438,       -0.0390625000,        3.0822753906,       -2.6092529297,       50.6439208984
1494039061.6689031124,       -0.7094726562,        0.3374023438,       -0.0390625000,        6.8664550781,       -3.0059814453,       49.1333007812
1494039061.6714630127,       -0.7236328125,        0.3281250000,       -0.0688476562,        6.8664550781,       -3.0059814453,       49.1333007812
1494039061.6741819382,       -0.7236328125,        0.3281250000,       -0.0688476562,        9.2468261719,       -2.9296875000,       48.9654541016
1494039061.6767339706,       -0.7236328125,        0.3281250000,       -0.0688476562,        9.2468261719,       -2.9296875000,       48.9654541016
1494039061.6792929173,       -0.7236328125,        0.3281250000,       -0.0688476562,       10.1470947266,       -2.6245117188,       49.1485595703
1494039061.6818459034,       -0.7353515625,        0.3071289062,       -0.0615234375,       10.1470947266,       -2.6245117188,       49.1485595703
1494039061.6845450401,       -0.7353515625,        0.3071289062,       -0.0615234375,       10.1470947266,       -1.9683837891,       50.2624511719
1494039061.6871030331,       -0.7353515625,        0.3071289062,       -0.0615234375,       10.1165771484,       -1.9683837891,       50.2624511719
1494039061.6896579266,       -0.7353515625,        0.3071289062,       -0.0615234375,       10.1165771484,       -1.9683837891,       51.5899658203
1494039061.6922199726,       -0.7368164062,        0.3090820312,       -0.0737304688,       10.7879638672,       -1.3427734375,       51.5899658203
1494039061.6949059963,       -0.7368164062,        0.3090820312,       -0.0737304688,       10.7879638672,       -1.3427734375,       52.6123046875
1494039061.6976029873,       -0.7368164062,        0.3090820312,       -0.0737304688,       12.3138427734,       -1.1291503906,       52.6123046875
1494039061.7002980709,       -0.7368164062,        0.3090820312,       -0.0678710938,       12.3138427734,       -1.1291503906,       53.4820556641
1494039061.7029960155,       -0.7670898438,        0.3144531250,       -0.0678710938,       13.7329101562,       -0.8239746094,       53.4820556641
1494039061.7057039738,       -0.7670898438,        0.3144531250,       -0.0678710938,       13.7329101562,       -0.8239746094,       55.0231933594
1494039061.7084031105,       -0.7670898438,        0.3144531250,       -0.0678710938,       15.2740478516,       -0.2593994141,       55.0231933594
1494039061.7111020088,       -0.7666015625,        0.3198242188,       -0.0571289062,       15.2740478516,       -0.2593994141,       56.2896728516
1494039061.7138109207,       -0.7666015625,        0.3198242188,       -0.0571289062,       17.0135498047,        0.0762939453,       56.2896728516
1494039061.7165110111,       -0.7666015625,        0.3198242188,       -0.0571289062,       17.0135498047,        0.0762939453,       57.6629638672
1494039061.7192080021,       -0.7666015625,        0.3198242188,       -0.0571289062,       18.5241699219,       -0.5493164062,       57.6629638672
1494039061.7219080925,       -0.7470703125,        0.3344726562,       -0.0722656250,       18.5241699219,       -0.5493164062,       58.7615966797
