time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494038417.0073890686,       -0.9873046875,        0.7075195312,       -0.0532226562,       32.9895019531,      -43.2739257812,     -171.7224121094
1494038417.0181689262,       -0.9179687500,        0.7075195312,       -0.0532226562,       33.7524414062,      -42.1142578125,     -162.5823974609
1494038417.0208780766,       -0.9179687500,        0.7075195312,       -0.0532226562,       33.7524414062,      -42.1142578125,     -162.5823974609
1494038417.0235810280,       -0.9179687500,        0.7075195312,       -0.0532226562,       37.0941162109,      -41.1376953125,     -152.8167724609
1494038417.0262770653,       -0.8295898438,        0.7949218750,       -0.0629882812,       37.0941162109,      -41.1376953125,     -152.8167724609
1494038417.0289759636,       -0.8295898438,        0.7949218750,       -0.0629882812,       43.8537597656,      -39.5812988281,     -144.2108154297
1494038417.0316679478,       -0.8295898438,        0.7949218750,       -0.0629882812,       43.8537597656,      -39.5812988281,     -144.2108154297
1494038417.0343770981,       -0.8295898438,        0.9228515625,       -0.0605468750,       55.5725097656,      -38.6199951172,     -135.5743408203
1494038417.0370769501,       -0.7919921875,        0.9228515625,       -0.0605468750,       55.2520751953,      -38.6199951172,     -135.5743408203
1494038417.0397748947,       -0.7919921875,        0.9228515625,       -0.0605468750,       70.8770751953,      -36.8499755859,     -125.5645751953
1494038417.0424768925,       -0.7919921875,        0.9228515625,       -0.0605468750,       70.8160400391,      -36.8499755859,     -125.5645751953
1494038417.0450940132,       -0.7285156250,        1.0229492188,       -0.0356445312,       70.8160400391,      -34.9578857422,     -114.2883300781
1494038417.0476560593,       -0.7285156250,        1.0229492188,       -0.0356445312,       86.2426757812,      -34.9578857422,     -114.2883300781
1494038417.0502200127,       -0.7285156250,        1.0229492188,       -0.0356445312,       86.2426757812,      -34.9578857422,     -102.6153564453
1494038417.0527880192,       -0.7285156250,        1.0229492188,       -0.0356445312,      103.1188964844,      -35.5682373047,     -102.6153564453
1494038417.0554170609,       -0.6601562500,        1.0854492188,       -0.0346679688,      103.1188964844,      -35.5682373047,      -90.8966064453
1494038417.0579769611,       -0.6601562500,        1.0854492188,       -0.0346679688,      119.3389892578,      -36.6363525391,      -89.9658203125
1494038417.0605340004,       -0.6601562500,        1.0854492188,       -0.0346679688,      119.3389892578,      -36.6363525391,      -89.9658203125
1494038417.0631010532,       -0.6601562500,        1.0854492188,       -0.0346679688,      131.1187744141,      -37.5366210938,      -77.1331787109
1494038417.0657570362,       -0.6181640625,        1.0371093750,       -0.0717773438,      131.1187744141,      -37.5366210938,      -77.1331787109
1494038417.0683178902,       -0.6181640625,        1.0371093750,       -0.0717773438,      141.3269042969,      -38.1164550781,      -64.2242431641
1494038417.0708858967,       -0.6181640625,        1.0371093750,       -0.0717773438,      141.3269042969,      -38.1164550781,      -64.2242431641
1494038417.0735960007,       -0.6181640625,        1.0371093750,       -0.0717773438,      146.0571289062,      -38.6199951172,      -49.4842529297
1494038417.0762970448,       -0.6064453125,        0.9677734375,       -0.1909179688,      146.0571289062,      -38.6199951172,      -49.4842529297
1494038417.0789968967,       -0.6064453125,        0.9677734375,       -0.1909179688,      142.4865722656,      -37.4755859375,      -33.6456298828
1494038417.0819590092,       -0.6064453125,        0.9677734375,       -0.1909179688,      142.4865722656,      -37.4755859375,      -33.6456298828
1494038417.0847029686,       -0.6064453125,        0.9677734375,       -0.3198242188,      132.7514648438,      -34.2864990234,      -17.4102783203
1494038417.0873980522,       -0.6108398438,        0.9765625000,       -0.3198242188,      132.7514648438,      -34.2864990234,      -17.4102783203
1494038417.0902490616,       -0.6108398438,        0.9765625000,       -0.3198242188,      119.5678710938,      -29.9530029297,       -1.3732910156
1494038417.0929501057,       -0.6108398438,        0.9765625000,       -0.3198242188,      119.5678710938,      -29.9530029297,       -1.3732910156
1494038417.0956840515,       -0.6318359375,        0.9682617188,       -0.3852539062,      105.8044433594,      -24.9633789062,       13.2904052734
1494038417.0983929634,       -0.6318359375,        0.9682617188,       -0.3852539062,      105.8044433594,      -24.9633789062,       13.2904052734
1494038417.1012749672,       -0.6318359375,        0.9682617188,       -0.3852539062,       91.2780761719,      -19.6228027344,       26.1383056641
1494038417.1040229797,       -0.6318359375,        0.9682617188,       -0.3852539062,       91.2780761719,      -19.6228027344,       26.1383056641
1494038417.1066839695,       -0.6054687500,        0.9150390625,       -0.4545898438,       74.4171142578,      -13.1988525391,       37.8265380859
1494038417.1099579334,       -0.6054687500,        0.9150390625,       -0.4545898438,       74.4171142578,      -13.1988525391,       49.0112304688
