time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494036619.0137760639,       -0.6450195312,        2.0249023438,        0.0810546875,     -143.6004638672,       40.5578613281,     -240.0817871094
1494036619.0275940895,       -0.6450195312,        2.0249023438,        0.0810546875,     -122.0092773438,       44.2810058594,     -240.0817871094
1494036619.0312390327,       -0.6450195312,        2.0410156250,        0.1528320312,     -105.7434082031,       47.6684570312,     -223.6175537109
1494036619.0343379974,       -0.6337890625,        2.0410156250,        0.1528320312,     -105.7434082031,       47.6684570312,     -223.6175537109
1494036619.0370330811,       -0.6337890625,        2.0410156250,        0.1528320312,      -90.5761718750,       50.7202148438,     -206.8176269531
1494036619.0397219658,       -0.6337890625,        2.0410156250,        0.1528320312,      -90.5761718750,       50.7202148438,     -206.8176269531
1494036619.0424120426,       -0.7041015625,        2.0405273438,        0.1894531250,      -75.5157470703,       51.9866943359,     -189.8651123047
1494036619.0451130867,       -0.7041015625,        2.0405273438,        0.1894531250,      -75.5157470703,       51.9866943359,     -189.8651123047
1494036619.0478088856,       -0.7041015625,        2.0405273438,        0.1894531250,      -62.7288818359,       52.0324707031,     -172.7142333984
1494036619.0505020618,       -0.7041015625,        2.0405273438,        0.1894531250,      -62.7288818359,       52.0324707031,     -172.7142333984
1494036619.0531990528,       -0.8500976562,        2.0126953125,        0.2031250000,      -52.7954101562,       51.8035888672,     -154.9224853516
1494036619.0557510853,       -0.8500976562,        2.0126953125,        0.2031250000,      -52.7954101562,       51.8035888672,     -154.9224853516
1494036619.0583009720,       -0.8500976562,        2.0126953125,        0.2031250000,      -41.1376953125,       51.9409179688,     -136.4746093750
1494036619.0608530045,       -0.8500976562,        2.0126953125,        0.2255859375,      -41.1376953125,       51.9409179688,     -136.4746093750
1494036619.0634779930,       -0.8852539062,        2.0483398438,        0.2255859375,      -27.5268554688,       49.2401123047,     -117.8741455078
1494036619.0660340786,       -0.8852539062,        2.0483398438,        0.2255859375,      -27.5268554688,       49.2401123047,     -117.8741455078
1494036619.0685861111,       -0.8852539062,        2.0483398438,        0.2255859375,      -27.5268554688,       44.3878173828,      -99.9450683594
1494036619.0711400509,       -0.8852539062,        1.9233398438,        0.2485351562,      -15.0909423828,       44.3878173828,      -99.9450683594
1494036619.0738489628,       -0.8115234375,        1.9609375000,        0.2485351562,      -15.0909423828,       36.5753173828,      -83.8317871094
1494036619.0764069557,       -0.8115234375,        1.9609375000,        0.2485351562,       -4.8065185547,       38.4216308594,      -83.8317871094
1494036619.0789649487,       -0.8115234375,        1.9609375000,        0.2485351562,       -4.8065185547,       38.4216308594,      -67.3980712891
