time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494036529.0136580467,       -0.5078125000,       -0.0512695312,       -0.1347656250,      -35.8123779297,        6.4849853516,       97.7478027344
1494036529.0273079872,       -0.5078125000,       -0.0512695312,       -0.1347656250,      -35.6140136719,        6.4849853516,       97.7478027344
1494036529.0306630135,       -0.5078125000,       -0.0512695312,       -0.1347656250,      -39.6118164062,        7.9956054688,       87.7532958984
1494036529.0341539383,       -0.4179687500,       -0.1123046875,       -0.1264648438,      -39.6118164062,        7.9956054688,       76.0345458984
1494036529.0368499756,       -0.4179687500,       -0.1123046875,       -0.1264648438,      -43.0297851562,       10.0708007812,       77.5299072266
1494036529.0395541191,       -0.4179687500,       -0.1123046875,       -0.1264648438,      -43.0297851562,       10.0708007812,       77.5299072266
1494036529.0422449112,       -0.3437500000,       -0.1557617188,       -0.1210937500,      -45.0592041016,       11.9323730469,       66.2231445312
1494036529.0449550152,       -0.3437500000,       -0.1557617188,       -0.1210937500,      -45.0592041016,       11.9323730469,       66.2231445312
1494036529.0476479530,       -0.3437500000,       -0.1557617188,       -0.1210937500,      -46.6003417969,       13.6260986328,       55.2062988281
1494036529.0503370762,       -0.3437500000,       -0.1557617188,       -0.1210937500,      -46.6003417969,       13.6260986328,       55.2062988281
1494036529.0530281067,       -0.3046875000,       -0.2138671875,       -0.1040039062,      -48.1719970703,       15.3503417969,       43.6096191406
1494036529.0557301044,       -0.3046875000,       -0.2138671875,       -0.1040039062,      -48.1719970703,       15.3503417969,       43.6096191406
1494036529.0584199429,       -0.3046875000,       -0.2138671875,       -0.1040039062,      -49.4537353516,       17.1966552734,       33.1878662109
1494036529.0611169338,       -0.3046875000,       -0.2138671875,       -0.1040039062,      -49.4537353516,       17.1966552734,       33.1878662109
1494036529.0638430119,       -0.3002929688,       -0.2543945312,       -0.1059570312,      -51.8798828125,       18.2189941406,       22.3846435547
1494036529.0663909912,       -0.3002929688,       -0.2543945312,       -0.1059570312,      -51.8798828125,       18.2189941406,       22.3846435547
1494036529.0689411163,       -0.3002929688,       -0.2543945312,       -0.1059570312,      -54.5654296875,       18.7225341797,       11.3220214844
1494036529.0714900494,       -0.3002929688,       -0.2543945312,       -0.1059570312,      -54.5654296875,       18.7225341797,       11.3220214844
1494036529.0740818977,       -0.2924804688,       -0.2246093750,       -0.0859375000,      -56.2438964844,       19.1192626953,        0.0305175781
1494036529.0766420364,       -0.2924804688,       -0.2246093750,       -0.0859375000,      -56.2438964844,       19.1192626953,        0.0305175781
1494036529.0791969299,       -0.2924804688,       -0.2246093750,       -0.0859375000,      -55.6945800781,       19.4244384766,      -11.2304687500
1494036529.0817620754,       -0.2924804688,       -0.2246093750,       -0.0712890625,      -55.6945800781,       19.4244384766,      -11.2304687500
1494036529.0844659805,       -0.2836914062,       -0.1821289062,       -0.0712890625,      -54.0008544922,       18.8751220703,      -22.9492187500
1494036529.0870220661,       -0.2836914062,       -0.1821289062,       -0.0712890625,      -54.0008544922,       18.8751220703,      -22.9492187500
1494036529.0895829201,       -0.2836914062,       -0.1821289062,       -0.0712890625,      -54.0008544922,       18.4020996094,      -34.2559814453
1494036529.0921380520,       -0.2836914062,       -0.1821289062,       -0.0610351562,      -51.4373779297,       18.4020996094,      -34.2559814453
1494036529.0948948860,       -0.2851562500,       -0.1816406250,       -0.0610351562,      -47.5311279297,       18.4173583984,      -45.1354980469
1494036529.0975921154,       -0.2851562500,       -0.1816406250,       -0.0610351562,      -48.6755371094,       18.4173583984,      -45.1354980469
1494036529.1004569530,       -0.2851562500,       -0.1816406250,       -0.0610351562,      -44.7692871094,       18.4936523438,      -55.7556152344
1494036529.1031999588,       -0.2929687500,       -0.1967773438,       -0.0615234375,      -46.6156005859,       18.4936523438,      -55.7556152344
1494036529.1059010029,       -0.2929687500,       -0.1967773438,       -0.0615234375,      -46.6156005859,       18.4173583984,      -65.5364990234
1494036529.1085979939,       -0.2929687500,       -0.1967773438,       -0.0615234375,      -45.4406738281,       18.4173583984,      -65.5364990234
1494036529.1112990379,       -0.2929687500,       -0.1967773438,       -0.0615234375,      -45.4406738281,       19.0429687500,      -74.7985839844
1494036529.1139678955,       -0.2700195312,       -0.1650390625,       -0.0483398438,      -45.4559326172,       19.0429687500,      -74.7985839844
1494036529.1165370941,       -0.2700195312,       -0.1650390625,       -0.0483398438,      -45.4559326172,       22.9492187500,      -83.6791992188
1494036529.1191000938,       -0.2700195312,       -0.1650390625,       -0.0483398438,      -45.0286865234,       19.5617675781,      -83.6791992188
1494036529.1216549873,       -0.2700195312,       -0.1650390625,       -0.0483398438,      -45.0286865234,       19.5617675781,      -92.7734375000
1494036529.1242671013,       -0.2397460938,       -0.1328125000,       -0.0429687500,      -44.6166992188,       20.0958251953,      -92.7734375000
1494036529.1268289089,       -0.2397460938,       -0.1328125000,       -0.0429687500,      -44.6166992188,       20.0958251953,     -100.5859375000
1494036529.1293859482,       -0.2397460938,       -0.1328125000,       -0.0429687500,      -43.8537597656,       20.6451416016,     -101.5167236328
1494036529.1319859028,       -0.2397460938,       -0.1328125000,       -0.0429687500,      -43.8537597656,       20.6451416016,     -101.5167236328
1494036529.1346609592,       -0.2265625000,       -0.0874023438,       -0.0346679688,      -42.9077148438,       20.7672119141,     -110.2142333984
1494036529.1373651028,       -0.2265625000,       -0.0874023438,       -0.0346679688,      -42.9077148438,       20.7672119141,     -110.2142333984
1494036529.1400620937,       -0.2265625000,       -0.0874023438,       -0.0346679688,      -39.6423339844,       20.6604003906,     -118.6370849609
1494036529.1427600384,       -0.2265625000,       -0.0004882812,       -0.0043945312,      -39.6423339844,       20.6604003906,     -118.6370849609
1494036529.1455070972,       -0.2231445312,       -0.0004882812,       -0.0043945312,      -35.7055664062,       20.2941894531,     -126.1138916016
1494036529.1482000351,       -0.2231445312,       -0.0004882812,       -0.0043945312,      -35.7055664062,       20.2941894531,     -126.1138916016
1494036529.1509869099,       -0.2231445312,       -0.0004882812,       -0.0043945312,      -30.7464599609,       19.8822021484,     -132.9650878906
1494036529.1536939144,       -0.2568359375,        0.0415039062,        0.0278320312,      -30.7464599609,       19.8822021484,     -132.9650878906
1494036529.1563930511,       -0.2568359375,        0.0415039062,        0.0278320312,      -26.4282226562,       18.8446044922,     -139.2669677734
1494036529.1590890884,       -0.2568359375,        0.0415039062,        0.0278320312,      -26.4282226562,       18.8446044922,     -139.2669677734
1494036529.1617870331,       -0.2568359375,        0.0415039062,        0.0278320312,      -20.6756591797,       18.4936523438,     -145.6451416016
1494036529.1644389629,       -0.2880859375,        0.1538085938,        0.0610351562,      -20.6756591797,       18.4936523438,     -145.6451416016
1494036529.1669969559,       -0.2880859375,        0.1538085938,        0.0610351562,      -13.2904052734,       17.4102783203,     -151.0162353516
1494036529.1695590019,       -0.2880859375,        0.1538085938,        0.0610351562,      -13.2904052734,       17.4102783203,     -151.0162353516
1494036529.1722331047,       -0.2880859375,        0.1538085938,        0.0610351562,       -5.7373046875,       15.3503417969,     -155.6396484375
1494036529.1749479771,       -0.3095703125,        0.2138671875,        0.0820312500,       -5.7373046875,       15.3503417969,     -155.6396484375
1494036529.1776499748,       -0.3095703125,        0.2138671875,        0.0820312500,        0.9765625000,       13.4429931641,     -159.0118408203
1494036529.1803460121,       -0.3095703125,        0.2138671875,        0.0820312500,        0.9765625000,       13.4429931641,     -159.0118408203
1494036529.1831429005,       -0.3095703125,        0.2109375000,        0.0722656250,        6.2255859375,       11.7492675781,     -161.1480712891
1494036529.1861629486,       -0.3525390625,        0.2109375000,        0.0722656250,        6.2255859375,       11.7492675781,     -161.1480712891
1494036529.1887180805,       -0.3525390625,        0.2109375000,        0.0722656250,        9.4451904297,       10.6506347656,     -162.7960205078
1494036529.1912720203,       -0.3525390625,        0.2109375000,        0.0722656250,        9.4451904297,       10.6506347656,     -162.7960205078
1494036529.1939089298,       -0.3510742188,        0.2578125000,        0.0332031250,       11.8255615234,        9.4299316406,     -163.9404296875
1494036529.1966040134,       -0.3510742188,        0.2578125000,        0.0332031250,       11.8255615234,        9.4299316406,     -163.9404296875
1494036529.1993041039,       -0.3510742188,        0.2578125000,        0.0332031250,       13.8244628906,        8.2397460938,     -164.4592285156
1494036529.2020020485,       -0.3510742188,        0.2578125000,        0.0332031250,       13.8244628906,        8.2397460938,     -164.4592285156
1494036529.2047090530,       -0.3486328125,        0.3090820312,        0.0151367188,       14.9841308594,        7.4615478516,     -164.9475097656
1494036529.2074060440,       -0.3486328125,        0.3090820312,        0.0151367188,       14.9841308594,        7.4615478516,     -164.9475097656
1494036529.2100980282,       -0.3486328125,        0.3090820312,        0.0151367188,       15.2587890625,        5.8898925781,     -165.1458740234
1494036529.2127950191,       -0.3486328125,        0.3090820312,        0.0117187500,       15.2587890625,        5.8898925781,     -165.1458740234
1494036529.2153840065,       -0.3413085938,        0.3564453125,        0.0117187500,       15.1824951172,        4.7607421875,     -165.2984619141
1494036529.2179369926,       -0.3413085938,        0.3564453125,        0.0117187500,       15.1824951172,        4.7607421875,     -165.2984619141
1494036529.2204918861,       -0.3413085938,        0.3564453125,        0.0117187500,       14.6789550781,        2.9602050781,     -164.3066406250
