time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494036439.0135030746,       -0.7353515625,        0.1474609375,       -0.0273437500,        4.2572021484,       -0.2593994141,        0.2441406250
1494036439.0279500484,       -0.7353515625,        0.1474609375,       -0.0273437500,        4.2572021484,       -0.2593994141,        0.1068115234
1494036439.0308709145,       -0.7353515625,        0.1474609375,       -0.0273437500,        5.1727294922,       -0.2441406250,        0.1068115234
1494036439.0335640907,       -0.7329101562,        0.1381835938,       -0.0102539062,        5.1727294922,       -0.2441406250,        0.0457763672
1494036439.0362451077,       -0.7329101562,        0.1381835938,       -0.0102539062,        6.5002441406,       -0.1373291016,        0.0457763672
1494036439.0389239788,       -0.7329101562,        0.1381835938,       -0.0102539062,        6.5002441406,       -0.1373291016,       -0.0152587891
1494036439.0416009426,       -0.7329101562,        0.1381835938,       -0.0292968750,        6.9732666016,       -0.0457763672,       -0.0152587891
1494036439.0442910194,       -0.7231445312,        0.1279296875,       -0.0292968750,        6.9732666016,       -0.0457763672,       -0.2899169922
1494036439.0469729900,       -0.7231445312,        0.1279296875,       -0.0292968750,        7.1563720703,       -0.1373291016,       -0.2899169922
1494036439.0496520996,       -0.7231445312,        0.1279296875,       -0.0292968750,        7.1563720703,       -0.1373291016,       -0.1525878906
1494036439.0523331165,       -0.7231445312,        0.1352539062,       -0.0341796875,        7.1868896484,       -0.1068115234,       -0.1525878906
1494036439.0550720692,       -0.7324218750,        0.1352539062,       -0.0341796875,        7.1868896484,       -0.1068115234,       -0.1525878906
1494036439.0577580929,       -0.7324218750,        0.1352539062,       -0.0341796875,        6.7901611328,        0.1373291016,       -0.3204345703
1494036439.0604341030,       -0.7324218750,        0.1352539062,       -0.0341796875,        6.7901611328,        0.1373291016,       -0.3204345703
1494036439.0631079674,       -0.7348632812,        0.1328125000,       -0.0278320312,        6.5002441406,        0.3204345703,       -0.2441406250
1494036439.0656518936,       -0.7348632812,        0.1328125000,       -0.0278320312,        6.5002441406,        0.3204345703,       -0.2441406250
1494036439.0681889057,       -0.7348632812,        0.1328125000,       -0.0278320312,        5.3405761719,       -0.1983642578,       -0.3051757812
1494036439.0707290173,       -0.7348632812,        0.1328125000,       -0.0278320312,        5.3405761719,       -0.1983642578,       -0.3051757812
1494036439.0733509064,       -0.7265625000,        0.1201171875,       -0.0429687500,        4.6539306641,       -0.3356933594,       -0.3356933594
1494036439.0759010315,       -0.7265625000,        0.1201171875,       -0.0429687500,        4.6539306641,       -0.3356933594,       -0.3356933594
1494036439.0784540176,       -0.7265625000,        0.1201171875,       -0.0429687500,        3.7689208984,       -0.3204345703,       -0.3356933594
1494036439.0810070038,       -0.7265625000,        0.1201171875,       -0.0429687500,        3.7689208984,       -0.3204345703,       -0.3356933594
1494036439.0836610794,       -0.7397460938,        0.1357421875,       -0.0625000000,        3.0975341797,        0.0457763672,       -0.1525878906
1494036439.0863618851,       -0.7397460938,        0.1357421875,       -0.0625000000,        3.0975341797,        0.0457763672,       -0.1525878906
1494036439.0890550613,       -0.7397460938,        0.1357421875,       -0.0625000000,        2.9144287109,        0.2746582031,       -0.1525878906
