time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494038124.0075500011,       -0.7026367188,        0.1743164062,        0.0942382812,        9.2926025391,       -5.4931640625,       18.2342529297
1494038124.0174078941,       -0.7041015625,        0.1669921875,        0.0849609375,        9.2926025391,       -5.4473876953,       19.3634033203
1494038124.0203011036,       -0.7041015625,        0.1669921875,        0.0849609375,        7.9803466797,       -5.4473876953,       19.3634033203
1494038124.0234839916,       -0.7041015625,        0.1669921875,        0.0849609375,        8.2244873047,       -5.2947998047,       20.2789306641
1494038124.0261850357,       -0.7041015625,        0.1669921875,        0.0849609375,        8.2244873047,       -5.2947998047,       20.2789306641
1494038124.0288810730,       -0.7192382812,        0.1474609375,        0.1049804688,        9.6130371094,       -5.4168701172,       20.8587646484
1494038124.0315709114,       -0.7192382812,        0.1474609375,        0.1049804688,        9.6130371094,       -5.4168701172,       20.8587646484
1494038124.0342700481,       -0.7192382812,        0.1474609375,        0.1049804688,        9.9029541016,       -6.3629150391,       21.7895507812
1494038124.0369648933,       -0.7192382812,        0.1694335938,        0.0698242188,        9.9029541016,       -6.3629150391,       21.7895507812
1494038124.0396540165,       -0.7133789062,        0.1694335938,        0.0698242188,        8.5754394531,       -7.1868896484,       23.0407714844
1494038124.0423419476,       -0.7133789062,        0.1694335938,        0.0698242188,        8.5754394531,       -7.1868896484,       23.0407714844
1494038124.0450820923,       -0.7133789062,        0.1694335938,        0.0698242188,        7.9345703125,       -7.1716308594,       23.3917236328
1494038124.0477740765,       -0.7329101562,        0.1586914062,        0.0834960938,        7.9345703125,       -7.1716308594,       23.3917236328
1494038124.0504670143,       -0.7329101562,        0.1586914062,        0.0834960938,        8.8348388672,       -7.4157714844,       23.9105224609
1494038124.0531940460,       -0.7329101562,        0.1586914062,        0.0834960938,        8.8348388672,       -7.4157714844,       23.9105224609
1494038124.0557510853,       -0.7329101562,        0.1586914062,        0.0834960938,        9.8876953125,       -7.3699951172,       24.7192382812
1494038124.0583050251,       -0.7382812500,        0.1918945312,        0.0610351562,        9.8876953125,       -7.3699951172,       24.7192382812
1494038124.0608539581,       -0.7382812500,        0.1918945312,        0.0610351562,        9.8876953125,      -11.2762451172,       25.4211425781
1494038124.0634610653,       -0.7382812500,        0.1918945312,        0.0610351562,       10.2539062500,       -7.9803466797,       25.4211425781
1494038124.0660231113,       -0.7382812500,        0.1918945312,        0.0610351562,       10.2539062500,       -7.9803466797,       25.4516601562
1494038124.0685780048,       -0.7348632812,        0.2084960938,        0.0527343750,       10.3607177734,       -8.6364746094,       25.4516601562
1494038124.0711340904,       -0.7348632812,        0.2084960938,        0.0527343750,       10.3607177734,       -8.6364746094,       25.4516601562
1494038124.0737960339,       -0.7348632812,        0.2084960938,        0.0527343750,       11.7797851562,       -8.5754394531,       25.0396728516
1494038124.0763518810,       -0.7348632812,        0.2084960938,        0.0527343750,       11.7797851562,       -8.5754394531,       25.0396728516
1494038124.0789198875,       -0.7338867188,        0.2250976562,        0.0649414062,       13.3666992188,       -8.5906982422,       24.4140625000
1494038124.0814769268,       -0.7338867188,        0.2250976562,        0.0649414062,       13.3666992188,       -8.5906982422,       24.4140625000
1494038124.0842130184,       -0.7338867188,        0.2250976562,        0.0649414062,       13.6566162109,       -8.8653564453,       24.6124267578
1494038124.0869150162,       -0.7338867188,        0.2250976562,        0.0649414062,       13.6566162109,       -8.8653564453,       24.6124267578
1494038124.0897700787,       -0.7338867188,        0.2270507812,        0.0683593750,       13.5040283203,       -8.8043212891,       25.0549316406
1494038124.0924661160,       -0.7338867188,        0.2270507812,        0.0683593750,       13.5040283203,       -8.8043212891,       25.0549316406
1494038124.0950820446,       -0.7338867188,        0.2270507812,        0.0683593750,       12.1459960938,       -8.9569091797,       25.0091552734
1494038124.0976378918,       -0.7338867188,        0.2236328125,        0.0649414062,       12.1459960938,       -8.9569091797,       25.0091552734
1494038124.1002049446,       -0.7094726562,        0.2236328125,        0.0649414062,       11.2609863281,       -8.9874267578,       24.5513916016
1494038124.1027650833,       -0.7094726562,        0.2236328125,        0.0649414062,       11.2609863281,       -8.9874267578,       24.5513916016
1494038124.1054890156,       -0.7094726562,        0.2236328125,        0.0649414062,       11.0168457031,       -8.4991455078,       25.2532958984
1494038124.1081929207,       -0.7065429688,        0.2187500000,        0.0932617188,       11.0168457031,       -8.4991455078,       25.2532958984
1494038124.1108849049,       -0.7065429688,        0.2187500000,        0.0932617188,       10.9558105469,       -8.8958740234,       26.0162353516
1494038124.1135699749,       -0.7065429688,        0.2187500000,        0.0932617188,       10.9558105469,       -8.8958740234,       26.0162353516
1494038124.1161260605,       -0.7065429688,        0.2187500000,        0.0932617188,       11.3220214844,       -9.1552734375,       26.5960693359
1494038124.1186840534,       -0.6948242188,        0.2192382812,        0.1113281250,       11.3220214844,       -9.1552734375,       26.5960693359
1494038124.1212410927,       -0.6948242188,        0.2192382812,        0.1113281250,       12.6190185547,       -9.4299316406,       26.7486572266
1494038124.1238939762,       -0.6948242188,        0.2192382812,        0.1113281250,       12.6190185547,       -9.4299316406,       26.7486572266
1494038124.1265881062,       -0.6948242188,        0.2192382812,        0.1113281250,       13.9770507812,       -9.8724365234,       27.4658203125
1494038124.1292860508,       -0.6889648438,        0.2236328125,        0.0986328125,       13.9770507812,       -9.8724365234,       27.4658203125
1494038124.1319758892,       -0.6889648438,        0.2236328125,        0.0986328125,       15.7470703125,      -10.8032226562,       27.8625488281
1494038124.1346919537,       -0.6889648438,        0.2236328125,        0.0986328125,       15.7470703125,      -10.8032226562,       27.8625488281
1494038124.1373879910,       -0.6889648438,        0.2236328125,        0.0986328125,       17.8680419922,      -11.6424560547,       28.1524658203
1494038124.1401560307,       -0.7021484375,        0.2329101562,        0.1108398438,       17.8680419922,      -11.6424560547,       28.1524658203
1494038124.1428599358,       -0.7021484375,        0.2329101562,        0.1108398438,       20.0042724609,      -12.2528076172,       28.2287597656
1494038124.1454589367,       -0.7021484375,        0.2329101562,        0.1108398438,       20.0042724609,      -12.2528076172,       28.2287597656
1494038124.1480219364,       -0.7021484375,        0.2329101562,        0.0937500000,       20.0042724609,      -13.2141113281,       28.3966064453
1494038124.1505839825,       -0.7109375000,        0.2397460938,        0.0937500000,       21.9421386719,      -13.2141113281,       28.3966064453
1494038124.1531929970,       -0.7109375000,        0.2397460938,        0.0937500000,       21.9421386719,      -13.2141113281,       28.9916992188
1494038124.1558949947,       -0.7109375000,        0.2397460938,        0.0937500000,       23.1018066406,      -14.4042968750,       28.9916992188
1494038124.1585919857,       -0.7197265625,        0.2368164062,        0.0722656250,       23.1018066406,      -14.4042968750,       29.4799804688
1494038124.1613979340,       -0.7197265625,        0.2368164062,        0.0722656250,       23.6511230469,      -14.4653320312,       29.4799804688
1494038124.1641099453,       -0.7197265625,        0.2368164062,        0.0722656250,       23.6511230469,      -14.4653320312,       30.5480957031
1494038124.1668150425,       -0.7197265625,        0.2368164062,        0.0722656250,       23.1323242188,      -14.3127441406,       30.5480957031
1494038124.1695160866,       -0.7182617188,        0.2485351562,        0.0502929688,       23.1323242188,      -14.3127441406,       31.0363769531
1494038124.1722190380,       -0.7182617188,        0.2485351562,        0.0502929688,       22.4609375000,      -14.4805908203,       31.0363769531
1494038124.1748490334,       -0.7182617188,        0.2485351562,        0.0502929688,       22.4609375000,      -14.4805908203,       31.8756103516
1494038124.1774051189,       -0.7182617188,        0.2485351562,        0.0502929688,       22.7661132812,      -14.8315429688,       31.8756103516
1494038124.1799640656,       -0.7255859375,        0.2358398438,        0.0581054688,       22.7661132812,      -14.8315429688,       31.8756103516
1494038124.1825249195,       -0.7255859375,        0.2358398438,        0.0581054688,       22.9187011719,      -15.1367187500,       32.6690673828
1494038124.1852190495,       -0.7255859375,        0.2358398438,        0.0581054688,       22.9187011719,      -15.1367187500,       32.6690673828
1494038124.1877779961,       -0.7255859375,        0.2358398438,        0.0581054688,       23.5290527344,      -15.5639648438,       33.4625244141
1494038124.1903350353,       -0.7285156250,        0.2231445312,        0.0625000000,       23.5290527344,      -15.5639648438,       33.4625244141
1494038124.1928899288,       -0.7285156250,        0.2231445312,        0.0625000000,       23.4680175781,      -15.8996582031,       34.3322753906
1494038124.1965661049,       -0.7285156250,        0.2231445312,        0.0625000000,       19.5617675781,      -16.3269042969,       35.5834960938
1494038124.2004070282,       -0.7241210938,        0.2285156250,        0.0654296875,       22.4914550781,      -16.3269042969,       35.5834960938
1494038124.2037649155,       -0.7241210938,        0.2285156250,        0.0654296875,       21.1791992188,      -16.2048339844,       36.4837646484
1494038124.2064681053,       -0.7241210938,        0.2285156250,        0.0654296875,       21.1791992188,      -16.2048339844,       36.4837646484
1494038124.2091650963,       -0.7319335938,        0.2500000000,        0.0903320312,       20.2636718750,      -16.1895751953,       37.4603271484
1494038124.2118659019,       -0.7319335938,        0.2500000000,        0.0903320312,       20.2636718750,      -16.1895751953,       37.4603271484
1494038124.2145729065,       -0.7319335938,        0.2500000000,        0.0903320312,       20.1568603516,      -16.6015625000,       38.1011962891
