time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494294251.8695158958,       -0.1142578125,        0.0756835938,       -0.1171875000,        3.7994384766,       -0.6103515625,      -52.8564453125
1494294251.8745589256,       -0.1142578125,        0.0756835938,       -0.1171875000,        3.7994384766,       -0.6103515625,      -53.1311035156
1494294251.8773200512,       -0.1142578125,        0.0756835938,       -0.0981445312,       15.2435302734,       -3.0822753906,      -53.1311035156
1494294251.8798758984,       -0.1000976562,        0.0766601562,       -0.0981445312,       15.2435302734,       -3.0822753906,      -53.2836914062
1494294251.8827219009,       -0.1000976562,        0.0766601562,       -0.0981445312,       26.6113281250,       -5.6152343750,      -53.2836914062
1494294251.8853759766,       -0.1000976562,        0.0766601562,       -0.0981445312,       26.6113281250,       -5.6152343750,      -52.1850585938
1494294251.8882980347,       -0.0888671875,        0.1357421875,       -0.0668945312,       38.5437011719,       -8.1634521484,      -52.1850585938
1494294251.8909959793,       -0.0888671875,        0.1357421875,       -0.0668945312,       38.5437011719,       -8.1634521484,      -50.1098632812
1494294251.8936851025,       -0.0888671875,        0.1357421875,       -0.0668945312,       49.1180419922,      -10.7116699219,      -50.1098632812
1494294251.8963799477,       -0.0888671875,        0.1357421875,       -0.0668945312,       49.1180419922,      -10.7116699219,      -47.1649169922
1494294251.8990790844,       -0.0805664062,        0.2231445312,       -0.0156250000,       55.8471679688,      -12.6037597656,      -47.1649169922
1494294251.9017829895,       -0.0805664062,        0.2231445312,       -0.0156250000,       55.8471679688,      -12.6037597656,      -43.2586669922
1494294251.9044780731,       -0.0805664062,        0.2231445312,       -0.0156250000,       62.8204345703,      -13.7939453125,      -43.5485839844
1494294251.9071669579,       -0.0805664062,        0.2231445312,       -0.0156250000,       62.8204345703,      -13.7939453125,      -39.6423339844
1494294251.9098570347,       -0.0966796875,        0.3012695312,       -0.0117187500,       68.9239501953,      -14.0533447266,      -39.3066406250
