time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494293922.7599339485,       -1.0004882812,       -0.1943359375,        0.1655273438,       84.3353271484,      -16.6473388672,      166.0919189453
1494293922.7644870281,       -1.0615234375,       -0.2119140625,        0.1660156250,       84.3353271484,      -16.6473388672,      158.5998535156
1494293922.7672469616,       -1.0615234375,       -0.2119140625,        0.1660156250,       90.7745361328,      -18.6614990234,      158.5998535156
1494293922.7703158855,       -1.0615234375,       -0.2119140625,        0.1660156250,       90.7745361328,      -22.5677490234,      151.2603759766
1494293922.7730300426,       -1.0615234375,       -0.2119140625,        0.1967773438,       93.2922363281,      -20.0042724609,      151.2603759766
1494293922.7757289410,       -1.1416015625,       -0.2333984375,        0.1967773438,       93.2922363281,      -20.0042724609,      142.7917480469
1494293922.7784290314,       -1.1416015625,       -0.2333984375,        0.1967773438,       91.7053222656,      -20.2789306641,      142.7917480469
1494293922.7811739445,       -1.1416015625,       -0.2333984375,        0.1967773438,       91.7053222656,      -16.3726806641,      133.1024169922
1494293922.7838659286,       -1.3471679688,       -0.1572265625,        0.2436523438,       88.2110595703,      -18.4783935547,      133.1024169922
1494293922.7865610123,       -1.3471679688,       -0.1572265625,        0.2436523438,       88.2110595703,      -14.5721435547,      121.9635009766
1494293922.7892489433,       -1.3471679688,       -0.1572265625,        0.2436523438,       83.2214355469,      -15.3503417969,      121.9635009766
1494293922.7919530869,       -1.3471679688,       -0.1572265625,        0.2436523438,       83.2214355469,      -11.4440917969,      109.4970703125
1494293922.7946510315,       -1.5957031250,       -0.0766601562,        0.3203125000,       74.5239257812,      -10.6201171875,      109.4970703125
1494293922.7973499298,       -1.5957031250,       -0.0766601562,        0.3203125000,       74.5239257812,      -10.6201171875,       97.1527099609
1494293922.8000509739,       -1.5957031250,       -0.0766601562,        0.3203125000,       59.7991943359,       -5.7220458984,       97.1527099609
1494293922.8026459217,       -1.5957031250,       -0.0766601562,        0.3203125000,       59.7991943359,       -5.7220458984,       85.3576660156
1494293922.8051960468,       -1.5400390625,        0.0058593750,        0.3491210938,       44.2962646484,        0.4425048828,       85.3576660156
1494293922.8077590466,       -1.5400390625,        0.0058593750,        0.3491210938,       44.2962646484,        0.4425048828,       85.3576660156
1494293922.8103079796,       -1.5400390625,        0.0058593750,        0.3491210938,       29.0985107422,        8.2092285156,       73.5015869141
1494293922.8130080700,       -1.5400390625,        0.0058593750,        0.2241210938,       29.0985107422,        8.2092285156,       73.5015869141
1494293922.8155689240,       -1.0712890625,       -0.0009765625,        0.2485351562,       16.3116455078,       16.2048339844,       57.8308105469
1494293922.8181259632,       -1.0712890625,       -0.0009765625,        0.2485351562,       16.3116455078,       16.2048339844,       57.8308105469
1494293922.8207929134,       -1.0712890625,       -0.0009765625,        0.2485351562,        5.0506591797,       21.5148925781,       38.4826660156
1494293922.8234798908,       -1.0712890625,        0.1240234375,        0.1406250000,        5.0506591797,       21.5148925781,       38.4826660156
1494293922.8261580467,       -0.7465820312,        0.0483398438,        0.1406250000,       -6.4086914062,       24.3835449219,       18.0358886719
1494293922.8288409710,       -0.7465820312,        0.0483398438,        0.1406250000,       -6.4086914062,       24.3835449219,       18.0358886719
1494293922.8315670490,       -0.7465820312,        0.0483398438,        0.1406250000,      -18.0358886719,       25.9246826172,       -0.4577636719
1494293922.8342430592,       -0.6396484375,        0.1450195312,        0.0219726562,      -18.0358886719,       25.9246826172,       -0.4577636719
1494293922.8370668888,       -0.6396484375,        0.1450195312,        0.0219726562,      -27.4505615234,       27.2064208984,      -18.5699462891
1494293922.8397490978,       -0.6396484375,        0.1450195312,        0.0219726562,      -27.4505615234,       27.2064208984,      -18.5699462891
1494293922.8424460888,       -0.6396484375,        0.1450195312,        0.0219726562,      -35.1867675781,       27.9998779297,      -37.8265380859
1494293922.8451249599,       -0.5102539062,        0.2993164062,       -0.0039062500,      -35.1867675781,       27.9998779297,      -37.8265380859
1494293922.8478100300,       -0.5102539062,        0.2993164062,       -0.0039062500,      -38.8183593750,       27.6336669922,      -59.1735839844
1494293922.8504960537,       -0.5102539062,        0.2993164062,       -0.0039062500,      -38.8183593750,       27.6336669922,      -59.1735839844
1494293922.8530690670,       -0.5102539062,        0.2993164062,       -0.0039062500,      -38.0401611328,       27.0385742188,      -81.6497802734
1494293922.8556609154,       -0.3569335938,        0.4165039062,        0.0068359375,      -38.0401611328,       27.0385742188,      -81.6497802734
1494293922.8582160473,       -0.3569335938,        0.4165039062,        0.0068359375,      -33.9965820312,       26.3366699219,     -104.4616699219
1494293922.8607769012,       -0.3569335938,        0.4165039062,        0.0068359375,      -33.9965820312,       26.3366699219,     -104.4616699219
1494293922.8635470867,       -0.3569335938,        0.4165039062,        0.0068359375,      -30.6396484375,       25.2380371094,     -126.4953613281
1494293922.8661088943,       -0.2314453125,        0.4770507812,        0.0429687500,      -30.6396484375,       25.2380371094,     -126.4953613281
1494293922.8686649799,       -0.2314453125,        0.4770507812,        0.0429687500,      -30.6396484375,       22.9034423828,     -147.8118896484
1494293922.8713459969,       -0.2314453125,        0.4770507812,        0.0429687500,      -29.0374755859,       22.9034423828,     -147.8118896484
1494293922.8740079403,       -0.2314453125,        0.4770507812,        0.0874023438,      -29.0374755859,       18.8446044922,     -168.4112548828
1494293922.8768200874,       -0.1416015625,        0.4604492188,        0.0874023438,      -29.9072265625,       18.8446044922,     -168.4112548828
1494293922.8795309067,       -0.1416015625,        0.4604492188,        0.0874023438,      -33.6303710938,       13.8397216797,     -188.9801025391
1494293922.8822450638,       -0.1416015625,        0.4604492188,        0.0874023438,      -33.6303710938,       13.8397216797,     -188.9801025391
1494293922.8849489689,       -0.1435546875,        0.4287109375,        0.1259765625,      -37.5366210938,        9.8571777344,     -208.5723876953
1494293922.8876450062,       -0.1435546875,        0.4287109375,        0.1259765625,      -38.3148193359,        9.8571777344,     -208.5723876953
1494293922.8903410435,       -0.1435546875,        0.4287109375,        0.1259765625,      -42.2210693359,        6.5460205078,     -227.2491455078
1494293922.8929369450,       -0.1435546875,        0.4287109375,        0.1259765625,      -41.3208007812,        6.5460205078,     -227.2491455078
1494293922.8954980373,       -0.2250976562,        0.4189453125,        0.1201171875,      -41.3208007812,        2.6397705078,     -244.9188232422
1494293922.8980569839,       -0.2250976562,        0.4189453125,        0.1201171875,      -41.5954589844,        3.6468505859,     -244.9188232422
1494293922.9006140232,       -0.2250976562,        0.4189453125,        0.1201171875,      -41.5954589844,        3.6468505859,     -261.0015869141
1494293922.9033620358,       -0.2250976562,        0.4189453125,        0.1201171875,      -41.1224365234,        1.8157958984,     -261.0015869141
1494293922.9060609341,       -0.3378906250,        0.3813476562,        0.1000976562,      -41.1224365234,        1.8157958984,     -274.2919921875
1494293922.9088768959,       -0.3378906250,        0.3813476562,        0.1000976562,      -45.3643798828,        0.3051757812,     -274.2919921875
1494293922.9115500450,       -0.3378906250,        0.3813476562,        0.1000976562,      -45.3643798828,        0.3051757812,     -286.9720458984
1494293922.9141039848,       -0.3378906250,        0.3813476562,        0.0815429688,      -53.4515380859,       -2.0141601562,     -286.9720458984
1494293922.9166610241,       -0.4042968750,        0.3315429688,        0.0815429688,      -53.4515380859,       -2.0141601562,     -286.9720458984
1494293922.9192171097,       -0.4042968750,        0.3315429688,        0.0815429688,      -59.1735839844,       -4.7149658203,     -299.6215820312
1494293922.9218819141,       -0.4042968750,        0.3315429688,        0.0815429688,      -59.1735839844,       -4.7149658203,     -299.6215820312
1494293922.9244370461,       -0.4042968750,        0.4565429688,        0.0581054688,      -62.6068115234,       -6.9427490234,     -311.4013671875
1494293922.9269950390,       -0.5068359375,        0.3784179688,        0.0581054688,      -62.6068115234,       -6.9427490234,     -311.4013671875
1494293922.9295489788,       -0.5068359375,        0.3784179688,        0.0581054688,      -66.3757324219,       -8.1481933594,     -320.6939697266
1494293922.9323010445,       -0.5068359375,        0.3784179688,        0.0581054688,      -66.3757324219,       -8.1481933594,     -320.6939697266
1494293922.9349989891,       -0.5068359375,        0.4082031250,        0.0063476562,      -68.0847167969,       -7.9956054688,     -328.1097412109
1494293922.9376931190,       -0.6093750000,        0.4082031250,        0.0063476562,      -68.0847167969,       -7.9956054688,     -328.1097412109
1494293922.9403901100,       -0.6093750000,        0.4082031250,        0.0063476562,      -70.6939697266,       -7.7972412109,     -333.8165283203
1494293922.9429669380,       -0.6093750000,        0.4082031250,        0.0063476562,      -70.6939697266,       -7.7972412109,     -333.8165283203
1494293922.9455258846,       -0.6953125000,        0.3339843750,       -0.0239257812,      -82.2296142578,       -7.8582763672,     -337.9364013672
1494293922.9480841160,       -0.6953125000,        0.3339843750,       -0.0239257812,      -82.2296142578,       -7.8582763672,     -337.9364013672
1494293922.9506840706,       -0.6953125000,        0.3339843750,       -0.0239257812,      -97.7935791016,       -6.9885253906,     -341.6748046875
1494293922.9533801079,       -0.6953125000,        0.3339843750,       -0.0239257812,      -97.7935791016,       -6.9885253906,     -341.6748046875
1494293922.9560799599,       -0.7104492188,        0.3076171875,       -0.0888671875,     -113.1286621094,       -5.8288574219,     -347.0153808594
1494293922.9588780403,       -0.7104492188,        0.3076171875,       -0.0888671875,     -113.1286621094,       -5.8288574219,     -347.0153808594
1494293922.9615631104,       -0.7104492188,        0.3076171875,       -0.0888671875,     -126.0986328125,       -2.9754638672,     -352.6153564453
1494293922.9642260075,       -0.7104492188,        0.3076171875,       -0.2138671875,     -126.0986328125,       -2.9754638672,     -352.6153564453
1494293922.9669859409,       -0.7153320312,        0.3369140625,       -0.1362304688,     -142.4255371094,       -1.2359619141,     -356.8725585938
1494293922.9704229832,       -0.7153320312,        0.3369140625,       -0.1362304688,     -142.4255371094,       -1.2359619141,     -356.8725585938
1494293922.9731819630,       -0.7153320312,        0.3369140625,       -0.1362304688,     -160.6750488281,        0.9765625000,     -360.8245849609
1494293922.9758820534,       -0.6777343750,        0.4448242188,       -0.1254882812,     -160.6750488281,        0.9765625000,     -360.8245849609
1494293922.9785759449,       -0.6777343750,        0.4448242188,       -0.1254882812,     -175.9796142578,        2.8381347656,     -366.1041259766
1494293922.9812510014,       -0.6777343750,        0.4448242188,       -0.1254882812,     -175.9796142578,        2.8381347656,     -366.1041259766
1494293922.9839239120,       -0.6777343750,        0.4448242188,       -0.1254882812,     -186.7675781250,        5.0048828125,     -371.9787597656
1494293922.9864859581,       -0.7475585938,        0.5849609375,       -0.0375976562,     -186.7675781250,        5.0048828125,     -371.9787597656
