time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494295472.0910298824,       -2.9130859375,       -1.5859375000,       -0.1088867188,     -380.1879882812,     -199.0203857422,      395.3704833984
1494295472.1048378944,       -2.9130859375,       -1.5859375000,       -0.1088867188,     -258.5601806641,     -178.9245605469,      382.6141357422
1494295472.1075689793,       -3.0737304688,       -0.6933593750,       -0.3452148438,     -258.5601806641,     -178.9245605469,      382.6141357422
1494295472.1102221012,       -3.0737304688,       -0.6933593750,       -0.3452148438,     -140.3350830078,     -157.5317382812,      353.0883789062
1494295472.1128640175,       -3.0737304688,       -0.6933593750,       -0.3452148438,     -140.3350830078,     -157.5317382812,      353.0883789062
1494295472.1154139042,       -3.0737304688,       -0.6933593750,       -0.0048828125,      -33.0657958984,     -139.4500732422,      323.0895996094
1494295472.1179640293,       -3.0278320312,       -0.3725585938,       -0.0048828125,      -33.0657958984,     -139.4500732422,      323.0895996094
1494295472.1205210686,       -3.0278320312,       -0.3725585938,       -0.0048828125,       53.9245605469,     -121.2005615234,      301.9866943359
1494295472.1232149601,       -3.0278320312,       -0.3725585938,       -0.0048828125,       53.9245605469,     -121.2005615234,      301.9866943359
1494295472.1259109974,       -3.0278320312,       -0.9335937500,       -0.6206054688,      141.7541503906,      -92.3461914062,      284.3933105469
1494295472.1286098957,       -2.9990234375,       -0.9335937500,       -0.6206054688,      141.7541503906,      -92.3461914062,      284.3933105469
1494295472.1313199997,       -2.9990234375,       -0.9335937500,       -0.6206054688,      201.7669677734,      -53.1463623047,      265.7470703125
1494295472.1338760853,       -2.9990234375,       -0.9335937500,       -0.6206054688,      201.7669677734,      -53.1463623047,      265.7470703125
1494295472.1364269257,       -2.8120117188,       -1.2524414062,       -1.2016601562,      226.3183593750,      -11.3220214844,      239.7003173828
1494295472.1389780045,       -2.8120117188,       -1.2524414062,       -1.2016601562,      226.3183593750,      -11.3220214844,      239.7003173828
1494295472.1416699886,       -2.8120117188,       -1.2524414062,       -1.2016601562,      226.3183593750,       23.2238769531,      200.5004882812
1494295472.1442160606,       -2.8120117188,       -1.2524414062,       -1.2016601562,      223.5870361328,       23.2238769531,      200.5004882812
1494295472.1467649937,       -2.0058593750,       -1.2827148438,       -1.2856445312,      223.5870361328,       54.4738769531,      151.8249511719
1494295472.1493139267,       -2.0058593750,       -1.2827148438,       -1.2856445312,      204.5745849609,       52.4902343750,      151.8249511719
1494295472.1520791054,       -2.0058593750,       -1.2827148438,       -1.2856445312,      204.5745849609,       79.8339843750,       96.0083007812
1494295472.1547811031,       -2.0058593750,       -1.2827148438,       -1.2856445312,      181.2744140625,       80.5969238281,       96.0083007812
1494295472.1574718952,       -1.1308593750,       -1.0727539062,       -1.0200195312,      181.2744140625,       80.5969238281,       34.3627929688
1494295472.1601641178,       -1.1308593750,       -1.0727539062,       -1.0200195312,      152.8320312500,      106.9641113281,       34.3627929688
