time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494295545.9993228912,       -0.6977539062,       -0.0898437500,       -0.0239257812,       17.7459716797,       13.0310058594,      -83.6334228516
1494295546.0047869682,       -0.6977539062,       -0.0898437500,       -0.0585937500,       17.7459716797,       13.0310058594,      -79.7271728516
1494295546.0080909729,       -0.5961914062,        0.0029296875,       -0.0585937500,        3.3111572266,       11.7492675781,      -80.7037353516
1494295546.0107979774,       -0.5961914062,        0.0029296875,       -0.0585937500,        3.3111572266,       11.7492675781,      -80.7037353516
1494295546.0133531094,       -0.5961914062,        0.0029296875,       -0.0585937500,       -4.3029785156,       10.1776123047,      -77.6367187500
1494295546.0159010887,       -0.5961914062,        0.1171875000,       -0.0761718750,       -4.3029785156,       10.1776123047,      -77.6367187500
1494295546.0184540749,       -0.5244140625,        0.1171875000,       -0.0761718750,       -6.5002441406,        8.5449218750,      -73.9593505859
1494295546.0210340023,       -0.5244140625,        0.1171875000,       -0.0761718750,       -6.5002441406,        8.5449218750,      -73.9593505859
1494295546.0237200260,       -0.5244140625,        0.1171875000,       -0.0761718750,       -3.7841796875,        6.2561035156,      -70.7550048828
1494295546.0264050961,       -0.5092773438,        0.1752929688,       -0.0864257812,       -3.7841796875,        6.2561035156,      -70.7550048828
1494295546.0290930271,       -0.5092773438,        0.1752929688,       -0.0864257812,        2.5482177734,        4.4555664062,      -67.4133300781
1494295546.0317380428,       -0.5092773438,        0.1752929688,       -0.0864257812,        2.5482177734,        4.4555664062,      -67.4133300781
1494295546.0342829227,       -0.5092773438,        0.1752929688,       -0.0864257812,       10.6353759766,        2.5329589844,      -63.2781982422
1494295546.0368299484,       -0.5385742188,        0.1440429688,       -0.1108398438,       10.6353759766,        2.5329589844,      -63.2781982422
1494295546.0393769741,       -0.5385742188,        0.1440429688,       -0.1108398438,       17.7154541016,        2.1209716797,      -58.5327148438
1494295546.0420770645,       -0.5385742188,        0.1440429688,       -0.1108398438,       17.7154541016,        2.1209716797,      -58.5327148438
1494295546.0446259975,       -0.5385742188,        0.1440429688,       -0.1108398438,       21.7437744141,        1.9226074219,      -53.4057617188
1494295546.0471799374,       -0.5771484375,        0.0327148438,       -0.1152343750,       21.7437744141,        1.9226074219,      -53.4057617188
1494295546.0497279167,       -0.5771484375,        0.0327148438,       -0.1152343750,       21.7437744141,        1.4495849609,      -48.0194091797
1494295546.0525290966,       -0.5771484375,        0.0327148438,       -0.1152343750,       20.3094482422,        1.4495849609,      -48.0194091797
1494295546.0552229881,       -0.5771484375,        0.0327148438,       -0.1152343750,       20.3094482422,        1.2207031250,      -41.8243408203
1494295546.0579130650,       -0.6137695312,       -0.1181640625,       -0.0551757812,       13.3361816406,        1.2207031250,      -41.8243408203
1494295546.0606091022,       -0.6137695312,       -0.1181640625,       -0.0551757812,       13.3361816406,        0.9613037109,      -34.9578857422
1494295546.0633060932,       -0.6137695312,       -0.1181640625,       -0.0551757812,        2.4261474609,        0.9613037109,      -34.9578857422
1494295546.0659980774,       -0.6137695312,       -0.2431640625,       -0.0131835938,        2.4261474609,        0.4272460938,      -28.5644531250
1494295546.0686929226,       -0.7001953125,       -0.2216796875,       -0.0131835938,      -10.1928710938,        0.4272460938,      -28.5644531250
1494295546.0713961124,       -0.7001953125,       -0.2216796875,       -0.0131835938,      -10.1928710938,       -3.4790039062,      -22.6135253906
1494295546.0740931034,       -0.7001953125,       -0.2216796875,       -0.0131835938,      -23.8647460938,       -0.2593994141,      -22.6135253906
1494295546.0769550800,       -0.8115234375,       -0.1977539062,        0.0283203125,      -23.8647460938,       -0.5645751953,      -16.4642333984
1494295546.0796511173,       -0.8115234375,       -0.1977539062,        0.0283203125,      -36.2396240234,       -0.5645751953,      -16.4642333984
1494295546.0823490620,       -0.8115234375,       -0.1977539062,        0.0283203125,      -36.2396240234,       -1.4953613281,      -11.1846923828
1494295546.0850439072,       -0.8115234375,       -0.1977539062,        0.0283203125,      -43.8385009766,       -1.4953613281,      -11.1846923828
1494295546.0877380371,       -0.9243164062,       -0.0551757812,       -0.0146484375,      -43.8385009766,       -2.2735595703,       -7.4615478516
1494295546.0904319286,       -0.9243164062,       -0.0551757812,       -0.0146484375,      -45.3491210938,       -2.2735595703,       -7.4615478516
1494295546.0931239128,       -0.9243164062,       -0.0551757812,       -0.0146484375,      -45.3491210938,       -2.2735595703,       -4.3945312500
1494295546.0956840515,       -0.9243164062,       -0.0551757812,       -0.0146484375,      -42.0989990234,       -3.0364990234,       -4.3945312500
1494295546.0982339382,       -0.9360351562,        0.1064453125,       -0.0903320312,      -42.0989990234,       -3.0364990234,       -2.5329589844
1494295546.1007940769,       -0.9360351562,        0.1064453125,       -0.0903320312,      -35.5224609375,       -3.9978027344,       -2.5329589844
1494295546.1034479141,       -0.9360351562,        0.1064453125,       -0.0903320312,      -35.5224609375,       -3.9978027344,       -2.5329589844
1494295546.1060929298,       -0.9360351562,        0.1064453125,       -0.1069335938,      -25.4821777344,       -4.2419433594,       -1.5869140625
1494295546.1089301109,       -0.8378906250,        0.1865234375,       -0.1069335938,      -25.4821777344,       -4.2419433594,       -1.5869140625
1494295546.1116020679,       -0.8378906250,        0.1865234375,       -0.1069335938,      -14.9078369141,       -3.8452148438,       -1.6784667969
1494295546.1143009663,       -0.8378906250,        0.1865234375,       -0.1069335938,      -14.9078369141,       -3.8452148438,       -1.6784667969
1494295546.1169939041,       -0.7504882812,        0.2153320312,       -0.0468750000,       -6.5155029297,       -4.6997070312,       -1.4801025391
1494295546.1196799278,       -0.7504882812,        0.2153320312,       -0.0468750000,       -6.5155029297,       -4.6997070312,       -1.4801025391
1494295546.1223840714,       -0.7504882812,        0.2153320312,       -0.0468750000,       -1.0528564453,       -5.0201416016,       -1.5106201172
1494295546.1250689030,       -0.7504882812,        0.2153320312,       -0.0468750000,       -1.0528564453,       -5.0201416016,       -1.5106201172
1494295546.1277639866,       -0.7490234375,        0.1606445312,       -0.0380859375,        2.4719238281,       -5.4168701172,       -1.3580322266
1494295546.1304569244,       -0.7490234375,        0.1606445312,       -0.0380859375,        2.4719238281,       -5.4168701172,       -1.3580322266
1494295546.1330258846,       -0.7490234375,        0.1606445312,       -0.0380859375,        4.4860839844,       -5.6915283203,       -1.6174316406
1494295546.1355779171,       -0.7490234375,        0.1606445312,       -0.0380859375,        4.4860839844,       -5.6915283203,       -1.6174316406
1494295546.1381199360,       -0.7470703125,        0.0957031250,       -0.0029296875,        3.7384033203,       -5.4321289062,       -0.7934570312
1494295546.1406970024,       -0.7470703125,        0.0957031250,       -0.0029296875,        3.7384033203,       -5.4321289062,       -0.7934570312
1494295546.1432459354,       -0.7470703125,        0.0957031250,       -0.0029296875,        2.6855468750,       -5.1879882812,       -0.0305175781
1494295546.1457951069,       -0.7470703125,        0.0957031250,       -0.0029296875,        2.6855468750,       -5.1879882812,       -0.0305175781
1494295546.1484580040,       -0.7348632812,        0.0649414062,        0.0336914062,        1.5258789062,       -4.5318603516,        1.0375976562
1494295546.1511449814,       -0.7348632812,        0.0649414062,        0.0336914062,        1.5258789062,       -4.5318603516,        1.0375976562
1494295546.1537048817,       -0.7348632812,        0.0649414062,        0.0336914062,        0.1373291016,       -3.6926269531,        2.0904541016
1494295546.1562609673,       -0.7348632812,        0.0649414062,        0.0336914062,        0.1373291016,       -3.6926269531,        2.0904541016
1494295546.1589050293,       -0.7338867188,        0.0703125000,        0.0483398438,       -0.3814697266,       -2.3956298828,        4.0283203125
1494295546.1617119312,       -0.7338867188,        0.0703125000,        0.0483398438,       -0.3814697266,       -2.3956298828,        4.0283203125
1494295546.1642649174,       -0.7338867188,        0.0703125000,        0.0483398438,       -0.3814697266,       -2.3040771484,        5.1574707031
1494295546.1668150425,       -0.7338867188,        0.0703125000,        0.0415039062,       -0.7019042969,       -2.3040771484,        5.1574707031
1494295546.1693611145,       -0.7324218750,        0.1079101562,        0.0415039062,       -0.7019042969,       -1.9378662109,        5.7373046875
1494295546.1720669270,       -0.7324218750,        0.1079101562,        0.0415039062,        0.0305175781,       -1.9378662109,        5.7373046875
1494295546.1746180058,       -0.7324218750,        0.1079101562,        0.0415039062,        0.0305175781,       -1.9378662109,        6.5460205078
1494295546.1772639751,       -0.7324218750,        0.1215820312,        0.0190429688,        2.1820068359,       -1.1291503906,        6.5460205078
1494295546.1805999279,       -0.7177734375,        0.1215820312,        0.0190429688,        6.0882568359,       -1.0375976562,        7.1868896484
1494295546.1832950115,       -0.7177734375,        0.1215820312,        0.0190429688,        4.3029785156,       -1.0375976562,        7.1868896484
1494295546.1859900951,       -0.7177734375,        0.1215820312,        0.0190429688,        4.3029785156,       -1.0528564453,        8.0718994141
1494295546.1886770725,       -0.6977539062,        0.1069335938,        0.0004882812,        6.1035156250,       -1.0528564453,        8.0718994141
1494295546.1913759708,       -0.6977539062,        0.1069335938,        0.0004882812,        6.1035156250,       -0.9918212891,        8.8195800781
1494295546.1940600872,       -0.6977539062,        0.1069335938,        0.0004882812,        6.1035156250,       -0.9918212891,        8.8195800781
1494295546.1967511177,       -0.6977539062,        0.1069335938,       -0.0141601562,        6.1035156250,       -0.9155273438,        9.0332031250
1494295546.1994380951,       -0.7270507812,        0.1025390625,       -0.0141601562,        4.9285888672,       -0.9155273438,        9.0332031250
1494295546.2021629810,       -0.7270507812,        0.1025390625,       -0.0141601562,        4.9285888672,       -1.2359619141,        8.8348388672
1494295546.2048499584,       -0.7270507812,        0.1025390625,       -0.0141601562,        2.8839111328,       -1.2359619141,        8.8348388672
1494295546.2075340748,       -0.7270507812,        0.1166992188,       -0.0244140625,        2.8839111328,       -1.5258789062,        9.1552734375
1494295546.2102169991,       -0.7387695312,        0.1166992188,       -0.0244140625,        0.3204345703,       -1.5258789062,        9.1552734375
1494295546.2128350735,       -0.7387695312,        0.1166992188,       -0.0244140625,        0.3204345703,       -1.5258789062,        9.1857910156
1494295546.2153770924,       -0.7387695312,        0.1166992188,       -0.0244140625,       -1.4953613281,       -1.5258789062,        9.1857910156
1494295546.2179191113,       -0.7392578125,        0.1401367188,       -0.0336914062,       -1.4953613281,       -1.5258789062,        9.1857910156
1494295546.2204670906,       -0.7392578125,        0.1401367188,       -0.0336914062,       -3.2348632812,       -2.1514892578,        8.4838867188
1494295546.2232780457,       -0.7392578125,        0.1401367188,       -0.0336914062,       -3.2348632812,       -2.1514892578,        4.5776367188
1494295546.2258229256,       -0.7392578125,        0.1401367188,       -0.0336914062,       -4.6386718750,       -2.5177001953,        7.5988769531
1494295546.2283680439,       -0.7333984375,        0.1508789062,       -0.0434570312,       -4.6386718750,       -2.5177001953,        7.5988769531
1494295546.2310531139,       -0.7333984375,        0.1508789062,       -0.0434570312,       -4.1961669922,       -2.7160644531,        6.8817138672
1494295546.2337400913,       -0.7333984375,        0.1508789062,       -0.0434570312,       -4.1961669922,       -2.7160644531,        6.8817138672
