time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494295619.7391290665,       -1.0288085938,        6.0073242188,        1.6337890625,     -224.7161865234,        1.7852783203,      398.9105224609
1494295619.7448940277,       -2.3789062500,        6.0073242188,        1.6337890625,     -317.0928955078,      -20.2941894531,      467.1630859375
1494295619.7478530407,       -2.3789062500,        6.0073242188,        1.6337890625,     -317.0928955078,      -20.2941894531,      467.1630859375
1494295619.7504038811,       -2.3789062500,        6.0073242188,        1.6337890625,     -223.3428955078,      -60.3179931641,      331.5124511719
1494295619.7531480789,       -3.2138671875,       -5.5473632812,       -0.5571289062,     -225.0976562500,      -60.3179931641,      331.5124511719
1494295619.7558019161,       -3.2138671875,       -5.5473632812,       -0.5571289062,     -170.7916259766,     -127.7465820312,      160.0341796875
1494295619.7595479488,       -3.2138671875,       -5.5473632812,       -0.5571289062,     -170.7916259766,     -127.7465820312,      165.9240722656
1494295619.7636079788,       -1.5195312500,       -3.6708984375,       -0.7041015625,     -111.6638183594,      -83.6334228516,      165.9240722656
1494295619.7668819427,       -1.5195312500,       -3.6708984375,       -0.7041015625,      -14.0075683594,      -52.6428222656,      160.6903076172
1494295619.7695798874,       -1.5195312500,       -3.6708984375,       -0.7041015625,      -13.9617919922,      -52.6428222656,      160.6903076172
1494295619.7722749710,       -1.3564453125,        1.4589843750,        1.6728515625,      -88.1805419922,      -54.1839599609,      127.7008056641
1494295619.7749609947,       -1.3564453125,        1.4589843750,        1.6728515625,      -88.5314941406,      -54.1839599609,      127.7008056641
1494295619.7776510715,       -1.3564453125,        1.4589843750,        1.6728515625,      -88.5314941406,      -78.5522460938,      113.7695312500
1494295619.7803421021,       -1.3564453125,        1.4589843750,        1.6728515625,     -155.4260253906,      -78.5522460938,      113.7695312500
1494295619.7829329967,       -1.1440429688,        0.7163085938,        0.3378906250,     -155.4260253906,     -105.8959960938,       75.7446289062
1494295619.7854890823,       -1.1440429688,        0.7163085938,        0.3378906250,     -121.9329833984,     -107.1472167969,       75.7446289062
1494295619.7880361080,       -1.1440429688,        0.7163085938,        0.3378906250,     -121.9329833984,     -107.1472167969,       68.4204101562
1494295619.7905960083,       -1.1440429688,        0.7163085938,        0.3378906250,      -77.4688720703,      -98.2971191406,       68.4204101562
1494295619.7931499481,       -1.0849609375,        0.1210937500,        2.3168945312,      -77.4688720703,      -98.2971191406,       68.4204101562
