time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494295581.4391219616,       -0.6503906250,        0.4150390625,        0.0532226562,       -8.8653564453,      -20.9350585938,       56.4270019531
1494295581.4446330070,       -0.5761718750,        0.4150390625,        0.0532226562,      -11.1541748047,      -18.7835693359,       52.8717041016
1494295581.4473459721,       -0.5761718750,        0.4150390625,        0.0532226562,      -11.1541748047,      -18.7835693359,       52.8717041016
1494295581.4500639439,       -0.5761718750,        0.4150390625,        0.0532226562,      -13.9312744141,      -17.4865722656,       48.7060546875
1494295581.4527709484,       -0.6450195312,        0.5200195312,        0.1098632812,      -13.9312744141,      -17.4865722656,       48.7060546875
1494295581.4554638863,       -0.6450195312,        0.5200195312,        0.1098632812,      -13.6413574219,      -17.2119140625,       43.2281494141
1494295581.4581570625,       -0.6450195312,        0.5200195312,        0.1098632812,      -13.6413574219,      -17.2119140625,       43.2281494141
1494295581.4609189034,       -0.6450195312,        0.5200195312,        0.0869140625,       -8.5906982422,      -17.0745849609,       38.1622314453
1494295581.4636108875,       -0.6391601562,        0.5571289062,        0.0869140625,       -8.5906982422,      -17.0745849609,       38.1622314453
1494295581.4663031101,       -0.6391601562,        0.5571289062,        0.0869140625,       -2.5177001953,      -16.0217285156,       33.1268310547
1494295581.4689929485,       -0.6391601562,        0.5571289062,        0.0869140625,       -2.5177001953,      -16.0217285156,       33.1268310547
1494295581.4716429710,       -0.5141601562,        0.5566406250,        0.1044921875,        1.3885498047,      -14.4195556641,       27.8015136719
1494295581.4741890430,       -0.5952148438,        0.5566406250,        0.1044921875,        1.3427734375,      -14.4195556641,       27.8015136719
1494295581.4767339230,       -0.5952148438,        0.5566406250,        0.1044921875,        1.3427734375,      -14.4195556641,       21.4996337891
1494295581.4792850018,       -0.5952148438,        0.5566406250,        0.1044921875,        3.5400390625,      -14.0380859375,       21.4996337891
1494295581.4820320606,       -0.6264648438,        0.6215820312,        0.1074218750,        3.5400390625,      -14.0380859375,       14.4195556641
1494295581.4845950603,       -0.6264648438,        0.6215820312,        0.1074218750,        5.7067871094,      -12.8936767578,       14.4195556641
1494295581.4875481129,       -0.6264648438,        0.6215820312,        0.1074218750,        5.7067871094,       -8.9874267578,        7.3852539062
1494295581.4900898933,       -0.6264648438,        0.6215820312,        0.1074218750,        8.1024169922,      -10.6506347656,        7.3852539062
1494295581.4929039478,       -0.6201171875,        0.6250000000,        0.1591796875,        8.1024169922,      -10.6506347656,        0.3509521484
1494295581.4955959320,       -0.6201171875,        0.6250000000,        0.1591796875,       10.0555419922,       -8.4533691406,        0.3509521484
1494295581.4982860088,       -0.6201171875,        0.6250000000,        0.1591796875,       10.0555419922,       -8.4533691406,       -7.0037841797
1494295581.5009870529,       -0.6201171875,        0.6250000000,        0.1591796875,       12.0239257812,       -5.8593750000,       -7.0037841797
1494295581.5036749840,       -0.6279296875,        0.6528320312,        0.2041015625,       12.0239257812,       -5.8593750000,      -15.6097412109
1494295581.5063660145,       -0.6279296875,        0.6528320312,        0.2041015625,       14.8925781250,       -3.3569335938,      -15.6097412109
1494295581.5090610981,       -0.6279296875,        0.6528320312,        0.2041015625,       14.8925781250,       -3.3569335938,      -24.0325927734
1494295581.5117719173,       -0.6279296875,        0.6352539062,        0.1977539062,       18.4936523438,       -0.1831054688,      -24.0325927734
1494295581.5144689083,       -0.6391601562,        0.6352539062,        0.1977539062,       18.4936523438,       -0.1831054688,      -33.1268310547
1494295581.5173199177,       -0.6391601562,        0.6352539062,        0.1977539062,       22.8576660156,        2.7465820312,      -33.1268310547
1494295581.5200169086,       -0.6391601562,        0.6352539062,        0.1977539062,       22.8576660156,        2.7465820312,      -42.7093505859
1494295581.5226490498,       -0.6567382812,        0.6909179688,        0.2080078125,       27.0080566406,        6.7749023438,      -42.7093505859
1494295581.5252099037,       -0.6567382812,        0.6909179688,        0.2080078125,       27.0080566406,        6.7749023438,      -54.4281005859
1494295581.5277600288,       -0.6567382812,        0.6909179688,        0.2080078125,       29.7241210938,       11.1236572266,      -53.2836914062
1494295581.5303170681,       -0.6567382812,        0.6909179688,        0.2080078125,       29.7241210938,       11.1236572266,      -53.2836914062
1494295581.5329890251,       -0.7363281250,        0.7094726562,        0.1884765625,       32.5775146484,       15.5029296875,      -63.3850097656
1494295581.5355489254,       -0.7363281250,        0.7094726562,        0.1884765625,       32.5775146484,       15.5029296875,      -63.3850097656
1494295581.5381131172,       -0.7363281250,        0.7094726562,        0.1884765625,       35.6445312500,       20.0042724609,      -73.2269287109
1494295581.5408029556,       -0.7363281250,        0.7094726562,        0.1884765625,       35.6445312500,       20.0042724609,      -73.2269287109
1494295581.5435070992,       -0.8237304688,        0.6962890625,        0.1552734375,       37.7349853516,       24.6887207031,      -83.5876464844
1494295581.5462119579,       -0.8237304688,        0.6962890625,        0.1552734375,       37.7349853516,       24.6887207031,      -83.5876464844
1494295581.5489649773,       -0.8237304688,        0.6962890625,        0.1552734375,       37.3687744141,       30.4107666016,      -93.3074951172
1494295581.5516679287,       -0.8237304688,        0.6962890625,        0.1030273438,       37.3687744141,       30.4107666016,      -93.3074951172
1494295581.5543680191,       -0.8774414062,        0.7016601562,        0.1030273438,       34.5001220703,       36.4837646484,     -103.3325195312
1494295581.5570759773,       -0.8774414062,        0.7016601562,        0.1030273438,       34.5001220703,       36.4837646484,     -103.3325195312
1494295581.5597720146,       -0.8774414062,        0.7016601562,        0.1030273438,       31.6314697266,       41.6107177734,     -113.9373779297
1494295581.5624809265,       -1.0166015625,        0.7885742188,        0.0449218750,       31.6314697266,       41.6107177734,     -113.9373779297
1494295581.5651900768,       -1.0166015625,        0.7885742188,        0.0449218750,       29.8614501953,       47.1038818359,     -123.6724853516
1494295581.5678839684,       -1.0166015625,        0.7885742188,        0.0449218750,       29.8614501953,       47.1038818359,     -123.6724853516
1494295581.5705859661,       -1.0166015625,        0.7885742188,        0.0449218750,       30.9295654297,       52.2460937500,     -132.7362060547
1494295581.5731470585,       -1.3139648438,        0.8994140625,        0.0009765625,       30.9295654297,       52.2460937500,     -132.7362060547
1494295581.5757119656,       -1.3139648438,        0.8994140625,        0.0009765625,       34.4390869141,       56.7321777344,     -141.3116455078
1494295581.5782740116,       -1.3139648438,        0.8994140625,        0.0009765625,       34.4390869141,       56.7321777344,     -141.3116455078
1494295581.5808870792,       -1.3139648438,        0.8994140625,        0.0009765625,       41.2902832031,       60.1348876953,     -148.5900878906
1494295581.5834469795,       -1.7543945312,        0.8632812500,       -0.0795898438,       41.2902832031,       60.1348876953,     -148.5900878906
1494295581.5860159397,       -1.7543945312,        0.8632812500,       -0.0795898438,       52.0935058594,       62.2253417969,     -155.7922363281
1494295581.5887761116,       -1.7543945312,        0.8632812500,       -0.0795898438,       52.0935058594,       62.2253417969,     -155.7922363281
1494295581.5913999081,       -1.7543945312,        0.8632812500,       -0.0795898438,       64.9871826172,       62.9577636719,     -162.1856689453
1494295581.5949048996,       -2.0874023438,        0.7368164062,       -0.1152343750,       64.9871826172,       62.9577636719,     -162.1856689453
1494295581.5976059437,       -2.0874023438,        0.7368164062,       -0.1152343750,       79.2236328125,       61.5234375000,     -167.4499511719
1494295581.6003088951,       -2.0874023438,        0.7368164062,       -0.1152343750,       79.2236328125,       61.5234375000,     -167.4499511719
1494295581.6030139923,       -2.1713867188,        0.4921875000,       -0.1098632812,       93.8873291016,       56.7474365234,     -171.7834472656
1494295581.6057119370,       -2.1713867188,        0.4921875000,       -0.1098632812,       93.8873291016,       56.7474365234,     -171.7834472656
1494295581.6084070206,       -2.1713867188,        0.4921875000,       -0.1098632812,      109.1613769531,       49.0417480469,     -176.9409179688
1494295581.6111218929,       -2.1713867188,        0.4921875000,       -0.1098632812,      109.1613769531,       49.0417480469,     -176.9409179688
