time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494295325.6486339569,       -0.8149414062,        0.7163085938,        0.2060546875,       36.0107421875,       -4.5928955078,       17.8222656250
1494295325.6549301147,       -0.8149414062,        0.7163085938,        0.1953125000,       36.0107421875,       -4.5928955078,        9.5062255859
1494295325.6579890251,       -0.8920898438,        0.6538085938,        0.1953125000,       39.3524169922,       -1.0833740234,        9.5062255859
1494295325.6605350971,       -0.8920898438,        0.6538085938,        0.1953125000,       39.3524169922,       -1.0833740234,        1.6937255859
1494295325.6633229256,       -0.8920898438,        0.6538085938,        0.1953125000,       39.6728515625,        2.1209716797,        2.1514892578
1494295325.6662011147,       -1.0170898438,        0.5874023438,        0.1909179688,       39.6728515625,        2.1209716797,       -4.6234130859
1494295325.6688880920,       -1.0239257812,        0.5874023438,        0.1909179688,       36.8804931641,        5.5999755859,       -4.6234130859
1494295325.6715810299,       -1.0239257812,        0.5874023438,        0.1909179688,       36.8804931641,        5.5999755859,       -8.5296630859
1494295325.6742649078,       -1.0239257812,        0.5874023438,        0.1909179688,       34.2407226562,        9.5367431641,       -9.9487304688
1494295325.6769471169,       -1.2221679688,        0.5747070312,        0.2265625000,       34.2407226562,        9.5367431641,      -13.8549804688
1494295325.6796379089,       -1.2221679688,        0.5747070312,        0.2265625000,       32.3944091797,       13.3209228516,      -14.7094726562
1494295325.6823720932,       -1.2221679688,        0.5747070312,        0.2265625000,       32.3944091797,       13.3209228516,      -18.6157226562
1494295325.6850619316,       -1.2221679688,        0.5747070312,        0.2265625000,       32.1044921875,       16.0369873047,      -18.1121826172
1494295325.6877551079,       -1.4257812500,        0.5366210938,        0.2246093750,       32.1044921875,       16.0369873047,      -22.0184326172
1494295325.6904489994,       -1.4257812500,        0.5366210938,        0.2246093750,       35.3546142578,       17.9748535156,      -20.1873779297
1494295325.6931869984,       -1.4257812500,        0.5366210938,        0.2246093750,       35.3546142578,       17.9748535156,      -20.1873779297
1494295325.6958789825,       -1.4257812500,        0.5366210938,        0.2436523438,       40.8935546875,       19.2108154297,      -20.7519531250
1494295325.6985750198,       -1.5249023438,        0.4438476562,        0.2436523438,       40.8935546875,       19.2108154297,      -20.7519531250
1494295325.7012450695,       -1.5249023438,        0.4438476562,        0.2436523438,       48.3245849609,       19.0887451172,      -20.4925537109
1494295325.7038040161,       -1.5249023438,        0.4438476562,        0.2436523438,       48.3245849609,       19.0887451172,      -20.4925537109
1494295325.7063670158,       -1.5249023438,        0.2548828125,        0.2216796875,       58.5479736328,       17.3034667969,      -18.6767578125
1494295325.7089169025,       -1.5468750000,        0.2548828125,        0.2216796875,       58.5479736328,       17.3034667969,      -18.6767578125
1494295325.7116549015,       -1.5468750000,        0.2548828125,        0.2216796875,       69.0002441406,       16.2200927734,      -17.7459716797
1494295325.7142169476,       -1.5468750000,        0.2548828125,        0.2216796875,       69.0002441406,       16.2200927734,      -17.7459716797
1494295325.7167680264,       -1.5805664062,        0.0507812500,        0.1284179688,       82.1533203125,       14.7705078125,      -17.3187255859
1494295325.7193300724,       -1.5805664062,        0.0507812500,        0.1284179688,       82.1533203125,       14.7705078125,      -17.3187255859
1494295325.7220969200,       -1.5805664062,        0.0507812500,        0.1284179688,       92.8039550781,       13.2904052734,      -15.1062011719
1494295325.7247989178,       -1.5805664062,        0.0507812500,        0.1284179688,       92.8039550781,       13.2904052734,      -15.1062011719
1494295325.7276530266,       -1.5664062500,       -0.0336914062,        0.0620117188,      102.0355224609,       12.8479003906,      -11.9934082031
1494295325.7303531170,       -1.5664062500,       -0.0336914062,        0.0620117188,      102.0355224609,       12.8479003906,      -11.9934082031
