time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494295154.4384810925,       -0.7465820312,       -0.0014648438,        0.0014648438,      -10.0402832031,      -26.6876220703,       35.6140136719
1494295154.4449310303,       -0.7465820312,       -0.0014648438,        0.0014648438,       -9.1705322266,      -26.8096923828,       34.2254638672
1494295154.4478600025,       -0.7465820312,       -0.0014648438,        0.0014648438,       -9.1705322266,      -26.8096923828,       34.2254638672
1494295154.4505488873,       -0.7329101562,        0.0146484375,        0.0249023438,       -8.6364746094,      -27.1606445312,       33.1726074219
1494295154.4532520771,       -0.7329101562,        0.0146484375,        0.0249023438,       -8.6364746094,      -27.1606445312,       33.1726074219
1494295154.4559450150,       -0.7329101562,        0.0146484375,        0.0249023438,       -7.5073242188,      -27.6641845703,       32.4859619141
1494295154.4586279392,       -0.7329101562,        0.0146484375,        0.0249023438,       -7.5073242188,      -27.6641845703,       32.4859619141
1494295154.4613649845,       -0.7563476562,        0.0166015625,        0.0463867188,       -6.2103271484,      -27.2521972656,       31.3568115234
1494295154.4640529156,       -0.7563476562,        0.0166015625,        0.0463867188,       -6.2103271484,      -27.2521972656,       31.3568115234
1494295154.4667398930,       -0.7563476562,        0.0166015625,        0.0463867188,       -3.6621093750,      -26.2603759766,       30.0292968750
1494295154.4694280624,       -0.7563476562,        0.0166015625,        0.0463867188,       -3.6621093750,      -26.2603759766,       30.0292968750
1494295154.4721589088,       -0.7456054688,        0.0141601562,        0.0581054688,       -0.3356933594,      -24.6582031250,       28.6102294922
1494295154.4748499393,       -0.7456054688,        0.0141601562,        0.0581054688,       -0.3356933594,      -24.6582031250,       28.6102294922
1494295154.4775400162,       -0.7456054688,        0.0141601562,        0.0581054688,        2.5177001953,      -24.0325927734,       27.6641845703
1494295154.4802260399,       -0.7456054688,        0.0156250000,        0.0786132812,        2.5177001953,      -24.0325927734,       27.6641845703
1494295154.4828391075,       -0.7485351562,        0.0156250000,        0.0786132812,        4.9133300781,      -22.6440429688,       26.3671875000
1494295154.4853880405,       -0.7485351562,        0.0156250000,        0.0786132812,        4.9133300781,      -22.6440429688,       26.3671875000
1494295154.4879350662,       -0.7485351562,        0.0156250000,        0.0786132812,        7.1563720703,      -21.8048095703,       25.7110595703
