time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494294926.4897110462,       -0.0239257812,        0.0097656250,       -0.0170898438,       24.4445800781,        3.1127929688,       32.6538085938
1494294926.4942820072,       -0.0239257812,        0.0097656250,       -0.0170898438,       24.4445800781,        3.1127929688,       38.0401611328
1494294926.4969580173,       -0.0488281250,        0.1606445312,       -0.0683593750,       18.2495117188,        2.5787353516,       38.0401611328
1494294926.4995179176,       -0.0488281250,        0.1606445312,       -0.0683593750,       18.2495117188,        2.5787353516,       45.7305908203
1494294926.5023140907,       -0.0488281250,        0.1606445312,       -0.0683593750,        6.5460205078,        1.1901855469,       45.7305908203
1494294926.5049519539,       -0.0488281250,        0.1606445312,       -0.0683593750,        6.5460205078,       -2.7160644531,       55.7250976562
1494294926.5078380108,       -0.1391601562,        0.4721679688,       -0.0810546875,       -7.0190429688,       -0.4272460938,       55.7250976562
1494294926.5105280876,       -0.1391601562,        0.4721679688,       -0.0810546875,       -7.0190429688,       -0.4272460938,       66.0095214844
1494294926.5132238865,       -0.1391601562,        0.4721679688,       -0.0810546875,      -19.3786621094,       -1.0375976562,       66.0095214844
1494294926.5159130096,       -0.1391601562,        0.8823242188,        0.1918945312,      -19.3786621094,       -1.0375976562,       70.6481933594
1494294926.5185980797,       -0.1611328125,        0.8823242188,        0.1918945312,      -36.1175537109,       -3.4942626953,       70.6481933594
1494294926.5212829113,       -0.1611328125,        0.8823242188,        0.1918945312,      -36.1175537109,       -3.4942626953,       65.9484863281
1494294926.5239670277,       -0.1611328125,        0.8823242188,        0.1918945312,      -60.1196289062,        5.5236816406,       65.9484863281
1494294926.5266470909,       -0.3457031250,        2.0776367188,        0.6401367188,      -60.1196289062,        5.5236816406,       53.3142089844
1494294926.5293309689,       -0.3457031250,        2.0776367188,        0.6401367188,      -59.2041015625,        9.8724365234,       53.3142089844
1494294926.5319740772,       -0.3457031250,        2.0776367188,        0.6401367188,      -59.2041015625,        9.8724365234,       65.0329589844
1494294926.5345239639,       -0.3457031250,        2.0776367188,        0.6401367188,      -51.6815185547,      -22.7661132812,       62.9425048828
