time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494295004.9277200699,       -0.5654296875,        0.0292968750,        0.0708007812,        0.4577636719,      -27.4658203125,       59.1125488281
1494295004.9347050190,       -0.5654296875,        0.0292968750,        0.0708007812,        0.4577636719,      -27.4658203125,       60.3027343750
1494295004.9378349781,       -0.5654296875,        0.1879882812,        0.2246093750,       -6.6986083984,      -28.1066894531,       60.3027343750
1494295004.9403860569,       -0.5561523438,        0.1879882812,        0.2246093750,       -6.6986083984,      -28.1066894531,       60.5010986328
1494295004.9431290627,       -0.5561523438,        0.1879882812,        0.2246093750,      -11.1236572266,      -28.2592773438,       60.5010986328
1494295004.9457750320,       -0.5561523438,        0.1879882812,        0.2246093750,      -11.1236572266,      -28.2592773438,       58.4411621094
1494295004.9487059116,       -0.6245117188,        0.4106445312,        0.2280273438,      -10.2844238281,      -26.4282226562,       58.4411621094
1494295004.9513900280,       -0.6245117188,        0.4106445312,        0.2280273438,      -10.2844238281,      -26.4282226562,       54.8248291016
1494295004.9540429115,       -0.6245117188,        0.4106445312,        0.2280273438,       -9.0789794922,      -22.7203369141,       54.8248291016
1494295004.9580650330,       -0.6245117188,        0.4741210938,        0.0712890625,       -5.5847167969,      -19.3634033203,       50.4150390625
1494295004.9607779980,       -0.6762695312,        0.4741210938,        0.0712890625,       -5.5847167969,      -19.3634033203,       50.4150390625
1494295004.9634690285,       -0.6762695312,        0.4741210938,        0.0712890625,       -0.6408691406,      -17.4255371094,       46.4935302734
1494295004.9661569595,       -0.6762695312,        0.4741210938,        0.0712890625,       -0.6408691406,      -17.4255371094,       46.4935302734
1494295004.9688489437,       -0.7143554688,        0.3110351562,       -0.0830078125,        5.3405761719,      -16.2200927734,       44.5556640625
1494295004.9715499878,       -0.7143554688,        0.3110351562,       -0.0830078125,        5.3405761719,      -16.2200927734,       44.5556640625
1494295004.9742429256,       -0.7143554688,        0.3110351562,       -0.0830078125,        7.3852539062,      -16.3574218750,       44.2199707031
1494295004.9769330025,       -0.7143554688,        0.3110351562,       -0.0830078125,        7.3852539062,      -16.3574218750,       44.2199707031
1494295004.9796180725,       -0.6909179688,        0.1791992188,        0.0209960938,        3.8909912109,      -19.0887451172,       44.6472167969
1494295004.9822900295,       -0.6909179688,        0.1791992188,        0.0209960938,        3.8909912109,      -19.0887451172,       44.6472167969
1494295004.9848461151,       -0.6909179688,        0.1791992188,        0.0209960938,       -1.6784667969,      -21.5759277344,       45.1507568359
1494295004.9873960018,       -0.6909179688,        0.1791992188,        0.0209960938,       -1.6784667969,      -21.5759277344,       45.1507568359
1494295004.9899508953,       -0.6850585938,        0.0996093750,        0.2158203125,       -5.5847167969,      -23.0560302734,       44.7235107422
1494295004.9926230907,       -0.6850585938,        0.0996093750,        0.2158203125,       -5.8135986328,      -23.0560302734,       44.7235107422
1494295004.9951839447,       -0.6850585938,        0.0996093750,        0.2158203125,       -5.8135986328,      -26.9622802734,       44.2962646484
1494295004.9977419376,       -0.6850585938,        0.0996093750,        0.2695312500,       -8.0261230469,      -25.5737304688,       44.2962646484
1494295005.0003058910,       -0.7187500000,        0.0737304688,        0.2695312500,       -8.0261230469,      -25.5737304688,       44.3725585938
1494295005.0031130314,       -0.7187500000,        0.0737304688,        0.2695312500,       -7.0648193359,      -27.4200439453,       44.3725585938
1494295005.0058159828,       -0.7187500000,        0.0737304688,        0.2695312500,       -7.0648193359,      -27.4200439453,       44.4488525391
1494295005.0086789131,       -0.7187500000,        0.1884765625,        0.2187500000,       -5.4931640625,      -28.1982421875,       44.4488525391
1494295005.0113859177,       -0.6918945312,        0.1884765625,        0.2187500000,       -5.4931640625,      -28.1982421875,       44.5861816406
1494295005.0140819550,       -0.6918945312,        0.1884765625,        0.2187500000,       -4.6997070312,      -28.8848876953,       44.5861816406
1494295005.0167789459,       -0.6918945312,        0.1884765625,        0.2187500000,       -4.6997070312,      -28.8848876953,       44.1589355469
