time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494294784.2583439350,       -1.3554687500,       -1.1528320312,        0.0395507812,       16.0980224609,      -13.4735107422,      195.2209472656
1494294784.2648029327,       -1.3554687500,       -1.1528320312,       -0.0551757812,       16.0980224609,      -13.4735107422,      195.2209472656
1494294784.2675039768,       -1.2709960938,       -1.1166992188,       -0.0551757812,       13.5650634766,      -16.5405273438,      183.5937500000
1494294784.2701931000,       -1.2709960938,       -1.1166992188,       -0.0551757812,       13.5650634766,      -16.5405273438,      183.5937500000
1494294784.2728939056,       -1.2709960938,       -1.1166992188,       -0.0551757812,       13.6718750000,      -20.2941894531,      176.2847900391
1494294784.2755780220,       -1.0209960938,       -1.0742187500,       -0.1166992188,       13.6718750000,      -20.2941894531,      176.2847900391
1494294784.2782680988,       -1.1152343750,       -1.0742187500,       -0.1166992188,       17.6391601562,      -27.0080566406,      166.7327880859
1494294784.2809700966,       -1.1152343750,       -1.0742187500,       -0.1166992188,       17.6391601562,      -27.0080566406,      166.7327880859
1494294784.2836570740,       -1.1152343750,       -1.0742187500,       -0.1166992188,       22.0031738281,      -34.0881347656,      155.6091308594
1494294784.2863519192,       -1.0166015625,       -0.9687500000,       -0.1259765625,       22.0031738281,      -34.0881347656,      155.6091308594
1494294784.2890439034,       -1.0166015625,       -0.9687500000,       -0.1259765625,       30.4260253906,      -38.0249023438,      145.9960937500
1494294784.2916960716,       -1.0166015625,       -0.9687500000,       -0.1259765625,       30.4260253906,      -38.0249023438,      145.9960937500
1494294784.2942540646,       -1.0166015625,       -0.9687500000,       -0.1259765625,       41.1682128906,      -42.7856445312,      136.2915039062
1494294784.2973220348,       -1.0288085938,       -0.7939453125,       -0.0888671875,       41.1682128906,      -42.7856445312,      136.2915039062
1494294784.2998800278,       -1.0288085938,       -0.7939453125,       -0.0888671875,       51.8646240234,      -46.5850830078,      125.4425048828
1494294784.3024790287,       -1.0288085938,       -0.7939453125,       -0.0888671875,       51.8646240234,      -46.5850830078,      125.4425048828
