time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494294552.0975511074,       -0.7807617188,        0.1372070312,        0.1440429688,       50.0183105469,      -21.7895507812,       80.7189941406
1494294552.1049940586,       -0.7807617188,        0.1372070312,        0.1440429688,       54.7637939453,      -22.2778320312,       80.7189941406
1494294552.1080620289,       -0.7807617188,        0.1196289062,        0.2099609375,       59.5397949219,      -20.8129882812,       83.6791992188
1494294552.1106989384,       -0.8247070312,        0.1196289062,        0.2099609375,       59.5397949219,      -20.8129882812,       83.6791992188
1494294552.1133940220,       -0.8247070312,        0.1196289062,        0.2099609375,       61.7218017578,      -20.1416015625,       87.2497558594
1494294552.1160860062,       -0.8247070312,        0.1196289062,        0.2099609375,       61.7218017578,      -20.1416015625,       87.2497558594
1494294552.1187670231,       -0.8261718750,        0.0991210938,        0.2236328125,       64.3157958984,      -19.6228027344,       90.8966064453
1494294552.1214690208,       -0.8261718750,        0.0991210938,        0.2236328125,       64.3157958984,      -19.6228027344,       90.8966064453
1494294552.1241650581,       -0.8261718750,        0.0991210938,        0.2236328125,       66.3909912109,      -18.2342529297,       95.5963134766
1494294552.1268548965,       -0.8261718750,        0.0991210938,        0.2236328125,       66.3909912109,      -18.2342529297,       95.5963134766
1494294552.1295459270,       -0.8374023438,        0.1162109375,        0.2231445312,       67.5354003906,      -17.7612304688,       99.8077392578
1494294552.1321749687,       -0.8374023438,        0.1162109375,        0.2231445312,       67.5354003906,      -17.7612304688,       99.8077392578
1494294552.1347289085,       -0.8374023438,        0.1162109375,        0.2231445312,       67.5354003906,      -17.5170898438,      103.5308837891
1494294552.1372859478,       -0.8374023438,        0.1162109375,        0.2231445312,       68.9392089844,      -17.5170898438,      103.5308837891
1494294552.1398360729,       -0.8486328125,        0.1547851562,        0.1708984375,       68.9392089844,      -17.5170898438,      107.1319580078
1494294552.1424660683,       -0.8486328125,        0.1547851562,        0.1708984375,       70.0836181641,      -18.0816650391,      107.1319580078
1494294552.1450150013,       -0.8486328125,        0.1547851562,        0.1708984375,       70.0836181641,      -18.0816650391,      107.1319580078
1494294552.1475639343,       -0.8486328125,        0.1547851562,        0.1708984375,       70.0836181641,      -17.5018310547,      109.0240478516
1494294552.1501200199,       -0.9125976562,        0.1796875000,        0.1220703125,       70.0836181641,      -17.5018310547,      109.0240478516
1494294552.1529150009,       -0.9125976562,        0.1796875000,        0.1220703125,       69.2138671875,      -16.1743164062,      111.6027832031
1494294552.1556150913,       -0.9125976562,        0.1796875000,        0.1220703125,       69.2138671875,      -16.1743164062,      111.6027832031
1494294552.1583170891,       -0.9125976562,        0.1796875000,        0.0922851562,       66.8640136719,      -14.1296386719,      114.4409179688
1494294552.1610240936,       -0.9833984375,        0.1855468750,        0.0922851562,       66.8640136719,      -14.1296386719,      114.4409179688
1494294552.1637248993,       -0.9833984375,        0.1855468750,        0.0922851562,       66.4978027344,      -11.6729736328,      117.1264648438
1494294552.1664218903,       -0.9833984375,        0.1855468750,        0.0922851562,       66.4978027344,      -11.6729736328,      117.1264648438
1494294552.1691229343,       -1.0800781250,        0.1840820312,        0.0913085938,       65.0939941406,      -10.4217529297,      118.5150146484
1494294552.1718370914,       -1.0800781250,        0.1840820312,        0.0913085938,       65.0939941406,      -10.4217529297,      118.5150146484
1494294552.1745409966,       -1.0800781250,        0.1840820312,        0.0913085938,       61.0656738281,       -8.5449218750,      118.3776855469
1494294552.1773989201,       -1.0800781250,        0.1840820312,        0.0913085938,       61.0656738281,       -8.5449218750,      118.3776855469
1494294552.1801090240,       -1.1166992188,        0.1459960938,        0.0727539062,       59.0362548828,       -7.3547363281,      120.2697753906
1494294552.1828179359,       -1.1166992188,        0.1459960938,        0.0727539062,       59.0362548828,       -7.3547363281,      120.2697753906
1494294552.1855199337,       -1.1166992188,        0.1459960938,        0.0727539062,       60.7757568359,       -8.7890625000,      122.6043701172
1494294552.1882140636,       -1.1166992188,        0.1459960938,        0.1000976562,       60.7757568359,       -8.7890625000,      122.6043701172
1494294552.1909439564,       -1.1210937500,        0.2260742188,        0.1000976562,       61.1724853516,      -10.8642578125,      124.7711181641
1494294552.1935110092,       -1.1210937500,        0.2260742188,        0.1000976562,       61.1724853516,      -10.8642578125,      124.7711181641
1494294552.1960690022,       -1.1210937500,        0.2260742188,        0.1000976562,       62.5762939453,      -13.7481689453,      127.2125244141
1494294552.1986260414,       -1.1210937500,        0.2260742188,        0.0356445312,       62.5762939453,      -13.7481689453,      127.2125244141
1494294552.2012228966,       -1.1191406250,        0.1967773438,        0.0356445312,       68.0236816406,      -16.7694091797,      128.5247802734
1494294552.2039198875,       -1.1191406250,        0.1967773438,        0.0356445312,       68.0236816406,      -16.7694091797,      128.5247802734
1494294552.2066409588,       -1.1191406250,        0.1967773438,        0.0356445312,       73.5321044922,      -19.5922851562,      130.2337646484
1494294552.2093501091,       -1.1875000000,        0.1669921875,        0.0122070312,       73.5321044922,      -19.5922851562,      130.2337646484
1494294552.2120609283,       -1.1875000000,        0.1669921875,        0.0122070312,       77.2552490234,      -20.8282470703,      135.1470947266
1494294552.2147591114,       -1.1875000000,        0.1669921875,        0.0122070312,       77.2552490234,      -20.8282470703,      135.1470947266
1494294552.2174520493,       -1.1875000000,        0.1669921875,        0.0122070312,       79.2846679688,      -20.4772949219,      140.6097412109
1494294552.2201509476,       -1.2949218750,        0.1206054688,        0.0068359375,       79.2846679688,      -20.4772949219,      140.6097412109
1494294552.2228660583,       -1.2949218750,        0.1206054688,        0.0068359375,       82.1228027344,      -19.7753906250,      143.0358886719
1494294552.2255721092,       -1.2949218750,        0.1206054688,        0.0068359375,       82.1228027344,      -19.7753906250,      143.0358886719
1494294552.2282769680,       -1.2949218750,        0.1206054688,        0.0068359375,       84.5947265625,      -19.4702148438,      144.3328857422
1494294552.2309899330,       -1.3828125000,       -0.0092773438,        0.0473632812,       84.5947265625,      -19.4702148438,      144.3328857422
1494294552.2336819172,       -1.3828125000,       -0.0092773438,        0.0473632812,       86.7309570312,      -19.4549560547,      146.0876464844
1494294552.2363789082,       -1.3828125000,       -0.0092773438,        0.0473632812,       86.7309570312,      -19.4549560547,      146.0876464844
1494294552.2390770912,       -1.3828125000,       -0.1582031250,        0.0703125000,       88.6230468750,      -20.9045410156,      149.4140625000
1494294552.2417418957,       -1.4252929688,       -0.1582031250,        0.0703125000,       88.6230468750,      -20.9045410156,      149.4140625000
1494294552.2442989349,       -1.4252929688,       -0.1582031250,        0.0703125000,       90.9271240234,      -21.8658447266,      151.5350341797
1494294552.2468578815,       -1.4252929688,       -0.1582031250,        0.0703125000,       90.9271240234,      -21.8658447266,      151.5350341797
1494294552.2495260239,       -1.4252929688,       -0.2622070312,        0.0605468750,       95.4132080078,      -22.7508544922,      152.6031494141
1494294552.2522289753,       -1.4707031250,       -0.2622070312,        0.0605468750,       95.4132080078,      -22.7508544922,      152.6031494141
1494294552.2547910213,       -1.4707031250,       -0.2622070312,        0.0605468750,      103.8665771484,      -22.2473144531,      151.5502929688
1494294552.2574648857,       -1.4707031250,       -0.2622070312,        0.0605468750,      103.8665771484,      -22.2473144531,      151.5502929688
1494294552.2600250244,       -1.5932617188,       -0.3530273438,        0.0537109375,      115.5853271484,      -19.5465087891,      150.2227783203
1494294552.2627129555,       -1.5932617188,       -0.3530273438,        0.0537109375,      115.8752441406,      -19.5465087891,      150.2227783203
1494294552.2652759552,       -1.5932617188,       -0.3530273438,        0.0537109375,      115.8752441406,      -19.5465087891,      150.5889892578
1494294552.2678349018,       -1.5932617188,       -0.3530273438,        0.0537109375,      125.6103515625,      -22.9492187500,      150.5889892578
1494294552.2703969479,       -1.6669921875,       -0.5117187500,        0.2075195312,      125.6103515625,      -22.9492187500,      152.4353027344
1494294552.2731709480,       -1.6669921875,       -0.5117187500,        0.2075195312,      140.0299072266,      -26.3366699219,      152.4353027344
1494294552.2758290768,       -1.6669921875,       -0.5117187500,        0.2075195312,      140.0299072266,      -26.3366699219,      155.9448242188
1494294552.2785670757,       -1.6669921875,       -0.5117187500,        0.2075195312,      151.8554687500,      -29.2205810547,      155.9448242188
1494294552.2818470001,       -1.6303710938,       -0.6088867188,        0.4296875000,      151.8554687500,      -33.8592529297,      162.9638671875
1494294552.2845520973,       -1.6303710938,       -0.6088867188,        0.4296875000,      152.2521972656,      -33.8592529297,      162.9638671875
1494294552.2872500420,       -1.6303710938,       -0.6088867188,        0.4296875000,      144.4396972656,      -32.1044921875,      176.6052246094
1494294552.2899479866,       -1.4467773438,       -0.3872070312,        0.5126953125,      142.1356201172,      -32.1044921875,      176.6052246094
1494294552.2925670147,       -1.4467773438,       -0.3872070312,        0.5126953125,      142.1356201172,      -19.7601318359,      193.8476562500
1494294552.2951269150,       -1.4467773438,       -0.3872070312,        0.5126953125,      135.1928710938,      -19.7601318359,      193.8476562500
1494294552.2976880074,       -1.4467773438,       -0.3872070312,        0.5126953125,      135.1928710938,      -19.7601318359,      201.5686035156
1494294552.3002440929,       -1.3159179688,       -0.0190429688,        0.3583984375,      122.5280761719,      -11.4288330078,      201.5686035156
1494294552.3030331135,       -1.3159179688,       -0.0190429688,        0.3583984375,      122.5280761719,      -11.4288330078,      198.9440917969
1494294552.3055920601,       -1.3159179688,       -0.0190429688,        0.3583984375,       97.5341796875,      -10.9558105469,      198.9440917969
1494294552.3081479073,       -1.3159179688,       -0.0190429688,        0.3583984375,       97.5341796875,      -10.9558105469,      198.9440917969
1494294552.3107299805,       -1.3066406250,       -0.0439453125,        0.3701171875,       73.2879638672,      -14.7399902344,      190.2465820312
1494294552.3132889271,       -1.3066406250,       -0.0439453125,        0.3701171875,       73.2879638672,      -14.7399902344,      190.2465820312
1494294552.3158419132,       -1.3066406250,       -0.0439453125,        0.3701171875,       51.4221191406,      -18.0511474609,      180.9234619141
1494294552.3184039593,       -1.3066406250,       -0.0439453125,        0.3701171875,       51.4221191406,      -18.0511474609,      180.9234619141
1494294552.3210139275,       -1.2060546875,       -0.1972656250,        0.5493164062,       33.2031250000,      -20.1721191406,      169.6319580078
1494294552.3236811161,       -1.2060546875,       -0.1972656250,        0.5493164062,       33.2031250000,      -20.1721191406,      169.6319580078
1494294552.3262469769,       -1.2060546875,       -0.1972656250,        0.5493164062,       21.8963623047,      -17.2729492188,      156.0974121094
1494294552.3288040161,       -1.2060546875,       -0.1972656250,        0.5493164062,       21.8963623047,      -17.2729492188,      156.0974121094
1494294552.3314990997,       -1.0200195312,       -0.1850585938,        0.6000976562,       15.5792236328,      -18.6614990234,      145.9045410156
1494294552.3340520859,       -1.0200195312,       -0.1850585938,        0.6000976562,       15.5792236328,      -18.6614990234,      145.9045410156
1494294552.3366088867,       -1.0200195312,       -0.1850585938,        0.6000976562,       14.3737792969,      -24.6276855469,      132.8277587891
1494294552.3391690254,       -1.0200195312,       -0.1850585938,        0.6000976562,       14.3737792969,      -24.6276855469,      132.8277587891
1494294552.3418641090,       -0.9091796875,       -0.2133789062,        0.3940429688,       22.1862792969,      -29.9835205078,      113.5253906250
1494294552.3444159031,       -0.9091796875,       -0.2133789062,        0.3940429688,       21.2707519531,      -29.9835205078,      113.5253906250
1494294552.3469738960,       -0.9091796875,       -0.2133789062,        0.3940429688,       21.2707519531,      -29.9835205078,       97.0001220703
1494294552.3495199680,       -0.9091796875,       -0.2133789062,        0.1440429688,       33.8745117188,      -30.4412841797,       97.0001220703
1494294552.3521499634,       -0.8466796875,       -0.1582031250,        0.1586914062,       33.8745117188,      -30.4412841797,       84.8388671875
1494294552.3547089100,       -0.8466796875,       -0.1582031250,        0.1586914062,       47.9125976562,      -25.8789062500,       84.8388671875
1494294552.3572609425,       -0.8466796875,       -0.1582031250,        0.1586914062,       47.9125976562,      -25.8789062500,       80.9326171875
1494294552.3598170280,       -0.8466796875,       -0.1582031250,        0.1928710938,       57.6782226562,      -27.7862548828,       81.8481445312
1494294552.3624999523,       -0.7138671875,        0.2993164062,        0.1928710938,       57.6782226562,      -27.7862548828,       81.8481445312
1494294552.3650560379,       -0.7138671875,        0.2993164062,        0.1928710938,       48.7823486328,      -47.7294921875,       77.5146484375
1494294552.3676149845,       -0.7138671875,        0.2993164062,        0.1928710938,       48.7823486328,      -47.7294921875,       77.5146484375
1494294552.3701701164,       -0.7138671875,        0.3330078125,        0.3715820312,       28.8391113281,      -66.4825439453,       56.2438964844
1494294552.3727309704,       -0.5346679688,        0.3330078125,        0.3715820312,       28.8391113281,      -66.4825439453,       56.2438964844
1494294552.3752861023,       -0.5346679688,        0.3330078125,        0.3715820312,       18.7835693359,      -56.9305419922,       19.7448730469
1494294552.3778409958,       -0.5346679688,        0.3330078125,        0.3715820312,       18.7835693359,      -56.9305419922,       19.7448730469
1494294552.3803989887,       -0.5346679688,       -0.2744140625,       -0.0224609375,       22.2473144531,      -36.3616943359,      -21.6674804688
1494294552.3829550743,       -0.8393554688,       -0.2744140625,       -0.0224609375,       22.2473144531,      -36.3616943359,      -21.6674804688
1494294552.3855059147,       -0.8393554688,       -0.2744140625,       -0.0224609375,       29.1290283203,      -31.2194824219,      -59.6466064453
1494294552.3880620003,       -0.8393554688,       -0.2744140625,       -0.0224609375,       29.1290283203,      -31.2194824219,      -59.6466064453
1494294552.3906109333,       -0.5893554688,       -0.5546875000,       -0.0449218750,       33.0352783203,      -32.6538085938,      -84.5184326172
1494294552.3933339119,       -0.5014648438,       -0.5546875000,       -0.0449218750,       31.5856933594,      -32.6538085938,      -84.5184326172
1494294552.3960199356,       -0.5014648438,       -0.5546875000,       -0.0449218750,       31.5856933594,      -30.0750732422,      -97.5341796875
1494294552.3986248970,       -0.5014648438,       -0.5546875000,       -0.0449218750,       30.7922363281,      -30.0750732422,      -97.5341796875
