time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1489456300.0206480026,1489456300.0328969955,       -0.7299804688,        0.0932617188,        0.0463867188,       -1.7852783203,       -0.9765625000,       -5.2337646484
1489456300.0331950188,1489456300.0354909897,       -0.7299804688,        0.0932617188,        0.0463867188,       -1.3732910156,       -1.1749267578,       -5.2185058594
1489456300.0357630253,1489456300.0380499363,       -0.7299804688,        0.0932617188,        0.0463867188,       -1.3732910156,       -1.1749267578,       -5.2185058594
1489456300.0383191109,1489456300.0407059193,       -0.7348632812,        0.0732421875,        0.0493164062,       -1.5258789062,       -1.3580322266,       -5.2490234375
1489456300.0409801006,1489456300.0432710648,       -0.7348632812,        0.0732421875,        0.0493164062,       -1.5258789062,       -1.3580322266,       -5.2490234375
1489456300.0435431004,1489456300.0458340645,       -0.7348632812,        0.0732421875,        0.0493164062,       -1.9531250000,       -1.1138916016,       -4.6844482422
1489456300.0461039543,1489456300.0483961105,       -0.7348632812,        0.0732421875,        0.0493164062,       -1.9531250000,       -1.1138916016,       -4.6844482422
1489456300.0486660004,1489456300.0511529446,       -0.7309570312,        0.0717773438,        0.0449218750,       -2.1362304688,       -0.8544921875,       -3.8452148438
1489456300.0514299870,1489456300.0538299084,       -0.7309570312,        0.0717773438,        0.0449218750,       -2.1362304688,       -0.8544921875,       -3.8452148438
1489456300.0541090965,1489456300.0565099716,       -0.7309570312,        0.0717773438,        0.0449218750,       -2.2583007812,       -1.1291503906,       -3.7078857422
1489456300.0567860603,1489456300.0592389107,       -0.7309570312,        0.0717773438,        0.0449218750,       -2.2583007812,       -1.1291503906,       -3.7078857422
1489456300.0595169067,1489456300.0619111061,       -0.7270507812,        0.0781250000,        0.0600585938,       -2.2430419922,       -0.5645751953,       -3.8146972656
1489456300.0621891022,1489456300.0645899773,       -0.7270507812,        0.0781250000,        0.0600585938,       -2.2430419922,       -0.5645751953,       -3.8146972656
1489456300.0648679733,1489456300.0672650337,       -0.7270507812,        0.0781250000,        0.0600585938,       -2.4566650391,       -0.9765625000,       -3.6315917969
1489456300.0675430298,1489456300.0698919296,       -0.7270507812,        0.0781250000,        0.0429687500,       -2.4566650391,       -0.9765625000,       -3.6315917969
1489456300.0701661110,1489456300.0724539757,       -0.7270507812,        0.0766601562,        0.0429687500,       -2.0904541016,       -0.9918212891,       -4.0435791016
1489456300.0727269650,1489456300.0750141144,       -0.7270507812,        0.0766601562,        0.0429687500,       -2.0904541016,       -0.9918212891,       -4.0435791016
1489456300.0752859116,1489456300.0776209831,       -0.7270507812,        0.0766601562,        0.0429687500,       -2.0904541016,       -1.2207031250,       -3.8909912109
1489456300.0778939724,1489456300.0802569389,       -0.7270507812,        0.0766601562,        0.0590820312,       -2.2277832031,       -1.2207031250,       -3.8909912109
1489456300.0805308819,1489456300.0828230381,       -0.7280273438,        0.0708007812,        0.0590820312,       -2.2277832031,       -1.2207031250,       -3.6315917969
1489456300.0830969810,1489456300.0853979588,       -0.7280273438,        0.0708007812,        0.0590820312,       -2.0446777344,       -0.9307861328,       -3.6315917969
