time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1489456360.0201809406,1489456360.0324199200,       -0.7187500000,        0.0869140625,        0.0747070312,        7.3547363281,       -1.0375976562,       -3.3569335938
1489456360.0327229500,1489456360.0356199741,       -0.7187500000,        0.0869140625,        0.0747070312,        6.3323974609,       -1.3885498047,       -3.1433105469
1489456360.0359220505,1489456360.0383219719,       -0.7187500000,        0.0869140625,        0.0747070312,        6.3323974609,       -1.3885498047,       -3.0975341797
1489456360.0385999680,1489456360.0411341190,       -0.7187500000,        0.0683593750,        0.0737304688,        4.8980712891,       -1.0528564453,       -3.0975341797
1489456360.0414071083,1489456360.0436971188,       -0.7221679688,        0.0683593750,        0.0737304688,        4.8980712891,       -1.0528564453,       -2.8076171875
1489456360.0439670086,1489456360.0462570190,       -0.7221679688,        0.0683593750,        0.0737304688,        3.4027099609,       -0.8544921875,       -2.8076171875
1489456360.0465281010,1489456360.0488779545,       -0.7221679688,        0.0683593750,        0.0737304688,        3.4027099609,       -0.8544921875,       -2.8076171875
1489456360.0491499901,1489456360.0515270233,       -0.7304687500,        0.0751953125,        0.0712890625,        2.6550292969,       -0.7171630859,       -2.6245117188
1489456360.0517990589,1489456360.0540881157,       -0.7304687500,        0.0751953125,        0.0712890625,        2.6550292969,       -0.7171630859,       -2.6245117188
1489456360.0543580055,1489456360.0566480160,       -0.7304687500,        0.0751953125,        0.0712890625,        3.0059814453,       -0.5645751953,       -2.2888183594
1489456360.0569179058,1489456360.0592739582,       -0.7304687500,        0.0751953125,        0.0712890625,        3.0059814453,       -0.5645751953,       -2.2888183594
1489456360.0596089363,1489456360.0619180202,       -0.7231445312,        0.0600585938,        0.0747070312,        3.0670166016,       -0.6256103516,       -1.6326904297
1489456360.0621900558,1489456360.0644741058,       -0.7231445312,        0.0600585938,        0.0747070312,        3.0670166016,       -0.6256103516,       -1.6326904297
1489456360.0647449493,1489456360.0670280457,       -0.7231445312,        0.0600585938,        0.0747070312,        3.2043457031,       -0.6256103516,       -1.1901855469
1489456360.0673000813,1489456360.0697720051,       -0.7231445312,        0.0600585938,        0.0747070312,        3.2043457031,       -0.6256103516,       -1.1901855469
1489456360.0700669289,1489456360.0723600388,       -0.7416992188,        0.0483398438,        0.0747070312,        3.8452148438,       -0.5645751953,       -0.2593994141
1489456360.0726339817,1489456360.0749130249,       -0.7416992188,        0.0483398438,        0.0747070312,        3.8452148438,       -0.5645751953,       -0.2593994141
1489456360.0751850605,1489456360.0774838924,       -0.7416992188,        0.0483398438,        0.0747070312,        4.1046142578,        0.1525878906,        0.5645751953
1489456360.0777580738,1489456360.0801510811,       -0.7416992188,        0.0483398438,        0.0747070312,        4.1046142578,        0.1525878906,        0.5645751953
1489456360.0804259777,1489456360.0827209949,       -0.7500000000,        0.0283203125,        0.0732421875,        3.1585693359,        0.2441406250,        0.9002685547
1489456360.0829949379,1489456360.0852830410,       -0.7500000000,        0.0283203125,        0.0732421875,        3.1585693359,        0.2441406250,        0.9002685547
1489456360.0855560303,1489456360.0878419876,       -0.7500000000,        0.0283203125,        0.0732421875,        3.1585693359,        0.4425048828,        1.9226074219
1489456360.0881140232,1489456360.0904300213,       -0.7500000000,        0.0283203125,        0.0732421875,        3.2501220703,        0.4425048828,        1.9226074219
1489456360.0907039642,1489456360.0929930210,       -0.7534179688,        0.0502929688,        0.0727539062,        3.2501220703,        0.4425048828,        2.3651123047
1489456360.0934309959,1489456360.0957190990,       -0.7534179688,        0.0502929688,        0.0727539062,        3.4637451172,        1.2207031250,        2.3651123047
1489456360.0959930420,1489456360.0982859135,       -0.7534179688,        0.0502929688,        0.0727539062,        3.4637451172,        1.2207031250,        1.6784667969
1489456360.0985610485,1489456360.1009559631,       -0.7534179688,        0.0502929688,        0.0688476562,        3.7231445312,        1.8005371094,        1.6784667969
1489456360.1012349129,1489456360.1036410332,       -0.7685546875,        0.0751953125,        0.0688476562,        3.7231445312,        1.8005371094,        1.4190673828
1489456360.1039199829,1489456360.1063189507,       -0.7685546875,        0.0751953125,        0.0688476562,        5.9967041016,        2.2277832031,        1.4190673828
1489456360.1065959930,1489456360.1090409756,       -0.7685546875,        0.0751953125,        0.0688476562,        5.9967041016,        2.2277832031,        0.8697509766
1489456360.1093189716,1489456360.1117069721,       -0.6435546875,        0.1147460938,        0.0473632812,        8.0566406250,        1.6784667969,        0.8697509766
1489456360.1119859219,1489456360.1144130230,       -0.7490234375,        0.1147460938,        0.0473632812,        8.0566406250,        1.6784667969,        0.2441406250
1489456360.1146960258,1489456360.1170930862,       -0.7490234375,        0.1147460938,        0.0473632812,       10.2691650391,        0.9918212891,        0.2441406250
1489456360.1173779964,1489456360.1198239326,       -0.7490234375,        0.1147460938,        0.0473632812,       10.2691650391,        0.9918212891,       -0.3051757812
1489456360.1201090813,1489456360.1225070953,       -0.7436523438,        0.1103515625,        0.0493164062,       11.9476318359,        0.5798339844,       -0.3051757812
1489456360.1227900982,1489456360.1251940727,       -0.7436523438,        0.1103515625,        0.0493164062,       11.9476318359,        0.5798339844,       -0.3051757812
1489456360.1254780293,1489456360.1278760433,       -0.7436523438,        0.1103515625,        0.0493164062,       13.9312744141,        0.1220703125,       -0.2899169922
