time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1489456060.0208640099,1489456060.0324809551,       -0.7465820312,        0.1987304688,       -0.0185546875,       13.5803222656,       -2.4414062500,       13.7176513672
1489456060.0327939987,1489456060.0363879204,       -0.7465820312,        0.1987304688,       -0.0068359375,       15.9149169922,       -2.4414062500,       13.7176513672
1489456060.0367050171,1489456060.0401139259,       -0.7485351562,        0.2241210938,       -0.0068359375,       16.5405273438,       -2.7160644531,       16.9219970703
1489456060.0404269695,1489456060.0428409576,       -0.7485351562,        0.2241210938,       -0.0068359375,       16.5405273438,       -2.6092529297,       20.8282470703
1489456060.0431299210,1489456060.0455451012,       -0.7485351562,        0.3491210938,        0.0195312500,       17.7612304688,       -2.6092529297,       20.8282470703
1489456060.0458309650,1489456060.0482399464,       -0.7636718750,        0.3095703125,        0.0195312500,       17.7612304688,       -2.6092529297,       24.5361328125
1489456060.0485279560,1489456060.0509500504,       -0.7636718750,        0.3095703125,        0.0195312500,       19.6228027344,       -1.8615722656,       24.5361328125
1489456060.0512371063,1489456060.0536489487,       -0.7636718750,        0.3095703125,        0.0195312500,       19.6228027344,       -1.8615722656,       28.2135009766
1489456060.0539360046,1489456060.0563519001,       -0.7836914062,        0.3837890625,        0.0063476562,       22.0031738281,       -1.4343261719,       28.2135009766
1489456060.0566411018,1489456060.0590660572,       -0.7836914062,        0.3837890625,        0.0063476562,       22.0031738281,       -1.4343261719,       32.1655273438
1489456060.0593550205,1489456060.0617659092,       -0.7836914062,        0.3837890625,        0.0063476562,       23.6663818359,       -1.2512207031,       32.1655273438
1489456060.0620560646,1489456060.0644669533,       -0.7836914062,        0.3837890625,        0.0063476562,       23.6663818359,       -1.2512207031,       36.7889404297
1489456060.0647540092,1489456060.0671639442,       -0.7792968750,        0.4077148438,        0.0043945312,       24.8565673828,       -1.6326904297,       36.7889404297
1489456060.0674510002,1489456060.0698230267,       -0.7792968750,        0.4077148438,        0.0043945312,       24.8565673828,       -1.6326904297,       41.3513183594
1489456060.0701029301,1489456060.0723900795,       -0.7792968750,        0.4077148438,        0.0043945312,       24.8565673828,       -1.9989013672,       41.3513183594
1489456060.0726709366,1489456060.0749599934,       -0.7792968750,        0.4077148438,        0.0043945312,       24.8565673828,       -1.9989013672,       46.1578369141
1489456060.0752389431,1489456060.0775320530,       -0.7880859375,        0.4321289062,        0.0200195312,       23.2543945312,       -1.7547607422,       46.1578369141
1489456060.0778119564,1489456060.0801279545,       -0.7880859375,        0.4321289062,        0.0200195312,       23.2543945312,       -1.7547607422,       46.1578369141
1489456060.0804109573,1489456060.0827031136,       -0.7880859375,        0.4321289062,        0.0200195312,       20.0958251953,       -1.1749267578,       51.4831542969
1489456060.0829849243,1489456060.0852758884,       -0.7880859375,        0.4321289062,        0.0200195312,       20.0958251953,       -1.1749267578,       51.4831542969
1489456060.0855579376,1489456060.0878419876,       -0.7773437500,        0.4790039062,        0.0190429688,       15.3045654297,       -0.9460449219,       57.0373535156
1489456060.0881249905,1489456060.0905640125,       -0.7773437500,        0.4790039062,        0.0190429688,       15.3045654297,       -0.9460449219,       57.0373535156
1489456060.0908470154,1489456060.0931351185,       -0.7773437500,        0.4790039062,        0.0190429688,       10.5438232422,       -1.0070800781,       63.2476806641
1489456060.0934178829,1489456060.0957069397,       -0.7773437500,        0.4790039062,        0.0170898438,       10.5438232422,       -1.0070800781,       63.2476806641
1489456060.0961430073,1489456060.0984349251,       -0.7709960938,        0.4916992188,        0.0170898438,        5.0354003906,       -1.1291503906,       69.1986083984
1489456060.0987129211,1489456060.1011829376,       -0.7709960938,        0.4916992188,        0.0170898438,        5.0354003906,       -1.1291503906,       69.1986083984
1489456060.1014618874,1489456060.1037530899,       -0.7709960938,        0.4916992188,        0.0170898438,       -1.2664794922,       -0.7019042969,       75.3173828125
1489456060.1040310860,1489456060.1063189507,       -0.7709960938,        0.4833984375,        0.0156250000,       -1.2664794922,       -0.7019042969,       75.3173828125
1489456060.1065979004,1489456060.1089570522,       -0.7543945312,        0.4833984375,        0.0156250000,       -8.8653564453,       -0.9765625000,       81.8939208984
1489456060.1092569828,1489456060.1115570068,       -0.7543945312,        0.4833984375,        0.0156250000,       -8.8653564453,       -0.9765625000,       81.8939208984
1489456060.1118381023,1489456060.1141250134,       -0.7543945312,        0.4833984375,        0.0156250000,      -18.8598632812,       -1.4343261719,       88.1958007812
1489456060.1144220829,1489456060.1167209148,       -0.7543945312,        0.5268554688,        0.0356445312,      -18.8598632812,       -1.4343261719,       88.1958007812
1489456060.1170039177,1489456060.1192989349,       -0.7529296875,        0.5268554688,        0.0356445312,      -30.5786132812,       -1.6174316406,       94.6655273438
1489456060.1195828915,1489456060.1218750477,       -0.7529296875,        0.5268554688,        0.0356445312,      -29.1595458984,       -1.6174316406,       94.6655273438
1489456060.1221559048,1489456060.1244370937,       -0.7529296875,        0.5268554688,        0.0356445312,      -29.1595458984,       -1.3580322266,      101.0437011719
1489456060.1247189045,1489456060.1270039082,       -0.7524414062,        0.5854492188,        0.0556640625,      -40.2069091797,       -1.3580322266,      101.0437011719
1489456060.1272859573,1489456060.1296579838,       -0.7524414062,        0.5854492188,        0.0556640625,      -40.2069091797,       -1.3580322266,      107.7880859375
1489456060.1299450397,1489456060.1324429512,       -0.7524414062,        0.5854492188,        0.0556640625,      -51.2847900391,       -1.7089843750,      107.7880859375
1489456060.1327350140,1489456060.1351540089,       -0.7524414062,        0.5854492188,        0.0556640625,      -51.2847900391,       -1.7089843750,      113.5101318359
1489456060.1354460716,1489456060.1378619671,       -0.7250976562,        0.6196289062,        0.0864257812,      -58.0444335938,       -2.1514892578,      113.5101318359
