time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1489456000.0219531059,1489456000.0329430103,       -0.9526367188,        0.5219726562,        1.1645507812,       36.5447998047,       36.4990234375,      192.1844482422
1489456000.0332601070,1489456000.0374450684,       -2.6342773438,        0.8393554688,       -0.4033203125,       36.5447998047,       44.3115234375,      212.6007080078
1489456000.0377631187,1489456000.0403769016,       -2.6342773438,        0.8393554688,       -0.4033203125,       10.8795166016,       43.6706542969,      212.6007080078
1489456000.0406739712,1489456000.0430901051,       -2.6342773438,        0.8393554688,       -1.1630859375,       -7.2174072266,       34.9273681641,      225.7537841797
1489456000.0433769226,1489456000.0459780693,       -2.4711914062,       -0.2382812500,       -1.1630859375,       -7.2174072266,       34.9273681641,      225.7537841797
1489456000.0462648869,1489456000.0486149788,       -2.4711914062,       -0.2382812500,       -1.1630859375,      -40.8325195312,       23.7579345703,      235.0616455078
1489456000.0489768982,1489456000.0513799191,       -2.4711914062,       -0.2382812500,       -1.1630859375,      -40.8325195312,       23.7579345703,      235.0616455078
1489456000.0516669750,1489456000.0540459156,       -1.2724609375,       -0.2319335938,       -0.3735351562,      -74.0051269531,       14.1906738281,      244.7967529297
1489456000.0544269085,1489456000.0568060875,       -1.2724609375,       -0.2319335938,       -0.3735351562,      -74.0051269531,       14.1906738281,      244.7967529297
1489456000.0570950508,1489456000.0610098839,       -1.2724609375,       -0.2319335938,       -0.3735351562,      -80.3680419922,       12.7258300781,      253.1280517578
1489456000.0612969398,1489456000.0635879040,       -1.2724609375,        0.7656250000,        0.2504882812,      -80.3680419922,       12.7258300781,      253.1280517578
1489456000.0638699532,1489456000.0661540031,       -0.0566406250,        0.7656250000,        0.2504882812,      -55.8319091797,       12.4511718750,      250.3356933594
1489456000.0664370060,1489456000.0687170029,       -0.0566406250,        0.7656250000,        0.2504882812,      -55.8319091797,       12.4511718750,      250.3356933594
1489456000.0690910816,1489456000.0713779926,       -0.0566406250,        0.7656250000,        0.2504882812,      -16.7388916016,       10.8947753906,      228.8513183594
1489456000.0716609955,1489456000.0739459991,        0.0683593750,        1.1279296875,        0.2709960938,      -16.7388916016,       10.8947753906,      228.8513183594
1489456000.0742270947,1489456000.0765099525,        0.0810546875,        1.1279296875,        0.2709960938,        6.6986083984,        6.9580078125,      199.7680664062
1489456000.0767829418,1489456000.0791919231,        0.0810546875,        1.1279296875,        0.2709960938,        6.6986083984,        6.9580078125,      199.7680664062
1489456000.0794670582,1489456000.0817580223,        0.0810546875,        1.1279296875,        0.2709960938,       10.9558105469,        1.4038085938,      182.0068359375
1489456000.0820410252,1489456000.0843279362,       -0.3002929688,        0.8076171875,       -0.0185546875,       10.9558105469,        1.4038085938,      182.0068359375
1489456000.0846090317,1489456000.0868949890,       -0.3002929688,        0.8076171875,       -0.0185546875,       25.5432128906,       -6.3476562500,      169.4335937500
1489456000.0871760845,1489456000.0896139145,       -0.3002929688,        0.8076171875,       -0.0185546875,       25.5432128906,       -6.3476562500,      169.4335937500
1489456000.0898969173,1489456000.0921890736,       -0.3002929688,        0.8076171875,       -0.0185546875,       48.8128662109,       -7.3394775391,      156.5399169922
1489456000.0924720764,1489456000.0947580338,       -0.5502929688,        0.4858398438,       -0.2275390625,       48.8128662109,       -7.3394775391,      156.5399169922
1489456000.0950379372,1489456000.0973210335,       -0.5502929688,        0.4858398438,       -0.2275390625,       54.7943115234,       -5.3100585938,      150.1159667969
1489456000.0977640152,1489456000.1002380848,       -0.5502929688,        0.4858398438,       -0.2275390625,       54.7943115234,       -5.3100585938,      150.1159667969
1489456000.1005220413,1489456000.1028089523,       -0.5502929688,        0.4858398438,       -0.2275390625,       46.8750000000,       -4.8980712891,      145.9808349609
1489456000.1030900478,1489456000.1053800583,       -0.8681640625,        0.1591796875,       -0.0795898438,       46.8750000000,       -4.8980712891,      145.9808349609
