time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1489455940.0210459232,1489455940.0329411030,       -0.7124023438,        0.1855468750,        0.0576171875,       11.7034912109,       -6.9427490234,        4.7149658203
1489455940.0332520008,1489455940.0368208885,       -0.7124023438,        0.1855468750,        0.0576171875,       11.2304687500,       -6.9427490234,        4.7149658203
1489455940.0371239185,1489455940.0396580696,       -0.7148437500,        0.1694335938,        0.0693359375,        8.7432861328,       -6.6680908203,        4.9438476562
1489455940.0399379730,1489455940.0423169136,       -0.7148437500,        0.1694335938,        0.0693359375,        8.7432861328,       -6.6680908203,        4.9438476562
1489455940.0425949097,1489455940.0455811024,       -0.7148437500,        0.1694335938,        0.0693359375,        6.7749023438,       -6.5155029297,        5.8288574219
1489455940.0458569527,1489455940.0481379032,       -0.7148437500,        0.1694335938,        0.0800781250,        6.7749023438,       -6.5155029297,        6.3781738281
1489455940.0484120846,1489455940.0507860184,       -0.7084960938,        0.1835937500,        0.0800781250,        5.4931640625,       -6.2713623047,        6.3781738281
1489455940.0510580540,1489455940.0533308983,       -0.7084960938,        0.1835937500,        0.0800781250,        5.4931640625,       -6.2713623047,        6.3781738281
1489455940.0536019802,1489455940.0558860302,       -0.7084960938,        0.1835937500,        0.0800781250,        5.6152343750,       -6.3323974609,        6.8969726562
1489455940.0561580658,1489455940.0584468842,       -0.7084960938,        0.1835937500,        0.0776367188,        5.6152343750,       -6.3323974609,        6.8969726562
1489455940.0587170124,1489455940.0610079765,       -0.7070312500,        0.1757812500,        0.0776367188,        6.2866210938,       -5.8898925781,        7.4768066406
1489455940.0612790585,1489455940.0635640621,       -0.7070312500,        0.1757812500,        0.0776367188,        6.2866210938,       -5.8898925781,        7.4768066406
1489455940.0638349056,1489455940.0661189556,       -0.7070312500,        0.1757812500,        0.0776367188,        7.2021484375,       -5.1422119141,        8.7432861328
1489455940.0663900375,1489455940.0686709881,       -0.7070312500,        0.1757812500,        0.0815429688,        7.2021484375,       -5.1422119141,        8.7432861328
1489455940.0689411163,1489455940.0712239742,       -0.7133789062,        0.1567382812,        0.0815429688,        7.2479248047,       -4.6386718750,        9.9639892578
1489455940.0714950562,1489455940.0737791061,       -0.7133789062,        0.1567382812,        0.0815429688,        7.2479248047,       -4.6386718750,        9.9639892578
1489455940.0740499496,1489455940.0763349533,       -0.7133789062,        0.1567382812,        0.0815429688,        8.0566406250,       -4.2572021484,       11.0931396484
1489455940.0766150951,1489455940.0790300369,       -0.7133789062,        0.1826171875,        0.0830078125,        8.0566406250,       -4.2572021484,       11.0931396484
1489455940.0793259144,1489455940.0816209316,       -0.7119140625,        0.1826171875,        0.0830078125,        8.6669921875,       -4.6844482422,       11.6271972656
1489455940.0819010735,1489455940.0841879845,       -0.7119140625,        0.1826171875,        0.0830078125,        8.6669921875,       -4.6844482422,       11.6271972656
1489455940.0844669342,1489455940.0867578983,       -0.7119140625,        0.1826171875,        0.0830078125,        8.6669921875,       -4.6844482422,       11.5966796875
1489455940.0870380402,1489455940.0893919468,       -0.7119140625,        0.2099609375,        0.0600585938,        9.2620849609,       -4.6844482422,       11.5966796875
1489455940.0896708965,1489455940.0919599533,       -0.6962890625,        0.2099609375,        0.0600585938,        9.2620849609,       -4.6844482422,       12.1459960938
1489455940.0922400951,1489455940.0945279598,       -0.6962890625,        0.2099609375,        0.0600585938,       10.6048583984,       -4.5318603516,       12.1459960938
1489455940.0949659348,1489455940.0972568989,       -0.6962890625,        0.2099609375,        0.0600585938,       10.6048583984,       -4.5318603516,       12.2680664062
1489455940.0975399017,1489455940.1000299454,       -0.6918945312,        0.2084960938,        0.0566406250,       11.5966796875,       -4.1198730469,       12.2680664062
1489455940.1003189087,1489455940.1027209759,       -0.6918945312,        0.2084960938,        0.0566406250,       11.5966796875,       -4.1198730469,       12.2985839844
1489455940.1030080318,1489455940.1054069996,       -0.6918945312,        0.2084960938,        0.0566406250,       11.8103027344,       -4.0740966797,       12.2985839844
1489455940.1056981087,1489455940.1080999374,       -0.6918945312,        0.2084960938,        0.0566406250,       11.8103027344,       -4.0740966797,       12.1154785156
1489455940.1083869934,1489455940.1108319759,       -0.7133789062,        0.1987304688,        0.0756835938,       11.7797851562,       -4.6844482422,       12.1154785156
1489455940.1111190319,1489455940.1135230064,       -0.7133789062,        0.1987304688,        0.0756835938,       11.7797851562,       -4.6844482422,       12.2680664062
1489455940.1138110161,1489455940.1162090302,       -0.7133789062,        0.1987304688,        0.0756835938,       12.5885009766,       -4.8065185547,       12.2680664062
1489455940.1164970398,1489455940.1189150810,       -0.7133789062,        0.1987304688,        0.0634765625,       12.5885009766,       -4.8065185547,       12.7410888672
1489455940.1192018986,1489455940.1216020584,       -0.7124023438,        0.1933593750,        0.0634765625,       12.6037597656,       -4.6081542969,       12.7410888672
1489455940.1218891144,1489455940.1242930889,       -0.7124023438,        0.1933593750,        0.0634765625,       12.6037597656,       -4.6081542969,       13.5803222656
1489455940.1245789528,1489455940.1269750595,       -0.7124023438,        0.1933593750,        0.0634765625,       12.7258300781,       -4.0435791016,       13.5803222656
1489455940.1272630692,1489455940.1296780109,       -0.7124023438,        0.1855468750,        0.0527343750,       12.7258300781,       -4.0435791016,       14.8925781250
1489455940.1299650669,1489455940.1323640347,       -0.7089843750,        0.1855468750,        0.0527343750,       12.0697021484,       -3.7078857422,       14.8925781250
1489455940.1326510906,1489455940.1350491047,       -0.7089843750,        0.1855468750,        0.0527343750,       12.0697021484,       -3.7078857422,       18.7988281250
1489455940.1353371143,1489455940.1377370358,       -0.7089843750,        0.1855468750,        0.0527343750,       10.9405517578,       -3.9215087891,       16.2048339844
1489455940.1380240917,1489455940.1404340267,       -0.7045898438,        0.1972656250,        0.0566406250,       10.9405517578,       -3.9215087891,       16.2048339844
1489455940.1407220364,1489455940.1431229115,       -0.7045898438,        0.1972656250,        0.0566406250,       10.2386474609,       -3.8146972656,       17.6696777344
1489455940.1434090137,1489455940.1458079815,       -0.7045898438,        0.1972656250,        0.0566406250,       10.2386474609,       -3.8146972656,       21.5759277344
1489455940.1460950375,1489455940.1484980583,       -0.7045898438,        0.1972656250,        0.0566406250,       10.0708007812,       -3.6926269531,       19.9737548828
1489455940.1488230228,1489455940.1512041092,       -0.7114257812,        0.1625976562,        0.0766601562,       10.0708007812,       -3.6926269531,       19.9737548828
1489455940.1514909267,1489455940.1539480686,       -0.7114257812,        0.1625976562,        0.0766601562,        9.0484619141,       -3.3569335938,       21.0723876953
1489455940.1542348862,1489455940.1567420959,       -0.7114257812,        0.1625976562,        0.0766601562,        9.0484619141,       -3.3569335938,       21.0723876953
1489455940.1570301056,1489455940.1594569683,       -0.7114257812,        0.1625976562,        0.1186523438,        8.7585449219,       -2.8381347656,       21.6522216797
1489455940.1598560810,1489455940.1622729301,       -0.7470703125,        0.1406250000,        0.1186523438,        8.7585449219,       -2.8381347656,       21.6522216797
1489455940.1625590324,1489455940.1649820805,       -0.7470703125,        0.1406250000,        0.1186523438,        9.1247558594,       -2.5482177734,       22.5219726562
1489455940.1652669907,1489455940.1676819324,       -0.7470703125,        0.1406250000,        0.1186523438,        9.1247558594,       -2.5482177734,       22.5219726562
1489455940.1679658890,1489455940.1703510284,       -0.7421875000,        0.1899414062,        0.0952148438,        9.6893310547,       -2.7008056641,       23.3306884766
1489455940.1706290245,1489455940.1729199886,       -0.7421875000,        0.1899414062,        0.0952148438,        9.6893310547,       -2.7008056641,       23.3306884766
1489455940.1731989384,1489455940.1754879951,       -0.7421875000,        0.1899414062,        0.0952148438,       10.8184814453,       -2.3803710938,       24.0325927734
1489455940.1757719517,1489455940.1780679226,       -0.7421875000,        0.1899414062,        0.0952148438,       10.8184814453,       -2.3803710938,       24.0325927734
1489455940.1783499718,1489455940.1807200909,       -0.7553710938,        0.1655273438,        0.0898437500,       11.8255615234,       -1.4953613281,       24.6887207031
1489455940.1810069084,1489455940.1833839417,       -0.7553710938,        0.1655273438,        0.0898437500,       11.8255615234,       -1.4953613281,       24.6887207031
1489455940.1836700439,1489455940.1860580444,       -0.7553710938,        0.1655273438,        0.0898437500,       11.8713378906,       -1.0681152344,       25.1464843750
1489455940.1863439083,1489455940.1887259483,       -0.7553710938,        0.1655273438,        0.0898437500,       11.8713378906,       -1.0681152344,       25.1464843750
1489455940.1891059875,1489455940.1914050579,       -0.7470703125,        0.1928710938,        0.0810546875,       12.0086669922,       -1.2054443359,       26.2756347656
1489455940.1916871071,1489455940.1939799786,       -0.7470703125,        0.1928710938,        0.0810546875,       12.0086669922,       -1.2054443359,       26.2756347656
1489455940.1942639351,1489455940.1965548992,       -0.7470703125,        0.1928710938,        0.0810546875,       13.3666992188,       -1.2359619141,       27.1759033203
1489455940.1968379021,1489455940.1993520260,       -0.7470703125,        0.1928710938,        0.0810546875,       13.3666992188,       -1.2359619141,       27.1759033203
1489455940.1996340752,1489455940.2019259930,       -0.7299804688,        0.2216796875,        0.0761718750,       14.9841308594,       -0.9460449219,       27.4047851562
1489455940.2022089958,1489455940.2044999599,       -0.7299804688,        0.2216796875,        0.0761718750,       14.9841308594,       -0.9460449219,       27.4047851562
1489455940.2047829628,1489455940.2070820332,       -0.7299804688,        0.2216796875,        0.0761718750,       16.7388916016,       -1.4648437500,       28.4118652344
1489455940.2073650360,1489455940.2098701000,       -0.7299804688,        0.2216796875,        0.0644531250,       16.7388916016,       -1.4648437500,       28.4118652344
1489455940.2101600170,1489455940.2125730515,       -0.7324218750,        0.2104492188,        0.0644531250,       17.2424316406,       -1.4038085938,       29.3579101562
1489455940.2128629684,1489455940.2152609825,       -0.7324218750,        0.2104492188,        0.0644531250,       17.2424316406,       -1.4038085938,       29.3579101562
1489455940.2155480385,1489455940.2179489136,       -0.7324218750,        0.2104492188,        0.0644531250,       17.8375244141,       -0.6408691406,       30.7617187500
1489455940.2182369232,1489455940.2205770016,       -0.7324218750,        0.2001953125,        0.0737304688,       17.8375244141,       -0.6408691406,       30.7617187500
1489455940.2208600044,1489455940.2231490612,       -0.7329101562,        0.2001953125,        0.0737304688,       18.0969238281,       -0.4577636719,       32.5317382812
1489455940.2235438824,1489455940.2258360386,       -0.7329101562,        0.2001953125,        0.0737304688,       18.0969238281,       -0.4577636719,       32.5317382812
1489455940.2261168957,1489455940.2284131050,       -0.7329101562,        0.2001953125,        0.0737304688,       18.2800292969,       -0.1678466797,       34.1186523438
1489455940.2286949158,1489455940.2310979366,       -0.7231445312,        0.2133789062,        0.0830078125,       18.2800292969,       -0.1678466797,       34.1186523438
1489455940.2313880920,1489455940.2337989807,       -0.7231445312,        0.2133789062,        0.0830078125,       18.2800292969,        0.3967285156,       35.9497070312
1489455940.2340879440,1489455940.2364890575,       -0.7231445312,        0.2133789062,        0.0830078125,       18.9514160156,        0.3967285156,       35.9497070312
1489455940.2367770672,1489455940.2393870354,       -0.7231445312,        0.2133789062,        0.0830078125,       18.9514160156,        1.0681152344,       37.7502441406
1489455940.2396719456,1489455940.2419641018,       -0.7167968750,        0.2202148438,        0.0742187500,       19.4244384766,        1.0681152344,       37.7502441406
1489455940.2422459126,1489455940.2445399761,       -0.7167968750,        0.2202148438,        0.0742187500,       19.4244384766,        1.7242431641,       39.0777587891
1489455940.2448229790,1489455940.2471079826,       -0.7167968750,        0.2202148438,        0.0742187500,       19.5159912109,        1.7242431641,       39.0777587891
1489455940.2473900318,1489455940.2498419285,       -0.7167968750,        0.2202148438,        0.0742187500,       19.5159912109,        1.7242431641,       40.6188964844
1489455940.2501289845,1489455940.2525091171,       -0.7192382812,        0.2197265625,        0.0795898438,       19.8364257812,        2.0599365234,       40.6188964844
1489455940.2527940273,1489455940.2552599907,       -0.7192382812,        0.2197265625,        0.0795898438,       19.8364257812,        2.0599365234,       42.0837402344
1489455940.2555480003,1489455940.2579379082,       -0.7192382812,        0.2197265625,        0.0795898438,       19.3328857422,        2.3193359375,       42.0837402344
1489455940.2594408989,1489455940.2617421150,       -0.7192382812,        0.2089843750,        0.0874023438,       19.0277099609,        3.0364990234,       43.3654785156
1489455940.2620260715,1489455940.2643170357,       -0.7192382812,        0.2089843750,        0.0874023438,       19.0277099609,        3.0364990234,       43.3654785156
1489455940.2645990849,1489455940.2668869495,       -0.7192382812,        0.2089843750,        0.0874023438,       18.6004638672,        3.4179687500,       44.6166992188
1489455940.2671680450,1489455940.2694671154,       -0.7192382812,        0.2089843750,        0.0874023438,       18.6004638672,        3.4179687500,       44.6166992188
1489455940.2697479725,1489455940.2720339298,       -0.7324218750,        0.2182617188,        0.1025390625,       17.5781250000,        4.0893554688,       46.2036132812
1489455940.2723159790,1489455940.2745990753,       -0.7324218750,        0.2182617188,        0.1025390625,       17.5781250000,        4.0893554688,       46.2036132812
1489455940.2748820782,1489455940.2771749496,       -0.7324218750,        0.2182617188,        0.1025390625,       17.5781250000,        4.8217773438,       46.9512939453
1489455940.2774550915,1489455940.2797970772,       -0.7324218750,        0.2182617188,        0.1025390625,       17.5628662109,        4.8217773438,       46.9512939453
1489455940.2800779343,1489455940.2823770046,       -0.7382812500,        0.2470703125,        0.0878906250,       17.5628662109,        4.8217773438,       47.2412109375
1489455940.2826569080,1489455940.2849500179,       -0.7382812500,        0.2470703125,        0.0878906250,       17.8222656250,        4.6081542969,       47.2412109375
1489455940.2852311134,1489455940.2875180244,       -0.7382812500,        0.2470703125,        0.0878906250,       17.8222656250,        4.6081542969,       47.9125976562
1489455940.2879099846,1489455940.2902159691,       -0.7382812500,        0.2470703125,        0.0878906250,       17.8680419922,        4.1961669922,       47.9125976562
1489455940.2904970646,1489455940.2927858829,       -0.7451171875,        0.2465820312,        0.0859375000,       17.8680419922,        4.1961669922,       47.9125976562
1489455940.2930669785,1489455940.2953619957,       -0.7451171875,        0.2465820312,        0.0859375000,       18.0358886719,        3.9978027344,       48.1719970703
1489455940.2956430912,1489455940.2979381084,       -0.7451171875,        0.2465820312,        0.0859375000,       18.0358886719,        3.9978027344,       48.1719970703
1489455940.2982199192,1489455940.3005928993,       -0.7451171875,        0.2465820312,        0.0708007812,       18.6462402344,        4.2114257812,       48.1109619141
1489455940.3008749485,1489455940.3031699657,       -0.7329101562,        0.2690429688,        0.0708007812,       18.6462402344,        4.2114257812,       48.1109619141
1489455940.3034529686,1489455940.3057410717,       -0.7329101562,        0.2690429688,        0.0708007812,       19.9737548828,        4.0435791016,       48.2025146484
1489455940.3060240746,1489455940.3083100319,       -0.7329101562,        0.2690429688,        0.0708007812,       19.9737548828,        4.0435791016,       48.2025146484
1489455940.3085908890,1489455940.3110580444,       -0.7329101562,        0.2822265625,        0.0600585938,       21.3317871094,        4.0588378906,       48.7365722656
1489455940.3113389015,1489455940.3136270046,       -0.7338867188,        0.2822265625,        0.0600585938,       21.3317871094,        4.0588378906,       48.7365722656
1489455940.3139069080,1489455940.3162009716,       -0.7338867188,        0.2822265625,        0.0600585938,       21.2554931641,        4.0435791016,       48.8586425781
1489455940.3164811134,1489455940.3187749386,       -0.7338867188,        0.2822265625,        0.0600585938,       21.2554931641,        4.0435791016,       48.8586425781
1489455940.3192300797,1489455940.3215138912,       -0.7338867188,        0.2778320312,        0.0600585938,       22.0336914062,        4.3487548828,       48.9196777344
1489455940.3217968941,1489455940.3240919113,       -0.7290039062,        0.2778320312,        0.0600585938,       22.0336914062,        4.3487548828,       48.9196777344
1489455940.3243720531,1489455940.3266689777,       -0.7290039062,        0.2778320312,        0.0600585938,       22.3846435547,        4.8370361328,       49.3774414062
1489455940.3269510269,1489455940.3292601109,       -0.7290039062,        0.2778320312,        0.0600585938,       22.3846435547,        4.8370361328,       49.3774414062
1489455940.3295431137,1489455940.3318378925,       -0.7436523438,        0.2773437500,        0.0561523438,       22.3846435547,        5.1574707031,       49.1180419922
1489455940.3321199417,1489455940.3344089985,       -0.7436523438,        0.2773437500,        0.0561523438,       22.1557617188,        5.1574707031,       49.1180419922
1489455940.3346910477,1489455940.3369789124,       -0.7436523438,        0.2773437500,        0.0561523438,       22.1557617188,        5.5236816406,       49.8962402344
1489455940.3372609615,1489455940.3396549225,       -0.7436523438,        0.2773437500,        0.0561523438,       21.6979980469,        5.5236816406,       49.8962402344
1489455940.3399438858,1489455940.3424160480,       -0.7612304688,        0.2851562500,        0.0239257812,       21.6979980469,        6.1950683594,       50.9033203125
1489455940.3427019119,1489455940.3449978828,       -0.7612304688,        0.2851562500,        0.0239257812,       20.6298828125,        6.1950683594,       50.9033203125
1489455940.3452789783,1489455940.3475680351,       -0.7612304688,        0.2851562500,        0.0239257812,       20.6298828125,        6.1950683594,       51.8646240234
1489455940.3478488922,1489455940.3503201008,       -0.7612304688,        0.2851562500,        0.0239257812,       19.9890136719,        6.4697265625,       51.8646240234
1489455940.3507120609,1489455940.3530070782,       -0.7724609375,        0.2939453125,        0.0161132812,       19.9890136719,        6.4697265625,       52.5360107422
1489455940.3532900810,1489455940.3561720848,       -0.7724609375,        0.2939453125,        0.0161132812,       18.9056396484,        6.8359375000,       52.5360107422
1489455940.3564569950,1489455940.3587501049,       -0.7724609375,        0.2939453125,        0.0161132812,       18.9056396484,        6.7443847656,       53.4362792969
1489455940.3591179848,1489455940.3614020348,       -0.7724609375,        0.2939453125,        0.0156250000,       18.0816650391,        6.7443847656,       53.4362792969
