time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1489457422.0215799809,1489457422.0428669453,       -0.7382812500,        0.0585937500,        0.0273437500,       -0.0915527344,        0.2899169922,        0.1678466797
1489457422.0431709290,1489457422.0457949638,       -0.7382812500,        0.0585937500,        0.0273437500,       -0.0915527344,       -3.6163330078,        0.2746582031
1489457422.0460789204,1489457422.0484850407,       -0.7382812500,        0.0610351562,        0.0156250000,        0.3662109375,       -0.1068115234,        0.2746582031
1489457422.0487649441,1489457422.0516979694,       -0.7377929688,        0.0610351562,        0.0156250000,        0.3662109375,       -0.0762939453,        0.1220703125
1489457422.0519869328,1489457422.0543889999,       -0.7377929688,        0.0610351562,        0.0156250000,        0.0305175781,       -0.0762939453,        0.1220703125
1489457422.0546679497,1489457422.0570690632,       -0.7377929688,        0.0610351562,        0.0156250000,       -3.8757324219,       -0.1983642578,        0.0762939453
1489457422.0573480129,1489457422.0597529411,       -0.7353515625,        0.0551757812,        0.0249023438,       -0.2288818359,       -0.1983642578,        0.0762939453
1489457422.0600318909,1489457422.0624339581,       -0.7353515625,        0.0551757812,        0.0249023438,       -0.2288818359,       -0.0457763672,       -0.0152587891
1489457422.0627119541,1489457422.0653049946,       -0.7353515625,        0.0551757812,        0.0249023438,       -0.5035400391,       -0.0457763672,       -0.0152587891
1489457422.0655980110,1489457422.0680139065,       -0.7353515625,        0.0551757812,        0.0141601562,        0.2136230469,       -0.4425048828,        0.0915527344
1489457422.0682959557,1489457422.0707221031,       -0.7353515625,        0.0639648438,        0.0141601562,        0.2136230469,       -0.4425048828,        0.0915527344
1489457422.0710010529,1489457422.0734040737,       -0.7353515625,        0.0639648438,        0.0141601562,       -3.6926269531,       -0.3204345703,        0.4577636719
1489457422.0736830235,1489457422.0760810375,       -0.7353515625,        0.0639648438,        0.0141601562,       -0.5340576172,       -0.3204345703,        0.4577636719
1489457422.0763590336,1489457422.0787599087,       -0.7353515625,        0.0595703125,        0.0175781250,       -0.5340576172,       -0.1983642578,        0.3967285156
1489457422.0791409016,1489457422.0814290047,       -0.7304687500,        0.0595703125,        0.0175781250,       -0.7476806641,       -0.1983642578,        0.3967285156
1489457422.0817019939,1489457422.0839889050,       -0.7304687500,        0.0595703125,        0.0175781250,       -0.7476806641,       -0.1220703125,        0.3509521484
1489457422.0842618942,1489457422.0865559578,       -0.7304687500,        0.0595703125,        0.0175781250,       -0.4882812500,       -0.1220703125,        0.3509521484
1489457422.0868310928,1489457422.0891458988,       -0.7363281250,        0.0634765625,        0.0117187500,       -0.4882812500,       -0.1220703125,        0.2441406250
1489457422.0894279480,1489457422.0918560028,       -0.7363281250,        0.0634765625,        0.0117187500,       -0.1678466797,       -0.3204345703,        0.2441406250
1489457422.0921370983,1489457422.0945570469,       -0.7363281250,        0.0634765625,        0.0117187500,       -0.1678466797,       -0.3204345703,        0.0457763672
1489457422.0948400497,1489457422.0972580910,       -0.7363281250,        0.0634765625,        0.0117187500,       -0.2593994141,       -0.3204345703,        0.0457763672
1489457422.0975410938,1489457422.0999081135,       -0.7299804688,        0.0634765625,        0.0190429688,       -0.2593994141,       -0.3204345703,        0.1678466797
1489457422.1001839638,1489457422.1024789810,       -0.7299804688,        0.0634765625,        0.0190429688,       -0.2899169922,       -0.6256103516,        0.1678466797
1489457422.1027541161,1489457422.1050460339,       -0.7299804688,        0.0634765625,        0.0190429688,       -0.2899169922,       -0.6256103516,        0.1678466797
1489457422.1054770947,1489457422.1077780724,       -0.7299804688,        0.0634765625,        0.0190429688,       -0.1678466797,       -0.5493164062,        0.2899169922
1489457422.1080529690,1489457422.1105170250,       -0.7373046875,        0.0585937500,        0.0170898438,       -0.1678466797,       -0.5493164062,        0.2899169922
1489457422.1107931137,1489457422.1130909920,       -0.7373046875,        0.0585937500,        0.0170898438,       -0.5340576172,       -0.3814697266,        0.1068115234
1489457422.1133649349,1489457422.1156539917,       -0.7373046875,        0.0585937500,        0.0170898438,       -0.5340576172,       -0.3814697266,        0.1068115234
1489457422.1159310341,1489457422.1182239056,       -0.7373046875,        0.0585937500,        0.0170898438,       -0.5950927734,       -0.1678466797,        0.2593994141
1489457422.1184980869,1489457422.1209530830,       -0.7338867188,        0.0605468750,        0.0122070312,       -0.5950927734,       -0.1678466797,        0.2593994141
1489457422.1212320328,1489457422.1236569881,       -0.7338867188,        0.0605468750,        0.0122070312,       -0.6256103516,        0.0000000000,        0.3967285156
1489457422.1239409447,1489457422.1263520718,       -0.7338867188,        0.0605468750,        0.0122070312,       -0.6256103516,        0.0000000000,        0.3967285156
1489457422.1266329288,1489457422.1290578842,       -0.7338867188,        0.0634765625,        0.0180664062,       -0.5645751953,       -0.0610351562,        0.2441406250
1489457422.1293320656,1489457422.1316258907,       -0.7333984375,        0.0634765625,        0.0180664062,       -0.5645751953,       -0.0610351562,        0.2441406250
1489457422.1319000721,1489457422.1341969967,       -0.7333984375,        0.0634765625,        0.0180664062,       -0.4425048828,        0.1220703125,        0.1983642578
1489457422.1344730854,1489457422.1367599964,       -0.7333984375,        0.0634765625,        0.0180664062,       -0.4425048828,        0.1220703125,        0.1983642578
1489457422.1370360851,1489457422.1393630505,       -0.7333984375,        0.0556640625,        0.0175781250,       -0.4882812500,       -0.0152587891,        0.0152587891
1489457422.1396439075,1489457422.1420650482,       -0.7319335938,        0.0556640625,        0.0175781250,       -0.4882812500,       -0.0152587891,        0.0152587891
1489457422.1423470974,1489457422.1447629929,       -0.7319335938,        0.0556640625,        0.0175781250,       -0.7171630859,       -0.0152587891,        0.1220703125
