time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1489457302.0202770233,1489457302.0328419209,       -0.7348632812,        0.0644531250,        0.0209960938,        0.6561279297,       -0.2899169922,       -1.2207031250
1489457302.0331509113,1489457302.0364789963,       -0.7348632812,        0.0649414062,        0.0180664062,        1.0223388672,       -0.1678466797,       -1.0681152344
1489457302.0367701054,1489457302.0392329693,       -0.7348632812,        0.0649414062,        0.0180664062,        1.0223388672,       -0.1678466797,       -1.0681152344
1489457302.0395119190,1489457302.0421500206,       -0.7348632812,        0.0649414062,        0.0180664062,        0.7476806641,       -0.3356933594,       -0.9918212891
1489457302.0424408913,1489457302.0452909470,       -0.7348632812,        0.0649414062,        0.0273437500,        0.7476806641,       -0.3356933594,       -0.9918212891
1489457302.0455811024,1489457302.0479960442,       -0.7333984375,        0.0590820312,        0.0273437500,        0.6713867188,       -0.1678466797,       -1.0986328125
1489457302.0482800007,1489457302.0506100655,       -0.7333984375,        0.0590820312,        0.0273437500,        0.6713867188,       -0.1678466797,       -1.0986328125
1489457302.0508830547,1489457302.0531721115,       -0.7333984375,        0.0590820312,        0.0273437500,        1.0986328125,       -0.3509521484,       -0.8392333984
1489457302.0534439087,1489457302.0557320118,       -0.7309570312,        0.0556640625,        0.0205078125,        1.0986328125,       -0.3509521484,       -0.8392333984
1489457302.0560030937,1489457302.0582880974,       -0.7309570312,        0.0556640625,        0.0205078125,        0.7171630859,       -0.3356933594,       -0.7171630859
1489457302.0585589409,1489457302.0611829758,       -0.7309570312,        0.0556640625,        0.0205078125,        0.7171630859,       -0.3356933594,       -0.7171630859
1489457302.0614581108,1489457302.0637569427,       -0.7309570312,        0.0556640625,        0.0205078125,        0.7171630859,       -0.2593994141,       -0.8087158203
1489457302.0640320778,1489457302.0663149357,       -0.7373046875,        0.0527343750,        0.0180664062,        0.7171630859,       -0.2593994141,       -0.8087158203
1489457302.0665891171,1489457302.0688869953,       -0.7373046875,        0.0527343750,        0.0180664062,        0.7171630859,       -0.1220703125,       -0.1983642578
1489457302.0691599846,1489457302.0714850426,       -0.7373046875,        0.0527343750,        0.0180664062,        0.7171630859,       -0.1220703125,       -0.1983642578
1489457302.0717580318,1489457302.0740408897,       -0.7373046875,        0.0527343750,        0.0180664062,        0.1831054688,       -0.3356933594,       -0.1525878906
1489457302.0743129253,1489457302.0766079426,       -0.7333984375,        0.0634765625,        0.0239257812,        0.1831054688,       -0.3356933594,       -0.1525878906
1489457302.0768799782,1489457302.0792970657,       -0.7333984375,        0.0634765625,        0.0239257812,        0.5798339844,       -0.3967285156,       -0.5798339844
1489457302.0795779228,1489457302.0819640160,       -0.7333984375,        0.0634765625,        0.0239257812,        0.5798339844,       -0.3967285156,       -0.5798339844
1489457302.0822429657,1489457302.0846319199,       -0.7333984375,        0.0634765625,        0.0239257812,        0.5035400391,       -0.4425048828,       -0.6713867188
1489457302.0849120617,1489457302.0872941017,       -0.7412109375,        0.0576171875,        0.0195312500,        0.5035400391,       -0.4425048828,       -0.6713867188
1489457302.0875759125,1489457302.0899779797,       -0.7412109375,        0.0576171875,        0.0195312500,        0.7781982422,       -0.5493164062,       -0.6408691406
1489457302.0902600288,1489457302.0926830769,       -0.7412109375,        0.0576171875,        0.0195312500,        0.7781982422,       -0.5493164062,       -0.6408691406
1489457302.0929648876,1489457302.0953800678,       -0.7412109375,        0.0576171875,        0.0273437500,        0.5645751953,       -0.6103515625,       -0.5187988281
1489457302.0958418846,1489457302.0982670784,       -0.7451171875,        0.0522460938,        0.0273437500,        0.5645751953,       -0.6103515625,       -0.5187988281
1489457302.0985500813,1489457302.1008560658,       -0.7451171875,        0.0522460938,        0.0273437500,        0.5950927734,       -0.2136230469,       -0.4577636719
1489457302.1011331081,1489457302.1034278870,       -0.7451171875,        0.0522460938,        0.0273437500,        0.5950927734,       -0.2136230469,       -0.4577636719
1489457302.1037030220,1489457302.1060030460,       -0.7451171875,        0.0541992188,        0.0219726562,        0.5950927734,       -0.5187988281,       -0.4425048828
1489457302.1062769890,1489457302.1085700989,       -0.7373046875,        0.0541992188,        0.0219726562,        1.4801025391,       -0.5187988281,       -0.4425048828
1489457302.1089711189,1489457302.1112699509,       -0.7373046875,        0.0541992188,        0.0219726562,        1.4801025391,       -0.4882812500,       -0.4272460938
1489457302.1115450859,1489457302.1138479710,       -0.7373046875,        0.0541992188,        0.0219726562,        0.6561279297,       -0.4882812500,       -0.4272460938
1489457302.1141240597,1489457302.1164150238,       -0.7353515625,        0.0576171875,        0.0219726562,        0.6561279297,       -0.4882812500,       -0.5035400391
1489457302.1166899204,1489457302.1191570759,       -0.7353515625,        0.0576171875,        0.0219726562,        0.3814697266,       -0.6713867188,       -0.5035400391
1489457302.1194400787,1489457302.1218390465,       -0.7353515625,        0.0576171875,        0.0219726562,        0.3814697266,       -0.6713867188,       -0.1678466797
1489457302.1221189499,1489457302.1245169640,       -0.7353515625,        0.0576171875,        0.0219726562,        0.4119873047,       -0.3509521484,       -0.1678466797
1489457302.1247971058,1489457302.1271998882,       -0.7382812500,        0.0595703125,        0.0161132812,        0.4119873047,       -0.3509521484,       -0.1983642578
1489457302.1274800301,1489457302.1298909187,       -0.7382812500,        0.0595703125,        0.0161132812,        0.2441406250,       -0.3509521484,       -0.1983642578
1489457302.1301710606,1489457302.1325669289,       -0.7382812500,        0.0595703125,        0.0161132812,        0.2441406250,       -0.3509521484,       -0.1220703125
1489457302.1328470707,1489457302.1352479458,       -0.7382812500,        0.0595703125,        0.0161132812,       -0.3509521484,       -0.1983642578,       -0.1220703125
1489457302.1355299950,1489457302.1379270554,       -0.7343750000,        0.0595703125,        0.0170898438,       -0.3509521484,       -0.1983642578,       -0.2136230469
1489457302.1382079124,1489457302.1406109333,       -0.7343750000,        0.0595703125,        0.0170898438,       -0.3662109375,       -0.1220703125,       -0.2136230469
1489457302.1408898830,1489457302.1434469223,       -0.7343750000,        0.0595703125,        0.0170898438,       -0.3662109375,       -0.1220703125,       -0.1831054688
1489457302.1437339783,1489457302.1461479664,       -0.7343750000,        0.0639648438,        0.0278320312,       -0.3662109375,       -0.4577636719,       -0.1831054688
1489457302.1464290619,1489457302.1488559246,       -0.7373046875,        0.0639648438,        0.0278320312,       -0.3662109375,       -0.4577636719,       -0.2441406250
1489457302.1491379738,1489457302.1515550613,       -0.7373046875,        0.0639648438,        0.0278320312,        0.0152587891,       -0.3814697266,       -0.2441406250
1489457302.1518371105,1489457302.1542539597,       -0.7373046875,        0.0639648438,        0.0278320312,        0.0152587891,       -0.3814697266,       -0.1983642578
1489457302.1545350552,1489457302.1569569111,       -0.7324218750,        0.0664062500,        0.0190429688,        0.0762939453,       -0.2746582031,       -0.1983642578
1489457302.1572380066,1489457302.1596989632,       -0.7324218750,        0.0664062500,        0.0190429688,        0.0762939453,       -0.2746582031,        0.0152587891
1489457302.1600849628,1489457302.1623830795,       -0.7324218750,        0.0664062500,        0.0190429688,       -0.1983642578,       -0.2746582031,        0.0152587891
1489457302.1626579762,1489457302.1649510860,       -0.7324218750,        0.0664062500,        0.0190429688,       -0.1983642578,       -0.2746582031,       -3.8909912109
1489457302.1652259827,1489457302.1675140858,       -0.7285156250,        0.0585937500,        0.0263671875,       -0.0457763672,       -0.3967285156,       -0.1220703125
1489457302.1677889824,1489457302.1701641083,       -0.7285156250,        0.0585937500,        0.0263671875,       -0.0457763672,       -0.3967285156,       -0.1220703125
1489457302.1704459190,1489457302.1728670597,       -0.7285156250,        0.0585937500,        0.0263671875,        0.9002685547,       -0.3814697266,       -0.3356933594
1489457302.1731500626,1489457302.1756880283,       -0.7285156250,        0.0585937500,        0.0263671875,        0.9002685547,       -0.3814697266,       -0.3356933594
1489457302.1759719849,1489457302.1783840656,       -0.7382812500,        0.0576171875,        0.0273437500,        0.6408691406,       -0.6408691406,       -0.3204345703
1489457302.1786661148,1489457302.1810910702,       -0.7382812500,        0.0576171875,        0.0273437500,        0.6408691406,       -0.6408691406,       -0.3204345703
1489457302.1813728809,1489457302.1837940216,       -0.7382812500,        0.0576171875,        0.0273437500,        0.7629394531,       -0.3967285156,       -0.1220703125
1489457302.1840760708,1489457302.1864960194,       -0.7382812500,        0.0581054688,        0.0273437500,        0.7629394531,       -0.3967285156,       -0.1220703125
1489457302.1867780685,1489457302.1892349720,       -0.7392578125,        0.0581054688,        0.0273437500,        0.8239746094,       -0.2746582031,       -0.0610351562
1489457302.1895170212,1489457302.1919350624,       -0.7392578125,        0.0581054688,        0.0273437500,        0.8239746094,       -0.2746582031,       -0.0610351562
1489457302.1922180653,1489457302.1946320534,       -0.7392578125,        0.0581054688,        0.0273437500,        0.9002685547,       -0.2746582031,        0.2746582031
1489457302.1949141026,1489457302.1973369122,       -0.7353515625,        0.0615234375,        0.0219726562,        0.9002685547,       -0.2746582031,        0.2746582031
1489457302.1976189613,1489457302.2000429630,       -0.7353515625,        0.0615234375,        0.0219726562,        0.9765625000,       -0.6256103516,       -0.0915527344
1489457302.2003250122,1489457302.2027409077,       -0.7353515625,        0.0615234375,        0.0219726562,        0.9765625000,       -0.6256103516,       -0.0915527344
1489457302.2030239105,1489457302.2054419518,       -0.7353515625,        0.0615234375,        0.0219726562,        0.5798339844,       -0.7019042969,       -0.1373291016
1489457302.2057249546,1489457302.2081429958,       -0.7382812500,        0.0566406250,        0.0200195312,        0.5798339844,       -0.7019042969,       -0.1373291016
1489457302.2084250450,1489457302.2107489109,       -0.7382812500,        0.0566406250,        0.0200195312,        0.1525878906,       -0.5645751953,        0.0762939453
1489457302.2110230923,1489457302.2133181095,       -0.7382812500,        0.0566406250,        0.0200195312,        0.1525878906,       -0.5645751953,        0.0762939453
1489457302.2135920525,1489457302.2158830166,       -0.7382812500,        0.0566406250,        0.0200195312,        0.4425048828,       -0.7171630859,       -0.1831054688
1489457302.2161569595,1489457302.2184538841,       -0.7402343750,        0.0644531250,        0.0214843750,        0.4425048828,       -0.7171630859,       -0.1831054688
1489457302.2187290192,1489457302.2211520672,       -0.7402343750,        0.0644531250,        0.0214843750,        0.8850097656,       -0.6103515625,       -0.3051757812
1489457302.2214279175,1489457302.2237179279,       -0.7402343750,        0.0644531250,        0.0214843750,        0.8850097656,       -0.6103515625,       -0.3051757812
1489457302.2241020203,1489457302.2263929844,       -0.7402343750,        0.0644531250,        0.0239257812,        0.3509521484,       -0.3356933594,       -0.0457763672
1489457302.2266678810,1489457302.2289929390,       -0.7304687500,        0.0610351562,        0.0239257812,        0.3509521484,       -0.3356933594,       -0.0457763672
1489457302.2292768955,1489457302.2316770554,       -0.7304687500,        0.0610351562,        0.0239257812,        0.2746582031,       -0.0762939453,       -0.0762939453
1489457302.2319579124,1489457302.2343618870,       -0.7304687500,        0.0610351562,        0.0239257812,        0.2746582031,       -0.0762939453,       -0.0762939453
1489457302.2346420288,1489457302.2370460033,       -0.7304687500,        0.0610351562,        0.0219726562,       -0.0762939453,        0.1373291016,        0.1068115234
1489457302.2373280525,1489457302.2397329807,       -0.7363281250,        0.0610351562,        0.0219726562,       -0.0762939453,        0.1373291016,        0.1068115234
1489457302.2400128841,1489457302.2424349785,       -0.7363281250,        0.0610351562,        0.0219726562,       -0.5493164062,       -0.2746582031,        0.2593994141
1489457302.2427179813,1489457302.2451341152,       -0.7363281250,        0.0610351562,        0.0219726562,       -0.5493164062,       -0.2746582031,        0.2593994141
1489457302.2454171181,1489457302.2478339672,       -0.7275390625,        0.0634765625,        0.0283203125,       -0.7019042969,       -0.3051757812,        0.2746582031
1489457302.2481150627,1489457302.2505419254,       -0.7275390625,        0.0634765625,        0.0283203125,       -0.7019042969,       -0.3051757812,        0.2746582031
1489457302.2508230209,1489457302.2532379627,       -0.7275390625,        0.0634765625,        0.0283203125,       -0.2441406250,       -0.1831054688,        0.1373291016
