time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1489457062.0221440792,1489457062.0326910019,       -0.7226562500,        0.0766601562,        0.0493164062,        0.3814697266,       -0.1831054688,       -3.5705566406
1489457062.0329999924,1489457062.0360319614,       -0.7280273438,        0.0693359375,        0.0507812500,        0.3814697266,       -0.1831054688,       -3.5858154297
1489457062.0363318920,1489457062.0386149883,       -0.7280273438,        0.0693359375,        0.0507812500,        0.3051757812,       -0.2899169922,       -3.5858154297
1489457062.0389630795,1489457062.0413470268,       -0.7280273438,        0.0693359375,        0.0507812500,        0.3051757812,       -0.2899169922,       -3.3569335938
1489457062.0416240692,1489457062.0440950394,       -0.7280273438,        0.0781250000,        0.0439453125,        0.5187988281,       -0.1220703125,       -3.3569335938
1489457062.0454208851,1489457062.0477139950,       -0.7280273438,        0.0781250000,        0.0439453125,        0.6103515625,       -0.1983642578,       -3.7078857422
1489457062.0479900837,1489457062.0502870083,       -0.7280273438,        0.0781250000,        0.0439453125,        0.6103515625,       -0.1983642578,       -3.7078857422
1489457062.0505599976,1489457062.0528450012,       -0.7280273438,        0.0781250000,        0.0571289062,        0.6103515625,       -0.4425048828,       -4.2114257812
1489457062.0531549454,1489457062.0554420948,       -0.7231445312,        0.0732421875,        0.0571289062,        1.0223388672,       -0.4425048828,       -4.2114257812
1489457062.0557129383,1489457062.0579919815,       -0.7231445312,        0.0732421875,        0.0571289062,        1.0223388672,       -0.4425048828,       -4.2266845703
1489457062.0582649708,1489457062.0605840683,       -0.7231445312,        0.0732421875,        0.0571289062,        0.8850097656,       -0.4577636719,       -4.2266845703
1489457062.0608580112,1489457062.0631361008,       -0.7231445312,        0.0668945312,        0.0488281250,        0.8850097656,       -0.4577636719,       -3.7994384766
1489457062.0634078979,1489457062.0656840801,       -0.7304687500,        0.0668945312,        0.0488281250,        0.8850097656,       -0.0762939453,       -3.7994384766
1489457062.0659561157,1489457062.0682389736,       -0.7304687500,        0.0668945312,        0.0488281250,        0.8850097656,       -0.0762939453,       -3.7994384766
1489457062.0685110092,1489457062.0708069801,       -0.7304687500,        0.0668945312,        0.0488281250,        1.2359619141,       -0.1525878906,       -3.7689208984
1489457062.0710790157,1489457062.0733609200,       -0.7304687500,        0.0717773438,        0.0654296875,        1.2359619141,       -0.1525878906,       -3.7689208984
1489457062.0736320019,1489457062.0759179592,       -0.7368164062,        0.0717773438,        0.0654296875,        1.0223388672,       -0.1525878906,       -4.0435791016
1489457062.0761890411,1489457062.0784780979,       -0.7368164062,        0.0717773438,        0.0654296875,        1.0223388672,       -0.1525878906,       -4.0435791016
1489457062.0787510872,1489457062.0810580254,       -0.7368164062,        0.0717773438,        0.0654296875,        0.9155273438,       -0.2899169922,       -4.1198730469
1489457062.0813329220,1489457062.0836219788,       -0.7368164062,        0.0673828125,        0.0444335938,        0.9155273438,       -0.2899169922,       -4.1198730469
1489457062.0838959217,1489457062.0861849785,       -0.7343750000,        0.0673828125,        0.0444335938,        0.7629394531,       -0.2288818359,       -4.0740966797
1489457062.0865359306,1489457062.0890290737,       -0.7343750000,        0.0673828125,        0.0444335938,        0.7629394531,       -0.2288818359,       -4.0740966797
1489457062.0893070698,1489457062.0916090012,       -0.7343750000,        0.0673828125,        0.0444335938,        0.6408691406,       -0.1678466797,       -4.3487548828
1489457062.0918850899,1489457062.0941770077,       -0.7416992188,        0.0644531250,        0.0522460938,        0.6408691406,       -0.1678466797,       -4.3487548828
1489457062.0946059227,1489457062.0969030857,       -0.7416992188,        0.0644531250,        0.0522460938,        0.0305175781,        0.1220703125,       -4.5928955078
1489457062.0971779823,1489457062.0998339653,       -0.7416992188,        0.0644531250,        0.0522460938,        0.0305175781,        0.1220703125,       -4.5928955078
1489457062.1001279354,1489457062.1029889584,       -0.7416992188,        0.0644531250,        0.0522460938,        0.2746582031,        0.2136230469,       -4.2266845703
1489457062.1032800674,1489457062.1056981087,       -0.7338867188,        0.0678710938,        0.0527343750,        0.2746582031,        0.2136230469,       -4.2266845703
1489457062.1059820652,1489457062.1083970070,       -0.7338867188,        0.0678710938,        0.0527343750,        0.1525878906,       -0.1068115234,       -3.5858154297
1489457062.1086800098,1489457062.1111071110,       -0.7338867188,        0.0678710938,        0.0527343750,        0.1525878906,       -0.1068115234,       -3.5858154297
1489457062.1113889217,1489457062.1138050556,       -0.7338867188,        0.0585937500,        0.0458984375,       -0.0152587891,       -0.1678466797,       -3.7078857422
1489457062.1140871048,1489457062.1165030003,       -0.7343750000,        0.0585937500,        0.0458984375,       -0.0152587891,       -0.1678466797,       -3.7078857422
1489457062.1167850494,1489457062.1192269325,       -0.7343750000,        0.0585937500,        0.0458984375,       -0.1068115234,       -0.0152587891,       -3.7994384766
1489457062.1195020676,1489457062.1217889786,       -0.7343750000,        0.0585937500,        0.0458984375,       -0.1068115234,       -0.0152587891,       -3.7994384766
1489457062.1220629215,1489457062.1243491173,       -0.7333984375,        0.0615234375,        0.0478515625,       -0.1068115234,        0.1220703125,       -3.6010742188
1489457062.1246230602,1489457062.1269140244,       -0.7333984375,        0.0615234375,        0.0478515625,       -0.1068115234,        0.1220703125,       -3.6010742188
1489457062.1271870136,1489457062.1294910908,       -0.7333984375,        0.0615234375,        0.0478515625,       -0.1983642578,       -0.0915527344,       -3.2348632812
1489457062.1297659874,1489457062.1320929527,       -0.7333984375,        0.0615234375,        0.0478515625,       -0.1983642578,       -0.0915527344,       -3.2348632812
1489457062.1323690414,1489457062.1346669197,       -0.7280273438,        0.0576171875,        0.0498046875,       -0.5187988281,        0.0762939453,       -3.2348632812
1489457062.1349399090,1489457062.1372370720,       -0.7280273438,        0.0576171875,        0.0498046875,       -0.5187988281,        0.0762939453,       -3.2348632812
1489457062.1375110149,1489457062.1399900913,       -0.7280273438,        0.0576171875,        0.0498046875,       -0.5187988281,        0.0610351562,       -3.1280517578
1489457062.1402709484,1489457062.1426529884,       -0.7280273438,        0.0576171875,        0.0498046875,       -0.1525878906,        0.0610351562,       -3.1280517578
1489457062.1429309845,1489457062.1460740566,       -0.7343750000,        0.0561523438,        0.0507812500,       -0.1525878906,       -0.0915527344,       -3.1585693359
1489457062.1463510990,1489457062.1486439705,       -0.7343750000,        0.0561523438,        0.0507812500,       -0.2441406250,       -0.0915527344,       -3.1585693359
1489457062.1489849091,1489457062.1512849331,       -0.7343750000,        0.0561523438,        0.0507812500,       -0.2441406250,       -0.2288818359,       -3.3111572266
1489457062.1515600681,1489457062.1538469791,       -0.7343750000,        0.0561523438,        0.0537109375,       -0.2441406250,       -0.2288818359,       -3.3111572266
1489457062.1541209221,1489457062.1564168930,       -0.7363281250,        0.0605468750,        0.0537109375,       -0.6866455078,        0.0610351562,       -2.7160644531
1489457062.1566920280,1489457062.1590349674,       -0.7363281250,        0.0605468750,        0.0537109375,       -0.6866455078,        0.0610351562,       -2.7160644531
1489457062.1594209671,1489457062.1617128849,       -0.7363281250,        0.0605468750,        0.0537109375,       -0.6866455078,        0.4882812500,       -2.6092529297
1489457062.1619880199,1489457062.1642739773,       -0.7363281250,        0.0615234375,        0.0590820312,       -0.8087158203,        0.4882812500,       -2.6092529297
1489457062.1645491123,1489457062.1668379307,       -0.7358398438,        0.0615234375,        0.0590820312,       -0.8087158203,        0.4882812500,       -2.7923583984
1489457062.1671130657,1489457062.1694500446,       -0.7358398438,        0.0615234375,        0.0590820312,       -0.7476806641,        0.5340576172,       -2.7923583984
1489457062.1697239876,1489457062.1720108986,       -0.7358398438,        0.0615234375,        0.0590820312,       -0.7476806641,        0.5340576172,       -2.7923583984
1489457062.1722850800,1489457062.1745719910,       -0.7358398438,        0.0634765625,        0.0454101562,       -1.1291503906,        0.2593994141,       -2.7923583984
1489457062.1748468876,1489457062.1771459579,       -0.7377929688,        0.0634765625,        0.0454101562,       -1.1291503906,        0.2593994141,       -2.7923583984
1489457062.1774189472,1489457062.1797149181,       -0.7377929688,        0.0634765625,        0.0454101562,       -0.9918212891,        0.1220703125,       -2.1209716797
1489457062.1799890995,1489457062.1822850704,       -0.7377929688,        0.0634765625,        0.0454101562,       -0.9918212891,        0.1220703125,       -2.1209716797
1489457062.1825590134,1489457062.1848421097,       -0.7250976562,        0.0654296875,        0.0434570312,       -0.8239746094,       -0.0152587891,       -2.1057128906
1489457062.1851150990,1489457062.1874101162,       -0.7250976562,        0.0654296875,        0.0434570312,       -0.8239746094,       -0.0152587891,       -2.1057128906
1489457062.1876859665,1489457062.1901490688,       -0.7250976562,        0.0654296875,        0.0434570312,       -1.1749267578,       -0.0152587891,       -2.1972656250
1489457062.1904249191,1489457062.1927230358,       -0.7250976562,        0.0654296875,        0.0434570312,       -1.1749267578,       -0.0152587891,       -2.1972656250
1489457062.1929969788,1489457062.1952919960,       -0.7343750000,        0.0541992188,        0.0527343750,       -1.1444091797,        0.2746582031,       -1.9531250000
1489457062.1955680847,1489457062.1978650093,       -0.7343750000,        0.0541992188,        0.0527343750,       -1.1444091797,        0.2746582031,       -1.9531250000
1489457062.1981389523,1489457062.2006080151,       -0.7343750000,        0.0541992188,        0.0527343750,       -1.5563964844,        0.1068115234,       -1.6326904297
1489457062.2008900642,1489457062.2033059597,       -0.7343750000,        0.0541992188,        0.0527343750,       -1.5563964844,        0.1068115234,       -1.6326904297
1489457062.2035870552,1489457062.2059988976,       -0.7397460938,        0.0600585938,        0.0532226562,       -1.4495849609,        0.1678466797,       -1.1749267578
1489457062.2062809467,1489457062.2086970806,       -0.7397460938,        0.0600585938,        0.0532226562,       -1.4495849609,        0.1678466797,       -1.1749267578
1489457062.2089788914,1489457062.2113978863,       -0.7397460938,        0.0600585938,        0.0532226562,       -1.0070800781,        0.2593994141,       -0.9460449219
1489457062.2116799355,1489457062.2140910625,       -0.7397460938,        0.0600585938,        0.0532226562,       -1.0070800781,        0.2593994141,       -0.9460449219
1489457062.2143731117,1489457062.2167859077,       -0.7343750000,        0.0600585938,        0.0473632812,       -1.2054443359,        0.0762939453,       -1.1596679688
1489457062.2170679569,1489457062.2194719315,       -0.7343750000,        0.0600585938,        0.0473632812,       -1.2054443359,        0.0762939453,       -1.1596679688
1489457062.2197449207,1489457062.2220380306,       -0.7343750000,        0.0600585938,        0.0473632812,       -1.1749267578,        0.3814697266,       -0.9155273438
