time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1489456822.0211479664,1489456822.0326640606,       -0.7397460938,        0.0629882812,        0.0581054688,       -0.0305175781,        0.4119873047,       -0.2593994141
1489456822.0329670906,1489456822.0357201099,       -0.7397460938,        0.0629882812,        0.0581054688,       -0.0305175781,        0.2593994141,       -0.2288818359
1489456822.0360190868,1489456822.0383019447,       -0.7397460938,        0.0629882812,        0.0419921875,       -0.0305175781,        0.2593994141,       -0.2288818359
1489456822.0385739803,1489456822.0408740044,       -0.7255859375,        0.0678710938,        0.0419921875,       -0.0610351562,        0.4272460938,       -0.1678466797
1489456822.0411469936,1489456822.0434269905,       -0.7255859375,        0.0678710938,        0.0419921875,       -0.0610351562,        0.4272460938,       -0.1678466797
1489456822.0436990261,1489456822.0459830761,       -0.7255859375,        0.0678710938,        0.0419921875,        0.1373291016,        0.2288818359,        0.1831054688
1489456822.0462539196,1489456822.0485479832,       -0.7255859375,        0.0678710938,        0.0488281250,        0.1373291016,        0.2288818359,        0.1831054688
1489456822.0488491058,1489456822.0511360168,       -0.7319335938,        0.0644531250,        0.0488281250,       -0.0152587891,        0.0152587891,        0.1525878906
1489456822.0514059067,1489456822.0536870956,       -0.7319335938,        0.0644531250,        0.0488281250,       -0.0152587891,        0.0152587891,        0.1525878906
1489456822.0539579391,1489456822.0562460423,       -0.7319335938,        0.0644531250,        0.0488281250,       -0.0152587891,        0.1678466797,       -0.2746582031
1489456822.0565180779,1489456822.0588400364,       -0.7319335938,        0.0644531250,        0.0419921875,       -0.3356933594,        0.1678466797,       -0.2746582031
1489456822.0591111183,1489456822.0613999367,       -0.7368164062,        0.0659179688,        0.0419921875,       -0.3356933594,        0.1678466797,       -0.5035400391
1489456822.0616719723,1489456822.0639550686,       -0.7368164062,        0.0659179688,        0.0419921875,       -0.2441406250,        0.2136230469,       -0.5035400391
1489456822.0642271042,1489456822.0665071011,       -0.7368164062,        0.0659179688,        0.0419921875,       -0.2441406250,        0.2136230469,       -0.4882812500
1489456822.0667800903,1489456822.0693540573,       -0.7368164062,        0.0678710938,        0.0556640625,        0.3662109375,       -0.0457763672,       -0.4882812500
1489456822.0696289539,1489456822.0719120502,       -0.7348632812,        0.0678710938,        0.0556640625,        0.3662109375,       -0.0457763672,       -0.1373291016
1489456822.0721850395,1489456822.0744700432,       -0.7348632812,        0.0678710938,        0.0556640625,        0.0610351562,        0.1831054688,       -0.1373291016
1489456822.0747430325,1489456822.0770380497,       -0.7348632812,        0.0678710938,        0.0556640625,        0.0610351562,        0.1831054688,       -0.1373291016
1489456822.0773110390,1489456822.0797960758,       -0.7348632812,        0.0703125000,        0.0434570312,       -0.1373291016,        0.0152587891,        0.0762939453
1489456822.0800709724,1489456822.0823659897,       -0.7290039062,        0.0703125000,        0.0434570312,       -0.1373291016,        0.0152587891,        0.0762939453
1489456822.0826408863,1489456822.0849270821,       -0.7290039062,        0.0703125000,        0.0434570312,        0.1831054688,       -0.1220703125,       -0.1678466797
1489456822.0852019787,1489456822.0874900818,       -0.7290039062,        0.0703125000,        0.0434570312,        0.1831054688,       -0.1220703125,       -0.1678466797
1489456822.0877649784,1489456822.0900640488,       -0.7348632812,        0.0634765625,        0.0463867188,        0.4425048828,        0.2899169922,       -0.1678466797
1489456822.0903379917,1489456822.0926280022,       -0.7348632812,        0.0634765625,        0.0463867188,        0.4425048828,        0.2899169922,       -0.1678466797
1489456822.0930619240,1489456822.0953469276,       -0.7348632812,        0.0634765625,        0.0463867188,        0.6103515625,        0.2746582031,       -0.3814697266
1489456822.0956239700,1489456822.0979158878,       -0.7348632812,        0.0634765625,        0.0463867188,        0.6103515625,        0.2746582031,       -0.3814697266
1489456822.0981879234,1489456822.1004838943,       -0.7280273438,        0.0629882812,        0.0449218750,        0.7324218750,       -0.3509521484,       -0.7019042969
1489456822.1007590294,1489456822.1030569077,       -0.7280273438,        0.0629882812,        0.0449218750,        0.7324218750,       -0.3509521484,       -0.7019042969
1489456822.1033320427,1489456822.1056189537,       -0.7280273438,        0.0629882812,        0.0449218750,        0.1983642578,       -0.0305175781,       -0.5340576172
1489456822.1058940887,1489456822.1081809998,       -0.7280273438,        0.0629882812,        0.0449218750,        0.1983642578,       -0.0305175781,       -0.5340576172
1489456822.1084549427,1489456822.1107840538,       -0.7392578125,        0.0615234375,        0.0502929688,        0.7019042969,       -0.1678466797,       -0.2899169922
1489456822.1110570431,1489456822.1133470535,       -0.7392578125,        0.0615234375,        0.0502929688,        0.7019042969,       -0.1678466797,       -0.2899169922
1489456822.1136209965,1489456822.1159100533,       -0.7392578125,        0.0615234375,        0.0502929688,        0.7019042969,       -0.3204345703,       -0.3204345703
1489456822.1161830425,1489456822.1184809208,       -0.7392578125,        0.0615234375,        0.0502929688,        0.5493164062,       -0.3204345703,       -0.3204345703
1489456822.1187551022,1489456822.1210498810,       -0.7348632812,        0.0649414062,        0.0380859375,        0.5493164062,       -0.3204345703,       -0.3356933594
1489456822.1213269234,1489456822.1236169338,       -0.7348632812,        0.0649414062,        0.0380859375,        0.4272460938,       -0.1373291016,       -0.3356933594
1489456822.1238920689,1489456822.1262569427,       -0.7348632812,        0.0649414062,        0.0380859375,        0.4272460938,       -0.1373291016,       -0.1831054688
1489456822.1265330315,1489456822.1288599968,       -0.7348632812,        0.0649414062,        0.0380859375,        0.0000000000,       -0.0457763672,       -0.1831054688
1489456822.1291720867,1489456822.1314740181,       -0.7368164062,        0.0654296875,        0.0429687500,        0.0000000000,       -0.0457763672,       -0.1831054688
1489456822.1317529678,1489456822.1340370178,       -0.7368164062,        0.0654296875,        0.0429687500,       -0.4730224609,       -0.1220703125,       -0.2441406250
1489456822.1343269348,1489456822.1367518902,       -0.7368164062,        0.0654296875,        0.0429687500,       -0.4730224609,       -0.1220703125,       -0.2441406250
1489456822.1370289326,1489456822.1400868893,       -0.7368164062,        0.0654296875,        0.0429687500,       -0.1068115234,       -0.0610351562,       -0.3814697266
1489456822.1403639317,1489456822.1426560879,       -0.7275390625,        0.0644531250,        0.0473632812,       -0.1068115234,       -0.0610351562,       -0.3051757812
1489456822.1429300308,1489456822.1452229023,       -0.7275390625,        0.0644531250,        0.0473632812,       -0.2136230469,       -0.2136230469,       -0.3051757812
1489456822.1454980373,1489456822.1477808952,       -0.7275390625,        0.0644531250,        0.0473632812,       -0.2136230469,       -0.2136230469,       -0.3051757812
1489456822.1480550766,1489456822.1503949165,       -0.7329101562,        0.0615234375,        0.0449218750,       -0.1525878906,       -0.1068115234,       -0.3509521484
1489456822.1506710052,1489456822.1529510021,       -0.7329101562,        0.0615234375,        0.0449218750,       -0.1525878906,       -0.1068115234,       -0.3509521484
1489456822.1532270908,1489456822.1555109024,       -0.7329101562,        0.0615234375,        0.0449218750,       -0.1373291016,        0.2288818359,       -0.4882812500
1489456822.1558969021,1489456822.1581890583,       -0.7329101562,        0.0615234375,        0.0449218750,       -0.1373291016,        0.2288818359,       -0.4882812500
1489456822.1584639549,1489456822.1607799530,       -0.7304687500,        0.0654296875,        0.0483398438,       -0.0152587891,        0.1983642578,       -0.2746582031
1489456822.1610550880,1489456822.1633388996,       -0.7304687500,        0.0654296875,        0.0483398438,       -0.0152587891,        0.1983642578,       -0.2746582031
1489456822.1636130810,1489456822.1659109592,       -0.7304687500,        0.0654296875,        0.0483398438,       -0.1068115234,        0.0305175781,       -0.2136230469
1489456822.1661849022,1489456822.1684699059,       -0.7304687500,        0.0654296875,        0.0483398438,       -0.1068115234,        0.0305175781,       -0.2136230469
1489456822.1687450409,1489456822.1710400581,       -0.7304687500,        0.0620117188,        0.0468750000,        0.0305175781,        0.0610351562,       -0.4119873047
1489456822.1713140011,1489456822.1735959053,       -0.7304687500,        0.0620117188,        0.0468750000,        0.0305175781,        0.0610351562,       -0.4119873047
1489456822.1738700867,1489456822.1761629581,       -0.7304687500,        0.0620117188,        0.0468750000,       -0.2288818359,       -0.2899169922,       -0.4119873047
1489456822.1764380932,1489456822.1787340641,       -0.7304687500,        0.0620117188,        0.0468750000,       -0.2288818359,       -0.2899169922,       -0.4119873047
1489456822.1790809631,1489456822.1813709736,       -0.7280273438,        0.0644531250,        0.0527343750,        3.6773681641,       -0.3967285156,       -0.2746582031
1489456822.1816461086,1489456822.1839408875,       -0.7280273438,        0.0644531250,        0.0527343750,        0.1220703125,       -0.3967285156,       -0.2746582031
1489456822.1842169762,1489456822.1865119934,       -0.7280273438,        0.0644531250,        0.0527343750,        0.1220703125,       -0.3967285156,       -0.0762939453
1489456822.1867880821,1489456822.1891748905,       -0.7280273438,        0.0644531250,        0.0527343750,        0.3356933594,       -0.4577636719,       -0.0762939453
1489456822.1894519329,1489456822.1917500496,       -0.7314453125,        0.0620117188,        0.0415039062,        0.3356933594,       -0.4577636719,       -0.3662109375
1489456822.1920249462,1489456822.1943171024,       -0.7314453125,        0.0620117188,        0.0415039062,        0.4882812500,       -0.5187988281,       -0.3662109375
