time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1489456120.0233600140,1489456120.0322549343,       -0.7314453125,        0.0097656250,       -0.0175781250,        1.7089843750,       -3.0517578125,       -4.5623779297
1489456120.0325589180,1489456120.0358359814,       -0.7314453125,        0.0097656250,       -0.0175781250,        1.5106201172,       -3.0212402344,       -4.3945312500
1489456120.0361220837,1489456120.0385260582,       -0.7387695312,        0.0068359375,       -0.0019531250,        1.5106201172,       -2.9754638672,       -4.3182373047
1489456120.0388190746,1489456120.0411970615,       -0.7387695312,        0.0068359375,       -0.0019531250,        1.2969970703,       -2.9754638672,       -4.3182373047
1489456120.0414760113,1489456120.0438950062,       -0.7387695312,        0.0068359375,       -0.0019531250,        1.2969970703,       -2.6550292969,       -3.9672851562
1489456120.0441730022,1489456120.0465819836,       -0.7387695312,        0.0068359375,       -0.0019531250,        1.2664794922,       -2.6550292969,       -3.9672851562
1489456120.0468618870,1489456120.0492870808,       -0.7275390625,        0.0097656250,       -0.0097656250,        1.2664794922,       -2.8839111328,       -3.7841796875
1489456120.0495660305,1489456120.0519850254,       -0.7275390625,        0.0097656250,       -0.0097656250,        1.2969970703,       -2.8839111328,       -3.7841796875
1489456120.0522630215,1489456120.0546760559,       -0.7275390625,        0.0097656250,       -0.0097656250,        1.2969970703,       -3.0822753906,       -3.4637451172
1489456120.0549559593,1489456120.0573790073,       -0.7275390625,        0.0097656250,       -0.0122070312,        1.2969970703,       -3.0822753906,       -3.4637451172
1489456120.0576519966,1489456120.0601980686,       -0.7285156250,        0.0039062500,       -0.0122070312,        1.2969970703,       -2.9907226562,       -3.3874511719
1489456120.0604751110,1489456120.0628550053,       -0.7285156250,        0.0039062500,       -0.0122070312,        1.0070800781,       -2.9907226562,       -3.3874511719
1489456120.0631330013,1489456120.0660829544,       -0.7285156250,        0.0039062500,       -0.0122070312,        1.0070800781,       -2.7618408203,       -3.1433105469
1489456120.0663568974,1489456120.0686490536,       -0.7363281250,        0.0073242188,       -0.0087890625,        0.9155273438,       -2.7618408203,       -3.1433105469
1489456120.0689868927,1489456120.0712809563,       -0.7363281250,        0.0073242188,       -0.0087890625,        0.9460449219,       -2.6397705078,       -2.7008056641
1489456120.0715560913,1489456120.0738389492,       -0.7363281250,        0.0073242188,       -0.0087890625,        0.9460449219,       -2.6397705078,       -2.7008056641
1489456120.0741100311,1489456120.0763940811,       -0.7363281250,        0.0073242188,       -0.0087890625,        0.9460449219,       -2.6702880859,       -2.6550292969
1489456120.0766661167,1489456120.0789530277,       -0.7363281250,        0.0083007812,       -0.0053710938,        0.9307861328,       -2.6702880859,       -2.6550292969
1489456120.0792291164,1489456120.0815188885,       -0.7363281250,        0.0083007812,       -0.0053710938,        0.9307861328,       -2.6702880859,       -2.3193359375
1489456120.0817940235,1489456120.0840830803,       -0.7363281250,        0.0083007812,       -0.0053710938,        0.4730224609,       -2.9449462891,       -2.3193359375
1489456120.0843589306,1489456120.0866498947,       -0.7363281250,        0.0083007812,       -0.0053710938,        0.4730224609,       -2.9449462891,       -2.3193359375
1489456120.0869240761,1489456120.0892589092,       -0.7387695312,        0.0043945312,       -0.0073242188,        0.5645751953,       -2.6397705078,       -2.6245117188
1489456120.0895330906,1489456120.0918219090,       -0.7387695312,        0.0043945312,       -0.0073242188,        0.5645751953,       -2.6397705078,       -2.6245117188
1489456120.0920960903,1489456120.0943830013,       -0.7387695312,        0.0043945312,       -0.0073242188,        0.6408691406,       -2.6092529297,       -2.3651123047
1489456120.0948190689,1489456120.0971050262,       -0.7387695312,        0.0043945312,       -0.0073242188,        0.6408691406,       -2.6092529297,       -2.3651123047
1489456120.0973789692,1489456120.0997650623,       -0.7407226562,        0.0053710938,       -0.0107421875,        0.8697509766,       -2.9296875000,       -2.1972656250
1489456120.1000409126,1489456120.1023280621,       -0.7407226562,        0.0053710938,       -0.0107421875,        0.8697509766,       -2.9296875000,       -2.1972656250
1489456120.1026029587,1489456120.1048910618,       -0.7407226562,        0.0053710938,       -0.0107421875,        0.8392333984,       -3.0670166016,       -1.7395019531
1489456120.1051659584,1489456120.1074550152,       -0.7407226562,        0.0053710938,       -0.0107421875,        0.8392333984,       -3.0670166016,       -1.7395019531
1489456120.1077289581,1489456120.1101438999,       -0.7309570312,        0.0102539062,       -0.0131835938,        0.9307861328,       -3.1127929688,       -1.4038085938
1489456120.1104190350,1489456120.1127059460,       -0.7309570312,        0.0102539062,       -0.0131835938,        0.9307861328,       -3.1127929688,       -1.4038085938
1489456120.1129810810,1489456120.1152729988,       -0.7309570312,        0.0102539062,       -0.0131835938,        0.9918212891,       -2.8686523438,       -1.4495849609
1489456120.1155500412,1489456120.1178390980,       -0.7309570312,        0.0102539062,       -0.0131835938,        0.9918212891,       -2.8686523438,       -1.4495849609
