time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1489456420.0207738876,1489456420.0329890251,       -0.7241210938,        0.1049804688,        0.0258789062,        1.1138916016,       -0.1220703125,        0.6103515625
1489456420.0332970619,1489456420.0367510319,       -0.7241210938,        0.1049804688,        0.0258789062,        1.1138916016,       -0.5187988281,        0.7476806641
1489456420.0370600224,1489456420.0400168896,       -0.7294921875,        0.0966796875,        0.0322265625,        1.5869140625,       -0.5187988281,        0.7476806641
1489456420.0403120518,1489456420.0426011086,       -0.7294921875,        0.0966796875,        0.0322265625,        1.4801025391,       -0.1983642578,        0.7476806641
1489456420.0428740978,1489456420.0452609062,       -0.7294921875,        0.0966796875,        0.0322265625,        1.4801025391,       -0.1983642578,        0.7476806641
1489456420.0455329418,1489456420.0478239059,       -0.7294921875,        0.0966796875,        0.0322265625,        1.3580322266,       -0.3051757812,        0.8850097656
1489456420.0480949879,1489456420.0505020618,       -0.7265625000,        0.1088867188,        0.0395507812,        1.3580322266,       -0.3051757812,        0.8850097656
1489456420.0507850647,1489456420.0531980991,       -0.7265625000,        0.1088867188,        0.0395507812,        1.2207031250,       -0.3356933594,        0.7629394531
1489456420.0534799099,1489456420.0558910370,       -0.7265625000,        0.1088867188,        0.0395507812,        1.2207031250,       -0.3356933594,        0.7629394531
1489456420.0561709404,1489456420.0585839748,       -0.7265625000,        0.1088867188,        0.0395507812,        1.4648437500,       -0.1373291016,        1.2207031250
1489456420.0588729382,1489456420.0613770485,       -0.7270507812,        0.0996093750,        0.0395507812,        1.4648437500,       -0.1373291016,        1.2207031250
1489456420.0616550446,1489456420.0640330315,       -0.7270507812,        0.0996093750,        0.0395507812,        1.7700195312,       -0.0610351562,        1.4495849609
1489456420.0643239021,1489456420.0669620037,       -0.7270507812,        0.0996093750,        0.0395507812,        1.7700195312,       -0.0610351562,        1.4495849609
1489456420.0672430992,1489456420.0699689388,       -0.7236328125,        0.0986328125,        0.0351562500,        1.6174316406,       -0.1831054688,        1.2969970703
1489456420.0702419281,1489456420.0725328922,       -0.7236328125,        0.0986328125,        0.0351562500,        1.6174316406,       -0.1831054688,        1.2969970703
1489456420.0728049278,1489456420.0750930309,       -0.7236328125,        0.0986328125,        0.0351562500,        1.2359619141,       -0.2288818359,        1.2969970703
1489456420.0753619671,1489456420.0776469707,       -0.7236328125,        0.0986328125,        0.0351562500,        1.2359619141,       -0.2288818359,        1.2969970703
1489456420.0779180527,1489456420.0803608894,       -0.7197265625,        0.1088867188,        0.0415039062,        1.2969970703,       -0.1220703125,        1.2969970703
1489456420.0806419849,1489456420.0830171108,       -0.7197265625,        0.1088867188,        0.0415039062,        1.2969970703,       -0.1220703125,        1.2969970703
1489456420.0832939148,1489456420.0862770081,       -0.7197265625,        0.1088867188,        0.0415039062,        1.5869140625,        0.0457763672,        1.2969970703
1489456420.0865509510,1489456420.0889160633,       -0.7197265625,        0.1088867188,        0.0317382812,        1.5869140625,        0.0457763672,        1.2969970703
1489456420.0891909599,1489456420.0914859772,       -0.7241210938,        0.1035156250,        0.0317382812,        1.9378662109,        0.3814697266,        1.2207031250
1489456420.0917611122,1489456420.0940449238,       -0.7241210938,        0.1035156250,        0.0317382812,        1.9378662109,        0.3814697266,        1.2207031250
1489456420.0943200588,1489456420.0966041088,       -0.7241210938,        0.1035156250,        0.0317382812,        2.3498535156,        0.5950927734,        1.4495849609
1489456420.0970399380,1489456420.0993359089,       -0.7241210938,        0.0937500000,        0.0424804688,        2.3498535156,        0.5950927734,        1.4495849609
1489456420.0996100903,1489456420.1018979549,       -0.7294921875,        0.0937500000,        0.0424804688,        2.5634765625,        0.2746582031,        1.6937255859
1489456420.1021718979,1489456420.1044559479,       -0.7294921875,        0.0937500000,        0.0424804688,        2.5634765625,        0.2746582031,        1.6937255859
1489456420.1047279835,1489456420.1070210934,       -0.7294921875,        0.0937500000,        0.0424804688,        2.3803710938,        0.1678466797,        1.6174316406
1489456420.1072950363,1489456420.1096339226,       -0.7294921875,        0.0922851562,        0.0361328125,        2.3803710938,        0.1678466797,        1.6174316406
1489456420.1099081039,1489456420.1121969223,       -0.7382812500,        0.0922851562,        0.0361328125,        2.3803710938,        0.4272460938,        1.6784667969
1489456420.1124711037,1489456420.1147620678,       -0.7382812500,        0.0922851562,        0.0361328125,        2.1514892578,        0.4272460938,        1.6784667969
1489456420.1150360107,1489456420.1173250675,       -0.7382812500,        0.0922851562,        0.0361328125,        2.1514892578,        0.4272460938,        1.6479492188
1489456420.1175999641,1489456420.1198980808,       -0.7348632812,        0.0971679688,        0.0332031250,        1.4801025391,        0.7629394531,        1.6479492188
1489456420.1201729774,1489456420.1224629879,       -0.7348632812,        0.0971679688,        0.0332031250,        1.4801025391,        0.7629394531,        1.5563964844
1489456420.1227369308,1489456420.1250209808,       -0.7348632812,        0.0971679688,        0.0332031250,        1.3885498047,        0.5798339844,        1.5563964844
1489456420.1252949238,1489456420.1275899410,       -0.7348632812,        0.0971679688,        0.0332031250,        1.3885498047,        0.5798339844,        1.5563964844
1489456420.1278619766,1489456420.1303169727,       -0.7382812500,        0.1083984375,        0.0400390625,        1.0070800781,        0.7171630859,        1.4495849609
1489456420.1305921078,1489456420.1328909397,       -0.7382812500,        0.1083984375,        0.0400390625,        1.0070800781,        0.7171630859,        1.4495849609
1489456420.1331639290,1489456420.1354560852,       -0.7382812500,        0.1083984375,        0.0400390625,        0.7171630859,        0.7019042969,        1.2664794922
1489456420.1357309818,1489456420.1380279064,       -0.7382812500,        0.1083984375,        0.0400390625,        0.7171630859,        0.7019042969,        1.2664794922
1489456420.1383039951,1489456420.1407680511,       -0.7333984375,        0.1025390625,        0.0366210938,        0.2593994141,        0.7934570312,        0.9307861328
1489456420.1410489082,1489456420.1434309483,       -0.7333984375,        0.1025390625,        0.0366210938,        0.2593994141,        0.7934570312,        0.9307861328
1489456420.1437129974,1489456420.1462070942,       -0.7333984375,        0.1025390625,        0.0366210938,        0.0457763672,        0.6103515625,        0.7476806641
1489456420.1464900970,1489456420.1489229202,       -0.7333984375,        0.1025390625,        0.0366210938,        0.0457763672,        0.6103515625,        0.7476806641
1489456420.1491980553,1489456420.1514859200,       -0.7290039062,        0.1171875000,        0.0156250000,        0.1068115234,        0.1678466797,        0.3814697266
1489456420.1517601013,1489456420.1540551186,       -0.7290039062,        0.1171875000,        0.0156250000,        0.1068115234,        0.1678466797,        0.3814697266
1489456420.1543300152,1489456420.1566200256,       -0.7290039062,        0.1171875000,        0.0156250000,        0.1373291016,        0.0762939453,       -0.1525878906
1489456420.1568930149,1489456420.1592490673,       -0.7290039062,        0.1171875000,        0.0156250000,        0.1373291016,        0.0762939453,       -0.1525878906
1489456420.1596369743,1489456420.1619229317,       -0.7314453125,        0.1108398438,        0.0214843750,        0.3662109375,        0.0915527344,       -0.1373291016
1489456420.1621999741,1489456420.1644868851,       -0.7314453125,        0.1108398438,        0.0214843750,        0.3662109375,        0.0915527344,       -0.1373291016
1489456420.1647620201,1489456420.1670529842,       -0.7314453125,        0.1108398438,        0.0214843750,        0.3356933594,        0.3967285156,       -0.0152587891
1489456420.1673259735,1489456420.1696650982,       -0.7314453125,        0.1108398438,        0.0302734375,        0.3356933594,        0.3967285156,       -0.0152587891
1489456420.1699390411,1489456420.1722259521,       -0.7285156250,        0.0991210938,        0.0302734375,        0.1678466797,        0.5187988281,       -0.1678466797
1489456420.1725010872,1489456420.1747961044,       -0.7285156250,        0.0991210938,        0.0302734375,        0.1678466797,        0.5187988281,       -0.1678466797
1489456420.1750690937,1489456420.1773579121,       -0.7285156250,        0.0991210938,        0.0302734375,        0.1678466797,        0.3204345703,       -0.2899169922
1489456420.1776320934,1489456420.1799759865,       -0.7285156250,        0.0991210938,        0.0322265625,        0.1220703125,        0.3204345703,       -0.2899169922
1489456420.1802499294,1489456420.1825420856,       -0.7319335938,        0.1000976562,        0.0322265625,        0.1220703125,        0.3204345703,       -0.3204345703
1489456420.1828160286,1489456420.1851010323,       -0.7319335938,        0.1000976562,        0.0322265625,        0.0762939453,        0.2899169922,       -0.3204345703
