time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1489456240.0199780464,1489456240.0325338840,       -0.2241210938,        0.6816406250,       -0.1455078125,        0.1678466797,       -0.9460449219,       -0.8850097656
1489456240.0328390598,1489456240.0353779793,       -0.2255859375,        0.6787109375,       -0.1342773438,       -0.3051757812,       -1.0375976562,       -0.6713867188
1489456240.0356650352,1489456240.0380759239,       -0.2255859375,        0.6787109375,       -0.1342773438,       -0.3051757812,       -1.0375976562,       -0.6713867188
1489456240.0383560658,1489456240.0407729149,       -0.2255859375,        0.6787109375,       -0.1342773438,       -0.3662109375,       -1.0223388672,       -0.6256103516
1489456240.0410530567,1489456240.0434648991,       -0.2270507812,        0.6796875000,       -0.1347656250,       -0.3662109375,       -1.0223388672,       -0.6256103516
1489456240.0437428951,1489456240.0461509228,       -0.2270507812,        0.6796875000,       -0.1347656250,        0.4119873047,       -1.3122558594,       -0.7019042969
1489456240.0464289188,1489456240.0488510132,       -0.2270507812,        0.6796875000,       -0.1347656250,        0.4119873047,       -1.3122558594,       -0.7019042969
1489456240.0491309166,1489456240.0515449047,       -0.2270507812,        0.6796875000,       -0.1347656250,        0.2136230469,       -1.2512207031,       -0.6866455078
1489456240.0518240929,1489456240.0542359352,       -0.2290039062,        0.6777343750,       -0.1303710938,        0.2136230469,       -1.2512207031,       -0.6866455078
1489456240.0545148849,1489456240.0569310188,       -0.2290039062,        0.6777343750,       -0.1303710938,        0.3051757812,       -0.9002685547,       -0.6561279297
1489456240.0572099686,1489456240.0595939159,       -0.2290039062,        0.6777343750,       -0.1303710938,        0.3051757812,       -0.9002685547,       -0.6561279297
1489456240.0598640442,1489456240.0621531010,       -0.2290039062,        0.6777343750,       -0.1303710938,        0.3051757812,       -1.2207031250,       -0.8850097656
1489456240.0624239445,1489456240.0647161007,       -0.2231445312,        0.6796875000,       -0.1333007812,        0.5493164062,       -1.2207031250,       -0.8850097656
1489456240.0649869442,1489456240.0672769547,       -0.2231445312,        0.6796875000,       -0.1333007812,        0.5493164062,       -1.2207031250,       -0.8087158203
1489456240.0675470829,1489456240.0699610710,       -0.2231445312,        0.6796875000,       -0.1333007812,        0.3967285156,       -1.5716552734,       -0.8087158203
1489456240.0702319145,1489456240.0725259781,       -0.2231445312,        0.6796875000,       -0.1333007812,        0.3967285156,       -1.5716552734,       -0.7324218750
1489456240.0727961063,1489456240.0750799179,       -0.2182617188,        0.6762695312,       -0.1337890625,        0.5493164062,       -1.8157958984,       -0.7324218750
1489456240.0753519535,1489456240.0776469707,       -0.2182617188,        0.6762695312,       -0.1337890625,        0.5493164062,       -1.8157958984,       -0.7324218750
1489456240.0779230595,1489456240.0803110600,       -0.2182617188,        0.6762695312,       -0.1337890625,        0.4272460938,       -1.6479492188,       -0.8544921875
1489456240.0805859566,1489456240.0828740597,       -0.2182617188,        0.6762695312,       -0.1333007812,        0.4272460938,       -1.6479492188,       -0.8544921875
1489456240.0831489563,1489456240.0857160091,       -0.2236328125,        0.6806640625,       -0.1333007812,        0.4730224609,       -1.8005371094,       -0.7781982422
1489456240.0859920979,1489456240.0882859230,       -0.2236328125,        0.6806640625,       -0.1333007812,        0.4730224609,       -1.8005371094,       -0.7781982422
1489456240.0885610580,1489456240.0913169384,       -0.2236328125,        0.6806640625,       -0.1333007812,       -0.0152587891,       -1.7852783203,       -0.7019042969
1489456240.0916020870,1489456240.0940148830,       -0.2172851562,        0.6811523438,       -0.1367187500,       -0.0152587891,       -1.7852783203,       -0.7019042969
1489456240.0944650173,1489456240.0968821049,       -0.2172851562,        0.6811523438,       -0.1367187500,       -0.0457763672,       -1.7700195312,       -0.9307861328
1489456240.0971629620,1489456240.0996339321,       -0.2172851562,        0.6811523438,       -0.1367187500,       -0.0457763672,       -1.7700195312,       -1.1596679688
1489456240.0999169350,1489456240.1023321152,       -0.2172851562,        0.6811523438,       -0.1367187500,        0.7934570312,       -2.0599365234,       -1.1596679688
1489456240.1026129723,1489456240.1050310135,       -0.2172851562,        0.6733398438,       -0.1396484375,        0.7934570312,       -2.0599365234,       -1.1596679688
1489456240.1053121090,1489456240.1077289581,       -0.2172851562,        0.6733398438,       -0.1396484375,        1.1596679688,       -1.7852783203,       -1.1291503906
1489456240.1080091000,1489456240.1104359627,       -0.2172851562,        0.6733398438,       -0.1396484375,        1.1596679688,       -1.7852783203,       -1.1291503906
1489456240.1107161045,1489456240.1131379604,       -0.2172851562,        0.6733398438,       -0.1352539062,        0.5950927734,       -1.3732910156,       -1.0833740234
1489456240.1134200096,1489456240.1158330441,       -0.2202148438,        0.6762695312,       -0.1352539062,        0.5950927734,       -1.3732910156,       -1.0833740234
1489456240.1161119938,1489456240.1185250282,       -0.2202148438,        0.6762695312,       -0.1352539062,        0.7324218750,       -1.3427734375,       -0.9918212891
1489456240.1188468933,1489456240.1211409569,       -0.2202148438,        0.6762695312,       -0.1352539062,        0.7324218750,       -1.3427734375,       -0.9918212891
1489456240.1214160919,1489456240.1237049103,       -0.2202148438,        0.6748046875,       -0.1401367188,        0.7476806641,       -1.5258789062,       -0.9155273438
1489456240.1239800453,1489456240.1262750626,       -0.2270507812,        0.6748046875,       -0.1401367188,        0.7476806641,       -1.5258789062,       -0.9155273438
1489456240.1265490055,1489456240.1288790703,       -0.2270507812,        0.6748046875,       -0.1401367188,        0.7171630859,       -1.3275146484,       -0.9002685547
1489456240.1291539669,1489456240.1314458847,       -0.2270507812,        0.6748046875,       -0.1401367188,        0.7171630859,       -1.3275146484,       -0.9002685547
1489456240.1317200661,1489456240.1340129375,       -0.2270507812,        0.6791992188,       -0.1455078125,        0.4577636719,       -1.1596679688,       -1.0375976562
1489456240.1342859268,1489456240.1365768909,       -0.2197265625,        0.6791992188,       -0.1455078125,        0.4577636719,       -1.1596679688,       -1.0375976562
1489456240.1368489265,1489456240.1391890049,       -0.2197265625,        0.6791992188,       -0.1455078125,        0.6561279297,       -0.8697509766,       -1.0986328125
1489456240.1394629478,1489456240.1417629719,       -0.2197265625,        0.6791992188,       -0.1455078125,        0.6561279297,       -0.8697509766,       -1.0986328125
1489456240.1420369148,1489456240.1443319321,       -0.2265625000,        0.6757812500,       -0.1391601562,        0.2288818359,       -0.9765625000,       -1.0223388672
1489456240.1446049213,1489456240.1469020844,       -0.2265625000,        0.6757812500,       -0.1391601562,        0.2288818359,       -0.9765625000,       -1.0223388672
1489456240.1471760273,1489456240.1497449875,       -0.2265625000,        0.6757812500,       -0.1391601562,        0.1831054688,       -0.9765625000,       -1.4190673828
1489456240.1500210762,1489456240.1523199081,       -0.2265625000,        0.6757812500,       -0.1391601562,        0.1831054688,       -0.9765625000,       -1.4190673828
1489456240.1525950432,1489456240.1548869610,       -0.2182617188,        0.6743164062,       -0.1416015625,        0.3814697266,       -1.1138916016,       -1.0223388672
1489456240.1551609039,1489456240.1574490070,       -0.2182617188,        0.6743164062,       -0.1416015625,        0.3814697266,       -1.1138916016,       -1.0223388672
1489456240.1578330994,1489456240.1603689194,       -0.2182617188,        0.6743164062,       -0.1416015625,        0.1373291016,       -1.2664794922,       -1.0986328125
1489456240.1606490612,1489456240.1630270481,       -0.2182617188,        0.6743164062,       -0.1416015625,        0.1373291016,       -1.2664794922,       -1.0986328125
1489456240.1633050442,1489456240.1664741039,       -0.2255859375,        0.6821289062,       -0.1323242188,        0.4425048828,       -0.9002685547,       -1.1901855469
1489456240.1667509079,1489456240.1691040993,       -0.2255859375,        0.6821289062,       -0.1323242188,        0.4425048828,       -0.9002685547,       -1.1901855469
1489456240.1693780422,1489456240.1716659069,       -0.2255859375,        0.6821289062,       -0.1323242188,        0.2441406250,       -0.7934570312,       -0.9765625000
1489456240.1719410419,1489456240.1742289066,       -0.2255859375,        0.6748046875,       -0.1411132812,        0.2441406250,       -0.7934570312,       -0.9765625000
1489456240.1745030880,1489456240.1767909527,       -0.2221679688,        0.6748046875,       -0.1411132812,       -0.0152587891,       -0.7476806641,       -0.7476806641
1489456240.1770660877,1489456240.1794099808,       -0.2221679688,        0.6748046875,       -0.1411132812,       -0.0152587891,       -0.7476806641,       -0.7476806641
1489456240.1796839237,1489456240.1819710732,       -0.2221679688,        0.6748046875,       -0.1411132812,        3.8909912109,       -1.0528564453,       -1.2359619141
1489456240.1822431087,1489456240.1845269203,       -0.2221679688,        0.6757812500,       -0.1333007812,        0.5035400391,       -1.0528564453,       -1.2359619141
1489456240.1847999096,1489456240.1870861053,       -0.2333984375,        0.6757812500,       -0.1333007812,        0.5035400391,       -1.0528564453,       -1.2512207031
1489456240.1873590946,1489456240.1897919178,       -0.2333984375,        0.6757812500,       -0.1333007812,        0.2899169922,       -0.9613037109,       -1.2512207031
1489456240.1900660992,1489456240.1923480034,       -0.2333984375,        0.6757812500,       -0.1333007812,        0.2899169922,       -0.9613037109,       -1.1749267578
1489456240.1926229000,1489456240.1949059963,       -0.2260742188,        0.6767578125,       -0.1430664062,        0.2899169922,       -0.8697509766,       -1.1749267578
1489456240.1951808929,1489456240.1974689960,       -0.2260742188,        0.6767578125,       -0.1430664062,        0.2899169922,       -0.8697509766,       -1.1749267578
1489456240.1977438927,1489456240.2000360489,       -0.2260742188,        0.6767578125,       -0.1430664062,        0.5950927734,       -1.0375976562,       -0.9613037109
1489456240.2003090382,1489456240.2025959492,       -0.2260742188,        0.6767578125,       -0.1430664062,        0.5950927734,       -1.0375976562,       -0.9613037109
1489456240.2028698921,1489456240.2051548958,       -0.2319335938,        0.6826171875,       -0.1318359375,        0.5493164062,       -1.1444091797,       -1.2664794922
1489456240.2054269314,1489456240.2077159882,       -0.2319335938,        0.6826171875,       -0.1318359375,        0.5493164062,       -1.1444091797,       -1.2664794922
1489456240.2079889774,1489456240.2103290558,       -0.2319335938,        0.6826171875,       -0.1318359375,        0.2441406250,       -1.2512207031,       -1.1749267578
1489456240.2106029987,1489456240.2128939629,       -0.2319335938,        0.6826171875,       -0.1318359375,        0.2441406250,       -1.2512207031,       -1.1749267578
1489456240.2131669521,1489456240.2154579163,       -0.2338867188,        0.6777343750,       -0.1250000000,        0.4272460938,       -1.0375976562,       -1.1444091797
1489456240.2157299519,1489456240.2180271149,       -0.2338867188,        0.6777343750,       -0.1250000000,        0.4272460938,       -1.0375976562,       -1.1444091797
1489456240.2182989120,1489456240.2206969261,       -0.2338867188,        0.6777343750,       -0.1250000000,        0.5035400391,       -0.7629394531,       -1.1901855469
1489456240.2210810184,1489456240.2233750820,       -0.2338867188,        0.6777343750,       -0.1250000000,        0.5035400391,       -0.7629394531,       -1.1901855469
1489456240.2236490250,1489456240.2259390354,       -0.2299804688,        0.6796875000,       -0.1323242188,        0.0152587891,       -0.6561279297,       -0.9918212891
1489456240.2262139320,1489456240.2285020351,       -0.2299804688,        0.6796875000,       -0.1323242188,        0.0152587891,       -0.6561279297,       -0.9918212891
1489456240.2287778854,1489456240.2312579155,       -0.2299804688,        0.6796875000,       -0.1323242188,        0.0000000000,       -0.6866455078,       -0.8850097656
1489456240.2315409184,1489456240.2339570522,       -0.2299804688,        0.6796875000,       -0.1323242188,        0.0000000000,       -0.6866455078,       -0.8850097656
1489456240.2342369556,1489456240.2366480827,       -0.2319335938,        0.6777343750,       -0.1347656250,        0.0152587891,       -0.8087158203,       -0.9307861328
1489456240.2369298935,1489456240.2393519878,       -0.2319335938,        0.6777343750,       -0.1347656250,        0.0152587891,       -0.8087158203,       -0.9307861328
1489456240.2396340370,1489456240.2420480251,       -0.2319335938,        0.6777343750,       -0.1347656250,        0.1525878906,       -0.5493164062,       -1.1596679688
1489456240.2423310280,1489456240.2447419167,       -0.2319335938,        0.6777343750,       -0.1352539062,        0.1525878906,       -0.5493164062,       -1.1596679688
1489456240.2450230122,1489456240.2474389076,       -0.2373046875,        0.6723632812,       -0.1352539062,        0.0305175781,       -0.2899169922,       -0.8697509766
1489456240.2477200031,1489456240.2501380444,       -0.2373046875,        0.6723632812,       -0.1352539062,        0.0305175781,       -0.2899169922,       -0.8697509766
1489456240.2504210472,1489456240.2528378963,       -0.2373046875,        0.6723632812,       -0.1352539062,        0.0305175781,       -0.5645751953,       -0.6408691406
1489456240.2531189919,1489456240.2555320263,       -0.2304687500,        0.6796875000,       -0.1279296875,        0.0305175781,       -0.5645751953,       -0.6408691406
1489456240.2558140755,1489456240.2582309246,       -0.2304687500,        0.6796875000,       -0.1279296875,       -3.8757324219,       -0.7934570312,       -1.1444091797
1489456240.2585120201,1489456240.2608380318,       -0.2304687500,        0.6796875000,       -0.1279296875,       -0.0305175781,       -0.7934570312,       -1.1444091797
1489456240.2611129284,1489456240.2634029388,       -0.2304687500,        0.6796875000,       -0.1279296875,       -0.0305175781,       -0.6713867188,       -0.9155273438
1489456240.2636780739,1489456240.2659668922,       -0.2290039062,        0.6762695312,       -0.1376953125,        0.4730224609,       -0.6713867188,       -0.9155273438
1489456240.2662398815,1489456240.2685310841,       -0.2290039062,        0.6762695312,       -0.1376953125,        0.4730224609,       -0.6713867188,       -0.6256103516
1489456240.2688341141,1489456240.2711210251,       -0.2290039062,        0.6762695312,       -0.1376953125,        0.0915527344,       -0.3356933594,       -0.6256103516
1489456240.2713959217,1489456240.2736868858,       -0.2290039062,        0.6762695312,       -0.1376953125,        0.0915527344,       -0.3356933594,       -0.6256103516
1489456240.2739620209,1489456240.2764670849,       -0.2294921875,        0.6733398438,       -0.1352539062,       -0.0305175781,       -0.2441406250,       -0.3967285156
1489456240.2767460346,1489456240.2792310715,       -0.2294921875,        0.6733398438,       -0.1352539062,       -0.0305175781,       -0.2441406250,       -0.3967285156
1489456240.2795228958,1489456240.2819480896,       -0.2294921875,        0.6733398438,       -0.1352539062,       -0.1525878906,       -0.3814697266,       -0.6713867188
1489456240.2822339535,1489456240.2846469879,       -0.2294921875,        0.6733398438,       -0.1352539062,       -0.1525878906,       -0.3814697266,       -0.6713867188
1489456240.2850360870,1489456240.2874529362,       -0.2324218750,        0.6816406250,       -0.1362304688,       -0.1373291016,       -0.4577636719,       -0.6103515625
1489456240.2877340317,1489456240.2901580334,       -0.2324218750,        0.6816406250,       -0.1362304688,       -0.1373291016,       -0.4577636719,       -0.6103515625
1489456240.2904410362,1489456240.2928600311,       -0.2324218750,        0.6816406250,       -0.1362304688,        0.0152587891,       -0.3051757812,       -0.6103515625
1489456240.2931430340,1489456240.2955589294,       -0.2324218750,        0.6723632812,       -0.1293945312,        0.0152587891,       -0.3051757812,       -0.4272460938
1489456240.2958419323,1489456240.2982530594,       -0.2285156250,        0.6723632812,       -0.1293945312,       -0.1068115234,       -0.0610351562,       -0.4272460938
1489456240.2985339165,1489456240.3009529114,       -0.2285156250,        0.6723632812,       -0.1293945312,       -0.1068115234,       -0.0610351562,       -0.4272460938
1489456240.3012349606,1489456240.3036530018,       -0.2285156250,        0.6723632812,       -0.1293945312,       -0.3662109375,        0.1525878906,       -0.3662109375
1489456240.3039350510,1489456240.3063540459,       -0.2329101562,        0.6723632812,       -0.1289062500,       -0.3662109375,        0.1525878906,       -0.3662109375
1489456240.3066360950,1489456240.3090510368,       -0.2329101562,        0.6723632812,       -0.1289062500,       -0.4119873047,        0.0610351562,       -0.4272460938
1489456240.3093268871,1489456240.3116230965,       -0.2329101562,        0.6723632812,       -0.1289062500,       -0.4119873047,        0.0610351562,       -0.4272460938
1489456240.3118989468,1489456240.3141930103,       -0.2329101562,        0.6723632812,       -0.1289062500,       -0.7019042969,       -0.2593994141,       -0.4425048828
1489456240.3144659996,1489456240.3167619705,       -0.2246093750,        0.6875000000,       -0.1411132812,       -0.7019042969,       -0.2593994141,       -0.4425048828
1489456240.3170359135,1489456240.3193349838,       -0.2246093750,        0.6875000000,       -0.1411132812,       -0.4425048828,       -0.0762939453,       -0.3204345703
1489456240.3196089268,1489456240.3218970299,       -0.2246093750,        0.6875000000,       -0.1411132812,       -0.4425048828,       -0.0762939453,       -0.3204345703
1489456240.3221709728,1489456240.3244640827,       -0.2246093750,        0.6875000000,       -0.1411132812,       -0.4119873047,        0.2288818359,       -0.3814697266
1489456240.3247380257,1489456240.3270270824,       -0.2304687500,        0.6777343750,       -0.1381835938,       -0.4119873047,        0.2288818359,       -0.3814697266
1489456240.3273010254,1489456240.3297510147,       -0.2304687500,        0.6777343750,       -0.1381835938,        0.2746582031,       -0.3509521484,       -0.8544921875
1489456240.3300259113,1489456240.3323140144,       -0.2304687500,        0.6777343750,       -0.1381835938,        0.2746582031,       -0.3509521484,       -0.8544921875
1489456240.3325879574,1489456240.3348789215,       -0.2304687500,        0.6777343750,       -0.1381835938,       -0.1525878906,        0.0000000000,       -0.3967285156
1489456240.3351531029,1489456240.3374500275,       -0.2270507812,        0.6757812500,       -0.1240234375,       -0.1525878906,        0.0000000000,       -0.3967285156
1489456240.3377249241,1489456240.3402249813,       -0.2270507812,        0.6757812500,       -0.1240234375,       -0.3967285156,        0.3051757812,       -0.5035400391
1489456240.3405098915,1489456240.3429269791,       -0.2270507812,        0.6757812500,       -0.1240234375,       -0.3967285156,        0.3051757812,       -0.5035400391
1489456240.3432099819,1489456240.3456189632,       -0.2270507812,        0.6757812500,       -0.1362304688,       -0.4730224609,        0.1373291016,       -0.5035400391
1489456240.3459010124,1489456240.3483190536,       -0.2211914062,        0.6840820312,       -0.1362304688,       -0.4730224609,        0.1373291016,       -0.5035400391
1489456240.3487069607,1489456240.3511319160,       -0.2211914062,        0.6840820312,       -0.1362304688,       -0.2899169922,        0.4119873047,       -0.3814697266
1489456240.3514130116,1489456240.3538279533,       -0.2211914062,        0.6840820312,       -0.1362304688,       -0.2899169922,        0.4119873047,       -0.3814697266
1489456240.3541109562,1489456240.3565950394,       -0.2163085938,        0.6782226562,       -0.1367187500,       -0.3967285156,       -0.0305175781,       -0.3662109375
1489456240.3568708897,1489456240.3593668938,       -0.2163085938,        0.6782226562,       -0.1367187500,       -0.3967285156,       -0.0305175781,       -0.3662109375
1489456240.3596470356,1489456240.3620300293,       -0.2163085938,        0.6782226562,       -0.1367187500,       -0.3662109375,        0.6713867188,       -0.4119873047
