time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1489456180.0244700909,1489456180.0329260826,       -0.7197265625,        0.2241210938,       -0.0034179688,        3.9825439453,        5.7220458984,       11.6271972656
1489456180.0332291126,1489456180.0358049870,       -0.7197265625,        0.2241210938,        0.0029296875,        3.9825439453,        5.7220458984,       11.6271972656
1489456180.0360898972,1489456180.0383789539,       -0.7250976562,        0.2241210938,        0.0029296875,        4.2572021484,        5.9509277344,       11.8560791016
1489456180.0386579037,1489456180.0411040783,       -0.7250976562,        0.2241210938,        0.0029296875,        4.2572021484,        5.9509277344,       11.8560791016
1489456180.0413908958,1489456180.0438010693,       -0.7250976562,        0.2241210938,        0.0029296875,        4.8217773438,        6.2103271484,       12.6495361328
1489456180.0440869331,1489456180.0465009212,       -0.7304687500,        0.2167968750,        0.0048828125,        4.8217773438,        6.2103271484,       12.6495361328
1489456180.0467820168,1489456180.0492510796,       -0.7304687500,        0.2167968750,        0.0048828125,        6.0729980469,        5.7830810547,       13.6260986328
1489456180.0495340824,1489456180.0519480705,       -0.7304687500,        0.2167968750,        0.0048828125,        6.0729980469,        5.7830810547,       13.6260986328
1489456180.0522298813,1489456180.0546429157,       -0.7304687500,        0.2167968750,        0.0048828125,        7.2326660156,        5.7830810547,       14.4958496094
1489456180.0549271107,1489456180.0573360920,       -0.7236328125,        0.2177734375,       -0.0117187500,        7.2326660156,        5.7830810547,       14.4958496094
1489456180.0576190948,1489456180.0601329803,       -0.7236328125,        0.2177734375,       -0.0117187500,        7.9040527344,        6.1645507812,       15.7623291016
1489456180.0604090691,1489456180.0627009869,       -0.7236328125,        0.2177734375,       -0.0117187500,        7.9040527344,        6.1645507812,       15.7623291016
1489456180.0629758835,1489456180.0652630329,       -0.7236328125,        0.2177734375,       -0.0097656250,        8.8348388672,        6.1187744141,       16.9525146484
1489456180.0655388832,1489456180.0678329468,       -0.7285156250,        0.2143554688,       -0.0097656250,        8.8348388672,        6.1187744141,       16.9525146484
1489456180.0681090355,1489456180.0705089569,       -0.7285156250,        0.2143554688,       -0.0097656250,       10.1623535156,        6.0119628906,       18.6920166016
1489456180.0707900524,1489456180.0730750561,       -0.7285156250,        0.2143554688,       -0.0097656250,       10.1623535156,        6.0119628906,       18.6920166016
1489456180.0733559132,1489456180.0765109062,       -0.7285156250,        0.2143554688,       -0.0170898438,       10.8184814453,        6.8359375000,       20.2331542969
1489456180.0767960548,1489456180.0791840553,       -0.7343750000,        0.1953125000,       -0.0170898438,       10.8184814453,        6.8359375000,       20.2331542969
1489456180.0794730186,1489456180.0818591118,       -0.7343750000,        0.1953125000,       -0.0170898438,       11.0931396484,        7.7667236328,       22.0489501953
1489456180.0821468830,1489456180.0845251083,       -0.7343750000,        0.1953125000,       -0.0170898438,       11.0931396484,        7.7667236328,       22.0489501953
1489456180.0848100185,1489456180.0871930122,       -0.7490234375,        0.1816406250,       -0.0092773438,       11.3983154297,        8.3465576172,       24.1394042969
1489456180.0874819756,1489456180.0898950100,       -0.7490234375,        0.1816406250,       -0.0092773438,       11.3983154297,        8.3465576172,       24.1394042969
1489456180.0901849270,1489456180.0925889015,       -0.7490234375,        0.1816406250,       -0.0092773438,       11.2457275391,        8.2397460938,       26.3519287109
1489456180.0928781033,1489456180.0952789783,       -0.7490234375,        0.1816406250,       -0.0092773438,       11.2457275391,        8.2397460938,       26.3519287109
