time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1489455820.0219390392,1489455820.0334329605,       -0.7363281250,        0.2500000000,       -0.0966796875,       13.2446289062,       -1.7089843750,        9.8419189453
1489455820.0337369442,1489455820.0362460613,       -0.7363281250,        0.2500000000,       -0.0966796875,       12.0391845703,       -1.1444091797,        9.8419189453
1489455820.0365331173,1489455820.0388970375,       -0.7363281250,        0.2500000000,       -0.0888671875,        8.1329345703,       -0.8850097656,       10.9863281250
1489455820.0391829014,1489455820.0415790081,       -0.7343750000,        0.2607421875,       -0.0888671875,       11.5051269531,       -0.8850097656,       10.9863281250
1489455820.0418639183,1489455820.0442659855,       -0.7343750000,        0.2607421875,       -0.0888671875,       11.5051269531,       -0.5187988281,       12.1612548828
1489455820.0445520878,1489455820.0469501019,       -0.7343750000,        0.2607421875,       -0.0888671875,       10.8032226562,       -0.5187988281,       12.1612548828
1489455820.0472340584,1489455820.0497729778,       -0.8593750000,        0.2563476562,       -0.0712890625,       10.8032226562,        0.4577636719,       12.9089355469
1489455820.0500600338,1489455820.0524361134,       -0.7622070312,        0.2563476562,       -0.0712890625,        7.7056884766,        0.4577636719,       12.9089355469
1489455820.0527200699,1489455820.0552349091,       -0.7622070312,        0.2563476562,       -0.0712890625,        7.7056884766,        1.6479492188,       13.5650634766
1489455820.0555179119,1489455820.0579218864,       -0.7622070312,        0.2563476562,       -0.0712890625,        3.6315917969,        1.6479492188,       13.5650634766
1489455820.0582048893,1489455820.0606510639,       -0.7753906250,        0.2709960938,       -0.0488281250,        3.6315917969,        2.3956298828,       15.0604248047
1489455820.0609340668,1489455820.0633280277,       -0.7753906250,        0.2709960938,       -0.0488281250,        1.6479492188,        2.3956298828,       15.0604248047
1489455820.0636088848,1489455820.0660068989,       -0.7753906250,        0.2709960938,       -0.0488281250,        1.6479492188,        2.9602050781,       16.9830322266
1489455820.0662879944,1489455820.0686819553,       -0.7753906250,        0.2709960938,       -0.0488281250,        0.0000000000,        2.9602050781,       16.9830322266
1489455820.0689649582,1489455820.0712559223,       -0.7558593750,        0.2807617188,       -0.0366210938,        0.0000000000,        6.8664550781,       19.1192626953
1489455820.0715301037,1489455820.0738539696,       -0.7558593750,        0.2807617188,       -0.0366210938,       -0.8087158203,        4.4555664062,       19.1192626953
1489455820.0741319656,1489455820.0764210224,       -0.7558593750,        0.2807617188,       -0.0366210938,       -0.8087158203,        4.4555664062,       21.3623046875
1489455820.0766990185,1489455820.0791020393,       -0.7558593750,        0.2807617188,       -0.0366210938,       -1.8920898438,        5.0811767578,       21.3623046875
1489455820.0793859959,1489455820.0817720890,       -0.7709960938,        0.2646484375,       -0.0083007812,       -1.8920898438,        5.0811767578,       23.1018066406
1489455820.0820560455,1489455820.0844430923,       -0.7709960938,        0.2646484375,       -0.0083007812,       -3.4027099609,        4.8217773438,       23.1018066406
1489455820.0847270489,1489455820.0871129036,       -0.7709960938,        0.2646484375,       -0.0083007812,       -3.4027099609,        4.8217773438,       27.0080566406
