time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1489457122.0208709240,1489457122.0326430798,       -0.7226562500,        0.0351562500,        0.0527343750,        0.7476806641,        3.6468505859,        0.1678466797
1489457122.0329449177,1489457122.0355861187,       -0.7070312500,        0.0478515625,        0.0527343750,        0.7476806641,        3.6468505859,       -0.0762939453
1489457122.0359089375,1489457122.0383300781,       -0.7070312500,        0.0478515625,        0.0527343750,        1.8615722656,        3.2958984375,       -0.0762939453
1489457122.0386090279,1489457122.0410339832,       -0.7070312500,        0.0478515625,        0.0527343750,        1.8615722656,        3.2958984375,       -0.4272460938
1489457122.0413129330,1489457122.0437269211,       -0.7221679688,        0.0517578125,        0.0834960938,        3.3264160156,        3.4332275391,       -0.4272460938
1489457122.0440070629,1489457122.0464179516,       -0.7221679688,        0.0517578125,        0.0834960938,        3.3264160156,        3.4332275391,       -0.4577636719
1489457122.0466980934,1489457122.0493791103,       -0.7221679688,        0.0517578125,        0.0834960938,        4.8370361328,        3.2653808594,       -0.4577636719
1489457122.0496680737,1489457122.0521020889,       -0.7221679688,        0.0517578125,        0.0825195312,        4.8370361328,        3.0822753906,       -0.6408691406
1489457122.0523838997,1489457122.0547978878,       -0.7114257812,        0.0546875000,        0.0825195312,        5.8441162109,        3.0822753906,       -0.6408691406
1489457122.0550758839,1489457122.0574820042,       -0.7114257812,        0.0546875000,        0.0825195312,        5.8441162109,        3.0822753906,       -0.9307861328
1489457122.0577609539,1489457122.0601871014,       -0.7114257812,        0.0546875000,        0.0825195312,        6.9885253906,        3.2958984375,       -0.9307861328
1489457122.0604670048,1489457122.0628790855,       -0.7114257812,        0.0678710938,        0.0751953125,        6.9885253906,        3.2958984375,       -1.6937255859
1489457122.0631570816,1489457122.0655720234,       -0.7094726562,        0.0678710938,        0.0751953125,        8.8348388672,        2.8991699219,       -1.6937255859
1489457122.0658500195,1489457122.0682699680,       -0.7094726562,        0.0678710938,        0.0751953125,        8.8348388672,        2.8991699219,       -2.1820068359
1489457122.0685479641,1489457122.0708510876,       -0.7094726562,        0.0678710938,        0.0751953125,       10.6658935547,        2.7618408203,       -2.1820068359
1489457122.0711278915,1489457122.0734169483,       -0.7231445312,        0.0683593750,        0.0693359375,       10.6658935547,        2.7618408203,       -2.2430419922
1489457122.0736920834,1489457122.0759789944,       -0.7231445312,        0.0683593750,        0.0693359375,       13.2446289062,        2.8991699219,       -2.2430419922
1489457122.0762538910,1489457122.0785501003,       -0.7231445312,        0.0683593750,        0.0693359375,       13.2446289062,        2.8991699219,       -2.2430419922
1489457122.0789060593,1489457122.0812880993,       -0.7231445312,        0.0683593750,        0.0693359375,       15.0299072266,        2.8076171875,       -2.8381347656
1489457122.0815699100,1489457122.0839519501,       -0.7314453125,        0.0507812500,        0.0786132812,       15.0299072266,        2.8076171875,       -2.8381347656
1489457122.0842339993,1489457122.0866138935,       -0.7314453125,        0.0507812500,        0.0786132812,       15.6097412109,        2.8076171875,       -3.0822753906
1489457122.0868959427,1489457122.0892839432,       -0.7314453125,        0.0507812500,        0.0786132812,       15.6097412109,        2.8076171875,       -3.0822753906
1489457122.0895619392,1489457122.0918560028,       -0.7314453125,        0.0507812500,        0.0786132812,       15.8233642578,        2.3956298828,       -3.3111572266
1489457122.0921339989,1489457122.0944309235,       -0.7207031250,        0.0424804688,        0.0639648438,       15.8233642578,        2.3956298828,       -3.3111572266
1489457122.0948660374,1489457122.0971579552,       -0.7207031250,        0.0424804688,        0.0639648438,       15.7012939453,        1.7395019531,       -3.1738281250
1489457122.0974349976,1489457122.0998980999,       -0.7207031250,        0.0424804688,        0.0639648438,       15.7012939453,        1.7395019531,       -3.1738281250
1489457122.1001780033,1489457122.1024808884,       -0.7207031250,        0.0424804688,        0.0527343750,       15.5639648438,        1.4801025391,       -2.9754638672
1489457122.1027588844,1489457122.1050519943,       -0.7280273438,        0.0322265625,        0.0527343750,       15.5639648438,        1.4801025391,       -2.9754638672
1489457122.1053318977,1489457122.1076259613,       -0.7280273438,        0.0322265625,        0.0527343750,       14.6789550781,        1.8463134766,       -3.4637451172
