time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1489457362.0235209465,1489457362.0327479839,       -0.7436523438,        0.0581054688,        0.0131835938,       -0.6866455078,       -0.5340576172,        0.1525878906
1489457362.0330500603,1489457362.0357649326,       -0.7436523438,        0.0581054688,        0.0131835938,       -0.2593994141,       -0.2136230469,        0.1525878906
1489457362.0360620022,1489457362.0383589268,       -0.7353515625,        0.0625000000,        0.0107421875,       -0.2593994141,       -0.4882812500,        0.0610351562
1489457362.0386331081,1489457362.0409789085,       -0.7353515625,        0.0625000000,        0.0107421875,       -0.3967285156,       -0.4882812500,        0.0610351562
1489457362.0412490368,1489457362.0435340405,       -0.7353515625,        0.0625000000,        0.0107421875,       -0.3967285156,       -0.4882812500,       -0.2136230469
1489457362.0438048840,1489457362.0460939407,       -0.7353515625,        0.0625000000,        0.0107421875,       -0.0915527344,       -0.6408691406,       -0.2136230469
1489457362.0463650227,1489457362.0486450195,       -0.7368164062,        0.0659179688,        0.0029296875,       -0.0915527344,       -0.6408691406,       -0.2593994141
1489457362.0489089489,1489457362.0511980057,       -0.7368164062,        0.0659179688,        0.0029296875,       -0.1525878906,       -0.8392333984,       -0.2593994141
1489457362.0514719486,1489457362.0537500381,       -0.7368164062,        0.0659179688,        0.0029296875,       -0.1525878906,       -0.8392333984,       -0.2593994141
1489457362.0540249348,1489457362.0563020706,       -0.7368164062,        0.0659179688,        0.0029296875,       -0.8544921875,       -0.4577636719,       -0.1831054688
1489457362.0565760136,1489457362.0590190887,       -0.7397460938,        0.0625000000,        0.0092773438,       -0.8544921875,       -0.4577636719,       -0.1831054688
1489457362.0592939854,1489457362.0615839958,       -0.7397460938,        0.0625000000,        0.0092773438,       -1.0223388672,       -0.5493164062,       -0.0915527344
1489457362.0618569851,1489457362.0641489029,       -0.7397460938,        0.0625000000,        0.0092773438,       -1.0223388672,       -0.5493164062,       -0.0915527344
1489457362.0644218922,1489457362.0667169094,       -0.7397460938,        0.0625000000,        0.0092773438,       -0.6256103516,       -0.5035400391,        0.1678466797
1489457362.0669898987,1489457362.0693709850,       -0.7358398438,        0.0664062500,        0.0234375000,       -0.6256103516,       -0.5035400391,        0.1678466797
1489457362.0696430206,1489457362.0719420910,       -0.7358398438,        0.0664062500,        0.0234375000,       -0.5340576172,       -0.3662109375,        0.3814697266
1489457362.0722150803,1489457362.0745019913,       -0.7358398438,        0.0664062500,        0.0234375000,       -0.5340576172,       -0.3662109375,        0.3814697266
1489457362.0747730732,1489457362.0770659447,       -0.7358398438,        0.0664062500,        0.0234375000,       -0.9002685547,       -0.3509521484,        0.0457763672
1489457362.0773398876,1489457362.0797970295,       -0.7348632812,        0.0654296875,        0.0083007812,       -0.9002685547,       -0.3509521484,        0.0457763672
1489457362.0800778866,1489457362.0824580193,       -0.7348632812,        0.0654296875,        0.0083007812,       -0.3814697266,       -0.4425048828,       -0.1373291016
1489457362.0827400684,1489457362.0851230621,       -0.7348632812,        0.0654296875,        0.0083007812,       -0.3814697266,       -0.4425048828,       -0.1373291016
1489457362.0854039192,1489457362.0877830982,       -0.7348632812,        0.0654296875,        0.0068359375,       -0.6103515625,       -0.2441406250,        0.0152587891
1489457362.0880639553,1489457362.0904910564,       -0.7358398438,        0.0625000000,        0.0068359375,       -0.6103515625,       -0.2441406250,        0.0152587891
1489457362.0907740593,1489457362.0931959152,       -0.7358398438,        0.0625000000,        0.0068359375,       -0.8392333984,       -0.3356933594,        0.1525878906
1489457362.0936429501,1489457362.0960559845,       -0.7358398438,        0.0625000000,        0.0068359375,       -0.8392333984,       -0.3356933594,        0.1525878906
1489457362.0963399410,1489457362.0987529755,       -0.7382812500,        0.0634765625,        0.0170898438,       -0.5493164062,       -0.1983642578,        0.1373291016
1489457362.0990879536,1489457362.1015100479,       -0.7382812500,        0.0634765625,        0.0170898438,       -0.5493164062,       -0.1983642578,        0.1373291016
1489457362.1017920971,1489457362.1042029858,       -0.7382812500,        0.0634765625,        0.0170898438,       -0.5645751953,       -0.1831054688,        0.2593994141
1489457362.1044840813,1489457362.1069040298,       -0.7382812500,        0.0634765625,        0.0170898438,       -0.5645751953,       -0.1831054688,        0.2593994141
1489457362.1071848869,1489457362.1097149849,       -0.7416992188,        0.0610351562,        0.0146484375,       -0.8850097656,       -0.1678466797,        0.0457763672
1489457362.1099998951,1489457362.1124160290,       -0.7416992188,        0.0610351562,        0.0146484375,       -0.8850097656,       -0.1678466797,        0.0457763672
1489457362.1126980782,1489457362.1151199341,       -0.7416992188,        0.0610351562,        0.0146484375,       -0.7476806641,        0.0305175781,        0.0762939453
1489457362.1154019833,1489457362.1178140640,       -0.7416992188,        0.0610351562,        0.0156250000,       -0.7476806641,        0.0305175781,        0.0762939453
1489457362.1180961132,1489457362.1205260754,       -0.7392578125,        0.0649414062,        0.0156250000,       -0.4425048828,       -0.0915527344,        0.1220703125
1489457362.1208078861,1489457362.1232309341,       -0.7392578125,        0.0649414062,        0.0156250000,       -0.4425048828,       -0.0915527344,        0.1220703125
1489457362.1235148907,1489457362.1262969971,       -0.7392578125,        0.0649414062,        0.0156250000,       -0.5645751953,       -0.0610351562,        0.1220703125
1489457362.1265881062,1489457362.1294469833,       -0.7358398438,        0.0634765625,        0.0146484375,       -0.5645751953,       -0.0610351562,        0.1220703125
1489457362.1297330856,1489457362.1321508884,       -0.7358398438,        0.0634765625,        0.0146484375,       -0.5950927734,       -0.3051757812,        0.1068115234
1489457362.1324338913,1489457362.1348509789,       -0.7358398438,        0.0634765625,        0.0146484375,       -0.5950927734,       -0.3051757812,        0.1068115234
1489457362.1351320744,1489457362.1375548840,       -0.7358398438,        0.0634765625,        0.0146484375,       -0.4577636719,       -0.4272460938,        0.0457763672
1489457362.1378359795,1489457362.1402649879,       -0.7407226562,        0.0629882812,        0.0180664062,       -0.4577636719,       -0.4272460938,        0.0457763672
1489457362.1405448914,1489457362.1429550648,       -0.7407226562,        0.0629882812,        0.0180664062,       -0.4119873047,       -0.5340576172,        0.1373291016
1489457362.1432359219,1489457362.1456580162,       -0.7407226562,        0.0629882812,        0.0180664062,       -0.4119873047,       -0.5340576172,        0.1373291016
1489457362.1459400654,1489457362.1483530998,       -0.7407226562,        0.0629882812,        0.0209960938,       -0.6713867188,       -0.5187988281,        0.1525878906
1489457362.1486361027,1489457362.1510720253,       -0.7319335938,        0.0625000000,        0.0209960938,       -0.6713867188,       -0.5187988281,        0.1525878906
1489457362.1513550282,1489457362.1537671089,       -0.7319335938,        0.0625000000,        0.0209960938,       -0.6561279297,       -0.5493164062,       -0.1220703125
1489457362.1540489197,1489457362.1564679146,       -0.7319335938,        0.0625000000,        0.0209960938,       -0.6561279297,       -0.5493164062,       -0.1220703125
1489457362.1567509174,1489457362.1591579914,       -0.7392578125,        0.0634765625,        0.0087890625,       -1.0528564453,       -0.5798339844,       -0.1678466797
1489457362.1595470905,1489457362.1618371010,       -0.7392578125,        0.0634765625,        0.0087890625,       -1.0528564453,       -0.5798339844,       -0.1678466797
1489457362.1621139050,1489457362.1644051075,       -0.7392578125,        0.0634765625,        0.0087890625,       -0.4272460938,        0.0457763672,       -0.1525878906
1489457362.1646800041,1489457362.1669778824,       -0.7392578125,        0.0634765625,        0.0087890625,       -0.4272460938,        0.0457763672,       -0.1525878906
1489457362.1672520638,1489457362.1695990562,       -0.7348632812,        0.0664062500,        0.0146484375,       -0.1983642578,       -0.1525878906,       -0.1068115234
1489457362.1698749065,1489457362.1721730232,       -0.7348632812,        0.0664062500,        0.0146484375,       -0.1983642578,       -0.1525878906,       -0.1068115234
1489457362.1724460125,1489457362.1747379303,       -0.7348632812,        0.0664062500,        0.0146484375,       -0.3509521484,       -0.1678466797,        0.0000000000
1489457362.1750121117,1489457362.1773059368,       -0.7348632812,        0.0664062500,        0.0146484375,       -0.3509521484,       -0.1678466797,        0.0000000000
1489457362.1775789261,1489457362.1799919605,       -0.7358398438,        0.0668945312,        0.0229492188,       -0.3509521484,       -0.0610351562,       -0.0305175781
1489457362.1802690029,1489457362.1825649738,       -0.7358398438,        0.0668945312,        0.0229492188,       -0.4272460938,       -0.0610351562,       -0.0305175781
1489457362.1828389168,1489457362.1851279736,       -0.7358398438,        0.0668945312,        0.0229492188,       -0.4272460938,       -0.1373291016,       -0.3356933594
1489457362.1854019165,1489457362.1877019405,       -0.7358398438,        0.0668945312,        0.0229492188,       -0.6408691406,       -0.1373291016,       -0.3356933594
1489457362.1879758835,1489457362.1904420853,       -0.7338867188,        0.0659179688,        0.0161132812,       -0.6408691406,       -0.1373291016,       -0.0915527344
1489457362.1907260418,1489457362.1931450367,       -0.7338867188,        0.0659179688,        0.0161132812,       -0.3204345703,       -0.3662109375,       -0.0915527344
1489457362.1934270859,1489457362.1958420277,       -0.7338867188,        0.0659179688,        0.0161132812,       -0.3204345703,       -0.3662109375,        0.0305175781
1489457362.1961219311,1489457362.1985340118,       -0.7338867188,        0.0659179688,        0.0200195312,       -0.3051757812,       -0.3814697266,        0.0305175781
1489457362.1988239288,1489457362.2012400627,       -0.7358398438,        0.0620117188,        0.0200195312,       -0.3051757812,       -0.3814697266,       -0.2136230469
1489457362.2015221119,1489457362.2039339542,       -0.7358398438,        0.0620117188,        0.0200195312,       -0.5645751953,       -0.2288818359,       -0.2136230469
1489457362.2042160034,1489457362.2066309452,       -0.7358398438,        0.0620117188,        0.0200195312,       -0.5645751953,       -0.2288818359,       -0.2593994141
1489457362.2069120407,1489457362.2093451023,       -0.7358398438,        0.0664062500,        0.0244140625,       -0.6561279297,       -0.0305175781,       -0.2593994141
1489457362.2096269131,1489457362.2120399475,       -0.7363281250,        0.0664062500,        0.0244140625,       -0.6561279297,       -0.0305175781,       -0.5340576172
1489457362.2123219967,1489457362.2147369385,       -0.7363281250,        0.0664062500,        0.0244140625,       -0.4425048828,       -0.1831054688,       -0.5340576172
1489457362.2150180340,1489457362.2174279690,       -0.7363281250,        0.0664062500,        0.0244140625,       -0.4425048828,       -0.1831054688,       -0.4882812500
1489457362.2177119255,1489457362.2200770378,       -0.7333984375,        0.0615234375,        0.0112304688,       -0.2136230469,        0.0610351562,       -0.4882812500
1489457362.2203528881,1489457362.2226440907,       -0.7333984375,        0.0615234375,        0.0112304688,       -0.2136230469,        0.0610351562,       -0.4882812500
1489457362.2230288982,1489457362.2253189087,       -0.7333984375,        0.0615234375,        0.0112304688,       -0.4425048828,        0.0152587891,       -0.2136230469
1489457362.2255930901,1489457362.2278790474,       -0.7333984375,        0.0615234375,        0.0112304688,       -0.4425048828,        0.0152587891,       -0.2136230469
1489457362.2281520367,1489457362.2306621075,       -0.7368164062,        0.0683593750,        0.0083007812,       -0.6256103516,       -0.1678466797,       -0.0610351562
1489457362.2309379578,1489457362.2332270145,       -0.7368164062,        0.0683593750,        0.0083007812,       -0.6256103516,       -0.1678466797,       -0.0610351562
1489457362.2335019112,1489457362.2357990742,       -0.7368164062,        0.0683593750,        0.0083007812,       -0.2746582031,       -0.1220703125,        0.0152587891
1489457362.2360730171,1489457362.2383630276,       -0.7368164062,        0.0683593750,        0.0083007812,       -0.2746582031,       -0.1220703125,        0.0152587891
1489457362.2386391163,1489457362.2411079407,       -0.7397460938,        0.0664062500,        0.0107421875,       -0.4730224609,       -0.3051757812,       -0.2746582031
1489457362.2413918972,1489457362.2438058853,       -0.7397460938,        0.0664062500,        0.0107421875,       -0.4730224609,       -0.3051757812,       -0.2746582031
1489457362.2440869808,1489457362.2466878891,       -0.7397460938,        0.0664062500,        0.0107421875,       -0.3814697266,       -0.1373291016,       -0.2746582031
1489457362.2469720840,1489457362.2496690750,       -0.7397460938,        0.0664062500,        0.0195312500,       -0.3814697266,       -0.1373291016,       -0.2746582031
1489457362.2499461174,1489457362.2522420883,       -0.7387695312,        0.0693359375,        0.0195312500,        0.0457763672,       -0.3204345703,       -0.3204345703
1489457362.2525169849,1489457362.2548139095,       -0.7387695312,        0.0693359375,        0.0195312500,        0.0457763672,       -0.3204345703,       -0.3204345703
1489457362.2550890446,1489457362.2573831081,       -0.7387695312,        0.0693359375,        0.0195312500,       -0.4119873047,       -0.2441406250,       -0.3204345703
1489457362.2576589584,1489457362.2602810860,       -0.7319335938,        0.0585937500,        0.0166015625,       -0.4119873047,       -0.2441406250,       -0.3204345703
1489457362.2605640888,1489457362.2629849911,       -0.7319335938,        0.0585937500,        0.0166015625,        0.0152587891,       -0.0305175781,       -0.3814697266
