time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1489457002.0213880539,1489457002.0326919556,       -0.7216796875,        0.0742187500,        0.0527343750,        1.0070800781,        0.5187988281,        0.3509521484
1489457002.0329990387,1489457002.0364010334,       -0.7216796875,        0.0742187500,        0.0527343750,        0.9307861328,        0.3967285156,        0.3509521484
1489457002.0366840363,1489457002.0399858952,       -0.7353515625,        0.0766601562,        0.0590820312,        0.2899169922,        0.7781982422,        0.1373291016
1489457002.0402851105,1489457002.0430979729,       -0.7353515625,        0.0766601562,        0.0590820312,        0.2899169922,        0.7781982422,        0.1373291016
1489457002.0433928967,1489457002.0456850529,       -0.7353515625,        0.0766601562,        0.0590820312,        0.1983642578,        0.5798339844,        0.3967285156
1489457002.0459570885,1489457002.0482399464,       -0.7280273438,        0.0766601562,        0.0595703125,        0.1983642578,        0.5798339844,        0.3967285156
1489457002.0485110283,1489457002.0508120060,       -0.7280273438,        0.0766601562,        0.0595703125,       -0.0915527344,        0.9765625000,        0.2899169922
1489457002.0510849953,1489457002.0533709526,       -0.7280273438,        0.0766601562,        0.0595703125,       -0.0915527344,        0.9765625000,        0.2899169922
1489457002.0536429882,1489457002.0559279919,       -0.7280273438,        0.0766601562,        0.0595703125,       -0.2136230469,        0.5187988281,        0.3662109375
1489457002.0561978817,1489457002.0584878922,       -0.7338867188,        0.0791015625,        0.0659179688,       -0.2136230469,        0.5187988281,        0.3662109375
1489457002.0587580204,1489457002.0610439777,       -0.7338867188,        0.0791015625,        0.0659179688,       -0.1525878906,        0.7629394531,        0.2899169922
1489457002.0613169670,1489457002.0636019707,       -0.7338867188,        0.0791015625,        0.0659179688,       -0.1525878906,        0.7629394531,        0.2899169922
1489457002.0638740063,1489457002.0661590099,       -0.7338867188,        0.0791015625,        0.0659179688,        0.1983642578,        1.0528564453,       -0.1525878906
1489457002.0664310455,1489457002.0687160492,       -0.7231445312,        0.0771484375,        0.0566406250,        0.1983642578,        1.0528564453,       -0.1525878906
1489457002.0690629482,1489457002.0713500977,       -0.7231445312,        0.0771484375,        0.0566406250,        0.1983642578,        0.8544921875,       -0.0915527344
1489457002.0716230869,1489457002.0739059448,       -0.7231445312,        0.0771484375,        0.0566406250,        0.0762939453,        0.8544921875,       -0.0915527344
1489457002.0741760731,1489457002.0764560699,       -0.7231445312,        0.0771484375,        0.0576171875,        0.0762939453,        0.8544921875,       -0.0305175781
1489457002.0767281055,1489457002.0792129040,       -0.7255859375,        0.0883789062,        0.0576171875,        0.5798339844,        0.8239746094,       -0.0305175781
1489457002.0794889927,1489457002.0817821026,       -0.7255859375,        0.0883789062,        0.0576171875,        0.5798339844,        0.8239746094,        0.4119873047
1489457002.0820560455,1489457002.0843420029,       -0.7255859375,        0.0883789062,        0.0576171875,        0.8087158203,        0.5340576172,        0.4119873047
1489457002.0846159458,1489457002.0869081020,       -0.7255859375,        0.0883789062,        0.0634765625,        0.8087158203,        0.5340576172,        0.4119873047
1489457002.0871820450,1489457002.0895640850,       -0.7358398438,        0.0771484375,        0.0634765625,        0.4272460938,        0.7629394531,        0.2593994141
1489457002.0898408890,1489457002.0921359062,       -0.7358398438,        0.0771484375,        0.0634765625,        0.4272460938,        0.7629394531,        0.2593994141
1489457002.0924119949,1489457002.0946938992,       -0.7358398438,        0.0771484375,        0.0634765625,        0.5493164062,        0.4272460938,        0.2746582031
1489457002.0951359272,1489457002.0974249840,       -0.7358398438,        0.0747070312,        0.0551757812,        0.5493164062,        0.4272460938,        0.2746582031
1489457002.0977001190,1489457002.1000308990,       -0.7255859375,        0.0747070312,        0.0551757812,        0.3509521484,        0.4119873047,        0.2593994141
1489457002.1003050804,1489457002.1025938988,       -0.7255859375,        0.0747070312,        0.0551757812,        0.3509521484,        0.4119873047,        0.2593994141
1489457002.1028699875,1489457002.1051599979,       -0.7255859375,        0.0747070312,        0.0551757812,       -0.3356933594,        0.5798339844,        0.0762939453
1489457002.1054348946,1489457002.1077289581,       -0.7260742188,        0.0830078125,        0.0502929688,       -0.3356933594,        0.5798339844,        0.0762939453
1489457002.1080040932,1489457002.1103880405,       -0.7260742188,        0.0830078125,        0.0502929688,       -0.3509521484,        0.7324218750,       -0.0457763672
1489457002.1106719971,1489457002.1130928993,       -0.7260742188,        0.0830078125,        0.0502929688,       -0.3509521484,        0.7324218750,       -0.0457763672
1489457002.1133749485,1489457002.1157889366,       -0.7260742188,        0.0830078125,        0.0502929688,       -0.0152587891,        0.8544921875,       -0.0152587891
1489457002.1160700321,1489457002.1184840202,       -0.7333984375,        0.0751953125,        0.0561523438,       -0.0152587891,        0.8544921875,       -0.0152587891
1489457002.1187670231,1489457002.1210689545,       -0.7333984375,        0.0751953125,        0.0561523438,       -0.0457763672,        0.7476806641,       -0.1678466797
1489457002.1213459969,1489457002.1236391068,       -0.7333984375,        0.0751953125,        0.0561523438,       -0.0457763672,        0.7476806641,       -0.1678466797
1489457002.1239159107,1489457002.1262159348,       -0.7333984375,        0.0751953125,        0.0561523438,       -0.4425048828,        0.5645751953,       -0.2593994141
1489457002.1264901161,1489457002.1288399696,       -0.7348632812,        0.0742187500,        0.0678710938,       -0.4425048828,        0.5645751953,       -0.2593994141
1489457002.1291239262,1489457002.1315410137,       -0.7348632812,        0.0742187500,        0.0678710938,       -0.2593994141,        0.4425048828,       -0.1220703125
1489457002.1318249702,1489457002.1342430115,       -0.7348632812,        0.0742187500,        0.0678710938,       -0.2593994141,        0.4425048828,       -0.1220703125
1489457002.1345260143,1489457002.1370880604,       -0.7348632812,        0.0742187500,        0.0678710938,       -0.4119873047,        0.6561279297,       -0.3204345703
1489457002.1373729706,1489457002.1398301125,       -0.7299804688,        0.0869140625,        0.0595703125,       -0.4119873047,        0.6561279297,       -0.3204345703
1489457002.1401119232,1489457002.1425271034,       -0.7299804688,        0.0869140625,        0.0595703125,        0.0915527344,        0.5798339844,       -0.1831054688
1489457002.1428110600,1489457002.1452789307,       -0.7299804688,        0.0869140625,        0.0595703125,        0.0915527344,        0.5798339844,       -0.1831054688
1489457002.1455628872,1489457002.1479680538,       -0.7299804688,        0.0786132812,        0.0566406250,        0.6103515625,        0.4882812500,       -0.1220703125
1489457002.1491010189,1489457002.1513938904,       -0.7314453125,        0.0786132812,        0.0566406250,        0.6103515625,        0.4882812500,       -0.1220703125
1489457002.1516740322,1489457002.1539590359,       -0.7314453125,        0.0786132812,        0.0566406250,        0.5645751953,        0.4272460938,       -0.3204345703
1489457002.1542339325,1489457002.1565260887,       -0.7314453125,        0.0786132812,        0.0566406250,        0.5645751953,        0.4272460938,       -0.3204345703
1489457002.1568000317,1489457002.1592140198,       -0.7299804688,        0.0781250000,        0.0512695312,        1.2817382812,        0.1983642578,       -0.4730224609
1489457002.1595981121,1489457002.1618959904,       -0.7299804688,        0.0781250000,        0.0512695312,        1.2817382812,        0.1983642578,       -0.4730224609
1489457002.1621699333,1489457002.1644589901,       -0.7299804688,        0.0781250000,        0.0512695312,        1.3732910156,        0.3204345703,       -0.2136230469
1489457002.1647338867,1489457002.1670238972,       -0.7299804688,        0.0781250000,        0.0512695312,        1.3732910156,        0.3204345703,       -0.2136230469
1489457002.1672980785,1489457002.1696429253,       -0.7343750000,        0.0791015625,        0.0585937500,        1.0070800781,        0.3662109375,        0.0915527344
1489457002.1699180603,1489457002.1722080708,       -0.7343750000,        0.0791015625,        0.0585937500,        1.0070800781,        0.3662109375,        0.0915527344
1489457002.1724820137,1489457002.1747651100,       -0.7343750000,        0.0791015625,        0.0585937500,        1.0070800781,        0.4425048828,        0.4730224609
1489457002.1750400066,1489457002.1773269176,       -0.7343750000,        0.0791015625,        0.0585937500,        0.7629394531,        0.4425048828,        0.4730224609
1489457002.1776020527,1489457002.1798930168,       -0.7329101562,        0.0717773438,        0.0498046875,        0.7629394531,        0.4425048828,        0.2593994141
