time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1489457242.0213310719,1489457242.0325999260,       -0.7338867188,        0.0527343750,        0.0229492188,       -0.1525878906,       -0.4730224609,       -0.1831054688
1489457242.0329010487,1489457242.0352749825,       -0.7338867188,        0.0527343750,        0.0258789062,        0.2136230469,       -0.4119873047,       -0.2441406250
1489457242.0355570316,1489457242.0379550457,       -0.7270507812,        0.0527343750,        0.0258789062,        0.2136230469,       -0.4119873047,       -0.2441406250
1489457242.0386619568,1489457242.0410890579,       -0.7270507812,        0.0527343750,        0.0258789062,       -0.2746582031,       -0.2593994141,       -0.2441406250
1489457242.0413730145,1489457242.0437939167,       -0.7270507812,        0.0527343750,        0.0258789062,       -0.2746582031,       -0.2593994141,       -0.2441406250
1489457242.0440731049,1489457242.0464859009,       -0.7358398438,        0.0512695312,        0.0307617188,       -0.2593994141,        0.1373291016,       -0.1678466797
1489457242.0467638969,1489457242.0492379665,       -0.7358398438,        0.0512695312,        0.0307617188,       -0.2593994141,        0.1373291016,       -0.1678466797
1489457242.0495181084,1489457242.0519299507,       -0.7358398438,        0.0512695312,        0.0307617188,       -0.2746582031,       -0.0915527344,       -0.1678466797
1489457242.0522089005,1489457242.0546259880,       -0.7358398438,        0.0512695312,        0.0307617188,       -0.2746582031,       -0.0915527344,       -0.1678466797
1489457242.0549049377,1489457242.0573210716,       -0.7377929688,        0.0541992188,        0.0302734375,        0.0000000000,       -0.1373291016,       -0.3356933594
1489457242.0576019287,1489457242.0607120991,       -0.7377929688,        0.0541992188,        0.0302734375,        0.0000000000,       -0.1373291016,       -0.1525878906
1489457242.0609929562,1489457242.0634019375,       -0.7377929688,        0.0541992188,        0.0302734375,        0.0762939453,       -0.1831054688,       -0.1525878906
1489457242.0636799335,1489457242.0660989285,       -0.7377929688,        0.0493164062,        0.0258789062,        0.0762939453,       -0.1831054688,       -0.0305175781
1489457242.0663769245,1489457242.0688319206,       -0.7397460938,        0.0493164062,        0.0258789062,       -0.5493164062,       -0.2288818359,       -0.0305175781
1489457242.0691049099,1489457242.0713889599,       -0.7397460938,        0.0493164062,        0.0258789062,       -0.5493164062,       -0.2288818359,       -0.3051757812
1489457242.0716609955,1489457242.0739440918,       -0.7397460938,        0.0493164062,        0.0258789062,       -0.0762939453,       -0.2136230469,       -0.3051757812
1489457242.0742158890,1489457242.0765049458,       -0.7373046875,        0.0488281250,        0.0307617188,       -0.0762939453,       -0.2136230469,       -0.3051757812
1489457242.0767800808,1489457242.0791809559,       -0.7373046875,        0.0488281250,        0.0307617188,       -0.2288818359,        0.0457763672,       -0.3204345703
1489457242.0794599056,1489457242.0818369389,       -0.7373046875,        0.0488281250,        0.0307617188,       -0.2288818359,        0.0457763672,       -0.3204345703
1489457242.0821170807,1489457242.0844979286,       -0.7373046875,        0.0488281250,        0.0307617188,       -0.6103515625,        0.0152587891,       -0.0610351562
1489457242.0847771168,1489457242.0871679783,       -0.7353515625,        0.0498046875,        0.0278320312,       -0.6103515625,        0.0152587891,       -0.0610351562
