time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1489457182.0211949348,1489457182.0321409702,       -0.7280273438,        0.0664062500,        0.0546875000,       -0.4119873047,       -0.0152587891,       -0.2746582031
1489457182.0324420929,1489457182.0349330902,       -0.7280273438,        0.0664062500,        0.0546875000,       -0.4119873047,       -0.0152587891,       -0.2746582031
1489457182.0352139473,1489457182.0376210213,       -0.7265625000,        0.0620117188,        0.0527343750,       -0.3051757812,        0.3051757812,       -0.1983642578
1489457182.0379021168,1489457182.0407700539,       -0.7265625000,        0.0620117188,        0.0527343750,       -0.3051757812,        0.3051757812,       -0.1983642578
1489457182.0410530567,1489457182.0434699059,       -0.7265625000,        0.0620117188,        0.0527343750,       -0.3662109375,        0.3662109375,       -0.2441406250
1489457182.0437529087,1489457182.0461680889,       -0.7265625000,        0.0620117188,        0.0527343750,       -0.3662109375,        0.3662109375,       -0.2441406250
1489457182.0464479923,1489457182.0488810539,       -0.7363281250,        0.0659179688,        0.0581054688,        0.0457763672,       -0.1068115234,       -0.1678466797
1489457182.0491609573,1489457182.0515758991,       -0.7363281250,        0.0659179688,        0.0581054688,        0.0457763672,       -0.1068115234,       -0.1678466797
1489457182.0518550873,1489457182.0542728901,       -0.7363281250,        0.0659179688,        0.0581054688,        0.0762939453,       -0.2746582031,       -0.1220703125
1489457182.0545530319,1489457182.0569639206,       -0.7363281250,        0.0673828125,        0.0566406250,        0.0762939453,       -0.2746582031,       -0.1220703125
1489457182.0572440624,1489457182.0596730709,       -0.7260742188,        0.0673828125,        0.0566406250,       -0.3814697266,       -0.1983642578,       -0.0915527344
1489457182.0599520206,1489457182.0623679161,       -0.7260742188,        0.0673828125,        0.0566406250,       -0.3814697266,       -0.1983642578,       -0.0915527344
1489457182.0626471043,1489457182.0650629997,       -0.7260742188,        0.0673828125,        0.0566406250,       -0.3356933594,       -0.0152587891,       -0.4425048828
1489457182.0653409958,1489457182.0677549839,       -0.7309570312,        0.0659179688,        0.0649414062,       -0.3356933594,       -0.0152587891,       -0.4425048828
1489457182.0680348873,1489457182.0703868866,       -0.7309570312,        0.0659179688,        0.0649414062,       -0.2899169922,       -0.2441406250,       -0.0915527344
1489457182.0706589222,1489457182.0729479790,       -0.7309570312,        0.0659179688,        0.0649414062,       -0.2899169922,       -0.2441406250,       -0.0915527344
1489457182.0732200146,1489457182.0755150318,       -0.7309570312,        0.0659179688,        0.0649414062,       -0.5950927734,       -0.2288818359,       -0.0457763672
1489457182.0757889748,1489457182.0780820847,       -0.7285156250,        0.0698242188,        0.0571289062,       -0.5950927734,       -0.2288818359,       -0.0457763672
1489457182.0783569813,1489457182.0807390213,       -0.7285156250,        0.0698242188,        0.0571289062,       -0.3204345703,       -0.4730224609,       -0.1831054688
1489457182.0810151100,1489457182.0833139420,       -0.7285156250,        0.0698242188,        0.0571289062,       -0.3204345703,       -0.4730224609,       -0.1831054688
1489457182.0835890770,1489457182.0858840942,       -0.7285156250,        0.0698242188,        0.0571289062,       -0.4882812500,        0.0915527344,       -0.1831054688
1489457182.0861580372,1489457182.0884499550,       -0.7270507812,        0.0639648438,        0.0590820312,       -0.4882812500,        0.0915527344,       -0.1831054688
1489457182.0887229443,1489457182.0910840034,       -0.7270507812,        0.0639648438,        0.0590820312,       -0.0610351562,        0.0915527344,       -0.2593994141
1489457182.0913600922,1489457182.0936539173,       -0.7270507812,        0.0639648438,        0.0590820312,       -0.0610351562,        0.0915527344,       -0.2593994141
1489457182.0940880775,1489457182.0963869095,       -0.7270507812,        0.0639648438,        0.0590820312,        3.8452148438,       -0.2746582031,       -0.5493164062
1489457182.0966620445,1489457182.0989899635,       -0.7309570312,        0.0683593750,        0.0541992188,        0.2288818359,       -0.2746582031,       -0.5493164062
1489457182.0992739201,1489457182.1016900539,       -0.7309570312,        0.0683593750,        0.0541992188,        0.2288818359,       -0.4119873047,       -0.3356933594
1489457182.1019730568,1489457182.1043961048,       -0.7309570312,        0.0683593750,        0.0541992188,        0.5645751953,       -0.4119873047,       -0.3356933594
1489457182.1046779156,1489457182.1070950031,       -0.7309570312,        0.0683593750,        0.0546875000,        0.5645751953,       -0.1983642578,       -0.1220703125
1489457182.1073770523,1489457182.1098399162,       -0.7294921875,        0.0644531250,        0.0546875000,       -0.3204345703,       -0.1983642578,       -0.1220703125
1489457182.1101210117,1489457182.1125400066,       -0.7294921875,        0.0644531250,        0.0546875000,       -0.3204345703,       -0.2288818359,       -0.1678466797
1489457182.1128211021,1489457182.1152360439,       -0.7294921875,        0.0644531250,        0.0546875000,       -0.6256103516,       -0.2288818359,       -0.1678466797
1489457182.1155180931,1489457182.1179349422,       -0.7368164062,        0.0664062500,        0.0629882812,       -0.6256103516,       -0.0305175781,       -0.3204345703
1489457182.1182179451,1489457182.1206450462,       -0.7368164062,        0.0664062500,        0.0629882812,       -0.3356933594,       -0.0305175781,       -0.3204345703
1489457182.1209270954,1489457182.1233420372,       -0.7368164062,        0.0664062500,        0.0629882812,       -0.3356933594,        3.8757324219,       -0.4730224609
1489457182.1236240864,1489457182.1260449886,       -0.7368164062,        0.0664062500,        0.0629882812,       -0.2288818359,        0.0305175781,       -0.4730224609
1489457182.1263270378,1489457182.1287539005,       -0.7329101562,        0.0722656250,        0.0449218750,       -0.2288818359,       -3.8757324219,       -0.1983642578
1489457182.1292390823,1489457182.1316139698,       -0.7329101562,        0.0722656250,        0.0449218750,       -0.5035400391,       -0.0762939453,       -0.1983642578
1489457182.1318929195,1489457182.1342740059,       -0.7329101562,        0.0722656250,        0.0449218750,       -0.5035400391,        0.0152587891,       -0.0457763672
