time_stamp before, time_stamp after, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1489456942.0196099281,1489456942.0326499939,       -0.7368164062,        0.0698242188,        0.0209960938,        0.1831054688,        0.0610351562,        0.0762939453
1489456942.0329480171,1489456942.0353569984,       -0.7368164062,        0.0698242188,        0.0209960938,        0.2136230469,       -0.2136230469,       -0.0457763672
1489456942.0356380939,1489456942.0379290581,       -0.7368164062,        0.0698242188,        0.0209960938,        0.2136230469,       -0.2136230469,       -0.0457763672
1489456942.0382030010,1489456942.0407640934,       -0.7368164062,        0.0751953125,        0.0209960938,       -0.3814697266,        0.0000000000,        0.0610351562
1489456942.0410449505,1489456942.0434238911,       -0.7324218750,        0.0751953125,        0.0209960938,       -0.3814697266,        0.0000000000,        0.0610351562
1489456942.0436999798,1489456942.0463531017,       -0.7324218750,        0.0751953125,        0.0209960938,        0.1983642578,       -0.3051757812,        0.3051757812
1489456942.0466339588,1489456942.0490660667,       -0.7324218750,        0.0751953125,        0.0209960938,        0.1983642578,       -0.3051757812,        0.3051757812
1489456942.0493469238,1489456942.0517621040,       -0.7397460938,        0.0825195312,        0.0288085938,        0.6561279297,       -0.3662109375,        0.4425048828
1489456942.0520420074,1489456942.0544590950,       -0.7397460938,        0.0825195312,        0.0288085938,        0.6561279297,       -0.3662109375,        0.4425048828
1489456942.0547370911,1489456942.0571539402,       -0.7397460938,        0.0825195312,        0.0288085938,        0.4272460938,       -0.4272460938,        0.1831054688
1489456942.0574319363,1489456942.0598649979,       -0.7397460938,        0.0825195312,        0.0288085938,        0.4272460938,       -0.4272460938,        0.1831054688
1489456942.0601439476,1489456942.0625610352,       -0.7319335938,        0.0722656250,        0.0332031250,        0.0152587891,       -0.3662109375,        0.1525878906
1489456942.0628409386,1489456942.0652570724,       -0.7319335938,        0.0722656250,        0.0332031250,        0.0152587891,       -0.3662109375,        0.1525878906
1489456942.0655360222,1489456942.0679559708,       -0.7319335938,        0.0722656250,        0.0332031250,       -0.0152587891,       -0.2136230469,        0.4272460938
1489456942.0682330132,1489456942.0705659389,       -0.7319335938,        0.0722656250,        0.0307617188,       -0.0152587891,       -0.2136230469,        0.4272460938
1489456942.0708379745,1489456942.0731239319,       -0.7309570312,        0.0717773438,        0.0307617188,        0.0000000000,       -0.4119873047,        0.3814697266
1489456942.0733950138,1489456942.0756878853,       -0.7309570312,        0.0717773438,        0.0307617188,        0.0000000000,       -0.4119873047,        0.3814697266
