time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494294146.9383718967,      -10.2265625000,        4.7739257812,       -3.9365234375,      -17.6239013672,     -164.2761230469,      340.7135009766
1494294146.9455199242,      -10.2153320312,        4.7739257812,       -3.9365234375,      -17.6239013672,     -164.2761230469,      340.7135009766
1494294146.9483358860,      -10.2153320312,        4.7739257812,       -3.9365234375,      278.5186767578,      -74.3560791016,      155.7464599609
1494294146.9510490894,      -10.2153320312,        4.7739257812,       -2.3115234375,      278.5186767578,      -74.3560791016,      155.7464599609
1494294146.9537410736,        5.8750000000,       -1.9599609375,       -2.2587890625,      362.8692626953,      -99.0295410156,      353.1341552734
1494294146.9564330578,        5.8750000000,       -1.9599609375,       -2.2587890625,      362.8692626953,      -99.0295410156,      353.1341552734
1494294146.9591269493,        5.8750000000,       -1.9599609375,       -2.2587890625,      155.7617187500,     -139.3280029297,      428.8482666016
1494294146.9618270397,        5.8750000000,        1.9443359375,       -0.3349609375,      155.7617187500,     -139.3280029297,      428.8482666016
1494294146.9645171165,        0.7241210938,        1.9443359375,       -0.3349609375,      -36.3159179688,      -29.6020507812,      409.9426269531
1494294146.9672091007,        0.7241210938,        1.9443359375,       -0.3349609375,      -36.3159179688,      -29.6020507812,      409.9426269531
1494294146.9699048996,        0.7241210938,        1.9443359375,       -0.3349609375,      -44.6929931641,       11.3525390625,      365.3411865234
1494294146.9726140499,       -0.5327148438,        1.5981445312,       -0.7231445312,      -44.6929931641,       11.3525390625,      365.3411865234
1494294146.9753029346,       -0.5327148438,        1.5981445312,       -0.7231445312,       15.4266357422,      -39.1082763672,      319.3359375000
1494294146.9779961109,       -0.5327148438,        1.5981445312,       -0.7231445312,       15.4266357422,      -39.1082763672,      319.3359375000
1494294146.9806990623,       -0.5327148438,        1.5981445312,       -0.7231445312,       73.6694335938,      -27.6794433594,      258.0108642578
1494294146.9832489491,       -1.5214843750,        1.6225585938,        0.7763671875,       73.6694335938,      -27.6794433594,      258.0108642578
1494294146.9858040810,       -1.5214843750,        1.6225585938,        0.7763671875,       -7.2021484375,      -28.8696289062,      227.7221679688
1494294146.9883539677,       -1.5214843750,        1.6225585938,        0.7763671875,       -7.2021484375,      -28.8696289062,      227.7221679688
1494294146.9911019802,       -1.5214843750,        1.6225585938,        0.7763671875,       12.5122070312,      -37.0788574219,      222.3815917969
1494294146.9936709404,       -1.7822265625,        1.2871093750,       -0.0961914062,       12.5122070312,      -37.0788574219,      222.3815917969
1494294146.9962251186,       -1.7822265625,        1.2871093750,       -0.0961914062,       58.2885742188,      -19.3176269531,      204.0710449219
1494294146.9987840652,       -1.7822265625,        1.2871093750,       -0.0961914062,       58.2885742188,      -19.3176269531,      204.0710449219
1494294147.0014989376,       -1.7822265625,        1.2871093750,        0.1538085938,       57.8002929688,        2.0751953125,      192.4591064453
1494294147.0041949749,       -3.0620117188,        1.4609375000,        0.1611328125,       57.8002929688,        2.0751953125,      192.4591064453
1494294147.0068891048,       -3.0620117188,        1.4609375000,        0.1611328125,       32.4249267578,       26.7791748047,      200.7904052734
1494294147.0095880032,       -3.0620117188,        1.4609375000,        0.1611328125,       32.4249267578,       26.7791748047,      200.7904052734
1494294147.0122859478,       -3.0620117188,        1.1420898438,       -0.1010742188,       44.1436767578,       41.3665771484,      188.8427734375
1494294147.0149879456,       -4.4345703125,        1.1420898438,       -0.1010742188,       45.1812744141,       41.3665771484,      188.8427734375
1494294147.0178520679,       -4.4345703125,        1.1420898438,       -0.1010742188,       85.1287841797,       51.3000488281,      140.7775878906
