time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494035496.0149829388,       -0.7666015625,        0.2968750000,       -0.1157226562,        2.9449462891,        7.2326660156,       15.0604248047
1494035496.0273630619,       -0.7753906250,        0.2749023438,       -0.0078125000,        1.8310546875,        7.2326660156,       15.0604248047
1494035496.0303270817,       -0.7753906250,        0.2749023438,       -0.0078125000,        0.9918212891,        7.8582763672,       15.4876708984
1494035496.0330219269,       -0.7753906250,        0.2749023438,       -0.0078125000,        0.9918212891,        7.8582763672,       15.4876708984
1494035496.0357189178,       -0.8129882812,        0.2939453125,       -0.0102539062,        0.7019042969,        8.9721679688,       15.5029296875
1494035496.0384030342,       -0.8129882812,        0.2939453125,       -0.0102539062,        0.7019042969,        8.9721679688,       15.5029296875
1494035496.0410809517,       -0.8129882812,        0.2939453125,       -0.0102539062,       -0.0152587891,        9.2315673828,       16.2658691406
1494035496.0437529087,       -0.8129882812,        0.2939453125,       -0.0102539062,       -0.0152587891,        9.2315673828,       16.2658691406
1494035496.0462999344,       -0.8417968750,        0.2631835938,       -0.0151367188,       -0.0152587891,        9.0637207031,       17.5476074219
1494035496.0488440990,       -0.8417968750,        0.2631835938,       -0.0151367188,       -0.4730224609,        9.0637207031,       17.5476074219
1494035496.0513849258,       -0.8417968750,        0.2631835938,       -0.0151367188,       -0.4730224609,        9.0637207031,       18.3410644531
1494035496.0539350510,       -0.8417968750,        0.2631835938,       -0.0151367188,       -0.7324218750,       10.2691650391,       18.3410644531
1494035496.0564839840,       -0.8979492188,        0.2719726562,       -0.0161132812,       -0.7324218750,       10.2691650391,       18.3410644531
1494035496.0590250492,       -0.8979492188,        0.2719726562,       -0.0161132812,       -1.8310546875,       11.3830566406,       17.7612304688
1494035496.0615730286,       -0.8979492188,        0.2719726562,       -0.0161132812,       -1.8310546875,       11.3830566406,       17.7612304688
1494035496.0642399788,       -0.8979492188,        0.2719726562,       -0.0161132812,       -2.4719238281,       10.8947753906,       17.6086425781
1494035496.0667889118,       -0.9204101562,        0.3374023438,       -0.0263671875,       -2.4719238281,       10.8947753906,       17.6086425781
1494035496.0693418980,       -0.9204101562,        0.3374023438,       -0.0263671875,       -1.4038085938,       10.9710693359,       18.4478759766
1494035496.0718910694,       -0.9204101562,        0.3374023438,       -0.0263671875,       -1.4038085938,       10.9710693359,       18.4478759766
1494035496.0746328831,       -0.9204101562,        0.3374023438,       -0.0239257812,        1.5258789062,        9.8571777344,       19.4244384766
1494035496.0773179531,       -0.9492187500,        0.3325195312,       -0.0239257812,        1.5258789062,        9.8571777344,       19.4244384766
1494035496.0799980164,       -0.9492187500,        0.3325195312,       -0.0239257812,        6.1950683594,        8.8653564453,       20.6298828125
