time_stamp before, Acceleration x, Acceleration y, Acceleration z, Gyro x, Gyro y, Gyro z
1494038914.0080740452,       -1.2158203125,        0.0390625000,        0.0551757812,      -27.9846191406,       14.9688720703,      115.0360107422
1494038914.0171160698,       -0.9907226562,        0.3115234375,        0.0351562500,      -27.9846191406,       14.9688720703,      115.0360107422
1494038914.0200130939,       -0.9907226562,        0.3115234375,        0.0351562500,      -31.4788818359,       13.1530761719,      114.7003173828
1494038914.0227229595,       -0.9907226562,        0.3115234375,        0.0351562500,      -31.4788818359,       13.1530761719,      114.7003173828
1494038914.0254631042,       -0.9907226562,        0.3115234375,        0.0351562500,      -21.9116210938,       11.8560791016,      117.2637939453
1494038914.0281639099,       -0.9663085938,        0.5693359375,        0.0190429688,      -21.9116210938,       11.8560791016,      117.2637939453
1494038914.0308690071,       -0.9663085938,        0.5693359375,        0.0190429688,      -14.6179199219,       14.8773193359,      121.3989257812
1494038914.0335791111,       -0.9663085938,        0.5693359375,        0.0190429688,      -14.6179199219,       14.8773193359,      121.3989257812
1494038914.0362749100,       -0.9663085938,        0.4443359375,        0.0693359375,      -19.0429687500,       20.9350585938,      121.7803955078
1494038914.0389840603,       -0.9892578125,        0.4702148438,        0.0693359375,      -19.0429687500,       20.9350585938,      121.7803955078
1494038914.0416839123,       -0.9892578125,        0.4702148438,        0.0693359375,      -21.8658447266,       21.9268798828,      116.8518066406
1494038914.0443909168,       -0.9892578125,        0.4702148438,        0.0693359375,      -21.8658447266,       21.9268798828,      116.8518066406
1494038914.0470929146,       -0.7026367188,        0.4370117188,        0.0527343750,      -20.2026367188,       25.7568359375,      111.7248535156
1494038914.0497949123,       -0.7026367188,        0.4370117188,        0.0527343750,      -20.2026367188,       25.7568359375,      111.7248535156
1494038914.0525040627,       -0.7026367188,        0.4370117188,        0.0527343750,      -13.8854980469,       28.0914306641,      104.7058105469
1494038914.0551059246,       -0.7026367188,        0.4370117188,        0.0527343750,      -13.8854980469,       28.0914306641,      104.7058105469
1494038914.0576689243,       -0.6030273438,        0.3935546875,        0.1450195312,        4.2419433594,       28.2440185547,       95.8099365234
1494038914.0602340698,       -0.6030273438,        0.3935546875,        0.1450195312,        4.2419433594,       28.2440185547,       95.8099365234
1494038914.0627870560,       -0.6030273438,        0.3935546875,        0.1450195312,       23.4069824219,       24.6582031250,       86.2731933594
1494038914.0655200481,       -0.6030273438,        0.3935546875,        0.1450195312,       23.4069824219,       24.6582031250,       86.2731933594
1494038914.0680770874,       -0.6582031250,        0.2910156250,        0.1425781250,       42.9382324219,       18.9056396484,       71.5789794922
1494038914.0706360340,       -0.6582031250,        0.2910156250,        0.1425781250,       42.1295166016,       18.9056396484,       71.5789794922
1494038914.0733139515,       -0.6582031250,        0.2910156250,        0.1425781250,       42.1295166016,       15.5334472656,       55.2825927734
1494038914.0760190487,       -0.6582031250,        0.2910156250,        0.1425781250,       61.5692138672,       15.5334472656,       55.2825927734
1494038914.0787179470,       -0.6708984375,       -0.1967773438,        0.0634765625,       61.5692138672,       15.4266357422,       37.9791259766
1494038914.0814239979,       -0.6708984375,       -0.1967773438,        0.0634765625,       76.5228271484,       15.4266357422,       37.9791259766
1494038914.0841319561,       -0.6708984375,       -0.1967773438,        0.0634765625,       76.5228271484,       17.3645019531,       24.5208740234
1494038914.0868330002,       -0.6708984375,       -0.3906250000,       -0.0581054688,       83.2824707031,       17.3645019531,       24.5208740234
1494038914.0896899700,       -0.5791015625,       -0.3906250000,       -0.0581054688,       83.2824707031,       19.4244384766,       14.5416259766
1494038914.0923891068,       -0.5791015625,       -0.3906250000,       -0.0581054688,       79.4830322266,       19.4244384766,       14.5416259766
1494038914.0951020718,       -0.5791015625,       -0.3906250000,       -0.0581054688,       79.4830322266,       23.8037109375,        7.1411132812
1494038914.0978031158,       -0.4868164062,       -0.3750000000,       -0.0625000000,       68.5424804688,       23.8037109375,        7.1411132812
